,logFC,logCPM,F,PValue,FDR
DNAJB6,-0.7193530598294525,8.852082155260367,8.06682057035497,0.006814620636662599,0.9884553516637613
LSM7,-0.5056950939733511,8.487233694985205,7.842562473978157,0.007549939346607872,0.9884553516637613
SEPTIN7,-0.4587401961473795,9.753478927673205,6.9525609116470815,0.011698299088069634,0.9884553516637613
FCMR,-0.43693375896988784,8.717559473208206,4.171343694065638,0.047230511750651856,0.9884553516637613
CTSH,0.607596580049373,8.512387139697946,3.9432945443140013,0.05349914185040529,0.9884553516637613
BCLAF1,-0.32741673049184866,8.663303294348866,3.9267134954737726,0.05391417098387634,0.9884553516637613
TAPBP,0.39113243462506564,8.45722494963274,3.874464343797871,0.05552042611071722,0.9884553516637613
IFI16,-0.40419428256441786,8.806054828722457,3.84140002894781,0.056506701464638785,0.9884553516637613
CYTIP,-0.381815684931494,9.029490522017284,3.7096925119095423,0.06077444413281174,0.9884553516637613
HMGB1,-0.2778619383753366,10.421055879520306,3.663025960220359,0.06253794949621339,0.9884553516637613
HNRNPDL,-0.3358463097976957,8.848636688453402,3.4433647872430533,0.0704029483906059,0.9884553516637613
RPL22L1,-0.36440889222409517,8.412640443372386,3.316603341757545,0.07534287129160247,0.9884553516637613
TLN1,-0.45142463267057,8.601175562556422,3.2689150826400537,0.07747895588508323,0.9884553516637613
RBM8A,-0.29365680098108826,8.78826428367451,3.2375018675536755,0.07898975460488919,0.9884553516637613
RPS17,0.4428445804662969,11.836730907547556,3.145168042163155,0.08346328378923706,0.9884553516637613
HNRNPK,-0.3111154419455422,9.17487836276437,3.0591025209097062,0.08754984412081102,0.9884553516637613
ELF1,-0.2931708675862017,9.096416318983765,3.0154547535303,0.08974724979272744,0.9884553516637613
POU2F2,-0.38058058514674903,9.359646331191838,3.006205666107962,0.09025549097697359,0.9884553516637613
SP110,-0.34535499748795695,8.756596496895783,2.8304792966289876,0.09973448963433366,0.9884553516637613
TCEA1,-0.36420063955234877,8.719207156845485,2.7887322441794913,0.10210424013178317,0.9884553516637613
UBXN1,-0.3152352413068431,8.523922844387844,2.768315823574051,0.10330200887888294,0.9884553516637613
IGLC1,-0.5991043992509699,9.282566977238615,2.556661898132044,0.11726636690189994,0.9884553516637613
MS4A1,-0.22722705601853485,11.327237705566137,2.5496803768461516,0.11788405451777706,0.9884553516637613
IGKC,-0.3108016725203944,12.558682599234496,2.4242910845217045,0.12703135113160802,0.9884553516637613
MZT2B,0.35395895301632335,8.56672168454999,2.3167327615584066,0.13530916180137334,0.9884553516637613
MTDH,-0.291956235575361,8.9331873734808,2.2785074090396216,0.1385685383272093,0.9884553516637613
PRPF4B,-0.3662026436738871,8.500323444187977,2.208533363502482,0.14439816820876136,0.9884553516637613
YWHAB,-0.27335812625581296,9.41041965738542,2.1988263445011036,0.1455935089398328,0.9884553516637613
BZW1,-0.3910962627849938,8.207831104443777,2.1875176351685925,0.1460611882388445,0.9884553516637613
S100A4,-0.39727997676187166,8.901899467185986,2.139261582794264,0.15086695231097946,0.9884553516637613
PDCD4,-0.36443408278513656,8.5674640425857,2.1022617973678366,0.15420309270806562,0.9884553516637613
TMSB4X,0.34989141099083637,13.948500702302285,2.06166499647406,0.15850902529941846,0.9884553516637613
ITSN2,-0.3062756021886165,8.355685338529337,2.049616699211333,0.15930667056088127,0.9884553516637613
NR4A2,-0.28666980056187685,10.22436968441801,1.9758315998962206,0.16726180702305182,0.9884553516637613
RPS15A,0.14679213939903385,13.072509610884897,1.9676031199330417,0.16810911083689412,0.9884553516637613
HSPA8,-0.2762630454057564,9.905287494552049,1.9461797971895665,0.17038900258956774,0.9884553516637613
RNASET2,-0.29507056175948737,8.758283046086017,1.9293311102849533,0.17199655061444483,0.9884553516637613
PAPOLA,-0.24576928585224903,8.570144052324284,1.9206720443702088,0.172871771726134,0.9884553516637613
ATP5F1E,0.2129937761420245,10.617437265897184,1.872238857570836,0.1785716995565078,0.9884553516637613
GRB2,-0.26440632023219723,8.644744248396925,1.8121924594888028,0.18527870090820722,0.9884553516637613
ACTR2,-0.29642114295572547,8.941268192280587,1.8005183032026555,0.1867626424482529,0.9884553516637613
NAP1L1,0.20573056950037868,9.931713741763128,1.7965743401891832,0.1874068526920228,0.9884553516637613
TOMM6,0.2828555060202909,8.474154364131028,1.7406228277928633,0.19398199059379403,0.9884553516637613
HLA-A,0.20411364529263792,11.357757474810255,1.7160557710332103,0.19738505813800503,0.9884553516637613
LRRFIP1,0.22929491814384906,9.363910077317128,1.7112848090995425,0.19798702693830614,0.9884553516637613
KMT2E,-0.22937995651660117,9.343572831181385,1.6981398359318267,0.19962906185540424,0.9884553516637613
SON,-0.2653735508912771,9.684777734261926,1.682740000040507,0.20168348156279547,0.9884553516637613
SRSF5,-0.2291319155620223,9.295145385910615,1.6762078719167102,0.20249921050864467,0.9884553516637613
COTL1,0.39705205172345076,9.018240810081142,1.6554383187721082,0.20526915160367928,0.9884553516637613
EIF5,-0.22522781324739968,9.173424370637697,1.614296684587104,0.2108586734277071,0.9884553516637613
TNFRSF13C,-0.2817626013221828,8.70936678524358,1.6096321243480907,0.21131088719493604,0.9884553516637613
EIF2S3,-0.28196088910984973,8.398737695981257,1.6065987404787212,0.21164360492870926,0.9884553516637613
SNX2,-0.26671947345169245,8.545354500730296,1.5680991731574483,0.21718991663640885,0.9884553516637613
RPL32,0.13130346359117157,13.304421970852014,1.5558551275918473,0.21923760378070956,0.9884553516637613
RPL36AL,0.17702906725131734,10.0064021317678,1.5388557700674677,0.22174632530833985,0.9884553516637613
CD44,0.22873517495652249,8.916188866076554,1.5311586652096576,0.2228027949764182,0.9884553516637613
YPEL5,-0.21726524337057504,9.257644346707313,1.4667762766928267,0.23262028852399735,0.9884553516637613
DDX3X,-0.38478860069926296,9.268409419775432,1.434022835872044,0.23779303128996745,0.9884553516637613
RPS19,0.14772261924135052,13.231220420136127,1.433049069639556,0.2380330092521191,0.9884553516637613
HLA-DMA,-0.1655271054219313,9.48767717605838,1.42704234674725,0.23898122814498177,0.9884553516637613
KLF2,-0.5000444796700958,9.326799053057455,1.4156917862526186,0.24072903301706852,0.9884553516637613
RPS20,0.15429153531964904,12.531348906036246,1.348527278816649,0.25214528244542156,0.9884553516637613
DDX21,-0.256059634352701,9.207092051288077,1.320217968898818,0.2570282728159163,0.9884553516637613
IGHM,-0.3675892522500515,10.778708141133155,1.3162634236692534,0.2578247993239567,0.9884553516637613
HNRNPA1,0.20546067945798777,10.07204647447012,1.3141950675770881,0.25819737904141515,0.9884553516637613
SYF2,-0.2213437335856879,8.484530750151134,1.3039767281318821,0.2597305463104168,0.9884553516637613
CORO1A,0.22204919750548546,9.809780625189804,1.3029152738917626,0.26021553598090563,0.9884553516637613
PTMA,-0.11280749937752718,12.898680364285228,1.2690133488995123,0.2663975877094036,0.9884553516637613
IRF1,-0.2574605247345957,9.066083336309635,1.2419303633217071,0.27139279278593015,0.9884553516637613
NACA,-0.150357299912766,11.404460062496062,1.2399445700026368,0.27187220378507426,0.9884553516637613
NCF1,-0.28147856305233254,8.306937510285781,1.224509981645755,0.2744513690646457,0.9884553516637613
EIF1B,-0.24037692254113233,8.276131172116727,1.1893184565334385,0.28127920134184925,0.9884553516637613
MCL1,0.254482284811594,8.986322995383931,1.1896433476893746,0.28162224118087703,0.9884553516637613
LINC02397,0.24931092704779004,8.630746047493346,1.188470898616127,0.2817354311999874,0.9884553516637613
FTH1,0.15445806625395936,12.424499241903002,1.1871930479584833,0.2821581891340179,0.9884553516637613
RPL36A,0.18019804950168142,11.727273301433383,1.1460216226532505,0.2905491036268391,0.9884553516637613
STK4,-0.17617719840688506,9.377804744491584,1.1410973085184533,0.2915135488967655,0.9884553516637613
CD37,-0.17199982142417303,10.88066890718413,1.1204428580435566,0.29593523294675583,0.9884553516637613
PTPN1,0.21225285011726674,8.399000375122316,1.1043379954601025,0.29915585868410977,0.9884553516637613
IFI30,-0.30180796494823875,9.234528144876336,1.0968427772652047,0.3009225610031466,0.9884553516637613
MYL6,0.18090710283521963,10.300897719294547,1.0724626682239549,0.3063825249771327,0.9884553516637613
SF1,-0.19660175776201488,9.23115243911839,1.0639915855402917,0.3081820126506276,0.9884553516637613
ACTB,0.29153685320396966,12.113915373677527,1.0327567235067205,0.31537773793156076,0.9884553516637613
ATP6V0E1,-0.20984197422412273,9.093493005694992,1.032053326860441,0.3154592651614909,0.9884553516637613
MT-ND5,-0.3501070802534623,12.14685366960733,1.0189550773956606,0.31859477730801933,0.9884553516637613
NDUFS5,0.22140902685120745,8.295181136167304,1.0091818078320438,0.32065835311124424,0.9884553516637613
EIF1,-0.1136806714079808,12.132994016006672,1.0019649397916532,0.322614563611463,0.9884553516637613
FNBP1,0.16759430151727228,8.776949705750493,0.9855957566292476,0.32644789009952757,0.9884553516637613
LAPTM5,-0.1588148125372279,10.301071203338276,0.972428518255685,0.3297838260991247,0.9884553516637613
BBX,-0.19008929543720723,8.31403473566833,0.9587797250887906,0.3328334603095867,0.9884553516637613
NFKBIA,0.2627297116229145,9.448457500434625,0.9593716530701322,0.33300341837930114,0.9884553516637613
H2AFZ,-0.19945261533410527,8.4967399466472,0.9561635531828506,0.3335654857991981,0.9884553516637613
RPL12,-0.10839506569638008,12.75249560988326,0.9521613539152944,0.3348009074110433,0.9884553516637613
HLA-DPB1,-0.1582770058905445,11.896566946102523,0.9410279478721921,0.33761361615825136,0.9884553516637613
HLA-DRB5,-0.5170388271821887,9.069097312898244,0.9397198309098858,0.3377346672458197,0.9884553516637613
