,logFC,logCPM,F,PValue,FDR
IL2RA,1.5753338374366788,6.322095397199791,35.251216512749345,3.2567994948795447e-07,0.001008630803564195
GK,1.0556185298641991,5.404369981317748,21.258586913408163,3.02006842864055e-05,0.04676575961749892
TNFRSF4,1.169795628411041,7.781340323193946,19.59902495101837,5.54899785463394e-05,0.0572841545193377
LINC01943,1.1936515485503791,5.717581749815463,17.05893659441332,0.00014582832489329865,0.11290758054863648
TIGIT,0.8650707539529061,6.900604833574658,14.855251827479552,0.0003475558769509088,0.2152761101833929
LINC00649,0.7533014650102233,5.871131374168041,13.814651909905397,0.0005321329370254957,0.2746692843279933
CACYBP,-0.48906297840791757,7.428042877342585,13.177824668695765,0.0006909723890045243,0.30570592696385884
TNFRSF18,0.9626644326060017,7.335718932098116,12.42821844912035,0.0009462398982775913,0.3310712429874331
DYNLT3,-0.4858842033264299,6.499940587352603,12.221841127939017,0.0010339230969783869,0.3310712429874331
NAMPT,0.46306112669597,7.293146026079248,12.141707418653096,0.0010690062737727902,0.3310712429874331
TIAM1,0.6943986744765208,5.366289605125459,11.80117240026171,0.0012310524052061317,0.33872274808185987
SLC41A1,0.5905294161732284,4.987450203915708,11.503028051968453,0.0013840864171265114,0.33872274808185987
KXD1,0.5359893214258354,5.48316290903413,11.417139020124052,0.001458479438466502,0.33872274808185987
CHST11,0.5132011728100859,5.682771037641584,11.306654361429665,0.0015311974404733735,0.33872274808185987
CD83,0.8171874639016347,5.696462107155171,10.75772818802043,0.0019508085814631034,0.4027769451194154
MACO1,-0.6310296400783139,5.350298678037695,10.057696584455963,0.0026015924556594674,0.5035707396985857
CLK3,-0.5131107434089738,5.525368146085674,9.744965984590024,0.003021691878822417,0.5504811616890015
SUSD6,0.4242912519886788,5.3287896157581045,9.300090852158245,0.0037212166061644934,0.6097384358385739
TTC17,0.4857332021406587,5.967070529085576,9.220742760073982,0.003879854896700866,0.6097384358385739
MAP4K5,-0.4953292813642839,5.33963066617215,9.154032711108552,0.003937606947617526,0.6097384358385739
TRA2A,0.43418689117606946,7.1344224348423655,8.873919397581599,0.004542863939436588,0.6699642676397672
PBX4,0.638911517140424,5.443264222447944,8.712113184632502,0.004885326109768252,0.6877206800887399
