,logFC,logCPM,F,PValue,FDR
MIR4435-2HG,0.6803444513665813,5.796036968145156,14.697317331219198,0.0003847443897367374,0.6606991310967564
DOP1B,0.7615516109796511,4.4670773116486275,14.22009429240214,0.0004514893301980762,0.6606991310967564
KIAA1328,-0.537729034664472,5.117543315719179,13.990591649563653,0.0004950293190035637,0.6606991310967564
BHLHE40,0.632667129343792,6.277389243405958,12.424399540740383,0.0009778574087291423,0.9788352661378714
GPR174,-0.3773607933658385,7.477366708927365,11.842719099995438,0.001249832894521293,0.9982788467687856
LETM2,-0.7322208954959973,4.495981744557377,9.711524405295302,0.0030530188784730268,0.9982788467687856
SAMD9,-0.27676616193640713,7.87224688927511,9.388251267408593,0.0036598823878532098,0.9982788467687856
RPE,-0.6007807604073362,4.486794103212027,8.864250839420224,0.004510131037491365,0.9982788467687856
NUP42,0.4022602974539724,5.362644767125615,8.852745466770145,0.004652607281011119,0.9982788467687856
C21orf91,-0.4155540238668198,5.84479894160744,8.198248418818753,0.0062885799526707226,0.9982788467687856
BCL3,0.4613550359737926,5.564199710905946,8.138554438876742,0.006483387086173284,0.9982788467687856
ZNF493,-0.3415811370890631,5.648578621149187,7.984587100477979,0.006944763521737962,0.9982788467687856
SNHG7,-0.4605499450574022,7.639837101729465,7.586060999192167,0.00842103219792063,0.9982788467687856
APOD,-1.1434599285377192,4.507663563206419,7.45533497326147,0.008703890055923409,0.9982788467687856
PDCD4,-0.3382895608085754,9.34006474122259,7.324767931760721,0.00953290853702762,0.9982788467687856
RAP1GDS1,-0.3609111011440607,5.80705392966408,6.864650338054444,0.011865995736933864,0.9982788467687856
STK26,-0.45619549539894094,5.596603424473615,6.67910939439188,0.012963857130699263,0.9982788467687856
ZNF675,-0.4973136843226567,5.434456647482022,6.648957870214229,0.013135937922849247,0.9982788467687856
PPP1R15A,-0.2624411882368349,8.734525489395478,6.534210778645857,0.013977444179908424,0.9982788467687856
RUNX2,0.4637064032506589,5.012517420726348,6.461053615639439,0.014433522784767146,0.9982788467687856
PRF1,0.4600750811861041,8.216252131031888,6.447924035588415,0.014582700939684163,0.9982788467687856
ACER3,0.4814657434127155,4.50766091669414,6.382837760700362,0.014916066501000984,0.9982788467687856
LINC00861,0.4012161470637841,6.241538512044406,6.370007263486424,0.015155747685367633,0.9982788467687856
RAB30-DT,-0.36325864142393854,5.780288367553843,6.332903430714763,0.015394186372931166,0.9982788467687856
ATP2B1-AS1,-0.42972565029094123,5.291076283722252,6.297155069363176,0.01560838528916733,0.9982788467687856
STMN1,-0.5216421154173705,6.5106426832750355,6.219847764593027,0.01631309188013165,0.9982788467687856
SOCS3,0.5569095376046518,6.528261125571264,6.105188188809998,0.017282678691147423,0.9982788467687856
NRIP1,-0.6180923975358189,5.46042814885407,5.939315076853799,0.018662200473650303,0.9982788467687856
DENND4B,0.36592877132459106,4.987166051007614,5.883665049116651,0.01922151484063828,0.9982788467687856
GPM6B,-0.5416932531972487,5.216974800702482,5.85700453100689,0.01942071599727402,0.9982788467687856
CDKN2D,-0.4290196681448911,6.249434771932441,5.825684965466736,0.019850098057777266,0.9982788467687856
RGS16,-0.5422507850121091,5.800395330876501,5.815190085537892,0.019917135767295195,0.9982788467687856
NELL2,-0.3781535314517573,5.82385092401043,5.720664497391588,0.020899666525628014,0.9982788467687856
AC022126.1,-0.6339904775706411,6.533146942737419,5.589929541919643,0.022360797077061647,0.9982788467687856
SPINK2,-0.7165733342797603,5.13647396990342,5.494984834351933,0.023280002969235995,0.9982788467687856
KCTD5,-0.382358794684052,4.643031950457542,5.488493696836455,0.02330829038803005,0.9982788467687856
PITHD1,-0.376078117001202,6.9618457039179695,5.482179236303056,0.023638378141832075,0.9982788467687856
ZNF426,-0.3955296212480395,4.9912644800588035,5.4456284226896905,0.023900174676323275,0.9982788467687856
FBXO34,-0.3818684040262976,6.582909461059233,5.450462800180393,0.02401683221198624,0.9982788467687856
FEM1A,0.40545581833660355,4.854280666035876,5.411672663503874,0.024397229590373236,0.9982788467687856
CHM,-0.3730736036652005,5.659996543305421,5.392123301565836,0.024684352299731416,0.9982788467687856
AC092445.1,0.6319266533759134,4.6527625645851645,5.355871465453386,0.025083331172543914,0.9982788467687856
DDX55,-0.36643028004641515,5.041811334800704,5.273906604640797,0.02612303480830412,0.9982788467687856
TLE3,-0.328120773575751,6.44332800674599,5.2560334316469515,0.026524785938128223,0.9982788467687856
DNAJB4,-0.47820732944256195,5.377878751164108,5.224531250509031,0.026848312196965245,0.9982788467687856
CHORDC1,-0.4174433006171333,7.677903831744744,5.232263117547896,0.02686199062285021,0.9982788467687856
STX11,0.3997196111212054,4.99608890478266,5.20781372416907,0.027113615038155504,0.9982788467687856
LINC00944,-0.48798253820954934,5.111507955339132,5.195818441841498,0.02719223174071634,0.9982788467687856
DYRK1A,-0.4164617212855436,6.413090109003714,5.144988209972885,0.028080155595997743,0.9982788467687856
LINC02694,0.6510055703117249,5.558329699623351,5.094327039607942,0.028821339157528113,0.9982788467687856
DNAJA1,-0.45152294639206836,10.093231140823592,5.079378006499836,0.029058262787077453,0.9982788467687856
ACOT9,0.3581169782357124,5.074884514391278,5.06361789535029,0.029223555570600673,0.9982788467687856
GZMH,0.4444789043263752,8.512944677511069,4.999634577552803,0.03028497727943672,0.9982788467687856
HIVEP3,0.39578951970277987,4.978902361833518,4.915772445308102,0.03154520944049959,0.9982788467687856
AKAP8L,-0.3561736595282398,6.26814429300538,4.896226826189444,0.031941282011188066,0.9982788467687856
DNAJB14,-0.22380910250143696,7.5222575480224085,4.861056728213826,0.03255524605506369,0.9982788467687856
ZNF107,-0.4477800934422295,5.318968563622998,4.8455886859692985,0.03268025481710899,0.9982788467687856
LINC00649,0.46112952704200355,5.88862587903011,4.8411987646586505,0.032886164285441964,0.9982788467687856
PIM3,0.3317401337822652,6.571645193661556,4.823340133128834,0.03320541846045517,0.9982788467687856
CFAP97,-0.2290337814616236,7.115830608096734,4.743074521852366,0.034628372389112684,0.9982788467687856
NIPSNAP1,-0.3800796301486977,4.7456399836722225,4.720852459742968,0.0347671747953716,0.9982788467687856
CACYBP,-0.33583027996044607,7.565398742399159,4.698345073643468,0.035450634697610256,0.9982788467687856
TOR3A,0.31382274133192745,4.85126742650082,4.566953277815318,0.037854435879187964,0.9982788467687856
UBE2D1,-0.32361381287463536,5.782218560771729,4.5647521642993905,0.03797860270601565,0.9982788467687856
NR3C1,-0.2908351778733274,8.476549076406785,4.55829306537425,0.03816274441883293,0.9982788467687856
CD101,-0.6299185678639635,4.7835095538134835,4.486810862442362,0.03932403058137535,0.9982788467687856
P2RY8,0.5282080060619029,5.281653649349643,4.4946964608100695,0.03942177934097715,0.9982788467687856
OXSR1,-0.3319653632160195,5.744363968234424,4.478681828281833,0.03974796249453035,0.9982788467687856
RPS17,0.5743646268408218,10.879944621202695,4.480737861463639,0.03976065189492317,0.9982788467687856
YDJC,-0.32767581895359593,5.421501453015481,4.467133853143054,0.0399411783063849,0.9982788467687856
TOR1B,0.3384364605435771,4.349350750443836,4.448151936407818,0.04017030407359343,0.9982788467687856
TMA16,-0.35237337954261094,5.460447714160497,4.4344193165205645,0.04065129020956434,0.9982788467687856
CLN3,0.28633947452620173,6.1593296742916195,4.430186496691576,0.04084512078542183,0.9982788467687856
NCR3,0.6263896193151408,5.46563550133553,4.389147336169296,0.041717887557983974,0.9982788467687856
ADA,0.44068522959635736,5.393724694590164,4.361517464451954,0.042329349531820874,0.9982788467687856
HSPA8,-0.2479615109281713,10.074780406246386,4.360861768792873,0.042380606434655646,0.9982788467687856
KLHDC4,0.2938099892042002,5.697322735735803,4.325321648072527,0.04317357384440187,0.9982788467687856
C12orf29,-0.3345614803243182,5.4294123938001375,4.319923377742233,0.04320998979937598,0.9982788467687856
TOR1AIP1,-0.23844030328640764,6.146817136242665,4.31399218500492,0.04343950715298568,0.9982788467687856
PPP1R10,-0.33987352573259955,7.845754406614661,4.313478558542364,0.04347375065019186,0.9982788467687856
HCFC2,-0.3467630804316819,5.100933707674562,4.281127501183408,0.04404818425762406,0.9982788467687856
PIGX,0.3726594708221896,5.3763485306958225,4.279116722082141,0.044233119136289606,0.9982788467687856
CD200R1,-0.38554820842580306,5.035897291854326,4.268016893783756,0.04432721565923585,0.9982788467687856
CTSH,0.45167165914590707,5.54449593365019,4.2558641226653044,0.04480983343219976,0.9982788467687856
FRMD4B,0.5219916036249832,6.398853212437162,4.250165461279701,0.0449760697971155,0.9982788467687856
MAN2C1,0.4056030303728325,4.755197278773617,4.240237407136545,0.0450530971393022,0.9982788467687856
AL133330.1,-0.5132718466510926,5.1905016598959275,4.205641427431622,0.04585733482216465,0.9982788467687856
CCR6,0.5715432565560914,5.9047733250269125,4.207662385996497,0.0460039151831641,0.9982788467687856
FAM228B,-0.32474090877353967,4.810305783124219,4.194255294991277,0.04608073877191144,0.9982788467687856
TMED9,0.3158700580827931,7.1045135577144745,4.186751754962245,0.04653566304678539,0.9982788467687856
