,logFC,logCPM,F,PValue,FDR
GBP2,-0.5423172648419912,7.783871692874178,8.401297862809368,0.00585074477880191,0.9978497548531522
CCL3L1,-1.707010272088074,10.051350142833268,8.191208662847034,0.006527208412269338,0.9978497548531522
DHX36,0.4098423584781367,7.677790577443589,7.204797470469427,0.010252688002675125,0.9978497548531522
CAPG,-0.48388119747703384,8.217954151700381,6.650756339550767,0.01345806228053082,0.9978497548531522
CCL3,-1.2404887232974038,10.760315684573126,6.332674552517547,0.01573613017166644,0.9978497548531522
HBB,2.1113532843949585,10.796499701650605,5.499999532462454,0.023787308754465778,0.9978497548531522
HSPA1A,-1.2141974330436138,9.466569350011618,5.2276126918287735,0.027319627842050304,0.9978497548531522
UBE2D1,-0.43385503690959093,7.8905254867461085,4.9004058439651885,0.03221456443124521,0.9978497548531522
CCL4L2,-1.3980302601130437,10.068213687684075,4.724808122650956,0.03539337740562453,0.9978497548531522
THBD,0.5139045429393947,8.426633561888346,4.5094603486233735,0.03957494248602768,0.9978497548531522
PNN,0.5001090546924144,7.205970216733701,4.469494180962151,0.04013018110143025,0.9978497548531522
BCL2A1,-0.5504710760636335,11.161946736133315,4.427305889418935,0.04135492331346285,0.9978497548531522
EIF4A3,-0.7598182699908577,8.767227291682262,4.388379290659137,0.04222446730381658,0.9978497548531522
DNAJB1,-0.7694366163939865,8.01233356757666,4.367883660379282,0.042594597123272376,0.9978497548531522
OS9,0.3892917173097115,7.297999016026362,4.332426186210202,0.04319736511682321,0.9978497548531522
CD53,0.2846201844282203,8.220542839957917,3.9494453953281408,0.05334548759123425,0.9978497548531522
HMGN2,-0.3288286115139433,8.720438738688012,3.8272919913047434,0.057057801331255105,0.9978497548531522
EIF4E,-0.4538227739826781,7.6521739961753275,3.802861868222714,0.057638683495329426,0.9978497548531522
LYZ,0.3185313696209219,14.087326019684518,3.806324488218603,0.057703191994308047,0.9978497548531522
ASAP1,0.4147863672766369,7.133208482697031,3.6401822925844347,0.06281071811868814,0.9978497548531522
CCL4,-0.9360829369711423,10.740188760983573,3.5379733088190197,0.06688164373285453,0.9978497548531522
IFITM3,-0.551660300921456,8.510616942999693,3.528081081832947,0.06722364186597796,0.9978497548531522
GPR183,-0.4378189137840251,9.145229537830474,3.520728909904004,0.06753814495889433,0.9978497548531522
SRP72,0.3525783082810272,7.296872232058259,3.4549302811049336,0.06971642754042412,0.9978497548531522
DMXL2,-0.34650581485098914,8.397007453766438,3.422495018444352,0.07129213711214401,0.9978497548531522
FGL2,-0.29751388231714593,10.202213835984864,3.3811246132110573,0.07298705178558834,0.9978497548531522
IL17RA,0.45025860790024635,7.191013234194822,3.3601743546578167,0.07344738882667462,0.9978497548531522
SNW1,-0.351437985904326,6.968172229677027,3.291756121996408,0.07618410821810395,0.9978497548531522
SELENOK,-0.3957845467402379,10.868826028688762,3.2855001840344316,0.07700098498522928,0.9978497548531522
PSMA3-AS1,0.34338995476337153,7.340685540665967,3.2434745109538246,0.07854130638285406,0.9978497548531522
BID,-0.2772269187475031,8.453166875110053,3.175297726011644,0.08192438096014923,0.9978497548531522
BACH1,-0.36937428392548166,8.316655233382711,3.1529528373863496,0.08296220789155836,0.9978497548531522
UBE2J1,-0.44324822759240784,7.333016795577999,3.1118067221937227,0.08460402806724737,0.9978497548531522
LMNA,-0.47587166178005114,7.523341038559688,3.0751426901015875,0.08644975869920841,0.9978497548531522
SLA,0.43029115339990165,8.079934524405996,3.0598440415005044,0.08742334076948931,0.9978497548531522
MDM4,0.5085255634611012,7.0928295998828474,2.9459294628756854,0.09296566181710067,0.9978497548531522
CDC42SE2,0.347423118119539,7.06043450374719,2.916144772767132,0.09453047721278716,0.9978497548531522
CKLF,0.27258709882223214,8.36678124549155,2.9160710322491172,0.09500648559114194,0.9978497548531522
ISG20,-0.42066114825553574,7.726407425053678,2.9037636957592596,0.0955174850338255,0.9978497548531522
RGS2,0.41993096184545675,9.887439607221442,2.8891765183120213,0.0965360958428421,0.9978497548531522
CD74,-0.23921955455126956,11.947880103814331,2.825603664759709,0.1001432979676565,0.9978497548531522
RBPJ,-0.30764533467138877,8.004727059440814,2.803365121091458,0.10136728050701065,0.9978497548531522
MAPK1IP1L,0.28108077943271703,7.104641317157186,2.7476993789783806,0.10435492392263293,0.9978497548531522
RHOG,-0.25485787926148673,7.8123496196450155,2.7369673688999767,0.10532042906860689,0.9978497548531522
HNRNPD,-0.26296287840266663,7.970476576050061,2.737017240138343,0.10536515022806295,0.9978497548531522
RPS26,0.44510564807297986,10.716388258145457,2.730270108795354,0.10587595666987182,0.9978497548531522
HSPA5,-0.4455012160790616,8.821821159357587,2.6932483570976955,0.10820838379726774,0.9978497548531522
EPB41L3,-0.40654224407999906,7.030409358387085,2.641112079311392,0.11098616051725459,0.9978497548531522
MALAT1,0.22787403305128745,15.752697388950143,2.602850200301302,0.11410760471907619,0.9978497548531522
HLA-DQA1,-0.4695529956856167,8.144258651137855,2.570894492513124,0.1161768330453767,0.9978497548531522
IRF1,0.38639144305765794,8.058620924500316,2.4352188173156075,0.126005097038171,0.9978497548531522
ATP2B1,-0.2937652664662099,10.409494063988182,2.41310867284323,0.12778430600238092,0.9978497548531522
NAIP,0.33340638858993316,7.443161038158715,2.3653900611701837,0.1312287831023762,0.9978497548531522
YPEL3,0.38645520549017437,7.041708428347166,2.3413537788900145,0.1329356495832143,0.9978497548531522
MYO9B,0.3231347559631814,7.665055023389373,2.327475406670922,0.13435845977836355,0.9978497548531522
AP1S2,-0.23431284299781668,10.125371953956773,2.2935624927512244,0.13736257179614977,0.9978497548531522
COPA,0.286763971730482,7.751344356714612,2.2361305642443416,0.14209214699261785,0.9978497548531522
RAC2,0.24098230042688237,7.723704064032157,2.211697173855489,0.14422367803201708,0.9978497548531522
EHD4,0.33934875261017267,7.453183326739116,2.210344145974975,0.14424197314550266,0.9978497548531522
PLIN2,-0.28124389984781845,8.215555632408922,2.2032603833960476,0.14509620078717858,0.9978497548531522
RYBP,-0.2523374857545817,7.838407337491188,2.17734079369826,0.14733559957242798,0.9978497548531522
RBBP6,0.32541355563078506,7.346565171483677,2.153148559152836,0.1493619127166801,0.9978497548531522
KHDRBS1,-0.2441797859898783,7.879391491013032,2.1400598684771333,0.15077275059938905,0.9978497548531522
CXCL3,-0.5862503059687748,10.976458203861377,2.1090352355000634,0.15381533207218132,0.9978497548531522
HCLS1,0.2199745461204184,8.394844269132465,2.091232289162265,0.15549375525557543,0.9978497548531522
TNFRSF1A,0.3102208157015578,7.185266051833964,2.072003639694986,0.15699696206283076,0.9978497548531522
PRMT9,0.31201266040662295,7.397434644530319,2.055438079035631,0.1587157264615667,0.9978497548531522
ANKRD11,0.32630613376714285,8.205012744268055,2.036590997596797,0.1608434848769915,0.9978497548531522
CYTIP,0.2803336299161901,7.786438726431422,2.0324022439092864,0.16116914407604735,0.9978497548531522
VNN2,0.37902752978506826,7.09504057340028,1.9804237667601772,0.16621699520891345,0.9978497548531522
LINC01578,-0.27910850089268713,7.536764820765358,1.978705381620232,0.16660680522756224,0.9978497548531522
GNA13,-0.29335881587835944,7.916567676505088,1.977712711658198,0.16683843055569783,0.9978497548531522
SMCO4,-0.32094174804084413,7.301253124307097,1.9594281219953675,0.16848010546444708,0.9978497548531522
RAB7A,-0.18845600892031353,7.771664798084453,1.9567206322043615,0.16901249390701137,0.9978497548531522
C17orf49,-0.2957704668776712,7.159680974664905,1.9515176842887332,0.16928225161264057,0.9978497548531522
IER2,0.26168099577782633,9.256325054730086,1.944011362761653,0.17053073459085485,0.9978497548531522
SYNCRIP,0.2558166645070262,7.337176464921748,1.9279137281831857,0.1719503855522961,0.9978497548531522
DICER1,-0.30641869224742363,7.345692595001558,1.9238828813267899,0.17237636778724447,0.9978497548531522
H2AFV,0.21609217143739487,7.73686197819902,1.913705359488481,0.17364939756690304,0.9978497548531522
EIF5A,-0.33861066755923647,7.3894952199445525,1.8766834994153991,0.17764974051700724,0.9978497548531522
PTBP3,-0.2997517288950762,7.736758773973312,1.8770678018529456,0.17775103871970482,0.9978497548531522
AC004687.1,0.3464321255849662,7.679254804914648,1.873168513675954,0.17816282351687732,0.9978497548531522
RBM23,0.2775176530431358,7.110265998241969,1.8485287204406209,0.1807282484934157,0.9978497548531522
IL1RN,-0.4238718136279438,9.339373694622926,1.8497458940432665,0.18104102244750572,0.9978497548531522
ZFAS1,0.20239964519146786,9.418005168948717,1.8476165758155862,0.18128345600234913,0.9978497548531522
PNISR,0.23412702775282224,8.161002231233164,1.8353973771831904,0.1826323386848019,0.9978497548531522
CD36,-0.20125396928984454,8.491866674594291,1.8340110363046676,0.1828403589922025,0.9978497548531522
DNAJA1,-0.32669011122751623,10.053006883872522,1.828499878766325,0.18350528093437962,0.9978497548531522
ISCU,0.36500006314329786,6.895916753345839,1.8217255694757961,0.18371093252774298,0.9978497548531522
C19orf53,0.2265987914921572,7.794014220365976,1.8243575755570745,0.1838458766698358,0.9978497548531522
UPP1,-0.26954675028151326,8.436203635369779,1.8132668034081423,0.1852793156948225,0.9978497548531522
HLA-C,0.25267236751800853,11.066362749649386,1.8109041138346147,0.1855725766541933,0.9978497548531522
CHD2,0.25608964419153396,8.161568822663392,1.7884856067709285,0.18820176315992726,0.9978497548531522
ATRX,0.20107126820594337,8.090179804906146,1.774971602650866,0.18983795922109184,0.9978497548531522
BCLAF1,0.22618087705921908,7.804640364083126,1.772885754782496,0.1900299066066119,0.9978497548531522
PAPOLA,-0.24043295534025239,8.300040833127772,1.7497472635358235,0.1929903479100678,0.9978497548531522
ABCF1,0.2873060338326039,7.20909979650042,1.7100228976638656,0.19768763971403489,0.9978497548531522
KDM5A,0.3548501956346165,7.270508643694068,1.6906800211044808,0.20022474952659444,0.9978497548531522
CMTM6,-0.19999372702349985,8.910791020041362,1.6599636064561225,0.2046284971582214,0.9978497548531522
FPR1,0.2147515173194537,8.740945989087002,1.6437871122619263,0.2067926662100697,0.9978497548531522
