,logFC,logCPM,F,PValue,FDR
CD1C,0.9864250734002944,8.033523778341962,14.092368285937402,0.00048478897633361947,0.4742328602343055
AC025164.1,-0.8077586682520003,6.227473500372882,13.8604661281663,0.0005135169033398002,0.4742328602343055
ABHD5,0.7952363356964386,6.452659743174229,12.357304122611538,0.0009730336775321399,0.5971843315551192
CDC73,-0.5151478410666632,6.358576810614692,11.002889036351037,0.0017436502714774436,0.5971843315551192
IFI27,1.084873838261571,6.649318697059502,10.532135974795812,0.002150707303476977,0.5971843315551192
MS4A7,-0.5346518747155704,10.01913494197257,9.912247761269159,0.002888840873025623,0.5971843315551192
CREG1,0.7009078246359484,7.1812919386453355,9.74410483756848,0.0030755600085238142,0.5971843315551192
LGMN,0.5907947796883738,7.956323999734769,9.75649761089027,0.0030836446746020187,0.5971843315551192
NDUFS5,0.42806451375321714,8.318119321256475,9.744684386817756,0.003106832556409465,0.5971843315551192
GPBP1,-0.4301126149942272,8.342037233014906,9.474046857407423,0.0035142070786972303,0.5971843315551192
APOC1,1.3718671666490863,9.017149509153327,9.446443522660516,0.003556593203630921,0.5971843315551192
FBP1,0.9474144837980606,7.544861098575415,8.850567959412391,0.0046190319395858406,0.6586920294700247
LIPA,0.7812274200258181,7.728686788732183,8.851742811970833,0.004636164798652042,0.6586920294700247
LINC01678,-0.6468040121431067,6.156123192634268,8.16432715779992,0.006292048494297863,0.7647762745758394
LYZ,0.6713351624440969,12.679428430172676,8.120934983016774,0.0065367490916923504,0.7647762745758394
CD1E,0.81134580887763,8.425169301500352,8.015024167464006,0.006857819167631789,0.7647762745758394
CX3CR1,-0.7947866969219833,6.817619042005753,7.947459271472123,0.007039088612771668,0.7647762745758394
FAM102B,-0.7195330262732142,6.296606456714741,7.65032098623494,0.008039240383462348,0.8249153882363865
C1orf54,0.5506711223770426,6.9323412678540475,7.447179520680863,0.008899119931191458,0.8650881322584538
CLEC2B,-0.44970499170546085,7.956150852171717,7.22511741577346,0.009983546769618205,0.9185415846202103
GLIPR2,0.5232961807352444,6.957653007231302,6.938497283826018,0.011377760382559433,0.9185415846202103
DDIT3,-0.5506245623249174,6.525768223832481,6.932052858531558,0.01139985335047381,0.9185415846202103
IRF2,0.5628278322627022,6.2333652179653845,6.810260823848284,0.012018652377469014,0.9185415846202103
CD52,0.6374416880303148,8.12758554137326,6.757376803881937,0.0125030828450763,0.9185415846202103
STX12,-0.50693563612807,6.377222076818838,6.63370807164277,0.013172589545167259,0.9185415846202103
TOMM5,0.4513456159183044,6.768809912296647,6.622160309020168,0.013263295667231492,0.9185415846202103
RNASEH2C,-0.4508885236937356,6.678764004830307,6.600871513343417,0.01342751639672208,0.9185415846202103
RCSD1,-0.4845912444793186,6.482342497223388,6.260738400889081,0.015842746802943206,0.9921436070237035
LAMP1,0.6307934205900343,7.270539937623395,6.253162638837419,0.01595495667270749,0.9921436070237035
BCL2A1,-0.6130782175720099,9.695676240286124,6.2073236030549115,0.016412186828175232,0.9921436070237035
CCL3L1,-1.0872186658139897,9.791647557299486,6.178017622086004,0.016652112516369687,0.9921436070237035
GPR34,-0.6382157513279442,6.380396499224675,6.037842582678692,0.017698669539982257,0.9986160951312819
RPS27L,0.3264402909781678,7.701258573157693,5.905440136704459,0.019032625780881867,0.9986160951312819
ADAM17,0.5070831595511811,6.611657240455016,5.8667305771487595,0.019298828320540064,0.9986160951312819
APOC2,1.0866482575469418,7.206830048661886,5.779604396034259,0.020177687368785047,0.9986160951312819
AL136987.1,-0.6488431450171682,6.567407586427114,5.726632916825166,0.0207354867583108,0.9986160951312819
MYL6,0.29793220089156686,10.646809428695178,5.699680313569778,0.0211546758065473,0.9986160951312819
TM6SF1,-0.5622276377978997,6.199452903183717,5.619722710341509,0.02180956478231383,0.9986160951312819
KMT2E,0.31069451753596283,8.032708104269119,5.414672532414304,0.02442197945533745,0.9986160951312819
CYTOR,0.4728820628963035,7.700043064246037,5.350999441151767,0.02520654317620683,0.9986160951312819
MEF2A,-0.41140401643184854,8.103628575311335,5.258315305067348,0.02647749560881471,0.9986160951312819
SNRNP70,-0.3655601718110445,6.848441871291379,5.243883146737867,0.026582819523502308,0.9986160951312819
NCF2,0.33709607565277927,7.360653023266697,5.238176158586468,0.026685015226095322,0.9986160951312819
JTB,0.3916081858443521,7.739909878129871,5.21588414384998,0.027024011540949362,0.9986160951312819
ITPRID2,-0.5187273729302152,6.152486314994643,5.140972239234255,0.027896218433471405,0.9986160951312819
ZNF267,-0.3868559719841641,7.7186318846788815,5.085445904452069,0.028932687826697077,0.9986160951312819
WTAP,0.4038477615972138,7.542442675712589,5.032526369684517,0.02969410475599509,0.9986160951312819
LRPPRC,-0.4520173358173619,5.983697997837477,5.00156869295012,0.029957736449346566,0.9986160951312819
SDSL,-0.5033491516387038,6.595276736263434,4.9886162248489585,0.030300413547248415,0.9986160951312819
NEDD8,0.2725411689896454,8.232775206499173,4.963560047241468,0.030824193355924328,0.9986160951312819
RALGAPA1,-0.5641900470888733,6.977229242837158,4.934953916193188,0.03122433496736618,0.9986160951312819
SNAP29,0.4181790806593633,6.45825745022328,4.913498881661766,0.031441828530840675,0.9986160951312819
RALB,0.4282802975014833,6.3347440263146595,4.8560831492568335,0.03238528139450846,0.9986160951312819
TOP2B,-0.425556010938384,6.479870042795835,4.718754946453907,0.034872911960817495,0.9986160951312819
SKIL,-0.4429367520123721,9.18955507280897,4.724489171940692,0.03494954951630336,0.9986160951312819
LSM2,-0.4251283834793635,6.309196856681622,4.650551634827473,0.036112414316224514,0.9986160951312819
TBXAS1,-0.32553946995086525,7.449319714230125,4.636110352758443,0.036565492267097606,0.9986160951312819
FRMD4A,-0.5002173072571408,6.579890502621542,4.584898588143501,0.0374525166294556,0.9986160951312819
BIRC2,-0.3802516006667364,6.631155398965632,4.550925133732143,0.03814247272039057,0.9986160951312819
LSM6,0.5114579753941623,6.605568122922763,4.542554218522412,0.038214403361511426,0.9986160951312819
MEF2C,-0.35224461785028377,8.628008180694852,4.536486669312435,0.03858779944246106,0.9986160951312819
NFKBIE,-0.40728551608502783,7.214154554421851,4.5125455264631675,0.039016976063065055,0.9986160951312819
DENND4A,-0.4331443543046311,6.957960850535538,4.493241550967915,0.03938707970258499,0.9986160951312819
BCL2,-0.4535928285570756,6.413788865268343,4.479482189307752,0.039552665705061676,0.9986160951312819
ATP5F1E,0.30072977065365475,10.852463999685613,4.456132487579278,0.04026825176148604,0.9986160951312819
SURF4,0.45928557778620926,6.357764795456253,4.43343469462388,0.04049185110560495,0.9986160951312819
NAF1,0.4548079004002512,6.759558994641983,4.409943171180999,0.04108643184395453,0.9986160951312819
AC020656.1,1.3109430261412633,9.193502042362962,4.361232721005246,0.042346856753694886,0.9986160951312819
PLIN2,0.5789327434671268,7.655948927789226,4.3442101783595595,0.04267043791900249,0.9986160951312819
FGD2,0.4097665442420457,6.757360687971964,4.263295093158958,0.04445897710109763,0.9986160951312819
TMEM167A,0.33566969073424974,6.9273442633284255,4.136566414742351,0.047631287002236435,0.9986160951312819
SPG21,0.41980809028308996,6.801787500278389,4.089893144266792,0.04882566139726869,0.9986160951312819
TUT4,-0.40333841922687447,6.4877432948977765,4.066773040928386,0.04942699069135082,0.9986160951312819
CTDNEP1,0.36107957255726375,6.491272006217785,3.9982314013673896,0.05125661615863846,0.9986160951312819
CD86,0.32536985614428676,8.662052211130558,4.002423821854554,0.05137689299528947,0.9986160951312819
EIF5A,-0.3878793421040963,7.906315132382604,3.996884057469062,0.051524138731209035,0.9986160951312819
TRPS1,-0.45903354321318923,6.777544738259892,3.9644843949998756,0.05232237448021081,0.9986160951312819
OGFRL1,-0.392854135611415,8.327428486543704,3.956210618867017,0.05269021476640307,0.9986160951312819
PPP1R14A,0.7126540674976233,6.339401089859313,3.912819374766995,0.053624976668207695,0.9986160951312819
OTUD1,-0.43283131477139636,7.71272060777907,3.9086997746320695,0.05405106483073784,0.9986160951312819
MED13L,-0.37462341661822113,7.288968633456215,3.901341544664482,0.05423339159611879,0.9986160951312819
MGAT4A,-0.36842972660921663,7.464997496901411,3.8792421846485268,0.054903737771083316,0.9986160951312819
PLEKHA3,0.4362970675271592,6.117808320908083,3.829513887297621,0.05609224335231244,0.9986160951312819
CD302,-0.36980406552947476,8.012111688138225,3.8253342765412537,0.05658470933778037,0.9986160951312819
TCHH,-0.7219463182603917,6.419799843057382,3.7825892892494797,0.057706068519863374,0.9986160951312819
A2M,-0.3926257889983451,8.377106501595739,3.778125654381579,0.05808652319644263,0.9986160951312819
KPNB1,0.32035155909125274,7.761855378380401,3.743687392841018,0.05914566327708819,0.9986160951312819
CLEC10A,0.38252382625562253,8.782931970951042,3.74287681787135,0.05922287891967072,0.9986160951312819
ASH1L,-0.3147947227108601,7.521988951244171,3.7409130074201884,0.05924555439411429,0.9986160951312819
SUSD6,0.30127168029583706,6.9619657574689064,3.724796001441258,0.05966365357209007,0.9986160951312819
TAF15,-0.3468962820655038,6.617016831800738,3.6832184246385324,0.06103248080930986,0.9986160951312819
CCR7,-0.558054634974523,7.332979129367053,3.6794057614546265,0.06128359859254643,0.9986160951312819
TNFRSF1B,-0.37202504272568343,8.725347557822872,3.6101069445538485,0.0637400141278111,0.9986160951312819
DNAJB11,-0.3110470079397063,6.9870378569171985,3.591281684434627,0.06429695848341618,0.9986160951312819
ITM2B,-0.2605762401330253,11.062516502338347,3.579981043763867,0.06481335735905037,0.9986160951312819
AIDA,-0.4067979105550573,6.473989456552988,3.512100978069726,0.06709571192646663,0.9986160951312819
ZNF644,-0.3545229812347966,6.836555607774664,3.507145056380586,0.06736240063352046,0.9986160951312819
LBR,-0.3345194205581781,6.281922024736623,3.49670580611823,0.0675863288418221,0.9986160951312819
HPS3,-0.45541382350843745,6.452656604969387,3.4757033396311345,0.06846102126626387,0.9986160951312819
CAB39,-0.40692430358194737,6.203748241289634,3.460593194714862,0.06895825715774154,0.9986160951312819
EIF4B,-0.2770905835424873,8.149693621956569,3.4650397295539683,0.06909492721934561,0.9986160951312819
RNF181,0.28247113916156963,7.072938221956372,3.4361267992986186,0.07009219459409725,0.9986160951312819
IL13RA1,-0.2803877614928166,7.678845835312075,3.4177990130953644,0.07092473970950636,0.9986160951312819
CTSH,0.298382080964513,9.364479818300017,3.3961610456135953,0.07183150589392326,0.9986160951312819
ANXA6,0.395635026263272,6.179079002232667,3.349229740882794,0.07340856960757615,0.9986160951312819
TSPYL2,-0.44148586778815385,7.065681061330107,3.3355316490490945,0.07422283247746674,0.9986160951312819
OLR1,-0.36067705164639663,9.272421712724322,3.335165339004561,0.07434532326628006,0.9986160951312819
CHML,-0.5288801103252683,6.973070194665783,3.3318462595382123,0.07437266243540046,0.9986160951312819
CEP170,-0.3650615636570118,7.472668272139399,3.3298214795269305,0.0745161293975153,0.9986160951312819
LNPEP,-0.3374662622942949,6.614038322488112,3.324972384953909,0.07457806740205701,0.9986160951312819
GNA13,-0.2758502279227427,8.359155118261564,3.290908005466355,0.07621675676669566,0.9986160951312819
RNH1,0.3140100263848449,8.084017535230792,3.2728215901927142,0.07697351276076767,0.9986160951312819
ABI3,0.43897431080713945,7.087875981711516,3.2553483433087513,0.07762051919988427,0.9986160951312819
PURB,-0.34762146418626283,7.615108931664023,3.2538554931179773,0.07780071947575419,0.9986160951312819
NOP10,0.33263989991381115,7.666719778095632,3.2259551025150675,0.07901490403793596,0.9986160951312819
CWC25,0.2824382467015157,6.404278727241068,3.215460348689824,0.07926237560250811,0.9986160951312819
ATM,-0.33306641692283495,7.214760979209608,3.2165151270243877,0.07942719004728575,0.9986160951312819
HIST1H4C,0.46178148176725475,7.63458336137175,3.2045272005175676,0.07996827185781033,0.9986160951312819
MAPKAPK2,-0.3882672100610239,6.365335782614787,3.1994022981228443,0.08003183419434626,0.9986160951312819
ASAP1,0.3382231866928481,7.003800905692782,3.197096854964349,0.08021972240716625,0.9986160951312819
CLN8,0.33738274109785055,7.5610290916637615,3.192650970945364,0.08051357069272445,0.9986160951312819
SEC13,0.34615991687092196,6.204267187443754,3.178954194363831,0.08091892391040506,0.9986160951312819
CYTH1,0.3549274122173629,6.9300044074687115,3.1792319345530347,0.08103903885506113,0.9986160951312819
MFSD12,0.39043276874816935,6.704620904795602,3.1491022553036268,0.08239062130528729,0.9986160951312819
PRKACB,-0.33424343807842716,6.192589836939648,3.142925005536684,0.0825992296861653,0.9986160951312819
DAD1,0.2868937248046539,7.555222849990747,3.145373944486788,0.08271844440427024,0.9986160951312819
HSPA5,-0.30082990772268414,9.022551146771045,3.14384690049986,0.08287057087197193,0.9986160951312819
FCHSD2,-0.36522573746766673,6.217875607235131,3.123027371671354,0.08357569723971653,0.9986160951312819
HNRNPH1,0.39148749558556806,8.361242542031667,3.114894474010346,0.08423222469958884,0.9986160951312819
MMP9,0.8224520880015717,7.444257971713998,3.0979845583683803,0.08491805810851592,0.9986160951312819
FCHO2,0.4833532513391356,6.2273881852629405,3.0925082389177585,0.08503512852067464,0.9986160951312819
MED28,-0.35749328733771724,6.6301736879038495,3.078980166209513,0.08581525470550946,0.9986160951312819
GNG5,0.22696913722311887,8.694674228565987,3.0270576348229565,0.0886025301574344,0.9986160951312819
RAB20,-0.33347499880969017,7.132035678822713,2.9979049680866203,0.09001433645912633,0.9986160951312819
FKBP1A,0.3395053625230814,8.540979132560187,2.994382496849725,0.09027917378196866,0.9986160951312819
KDM2A,0.360651146699468,6.57285276511285,2.9848142330817624,0.09054532313125266,0.9986160951312819
MAF,-0.5056168220135192,7.230971265322827,2.9594971905997567,0.09205296160852404,0.9986160951312819
PLA2G7,0.6227038536626143,6.884366272314826,2.93749407370383,0.09306023253319518,0.9986160951312819
CDC40,0.33657654293409545,6.327186158477899,2.931119924806181,0.09328624793995656,0.9986160951312819
PHLDA1,-0.43873203443333864,6.8954114959774495,2.894694824071499,0.09551279843246191,0.9986160951312819
ALOX5AP,-0.35202214385969494,8.467925574616537,2.8956402366244194,0.09559756551934694,0.9986160951312819
GNS,0.29382181625692816,6.884894244436189,2.8814683496407696,0.09621107444782576,0.9986160951312819
IDI1,-0.2979572491064551,7.534018973005418,2.878649076777981,0.09650294835592989,0.9986160951312819
ATP2B1,-0.21438036735345686,9.145112266621519,2.8664025835156406,0.09724705191097442,0.9986160951312819
PER1,0.3063911130940447,6.684214230642836,2.848913087026454,0.0980274711935277,0.9986160951312819
RPS17,0.3746613383518296,11.294128294697888,2.8410145752536233,0.0986905717268552,0.9986160951312819
LTB,0.5082805705339659,7.351664490943897,2.8302011312981383,0.09919261127588448,0.9986160951312819
POU2F2,-0.30241541096649843,7.243983048786584,2.8189909056430658,0.09988970093726189,0.9986160951312819
DNAJC1,0.36613603623099467,6.5238008308703614,2.8068445500050676,0.10041642288881826,0.9986160951312819
GSTO1,0.2989561343211823,8.34168967598691,2.789454221591727,0.10169327831310113,0.9986160951312819
USP16,0.2550738369827016,7.1937380388129775,2.764821751268011,0.1030638745500734,0.9986160951312819
CRK,0.28269005018670534,6.658563924262933,2.7579404424673792,0.10338388712798618,0.9986160951312819
TPT1,-0.27555264971944965,13.015847733083138,2.752978284448291,0.10390725097964139,0.9986160951312819
SWAP70,-0.23127224957955814,6.989033965700407,2.730753059219918,0.10515258982264344,0.9986160951312819
OST4,0.2760347811253298,8.811897039851809,2.7245800979832713,0.10565563549231526,0.9986160951312819
PAXX,-0.30934370524517485,6.74171102649154,2.7194471874725683,0.10581271956783385,0.9986160951312819
UBE2L3,0.2940938379335855,7.645154489677838,2.7147002279544172,0.10620747565426597,0.9986160951312819
THBD,0.4068443634329559,7.244437991284474,2.676026085965338,0.10859491706993368,0.9986160951312819
CCL4L2,-0.6531920352484084,9.954755509465272,2.6567703889577867,0.10997612756597272,0.9986160951312819
SND1,0.37925227208967904,6.040350049437106,2.6471550849241936,0.11013711004612549,0.9986160951312819
HIF1A,-0.2631976316791718,8.366441208237852,2.648039835448878,0.11053537904203319,0.9986160951312819
REV3L,-0.3596629884229176,8.069834287425257,2.642783438827921,0.11087611257878563,0.9986160951312819
