,logFC,logCPM,F,PValue,FDR
CHMP1B,1.8876149394673214,7.889452593169216,25.555688385709857,0.0002014371341810803,0.4121162778495047
THBS1,2.000175230451567,7.3006862001924135,22.56385382967296,0.0003522361349141066,0.4121162778495047
CREM,1.3456588972116492,7.785272810873768,18.75309851471502,0.000763231794138252,0.47761549652223845
RPL36A,1.4903867398268353,10.2411639317469,18.29222063584342,0.0008412661668604373,0.47761549652223845
APOC1,1.3180831656339393,13.479788326093047,17.430128128563737,0.0010205459327398258,0.47761549652223845
RPL38,1.4479601691982618,10.481919210452551,13.725011292069011,0.002517620035726911,0.7266602216759124
EREG,1.7497934113507634,8.284190958652422,13.322459328258851,0.0028040063721149,0.7266602216759124
SIGLEC1,-1.4377113118558391,5.619906359447077,11.711788062970573,0.004344128001744044,0.7266602216759124
TMA7,1.1635090500992629,9.10847520495753,11.333037548849452,0.004862530950639208,0.7266602216759124
RGS1,1.4674193496019492,7.0979996302050745,11.094698458628647,0.005234005704670737,0.7266602216759124
RPL39,1.2513652458524236,11.589652899895935,10.881965321626518,0.00554764704953987,0.7266602216759124
DDX3Y,4.520750174041156,5.495180402624576,10.199812632536133,0.005556152578235201,0.7266602216759124
RPLP2,1.1217641643760412,11.387420825110338,10.788638052825606,0.005703307800685753,0.7266602216759124
RPS27,1.295459549147336,11.976130001490146,10.724226656968426,0.005813685477824058,0.7266602216759124
RPL21,0.981776095403797,11.768281520102594,10.613059870359901,0.006010068377781226,0.7266602216759124
COMMD6,1.0968200136236153,8.646765163844323,10.485636397012062,0.006247304498965215,0.7266602216759124
SLC1A3,-1.3127434163512517,5.571209262736743,10.420468229127879,0.0063444427897425435,0.7266602216759124
HMGB2,1.477347525710562,6.116482376780415,10.374538108101069,0.006445055554671464,0.7266602216759124
PNPLA6,-1.2146287079215043,6.629359991967292,10.320017941015779,0.006596519530239643,0.7266602216759124
PDK4,1.172815070573973,6.459377118817651,10.272010353604026,0.006688496324761542,0.7266602216759124
RPS29,1.3972842854761722,11.19550106447009,10.188989843694596,0.006833298856716017,0.7266602216759124
RPS6KA1,-1.1147347938743357,6.4405833658086875,9.827212002557074,0.007680507283558286,0.7266602216759124
MX2,1.2962941047784118,5.998946076096482,9.673056625428664,0.007957729940089973,0.7266602216759124
ALPK3,1.367578039029201,5.242593659659091,9.474351354998268,0.008146901413303084,0.7266602216759124
APOBR,-1.2897596202428996,5.586597637523498,9.526206467014015,0.008393600064979499,0.7266602216759124
HIF1A,1.4688367136761826,6.6744762883932856,9.452710674582512,0.008615737475071807,0.7266602216759124
ACAA1,-1.096150640236312,7.2849001496698085,9.34198625708109,0.008919121299199348,0.7266602216759124
LHFPL2,-1.1290725716314858,6.037661199504137,9.287275431050503,0.009113266350948711,0.7266602216759124
RPS28,1.0545834382212445,11.437149836574784,9.238431001697633,0.009202135727200068,0.7266602216759124
CXCR4,1.5690120772258045,6.633074814117467,9.210693182164654,0.009316156688152723,0.7266602216759124
RPS25,0.9914281301002817,10.765590620969423,9.051662949065765,0.009773110559055404,0.7335732402053516
CCND3,-1.019305126955835,6.817004821982959,8.68375043740478,0.011058986416860761,0.7335732402053516
TWF2,-0.9186918174284263,6.963548437172059,8.666777836824396,0.011112769335759503,0.7335732402053516
DUSP1,0.9831286921212053,10.176779226197642,8.388167204292952,0.012162122587437579,0.7335732402053516
NR4A3,1.264665275611181,7.71179382021411,8.324976552842223,0.012442027690419868,0.7335732402053516
GSN,-1.320753970747533,8.104374781516599,8.157353953396326,0.0131549175594597,0.7335732402053516
GPD1,-1.3555991432895442,6.473864794887469,8.160241828332484,0.013189177643303856,0.7335732402053516
JPX,-1.1141967769283776,6.0932150356894565,8.151464488320741,0.013233655084325259,0.7335732402053516
