,logFC,logCPM,F,PValue,FDR
CD52,1.6881397466625292,10.051924923434726,44.9330320507677,4.5545437045957604e-08,4.3996892186395045e-05
CLNK,1.7986237814824135,8.103236392860891,35.25656753291066,5.150060342629919e-07,0.00024874791454902506
RGS16,1.8645443050893264,8.224645073571661,32.65041429425398,9.847890851545765e-07,0.0003171020854197736
HCST,1.213555283342144,8.69345842521976,30.275760211296017,2.2534447749233158e-06,0.0005442069131439808
RPS6KA5,-1.027868266735494,8.40366881845167,27.55632017957414,5.149796309524876e-06,0.000994940647000206
APOC2,1.7740032227606906,8.044042897243868,24.951587463997765,1.077444948581527e-05,0.0017346863672162583
PHLDA1,1.5055512734183316,8.068919633080679,22.979319929251044,2.0980173413259967e-05,0.0028952639310298755
CAVIN2,-0.7962689991354659,8.62337206980552,21.674039909752963,3.440402149082696e-05,0.0041542855950173554
CTSG,1.8688863442859844,8.878859175466935,20.81342300240931,4.542087877841495e-05,0.004875174322216538
MANF,1.2565071810565027,7.954958555781416,19.218089600738395,7.702105302987261e-05,0.007063960028217502
GPR183,1.447104719285844,7.811199006947004,19.057909816070747,8.043846823022001e-05,0.007063960028217502
RPL5,-0.4702228384886694,11.768337660475732,18.581052119010216,0.00010090050077588015,0.008122490312458352
KRT1,1.9928431194118825,8.02310418252575,17.632532066541945,0.00013620929549101223,0.010121398418793677
KIT,-0.6929173558381505,10.757477101219969,17.30091108448311,0.0001608198114211455,0.010452100598034786
RPS13,-0.517788253951192,11.833228793333033,17.27474104556899,0.0001622996987272482,0.010452100598034786
GPR35,1.0229087651770365,7.667588135294686,16.540524061527847,0.00020778416089114863,0.012320640342618004
RPL12,-0.4651888536087016,12.527874214539263,16.420022774146116,0.0002229825400343246,0.012320640342618004
FDX1,1.2772648715177617,7.78063794286515,16.179081940302975,0.00022957714924132927,0.012320640342618004
RPS8,-0.4366276222665786,12.552711878235716,15.216845713774712,0.00035208194575224916,0.017253325362576965
CDC42SE1,0.9176755608735411,7.193486575966831,14.991915699276204,0.00036178957330741283,0.017253325362576965
HSPA5,0.8698951301650705,9.844972836617677,15.026622665395267,0.0003796245329691341,0.017253325362576965
HAVCR2,0.9656629689767721,7.498353013313694,14.836941859846116,0.0003929328757522705,0.017253325362576965
CSF1,0.8884697193627492,8.872492716587388,14.568899593047082,0.00045220138283664016,0.018992458079138887
RPL9,-0.43099816685067743,12.049349781687551,14.359032942685946,0.000491130637204184,0.0191577680420114
LIF,1.1822144657381692,8.434628602912326,14.174191032038468,0.0005152576968773183,0.0191577680420114
IGFLR1,0.7833825770414856,7.946810523933734,14.215945146377596,0.0005156335083771184,0.0191577680420114
NACA,-0.46874105638156754,11.403826442922362,14.119118035491354,0.0005396973578869116,0.019309172137731728
RPL14,-0.3965272252106996,11.814030504055339,13.590877541111597,0.0006651898279086793,0.022317940680118997
NTM,-1.798110132511738,8.580092427772575,13.568734695642389,0.0006700002895687898,0.022317940680118997
TANK,-0.7797771393080748,7.398725478267468,13.021426006164656,0.0008230669347735279,0.026406968003763465
SDF2L1,0.8260706307284083,7.903403132408029,12.96037231356969,0.0008474285798309186,0.026406968003763465
PTPN7,0.6257931406130903,8.642681383047247,12.797936275015788,0.0009157114533870688,0.02713895195623941
CYTOR,0.8046332799694693,7.237756854555001,12.6206958604761,0.0009271070544056941,0.02713895195623941
RPS14,-0.3853367924165135,12.929145027672243,12.605715886922292,0.0009890770247935829,0.028101423704429442
RPL32,-0.3520688894825439,12.855910812999431,12.338138542695782,0.0011033539307055919,0.028891786399252477
EIF2S3,-0.601996421193591,8.239332865757556,12.338306034939313,0.0011043941126842034,0.028891786399252477
COTL1,0.6428143558201531,7.829168322241193,12.288149702555614,0.00110662121819083,0.028891786399252477
ADGRE2,0.6425956346271018,8.246043742190812,12.05010533679754,0.001231173354800929,0.03129772265099204
FCER1G,0.5974061223926279,10.86589572697728,11.989101159009541,0.0012742775482811133,0.03155369162617012
MAP3K8,0.8292771565172893,7.71460750151036,11.786731928666375,0.001357703657182074,0.03155369162617012
RGS13,-0.8964747653444558,9.851542040313783,11.811192867856002,0.0013730274170008923,0.03155369162617012
STMP1,0.5675797479715746,8.000839658074561,11.727476142863106,0.001405552591756519,0.03155369162617012
CCL4,1.3076138703672047,9.234728775071535,11.655811278512596,0.0014510918977729977,0.03155369162617012
HSPA1B,-1.3955896878031422,9.053195861979829,11.616822586464435,0.001486613494860791,0.03155369162617012
STX3,-0.751683752493882,8.373242558591887,11.596341505306363,0.00150122935247659,0.03155369162617012
RPL6,-0.3583945215932448,11.950576771144332,11.574352649244297,0.0015133900258850435,0.03155369162617012
TIMP1,0.6635699150725788,9.732311757415198,11.543535307675807,0.0015352210211490639,0.03155369162617012
TIMP3,-0.6556960037944111,8.669973363431719,11.306085559799032,0.0016952587832088889,0.03238799046412078
RPL19,-0.36634718466801564,12.373670731497723,11.290175713838389,0.0017046839698743243,0.03238799046412078
TOMM7,-0.5087402242501413,10.070976518220943,11.290822801945854,0.001705616877326429,0.03238799046412078
RPS3,-0.3740063829732063,12.302570422662466,11.282880553092308,0.00170992496239147,0.03238799046412078
G3BP1,-0.6629554491087313,7.482126647595873,11.168242120181818,0.0017752901341768074,0.032979428261823
HSP90B1,0.6200257427068686,10.388997121433482,11.05028315256958,0.0018875760672883027,0.034403744924537745
PLK3,0.7279076100411924,8.126367617393024,10.838660813484962,0.0020440585775000097,0.03649462127570494
RPS3A,-0.3628884558671979,12.315802660010238,10.822074159473916,0.002077851107829992,0.03649462127570494
CADPS,-0.9029672937075195,7.529595752316483,10.725474630468625,0.002137820008468633,0.036877395146083916
GSN,0.6487967598312326,7.964778814565834,10.55063993639364,0.002313069856801592,0.03920044704684803
CYBA,0.5383290357804914,10.266073184816856,10.342647421883582,0.002552827061374418,0.042147873315780585
CD53,0.6496547142570746,7.8327814736388035,10.30687278992994,0.002574248991336495,0.042147873315780585
NCF4,0.7515515685344353,7.451434326491145,10.16274855481603,0.0027021878880002267,0.043505224996803656
PLAUR,0.7599146326073876,9.473254469044969,10.100675634949086,0.002835315829304824,0.04490024739522066
LAX1,0.5151160579163067,8.438274939146721,9.98721446026555,0.002976691292384505,0.04631558726271483
SNHG8,-0.4612384628687493,9.49657027808852,9.955715234527357,0.0030205817780031407,0.04631558726271483
