,logFC,logCPM,F,PValue,FDR
S100A4,-0.5038964389673887,11.61328847561919,9.376827541024886,0.0036434304559634758,0.7307800815173465
RBM25,0.4179161189516777,9.128478112718636,9.282387296125002,0.0038123483149887123,0.7307800815173465
HCLS1,-0.5057332884405453,8.258500895161086,9.163428612159194,0.004015209567495473,0.7307800815173465
CD44,0.6160514046158415,8.849706099040144,9.08282158807219,0.004178164886378682,0.7307800815173465
PILRB,0.7037819817386877,7.678071057134451,9.044261619880933,0.004204895556834065,0.7307800815173465
NFKBID,0.8452672457463442,7.515545665968863,8.817935618442322,0.004610599883390199,0.7307800815173465
SELENOS,-0.5072473508381344,8.107346281263602,8.22562804178894,0.006180273485438163,0.8396342978073847
HIST1H4C,0.6463552974610617,9.03032173174778,7.746123765095505,0.007767827245173697,0.9234004637700233
TMX4,-0.5480512256500265,7.799074437996961,7.346088437246643,0.00933131955037421,0.9664343635924109
CLK1,0.48334541449786383,8.610010136085997,7.183653150779181,0.010162296147133659,0.9664343635924109
ADGRE5,0.44627487387183495,8.657794274164864,6.874404663321726,0.011799146977201188,0.9986791715997287
SH3KBP1,-0.39792100624753124,8.286119784995263,6.242260462015014,0.01607401072355112,0.9986791715997287
NCR3,-0.5458467711302086,7.820160137795435,6.227949364200663,0.016112756652576953,0.9986791715997287
DNAJC7,0.5196193205139062,7.747990567318533,5.80799548934887,0.019909396136051954,0.9986791715997287
COTL1,0.8580377121776033,7.819640142321101,5.665412170053633,0.021368909717988917,0.9986791715997287
TRA2A,0.4656218320952619,7.771309431248626,5.325578666058155,0.025449442027489944,0.9986791715997287
CMC1,0.7540398920436735,9.422177940870254,5.292272591932444,0.025965832175690217,0.9986791715997287
HNRNPK,-0.2784250865091273,9.264961938987808,4.949306726708354,0.031006329075759627,0.9986791715997287
RASGEF1B,0.4945598490650984,7.777852738020468,4.936564560335846,0.031144952164220835,0.9986791715997287
EIF2S3,-0.4444371090872355,7.85344759770523,4.918938683821441,0.03142259576641166,0.9986791715997287
XCL1,0.8462265180284751,7.906821444257104,4.8863021980792105,0.03186289964731082,0.9986791715997287
FCGR3A,-0.4130128280997888,9.15318722619755,4.885316225774189,0.032060449998152926,0.9986791715997287
HLA-B,-0.32303327610062915,12.50234453990939,4.870764877252151,0.032279447666804816,0.9986791715997287
MGST3,-0.4464391947208927,7.73877435047539,4.775218524096601,0.0338425143324803,0.9986791715997287
PPP2R5C,-0.33827835819132396,9.605692628287587,4.770722581035202,0.03403325177719315,0.9986791715997287
CAPZB,-0.396819598599302,8.531493658516686,4.7299921626928425,0.03478094652118611,0.9986791715997287
KLRC1,0.7167137878954927,8.461548022071415,4.704258083820071,0.035259773932554306,0.9986791715997287
U2SURP,-0.3778189600861829,8.003443984965863,4.594105991795146,0.03731220296254999,0.9986791715997287
LINC00861,0.4525298824037177,7.730649127478526,4.562406850498748,0.037883038735673946,0.9986791715997287
SATB1,0.4309811181415451,7.706603575832443,4.535973583447274,0.03841818174367091,0.9986791715997287
REEP5,-0.4369738815635455,7.8118403738325775,4.520661648420733,0.03874304042833209,0.9986791715997287
SELL,0.6263476618080935,7.98648865983743,4.48614299591888,0.03948961204366061,0.9986791715997287
CD53,-0.3217626290610286,8.73981525823122,4.471569038520995,0.03987988288397374,0.9986791715997287
EIF1,-0.20384718423007758,12.112992648675966,4.467439189079729,0.03993025158272399,0.9986791715997287
TRAM1,-0.42272806947465347,7.739637355374298,4.417458385970236,0.04090816258646882,0.9986791715997287
YPEL5,0.33516171791145577,9.035712811808436,4.388047778839764,0.041691500460715215,0.9986791715997287
NFKBIA,0.5784816879719429,9.935485056324941,4.349327534553455,0.042538659148176935,0.9986791715997287
RPS19,0.24114368052302898,12.950946045555915,4.290050278268675,0.04389974049761503,0.9986791715997287
MPHOSPH8,0.30203352727732147,8.723900668041285,4.262874678138438,0.04458918654043777,0.9986791715997287
CYTOR,-0.42334500480651277,7.810080991460325,4.222765095031144,0.04544309782337532,0.9986791715997287
DNAJB14,-0.3381825383006527,7.732770821489284,4.0558089608297925,0.04971716398010668,0.9986791715997287
CLEC2B,-0.3930125122089945,8.871556563543365,3.9998356492947167,0.05139110277557718,0.9986791715997287
IFRD1,0.370498762033567,7.745621903627198,3.844435620045606,0.05584169901778089,0.9986791715997287
CDC42,-0.2888055458574033,9.458135931041555,3.810752131435427,0.05697240936203976,0.9986791715997287
GZMH,-0.39992233763269347,10.086660320312097,3.783184495937242,0.0578295835234836,0.9986791715997287
CAP1,-0.302814407945772,8.723260493169658,3.7812881929102624,0.05792311994125224,0.9986791715997287
CD8A,-0.44301699754139434,8.356579298696701,3.7059941328400923,0.06036054279223493,0.9986791715997287
TNFAIP8,-0.353423454211395,7.657754659988612,3.680976570285396,0.06103991301258333,0.9986791715997287
KDM6B,0.3744405085706079,8.076553928916516,3.6599608664723733,0.06190968350254268,0.9986791715997287
RAP1A,-0.4161388731518301,7.897967749342001,3.65004832195474,0.06217325450049633,0.9986791715997287
KIAA2026,0.3475499706288923,7.5326682515303105,3.607121261961199,0.06357557722192606,0.9986791715997287
DOK2,-0.27570933444972207,8.205823925868973,3.536144234172446,0.06632499549777822,0.9986791715997287
C17orf49,-0.33048551422669886,8.001363319783058,3.515394710005636,0.06705204969829043,0.9986791715997287
DUSP1,0.502915546892395,8.838882627352369,3.4898309347680487,0.06808891920939233,0.9986791715997287
SNRPB,-0.2973624404376871,8.733654063046611,3.4501827768421776,0.06961276405659814,0.9986791715997287
HSPA8,-0.2521516443813708,10.106826110144477,3.3914754197956722,0.07191448670364911,0.9986791715997287
MED4,-0.36645350665461685,7.756868123707965,3.3652404157158533,0.07287757344232106,0.9986791715997287
TRBC2,-0.3199141040272899,9.272828377718348,3.3505352178068146,0.07361543783818619,0.9986791715997287
GADD45B,0.32496554300926705,9.462701203938183,3.263215579865051,0.07733574146522457,0.9986791715997287
SRPK2,-0.3098600560811695,7.845013338750765,3.1958582541629754,0.08027251816383123,0.9986791715997287
FRG1,-0.4384658452961229,7.546983233611155,3.190500111011318,0.08034056016917715,0.9986791715997287
GBP2,-0.3572330824977095,7.684050192509085,3.12596540874016,0.0834733257351798,0.9986791715997287
ACTR3,-0.2671060115149613,8.829735745644323,3.1103902557091043,0.0843964185712681,0.9986791715997287
CD8B,-0.5588521748880391,7.602846877088398,3.099584783041265,0.08467169483521947,0.9986791715997287
PAPOLA,-0.2941567662358219,8.458765458025585,3.077411155954224,0.08600102193043214,0.9986791715997287
SAFB2,0.3372468160582342,7.759807335212436,3.059032374344599,0.08678354974727918,0.9986791715997287
PPIB,-0.27493528872392886,9.298244672328504,2.9880187818183974,0.09053545664996686,0.9986791715997287
DDX21,-0.3451026489901491,8.322468715925257,2.978999504584936,0.091001806614875,0.9986791715997287
TNFAIP3,0.2539498560228298,9.659928905829691,2.972533131259872,0.09133811097630322,0.9986791715997287
GPATCH8,0.2701256671616702,7.8507677250689385,2.950832328956758,0.09244354728881306,0.9986791715997287
SELENOT,-0.32779186704774466,7.862450364498643,2.8688095875459054,0.09692314313807962,0.9986791715997287
RPL32,0.19418184266406127,12.655838450563436,2.8665459123839985,0.09711581234618577,0.9986791715997287
SMAD7,0.36585105265551066,8.275018019503863,2.8604184101790042,0.0975109591150245,0.9986791715997287
MED10,-0.32832417393792707,7.751088826224155,2.8377467227174122,0.09866450090661073,0.9986791715997287
NR4A3,0.4952784057125683,7.660798152807352,2.81962905912185,0.09970106748440465,0.9986791715997287
SMG1,0.266341714061449,7.951649760397606,2.8202147393218904,0.09977662025710665,0.9986791715997287
LUC7L2,-0.3042407484684032,7.618638016969708,2.813122263935339,0.1000334063370029,0.9986791715997287
RGS1,0.5720493289303139,8.457613205656049,2.8103188787065796,0.10039295007845354,0.9986791715997287
FKBP8,-0.3272699496140341,7.660720040744845,2.7899069113635417,0.10142627046391867,0.9986791715997287
IL32,-0.33950032306615563,10.84772758197667,2.7871943664835435,0.10173002735097664,0.9986791715997287
