,logFC,logCPM,F,PValue,FDR
SNRPB,-0.7617563113358972,8.372016602671442,8.310065269562465,0.00863284941289428,0.9998906185003222
CLIC1,-0.5778406710152943,9.73563778410977,8.001295006285975,0.009733404027639692,0.9998906185003222
MAP3K8,0.609153952047542,8.48895589467827,6.250148921267716,0.020344800815074955,0.9998906185003222
NR4A3,0.7060354008749992,9.17354378920984,5.76673814638546,0.02517828822555451,0.9998906185003222
ADGRE5,0.7296079066841822,8.47934981319014,5.44816799983871,0.029114499221801676,0.9998906185003222
CCL4,-1.3879005412036023,11.100095926425723,5.297788093441023,0.03110010596474085,0.9998906185003222
ZFAS1,0.439190648618047,9.64511719466705,5.278285972626997,0.03140869040716117,0.9998906185003222
RBX1,0.4611233712625967,8.933279322335402,5.004983842260844,0.03570092820009711,0.9998906185003222
FTH1,-0.3063614813701817,15.142149455971659,4.564525645348005,0.04389074428409549,0.9998906185003222
DYNC1H1,0.8577299242972897,8.182648815560707,4.415500718837392,0.04718080459682888,0.9998906185003222
CASP4,-0.57551869180911,8.326690020157706,4.371324882171789,0.04831734003979554,0.9998906185003222
FMNL1,0.5333787413681849,8.338966378857265,4.363946416215741,0.048478269777703975,0.9998906185003222
CORO1A,-0.4231702042895392,9.994198281171766,4.157114779018924,0.05354899131585454,0.9998906185003222
BCL2A1,-0.49984053637992243,10.821582855651991,4.139828039035752,0.053991548147069815,0.9998906185003222
ANP32B,-0.5758762613345305,8.532087053118918,3.8766415115247694,0.061688052048360954,0.9998906185003222
MAT2A,0.6795595879287278,8.175994738050838,3.8158817962136036,0.0634494455172616,0.9998906185003222
ID2,0.6764223271503615,9.170192265832847,3.8077366558645576,0.06381682934007843,0.9998906185003222
C11orf58,-0.5490814894045638,8.55239870606684,3.7713225166927953,0.06503681054830218,0.9998906185003222
NFKB1,0.6577682545612379,8.64245390343029,3.7570860308095657,0.06547711124604289,0.9998906185003222
CHURC1,-0.4245078445207201,8.214990249695909,3.756738196903706,0.0655067657180374,0.9998906185003222
UBC,-0.5100613221785958,11.490836113384333,3.6184391048799167,0.07017901630966081,0.9998906185003222
FAM49B,-0.5191271968965198,8.59836301150063,3.5751235693257626,0.07185568115811788,0.9998906185003222
IER2,-0.5568376172664774,9.69336622551815,3.3779670292561716,0.07951553622109171,0.9998906185003222
CCL20,-1.1537158198522581,9.799410669877437,3.3421949715797306,0.08102405876233204,0.9998906185003222
SMCHD1,-0.6836561234905091,8.451340220244338,3.2915003965767737,0.08328372862836873,0.9998906185003222
FCGRT,-0.4651670298354998,9.246192826234791,3.014069207321392,0.09646326213919816,0.9998906185003222
NACA,-0.2608265297267379,11.567781401005634,2.982089019115924,0.09806369325879949,0.9998906185003222
CALR,-0.5723617033180773,8.689345858932978,2.8860943160740176,0.10342053086048485,0.9998906185003222
CAPZA1,-0.3703073271802615,8.69571797903641,2.8290273376598147,0.10669249277451945,0.9998906185003222
PFKFB3,0.4884081358650417,8.537513233519476,2.8117823601987313,0.10769910748757802,0.9998906185003222
ASAH1,0.3351256878173752,10.206225517268873,2.797060984419926,0.10847564370828663,0.9998906185003222
HCST,0.36130033776943277,8.874623683329482,2.7418757622211514,0.11189609032583342,0.9998906185003222
H2AFZ,-0.3119770643656677,9.359178923029763,2.731691145305399,0.11250096844223528,0.9998906185003222
CFL1,-0.2389919465907333,11.078290721452936,2.705574568078676,0.11407031041093008,0.9998906185003222
CXCL3,-1.1190221940731098,10.5691946303996,2.67432246363548,0.1160807890030862,0.9998906185003222
OST4,0.3710387253666563,9.168206513509077,2.663049489891341,0.11687992433962316,0.9998906185003222
BRK1,-0.5002697948529747,8.519454639396644,2.6610952483071655,0.11703238629444493,0.9998906185003222
PPP1R15A,-0.40107271188021176,9.877674990627087,2.622432512664736,0.11950469658900514,0.9998906185003222
LITAF,0.4526471955790608,9.422172515917511,2.619805027290551,0.11970792159242363,0.9998906185003222
CD300E,0.5573955510652244,8.737002896508047,2.5902448570097607,0.12176697832784726,0.9998906185003222
PPIB,-0.4081410082992295,8.625796390322392,2.577479735363781,0.12260927787571553,0.9998906185003222
ENO1,-0.3071411891499691,9.362933121864005,2.5686613965282405,0.12318891184355793,0.9998906185003222
ATP6V0D1,0.3523302566772182,8.477208585118396,2.5406766875551594,0.1251932843414795,0.9998906185003222
RAN,-0.44203923714477833,8.338881678742629,2.516189985984407,0.12690630322394414,0.9998906185003222
RPL3,-0.3296022368530296,11.883006465663613,2.5128410620695547,0.1270461795992015,0.9998906185003222
PPIF,0.6695416862645239,7.972526712654884,2.5036158659087686,0.1275726251224772,0.9998906185003222
FXYD5,-0.3348960542450609,8.944821053329045,2.495209493115717,0.12842518771936182,0.9998906185003222
SNX10,-0.43443998051542504,8.135490186776142,2.472556031968904,0.13005375625813972,0.9998906185003222
MTDH,-0.37304404695129634,8.935442588028284,2.4418255272822877,0.13236656024980886,0.9998906185003222
RPL6,-0.22979181105903868,11.87455956816289,2.435757383648377,0.1327211580973724,0.9998906185003222
MTPN,0.35770681621362743,9.453468182127915,2.4003130312583756,0.13549561553222,0.9998906185003222
FGR,-0.40079437900375764,8.412527423712115,2.3970712524650954,0.1358358319500219,0.9998906185003222
CAPZB,-0.3220830392352918,8.854453216128098,2.357938267400619,0.13886301795631428,0.9998906185003222
POLD4,-0.4071601507395945,8.58999733554039,2.3386733441032126,0.14045017454397055,0.9998906185003222
RBM39,0.3093317374751529,9.393900393484168,2.3293613636132435,0.1411254726157806,0.9998906185003222
RPL5,-0.22820442298955257,11.273486353745062,2.328385871542832,0.14113923934876588,0.9998906185003222
