,logFC,logCPM,F,PValue,FDR
RBM25,0.5725439121119329,7.066467824360606,9.471552994946807,0.004287847763560769,0.7862030934947386
MALAT1,0.6766495697182972,15.331170170564956,8.740859612380916,0.005931020453964782,0.7862030934947386
PIM2,0.9435834300552187,7.606637551436054,8.418758516283528,0.006779191839828743,0.7862030934947386
ERP29,-0.6449686546017371,7.814515493428206,7.5480822973874275,0.009863772636256837,0.7862030934947386
TIMP1,-0.7498541360046918,7.664827155725257,7.415219918704484,0.01042823775954105,0.7862030934947386
ITM2B,-0.6564305122323414,8.254468751581552,7.121440178169548,0.012033720818797021,0.7862030934947386
PSAP,-0.5329333830262372,8.07963886273322,6.141578080878581,0.01885669914924533,0.8633108187420617
HSPA1B,-1.2872721908159852,7.132918067561349,5.9873080742454405,0.01989462828263784,0.8633108187420617
C12orf57,0.5650445694817694,6.906134980668948,5.575858331870331,0.02436701208718546,0.8633108187420617
RNASET2,-0.6526552086610024,6.805864604912239,5.402711298445529,0.026281428486322346,0.8633108187420617
OSTC,-0.3773401083740001,7.532849326631959,5.3791424354505715,0.027062199943911465,0.8633108187420617
SSR3,-0.3425912947243549,8.72874885658551,5.036491368286096,0.032189046818648356,0.8633108187420617
EIF5A,-0.670496792921281,7.101713589135734,4.835775417537721,0.03506426099642681,0.8633108187420617
GRB2,-0.583568484794837,6.743995088809324,4.801224974185531,0.035435508000482445,0.8633108187420617
EVI2B,-0.7326143853305702,7.158015965683071,4.563978761580696,0.040231435730735475,0.8633108187420617
RPL27,0.34073312452416027,9.18983522932734,4.565577362477785,0.04072329004950576,0.8633108187420617
HLA-DRB1,0.7049572693961864,6.470211939635245,4.523605303953571,0.04081046172816185,0.8633108187420617
HLA-DRA,0.6546206000429458,6.994496158085498,4.506877648727588,0.041652395107747014,0.8633108187420617
RPS25,0.2913678059170051,9.905106219694881,4.423065933449544,0.043763366030258696,0.8633108187420617
EAF2,-0.7320414243263293,6.969194787624055,4.387924316730804,0.044046470343982735,0.8633108187420617
RPL27A,0.35278143915008203,10.309980591790115,4.060592862362512,0.052729351961958305,0.9127097670161277
RPL36A,0.3630547915074394,9.445375733964672,3.93449071701265,0.056331902372317604,0.9127097670161277
LYZ,1.1800084624548488,7.150285142659226,3.845047710283885,0.058749634661665606,0.9127097670161277
SET,0.539735095057263,6.944105286606969,3.7852842230704447,0.06051684931987011,0.9127097670161277
NCL,-0.513059421436201,7.835647232302642,3.70474360225658,0.06342821870629388,0.9127097670161277
PSMA7,-0.4773843669407822,7.239361068573787,3.674380878130783,0.06419497983869481,0.9127097670161277
SPATS2,0.45076180228672375,6.710271470035485,3.6080419496017657,0.06607749947811328,0.9127097670161277
RPL23,0.32996008927697335,8.929014869750905,3.5552145990958013,0.0688823576422414,0.9127097670161277
CNBP,-0.5683326388824721,6.618550270972696,3.434717929204391,0.07246212405775458,0.9127097670161277
RPL41,0.2841721378207612,12.021028909455966,3.4506159818576605,0.07283414428410273,0.9127097670161277
TNFRSF17,-0.37995321287796574,8.006210353925548,3.430754198462209,0.0735265659546079,0.9127097670161277
IGLV2-14,1.8850056990140123,8.428632587114311,3.257823382636383,0.08087374483447855,0.9127097670161277
SELENOM,-0.4866990836754377,7.911977720636853,3.1864057478900625,0.08404423303387026,0.9127097670161277
RPS15A,0.3017123681047255,10.822821074949525,3.1680659389872075,0.0849910178997374,0.9127097670161277
OS9,-0.4798794185234916,6.743489723459483,3.1384633440090655,0.08548670797225326,0.9127097670161277
RPS17,0.539923283192932,9.590475493368615,3.1479835694710516,0.08595947055561065,0.9127097670161277
HLA-E,-0.37925867611558334,8.677243587197115,3.1118269862462573,0.08768713283578976,0.9127097670161277
RPL32,0.22318758730324614,10.628865967437445,2.968798386722813,0.09494551245841788,0.9127097670161277
RPL37A,0.2813076943984887,10.330525103851034,2.8592247338896426,0.10098655544928643,0.9127097670161277
RPS24,0.27035398214705014,10.010065528288692,2.8024951336224357,0.1042882877348601,0.9127097670161277
AC058791.1,0.6985992527548565,6.639961674097079,2.7410775565690875,0.10723942273603568,0.9127097670161277
PDIA3,-0.46074978861311755,7.974550878954689,2.736114974103212,0.10818278626083125,0.9127097670161277
ATP5F1E,0.31608741808040713,9.016869160180585,2.710233224447667,0.10993718683428623,0.9127097670161277
CYTIP,0.46388450601464415,7.006899940656486,2.701759883717083,0.11001485624060273,0.9127097670161277
DNAJA1,-0.6047468963765769,7.537165361829896,2.6686746346885544,0.11224902530218249,0.9127097670161277
S100A4,-0.472147650562888,7.308206889988896,2.637639152416474,0.11427118816207539,0.9127097670161277
NACA,-0.3370137402023168,9.40195975580821,2.637739426755176,0.11460201580951312,0.9127097670161277
DERL3,-0.3824308659799819,10.014652947875147,2.61682326577256,0.11598178949381044,0.9127097670161277
RPS26,0.4287554684414357,9.369457880396697,2.5911616336707635,0.11772222413489968,0.9127097670161277
MANF,-0.26891044570186523,8.48389676699251,2.582872733025717,0.1182511019135857,0.9127097670161277
CYBA,-0.44119909499242405,10.632139505154365,2.564213843116583,0.11955250211094294,0.9127097670161277
CDKN1A,-0.4827036819187286,7.08963758750246,2.4453014609416206,0.12754407463026704,0.9127097670161277
NDUFS5,0.32991842399429266,6.854166855875071,2.4265333110854637,0.128945993567943,0.9127097670161277
HBB,1.5128763058823858,10.705746564189269,2.3784609298796604,0.13326760637578858,0.9127097670161277
ALG5,-0.38457754005940686,6.809169688015611,2.3509316445430435,0.1344185009036938,0.9127097670161277
SEC14L1,-0.4414973369707331,6.7862476290783835,2.299836509131531,0.13879921512337245,0.9127097670161277
AC016831.5,0.558206108713291,6.669022676241867,2.297498043085984,0.1390156666193402,0.9127097670161277
UBE2D3,0.3158180262354276,6.715079261504608,2.260644266254472,0.14227135135348012,0.9127097670161277
