,logFC,logCPM,F,PValue,FDR
CD53,1.386993084101036,8.580466379908337,7.247391917609473,0.015181938190364851,0.9982988872604664
HIST1H4C,1.6489061201784356,8.97746387093252,6.854813119417712,0.017703098852130145,0.9982988872604664
LINC00996,1.4994183699286676,9.056292413487588,6.419462458857747,0.02119343663920092,0.9982988872604664
TPT1,-0.7135893302742031,13.372073616932388,6.360018480232628,0.02194203320598468,0.9982988872604664
FCER1G,0.8876210709855402,10.363038002989947,6.317894884833282,0.02234292308123908,0.9982988872604664
HLA-C,1.1104532449230458,10.82153662463051,6.180423559325136,0.023631785023048725,0.9982988872604664
CTSZ,-0.928496257644085,8.92616027096312,5.751741335415775,0.028322493358266254,0.9982988872604664
NCF1,-1.067758091935293,9.160649418025175,5.58345434493203,0.030418819401381515,0.9982988872604664
UBE2D3,1.1512390519638551,9.092148458325498,5.5257015337628745,0.030973469191745182,0.9982988872604664
NSA2,-1.1464030036633104,8.872593776465127,5.522767573368726,0.031205620042501114,0.9982988872604664
SSR2,-0.8787963490486903,9.086186144814919,5.2344353448024075,0.03534216122081615,0.9982988872604664
YPEL5,0.8055991514225962,9.656966233195167,5.0017253088035885,0.0390682467653018,0.9982988872604664
RPSA,-0.6342476529453396,11.7754192628605,4.914935010520689,0.0405513874897754,0.9982988872604664
PLAUR,1.086254049742,8.588098778952244,4.839504958081204,0.040795326606829566,0.9982988872604664
PLP2,-0.7249554051533827,9.643954099377826,4.6464865778297675,0.045814869120499625,0.9982988872604664
MT-ND5,-1.1072450120992232,11.546744690409422,4.475514318748872,0.04945569739495924,0.9982988872604664
CHML,-1.5554900551161577,9.413809546508716,4.351703236024061,0.05245683758773087,0.9982988872604664
KDM5A,1.0698291892420386,8.898673131781463,4.249100840029411,0.054767821489428006,0.9982988872604664
RPL7A,-0.6102096992727681,12.02798628894008,3.910604162258698,0.06443257656755717,0.9982988872604664
B2M,0.560151835176637,14.140143152219547,3.7582432561137717,0.06933632379790067,0.9982988872604664
PRKCB,-0.6943157163130271,9.279924223593737,3.7462388680774263,0.06985959685302753,0.9982988872604664
PFN1,0.6410279648679076,10.470692237567718,3.601426821153773,0.07487901793526232,0.9982988872604664
RGS1,0.7227959020136412,11.36679720054124,3.563138805583275,0.07627838693454866,0.9982988872604664
AC004687.1,0.7014007680965954,9.705834844855307,3.4596285756189395,0.08032111980515733,0.9982988872604664
PAIP2,-0.723831875829131,8.902811480071641,3.358946603761755,0.08456770298270273,0.9982988872604664
RBMX,-0.7513337387078044,8.914592124099192,3.2473881859630183,0.0894519077993109,0.9982988872604664
RPL21,0.4881814205068321,13.21347647415272,3.2422855492908815,0.08953116823280413,0.9982988872604664
JCHAIN,0.680088030939682,11.814993606624814,3.051618811258506,0.09870314413815322,0.9982988872604664
RUBCN,-0.6465369098835815,9.832036858771701,3.04693218664728,0.09900378274068465,0.9982988872604664
HIVEP1,-1.1332386705360924,8.753677182544484,2.967485812879301,0.10316352143007392,0.9982988872604664
THBD,0.8344038064586373,9.183871078938944,2.9553993274553814,0.10370544701616644,0.9982988872604664
AC020916.1,-1.0399309854443153,8.622028054697028,2.952797878606004,0.10396004349140345,0.9982988872604664
CYCS,0.7829032925553709,8.987958010091651,2.8738127562687397,0.10821045888955069,0.9982988872604664
RPL23A,0.44913565577872455,12.498566209182519,2.8661468851583694,0.1087085661423965,0.9982988872604664
SELENOS,0.5898965636899708,10.183921350924493,2.846752780587825,0.10986475731365845,0.9982988872604664
PLEK,0.7729927984867853,9.277705163429458,2.832147999108389,0.11058686050053758,0.9982988872604664
PSMA7,-0.6071114724863503,9.456612429838259,2.6773724465005806,0.12027421519553594,0.9982988872604664
MAP4K4,-0.8021154446940297,8.47910676940414,2.6545448478757976,0.12159582561539993,0.9982988872604664
TRIM44,-0.775829955070172,8.735026090580096,2.6191966036617287,0.12411473910787517,0.9982988872604664
WASF2,-0.7697176863855268,8.758747126913864,2.6122638309441504,0.12458673665468319,0.9982988872604664
MAP3K2,-0.6591229497083899,9.537847792000937,2.609156101856091,0.12475337665622196,0.9982988872604664
SELENOF,0.7915630950176183,8.804874854982673,2.6030190285900074,0.1250790492639654,0.9982988872604664
CHMP1B,0.9566588688264592,9.397634917485949,2.5895505594490094,0.1259957814687519,0.9982988872604664
ODC1,-1.0016593293132285,8.673066980807032,2.5755100790502223,0.1270314160332092,0.9982988872604664
CD4,-0.7431834992591941,8.85457476333855,2.528275374714253,0.13040073563768562,0.9982988872604664
PSAP,0.5983779704263555,9.906272292481185,2.433550236800142,0.137239519112327,0.9982988872604664
CXCR4,0.4620432033661047,12.283301235649954,2.4008277616702896,0.13969006578828358,0.9982988872604664
UBE2B,-0.6572500163601896,8.898483354238355,2.3110965355980864,0.1469835296562756,0.9982988872604664
USP15,0.6903609613629647,8.76789038140413,2.2340107447456097,0.1531754239753763,0.9982988872604664
HLA-DRB1,0.5451317278695399,11.57334252078404,2.2245244138677984,0.15416894969351377,0.9982988872604664
RPS11,-0.41205590591946506,12.682617973645375,2.1851937542771016,0.1576356628900354,0.9982988872604664
RNASE6,0.7157322141885535,9.44785914358381,2.165221527735817,0.15943076988916718,0.9982988872604664
NDUFB8,0.8188509195882926,8.891755227658573,2.129398716405693,0.16228725881389897,0.9982988872604664
POLB,-0.9320656801768126,8.973234472162678,2.1294679600037587,0.16286311683832766,0.9982988872604664
LUC7L3,-0.5181106647084557,9.187158557826502,2.122267982651517,0.16353362595160265,0.9982988872604664
SSR3,-0.615685466371811,9.098328203790254,2.0389105687489057,0.1715748941360377,0.9982988872604664
ATP1B3,0.6585718478840334,9.592701652830652,2.0008779984599188,0.17531459858111012,0.9982988872604664
IQGAP2,0.7393884494299198,8.636554452904951,1.9572911615199733,0.17959713483660827,0.9982988872604664
RPL31,0.4953016495609233,11.469707644465311,1.948178676040441,0.18075582472849244,0.9982988872604664
SELPLG,-0.5932109465214731,9.050697618260827,1.9405193963582779,0.18170787694685778,0.9982988872604664
HLA-E,0.48163085833680813,9.887533344999547,1.885742148794748,0.18757910765429597,0.9982988872604664
OST4,0.5227353205418217,10.016025357678364,1.8236426290447003,0.19463382745210786,0.9982988872604664
LILRA4,0.499661458047719,9.931971908655795,1.8213896900764306,0.19489776600081346,0.9982988872604664
SEPTIN6,-0.5952329960822524,9.465796660058764,1.8026869185655667,0.19715095132875435,0.9982988872604664
TYMP,0.6406941809699663,9.035487409594195,1.794801613574523,0.19784458201537633,0.9982988872604664
SNHG6,0.5848986916443887,9.044065761470778,1.757564191493501,0.20252727206503024,0.9982988872604664
