,logFC,logCPM,F,PValue,FDR
MCF2L2,6.874656820951899,4.709343989224483,27.52790013780431,6.115530435381822e-06,0.05219479672496705
SLBP,-2.238446289706536,8.062540265100074,25.104928733434935,1.902606075191894e-05,0.05219479672496705
TRMT2A,6.65475474128037,5.232348285773283,23.132859605426837,2.0838461769800463e-05,0.05219479672496705
TMA7,-1.212328015473851,7.341602990714625,23.450954444302532,3.100248837025531e-05,0.05219479672496705
ZNF165,-6.211514306637398,5.756027644353365,21.987336234143445,3.1077555109918014e-05,0.05219479672496705
PAK1,6.652781593549886,5.402032892482634,20.450451610805693,5.288858269299666e-05,0.05219479672496705
MIOS,8.878775980312193,4.525438565298173,22.283934630826433,5.318095190144933e-05,0.05219479672496705
DHRS3,-1.951292010025168,8.540316733217825,21.670372847675615,5.351107187904367e-05,0.05219479672496705
CBLB,2.114598466715411,7.675839409019689,21.5773602346395,5.4974039850755236e-05,0.05219479672496705
PHRF1,4.46600528204704,3.3493116789865676,19.646110654094088,6.7387669214637e-05,0.05730838680861615
MTIF2,-5.787398248492802,4.2893430823016265,19.47913510182218,7.377323053186397e-05,0.05730838680861615
TOGARAM1,-5.522963134176909,5.635903071464279,18.664929245997183,9.755972669270229e-05,0.06947065538242843
DOK1,6.0341706235603905,3.979378298550179,18.453392741232836,0.00011313392790620214,0.07436380107373056
VPS33B,5.662739151145968,5.361862674487964,17.93409844655349,0.0001429124071026994,0.08722760847804047
LANCL1,-2.0394816579257915,5.386569720567162,17.161504992072707,0.0001976873400540034,0.11261588805076393
EAF2,4.900877479488132,3.885009408601865,16.298116872591294,0.00022561353059977565,0.12049172618594269
RMND5B,0.3641689173361899,4.622663459870565,16.92854187522234,0.00024327936856767505,0.12228365908298724
PDHX,-2.780653495496143,4.810306940975959,16.148939539389975,0.0002988999700004163,0.13986755158931582
FASTKD5,0.2188702637919498,6.008602884424715,16.304888993306573,0.00031099865186623763,0.13986755158931582
GTF3C3,-1.331905838278909,7.556814663069583,15.667143378250081,0.0003906686246613369,0.15682578266821026
EHBP1L1,5.285871459622415,3.2153832445954937,15.072535347368184,0.00039542200676164716,0.15682578266821026
GBP5,1.857703964091359,7.656509266147497,15.567645958023265,0.0004052799562472419,0.15682578266821026
KRR1,2.5775346510837176,6.890451056555097,15.363683517160398,0.0004330502113212875,0.15682578266821026
