,logFC,logCPM,F,PValue,FDR
DHCR24,7.023629556550175,4.0992777048316595,30.036967814467868,3.6119252557376796e-06,0.03953974577456038
IKZF2,2.241315774011784,2.923683270023883,25.180717496582233,1.680832872642567e-05,0.0920003872840909
FAM161B,-4.995870225306478,2.84526046766931,22.124573010311543,2.769818173285611e-05,0.10107066514319195
POMK,4.046245395310107,1.5945740940962665,20.150326753182657,6.0153879922194087e-05,0.16462613087706465
NOMO3,4.812918857870416,2.4413851531600304,19.741594413851,7.734441669936456e-05,0.16933786592158878
KCTD17,4.69693584833724,2.8626297128325495,18.197232069955632,0.00011962909218551228,0.1719193417214928
NRBP2,4.331568908985816,3.147252287652194,18.064208518822035,0.0001242999110317023,0.1719193417214928
SLC35A4,0.025222640731512962,7.090921455943342,19.30511772322497,0.00012563759329240363,0.1719193417214928
TRAV41,-3.808440005139836,3.28547641029185,17.63484871412175,0.00014713200713735585,0.17871075077955098
MYH10,-4.122675001895927,2.657012520884079,16.447626961350814,0.00020541440655191053,0.17871075077955098
PIDD1,-3.676015793829258,1.1963010783994412,16.21097126344149,0.00023564254347520987,0.17871075077955098
TMEM259,3.3865161157316157,5.896327988419411,17.285096006383377,0.00023909498269166187,0.17871075077955098
CLHC1,-4.425453835483271,3.3923867692859297,16.087702502970043,0.00024228951253132337,0.17871075077955098
LSMEM1,4.706111771538007,4.169399765413524,16.376465153770965,0.00024498988852487085,0.17871075077955098
AC008267.5,-4.826476192670924,1.7652341333265507,16.477894607726313,0.0002630695272670237,0.17871075077955098
SOCS3,2.7083275667127156,6.706752026519469,16.755420933338158,0.00029053778159428685,0.17871075077955098
ZBTB46,-4.4012959134982275,2.740435240568391,15.512404506141774,0.00029736956293283985,0.17871075077955098
SUMO1P3,4.168398120520924,3.58298532577221,15.477267503830745,0.00035122334722664236,0.17871075077955098
Z97192.3,4.6448528584365185,4.604480899278117,15.263218936054226,0.0003971907962786145,0.17871075077955098
RYR1,4.921319264914893,1.8148164070007216,15.421829287478792,0.0004041430418154517,0.17871075077955098
RNU4-24P,6.144222424639785,1.892724056106982,15.710795957616629,0.0004044624909106263,0.17871075077955098
SF3A2,3.8573953000534615,1.6835796262470892,14.955708323864199,0.00040663769793733483,0.17871075077955098
AC244197.3,3.9193212984340247,1.9686275998060634,14.860598667827816,0.0004076507532874328,0.17871075077955098
PURB,-1.3776040447401272,3.7408204366903908,15.681051005124054,0.00041002548201401416,0.17871075077955098
SCRG1,5.422544231994169,2.582895478023952,15.070761190446571,0.00041607374312807376,0.17871075077955098
DDX12P,3.3786398544419787,1.8468552107525298,14.649276866047552,0.0004244523175544282,0.17871075077955098
KDM4B,4.787515843082178,4.089818125838007,14.763283000482378,0.00045272395168767814,0.18355441107870418
AL512770.1,-4.104294343612895,2.2093549819351668,14.279125148924429,0.0004906492342932303,0.18817603346268003
TRAJ54,-3.432587148034958,1.614322588657485,14.132112455810866,0.0005097008069335765,0.18817603346268003
KIT,-3.875668717552266,3.651001971653699,14.451297301786482,0.0005226569943741206,0.18817603346268003
RBM5-AS1,3.317703409651218,0.6652467625202926,14.203386544941797,0.0005328817975101015,0.18817603346268003
FPGT,-2.4414043585570306,3.8862950002096257,14.713599556639682,0.0005632180702705526,0.19267338172661685
MRPL37P1,4.651391761012123,3.9862491062844847,14.17701769732348,0.0005871106758565912,0.19476062329097288
C12orf4,-1.6822329310046313,3.671814907040745,14.508885532232823,0.0006159312231485093,0.19831173822960976
ZNF524,3.6711686640404677,1.2691779887305867,13.473505319053537,0.0007009331190887808,0.21923185299042522
PPM1N,-3.7831826992650157,2.9966232129184953,13.36637623182019,0.0007289699677301598,0.2216676176872794
HLA-L,-3.0407340583122755,2.310142798522089,13.250765638289694,0.0007543473113144467,0.2231848653232229
JUND,1.9196474957641554,6.446384866121338,13.887856476301856,0.0007951734098431179,0.22720707670636822
COG8,4.038794590529425,2.8319420616432827,13.31941542569244,0.0008094524519547238,0.22720707670636822
DHX34,3.427978136575826,1.4650074521591463,12.967619720994797,0.0008709555126268353,0.23715452259304193
SRGAP1,-3.4492090528600343,2.0417076277895028,12.722537803669084,0.0008941617652637498,0.23715452259304193
PARD6A,3.5397193400758145,3.5331936145676996,13.080451438591895,0.0009098830683207966,0.23715452259304193
C12orf42,-0.6835353970828227,2.772897622705017,13.292081557770643,0.0009394057742248493,0.23915523280091688
MZF1-AS1,-2.9829553256130517,1.193559708088287,12.329915061472269,0.0010351413111918991,0.2527424042279768
FKTN,-3.358015658208229,2.4828408194699896,12.410937628677814,0.0010415424862405137,0.2527424042279768
SH3GLB2,3.22983179101205,3.758222545293515,12.830907734207267,0.0010620398825693736,0.2527424042279768
AP001324.1,3.4187732760261054,2.4888373118129583,12.357818507548174,0.0011301638586541942,0.2621817155464694
RABEP2,3.650654592940081,2.7159859955905334,12.184337621560843,0.0011923555052158479,0.2621817155464694
AP005131.6,3.7413018376930296,4.799664095318665,12.538322618953178,0.0012351373465705085,0.2621817155464694
HEXIM2,4.097691788129286,2.9123342838568917,12.024066518793697,0.0012760799602973582,0.2621817155464694
ZNF611,2.4691042927169153,5.309615790538859,12.479407494019839,0.001332520544494788,0.2621817155464694
LMNA,1.2078574385249317,8.94967911300775,12.327387369926365,0.001418114754022046,0.2621817155464694
PABPC1P3,-2.946122612986725,1.5899634633222486,11.657712035136052,0.0014262640462394285,0.2621817155464694
SRP14-AS1,-3.372433637937858,2.4265987141602783,11.630257756539617,0.0014425706568340245,0.2621817155464694
HCG25,-3.407762024110605,1.1958344626170778,11.631521663159,0.0014470581818437928,0.2621817155464694
MRPL45P2,-3.970252028928901,2.6873243610316377,11.60876961383534,0.0014509045413684672,0.2621817155464694
DCAF4,3.392518023459547,4.897456049023758,12.115797467622487,0.0014879437175195835,0.2621817155464694
TAF1A,-3.4066783811699284,3.898280162012666,11.914827026667984,0.0014963410615469875,0.2621817155464694
MTND5P11,3.4856367891612954,2.2174107625770176,11.526950846868587,0.0015795013740211074,0.2621817155464694
TAF5L,-3.7607243587902754,3.544660169659073,11.571956905181572,0.0016118177052018377,0.2621817155464694
TAF4,-3.4431426739216384,3.0577957421680657,11.459377820227926,0.001611897950643428,0.2621817155464694
AC020916.1,1.6632657815186889,7.9069568180166385,11.887471771914086,0.0016784567306898646,0.2621817155464694
TRBV24-1,-4.907433437600821,3.7219122392804125,11.355681757083577,0.001686060376857845,0.2621817155464694
RF00017-98,2.942739003529161,1.133598699740177,11.295072041696802,0.0016904041394801895,0.2621817155464694
PNRC1,1.14857958105585,8.122146067580228,11.850914438923283,0.001701974733299564,0.2621817155464694
WNK1,1.4890119221929734,7.902156730177069,11.78231047946744,0.0017478103155096382,0.2621817155464694
CLPB,4.271511304255589,2.674658623994858,11.160670883689546,0.0017821961634001268,0.2621817155464694
CNNM2,3.493807541155305,4.358832697388425,11.544285194877252,0.0017928211789564664,0.2621817155464694
BOLA2-SMG1P6,-3.0934137054891115,-0.13772571844813988,11.163845014316989,0.001875841397158565,0.2621817155464694
PEMT,-3.251107372855816,3.5228225365567893,11.312581340082822,0.001902903668105854,0.2621817155464694
AC004847.1,-3.1183418400272647,3.2830126545226714,11.254080244774299,0.00190363282780974,0.2621817155464694
GPR137,3.237654534975358,1.62662426290244,10.999406020662601,0.001906854332915256,0.2621817155464694
PREX1,1.66474674933577,7.047224949944332,11.54739210708084,0.0019152575448829043,0.2621817155464694
BCDIN3D,-3.5113653147650807,3.2220441150798407,11.139924972066135,0.0019177470505352624,0.2621817155464694
TXLNG,-1.0195396922304172,4.589597230622008,11.531048331140116,0.0019252084538943517,0.2621817155464694
