,logFC,logCPM,F,PValue,FDR
LGMN,-3.5313665542735335,6.97670186584034,20.64752461586103,7.03992653652685e-05,0.39074091033023267
IL17RB,5.871854957109227,8.622748792591567,19.677553974513494,9.388562617230572e-05,0.39074091033023267
GIMAP4,-2.998729511317457,6.989175593551742,17.888504362110275,0.00017506203905839462,0.39074091033023267
TNK1,-7.304515150784452,4.595835714542332,17.791260905934006,0.0001779867307005061,0.39074091033023267
LPAR2,4.471582182727042,6.326706412239828,17.50471879170046,0.0001879639869581096,0.39074091033023267
IL1RL1,13.594428845087082,5.868430541925838,17.288108559255434,0.00024146546585432103,0.39074091033023267
TIMM21,-5.4805476279907515,5.061463908303849,15.969250687947945,0.0002730180292939519,0.39074091033023267
AC116158.1,7.713803953745164,6.033431435607566,16.138015742479823,0.0002934041001165629,0.39074091033023267
ZNF175,-5.872460393402013,4.8496726365210305,15.259265910263451,0.0003916740374431699,0.39440198684259425
HPGDS,1.2444385918735823,5.910851748640994,15.259605137330873,0.0004388037655389553,0.39440198684259425
SARDH,8.763380859724345,5.058682406022426,15.474603047087102,0.00044639041826812,0.39440198684259425
AP000462.2,-5.893801514192471,3.845968894950886,14.615257820867033,0.00047826342890499137,0.39440198684259425
ZNF783,-4.810860641718233,5.354351647583591,14.682407847897979,0.0004812489045385513,0.39440198684259425
TENT5A,-5.215187430059792,4.8697302571412,13.802102229613082,0.0006280670137096107,0.4051024683607049
LTA,-3.4825473621679786,7.280336649120248,13.924757855995557,0.0007007707801283654,0.4051024683607049
KIF1BP,8.30238342870568,5.120825275138593,14.025806806328923,0.0007325866356130992,0.4051024683607049
HDHD5,7.364495745541549,5.273584180894701,13.74432084688026,0.0007733191347485891,0.4051024683607049
FGFR1,5.445078334175911,5.7192809821130135,13.355576668412905,0.000800637176240346,0.4051024683607049
ZNF439,-5.092448859073559,3.781379518640183,12.789867288012848,0.0009268173714109867,0.4051024683607049
CTSL,6.6877183610737365,5.390638914269424,13.060958801673648,0.0009534326543810623,0.4051024683607049
SEPT8,3.9277065407253273,4.803314572242281,12.904526858766369,0.0009589006325835109,0.4051024683607049
MRE11,5.0497513595189965,5.5785418296607485,12.610200803405855,0.0010846404985535199,0.4051024683607049
ANAPC4,-2.813164081325761,7.173440989287542,12.70059991501684,0.0011429435241196166,0.4051024683607049
MT-RNR2,0.7687769247409907,13.86986603043821,12.6704881012087,0.0011599449296843312,0.4051024683607049
PTDSS2,-4.9969134940596165,2.85720341343466,12.163867615729004,0.0012158018674237004,0.4051024683607049
NLE1,13.351685988415033,4.811602714471677,12.797134511834567,0.0012284491742651294,0.4051024683607049
AL031280.1,-6.997310825523987,4.97578458769448,12.087121640631867,0.0012613439134431758,0.4051024683607049
TGFBI,-5.003411588370327,4.615582682344459,12.056142074908012,0.0012733988414366077,0.4051024683607049
PSMB9,-1.4240988315779783,9.064619834690745,12.356550751375789,0.001309318936024818,0.4051024683607049
STAC,-4.5509875693372575,4.207055596882847,11.796715681998831,0.0014176393680392432,0.4051024683607049
ACSF2,-5.0107037549654185,3.149953179210292,11.732136755813109,0.0014346908953236574,0.4051024683607049
CRTAP,3.762109067304586,6.354737822335891,12.05955617787516,0.0014427642357611329,0.4051024683607049
BTRC,-4.5870957493058455,4.724870247710525,11.700222161453427,0.0014955504558212388,0.4051024683607049
PHLPP1,11.580489723638157,4.992709852405998,12.218290253449894,0.0014963381442012697,0.4051024683607049
GPR137B,3.740842025422248,6.087341863306933,11.704744568339049,0.0016007451504468774,0.4051024683607049
IFT80,8.736930109037344,4.489232363433173,11.574189006316725,0.001873244175197069,0.4051024683607049
FAM131A,9.04032408358762,4.394103046503231,11.439256939539481,0.002004356702593384,0.4051024683607049
RFT1,6.166762920036985,4.697414444500592,10.949080258453938,0.00214789399248706,0.4051024683607049
NAB1,2.9749862911093556,6.854721713918444,11.076341153956593,0.0021543779476108464,0.4051024683607049
FFAR3,12.062188172168314,4.649434759762275,11.127329927493665,0.0022740098217616978,0.4051024683607049
CCR2,4.180452081457173,6.40041453048728,10.85777574796491,0.0023119287466063475,0.4051024683607049
SREBF1,-5.284151036031541,3.290987138568483,10.634606752230901,0.002435623680111515,0.4051024683607049
RAB40C,-5.427691897228015,3.5097511667746017,10.709159103593331,0.002437283287656296,0.4051024683607049
TTI1,5.639936004483172,5.1709517520785,10.543239898015916,0.002478599885322121,0.4051024683607049
ZNF226,-3.553179997781107,6.231193197202485,10.60661933196648,0.0025912409581845684,0.4051024683607049
ARFIP1,6.871572709377653,4.126151346860406,10.618059097297287,0.002624356809176993,0.4051024683607049
CCDC9B,-5.502846438234639,5.549577503666486,10.375610081009288,0.0026406078090994334,0.4051024683607049
ZFP28,-3.1849144544687524,2.341146550388171,10.262899765806347,0.0026572751239880175,0.4051024683607049
UBE2R2,5.246991732114297,5.153239908513887,10.346344801298985,0.0026853251218839896,0.4051024683607049
AP000648.3,-6.230074769190985,3.49634091029193,10.375999034900225,0.002689717737932021,0.4051024683607049
ADAM9,-4.505201313563815,2.7822364768135226,10.160400040664301,0.0027677753071769584,0.4051024683607049
SRSF6,-1.4052988267341495,9.454431754508843,10.409847040303086,0.002843380783321293,0.4051024683607049
ANKHD1-EIF4EBP3,-5.404164773986816,4.713738136309823,10.13709448599592,0.002845397828564727,0.4051024683607049
MAP4K3,-4.315357982784494,4.217371118085924,10.121567286687288,0.0029242118905947858,0.4051024683607049
RNF6,3.037298832620836,6.9320708340834125,10.314232537582061,0.0029269320197155405,0.4051024683607049
ENTPD1,-1.5078770380001092,8.661333553575375,10.095987778910459,0.003235118001312062,0.4051024683607049
CGRRF1,6.324187251211809,5.212774407382999,9.998014899323937,0.0033125057786889222,0.4051024683607049
CENPJ,10.143168887070193,4.2994089608475825,10.110753822212214,0.0033934751073598697,0.4051024683607049
GTPBP3,7.600506530029529,4.322152492092433,10.01710122718421,0.0034671332717268496,0.4051024683607049
MUS81,0.07892391413374229,5.459212858684262,9.872509715028485,0.0035351455775228103,0.4051024683607049
EBAG9,9.584646704212402,4.386724975080021,9.959137647293122,0.0036237172048211317,0.4051024683607049
SKAP1-AS1,7.441503771702463,4.23342172552209,9.87642153660652,0.003646599454010102,0.4051024683607049
ARHGEF5,3.7674442202027554,2.1518794102672567,9.599375351492487,0.003733773367069679,0.4051024683607049
TRMT61B,8.792291104640366,3.8629259543799797,9.825472672572946,0.0038017721016789245,0.4051024683607049
PGAP2,1.0514749848682077,4.409598390940448,9.632403694668444,0.003859109635820277,0.4051024683607049
HPGD,4.213303821157867,5.631363725250802,9.585762280691968,0.0038638381775496153,0.4051024683607049
TRDC,-5.4571908011425085,5.7416876353908926,9.379789103365718,0.004098825427354242,0.4051024683607049
CDKN2C,7.614633110123907,3.8759960579437345,9.604034571322616,0.004122596786441332,0.4051024683607049
MAP2K6,-4.2500127207757314,2.4404430724798494,9.278158836267203,0.004163846197565366,0.4051024683607049
RASGRF2,-4.3167417250873275,4.340963154861516,9.26882193397347,0.004202992625778997,0.4051024683607049
TSEN2,8.35849068590152,4.451138063302034,9.559892184314752,0.004207240753618104,0.4051024683607049
ELAC1,-4.839485727121952,4.492767854945187,9.266103869960167,0.004229672456036819,0.4051024683607049
ZNF585B,-5.879132601410634,5.279039955923192,9.505540619388684,0.004247826483309969,0.4051024683607049
RRN3P3,7.953596098407099,3.8791947624162018,9.511964473946744,0.004273600204235365,0.4051024683607049
CLIC5,6.9246945362721295,4.165656956482887,9.436682093949335,0.004318494983900555,0.4051024683607049
RNF139-AS1,-3.548198677036767,5.165603778562069,9.289359441003482,0.0043478096674563,0.4051024683607049
VAT1,4.607360864342666,5.208298181411408,9.253426585326888,0.004355222985518109,0.4051024683607049
AL031708.1,-3.507063994688003,1.8325517161787328,9.06609204007198,0.004453019978151513,0.4051024683607049
RPRD1B,-2.368431964395438,5.224056976816712,9.268741351403593,0.004525997025567781,0.4051024683607049
NDUFV2-AS1,7.511600700783522,4.335851591020315,9.340858025334564,0.004576033955494583,0.4051024683607049
S100A13,-4.121198955692541,1.7076084172818242,9.100965342212673,0.004588460224071781,0.4051024683607049
BCAR3,9.00759396051098,4.147126798857318,9.339519709243316,0.0046077666733972,0.4051024683607049
