,logFC,logCPM,F,PValue,FDR
ISM1,5.114534078184531,2.7553220498710513,22.251358688835484,2.7545136683629928e-05,0.1218009857627895
FNBP1L,1.7951011761956597,3.749353206503727,22.608470932643947,3.854872269189419e-05,0.1218009857627895
PLPBP,-0.7544431222084759,6.6551071350220665,22.090304938569492,5.4759983260642396e-05,0.1218009857627895
AC027018.1,-4.432991449375489,1.4809677779150494,21.04748786365652,5.734710005945889e-05,0.1218009857627895
AL133330.1,5.5119845314943605,3.2367838776849958,19.25291676505287,8.100056591374756e-05,0.1218009857627895
EGLN3,5.206623658043061,2.982055065686695,19.55907997140674,9.254614806822263e-05,0.1218009857627895
LIN9,5.869768862326165,3.78860171695322,18.903338587613803,9.375893836574327e-05,0.1218009857627895
NDUFV2,4.222676202695071,5.482985905473654,19.786513655579018,9.683223594492909e-05,0.1218009857627895
ZNF382,-1.5222173496098212,4.078013514111748,19.544201736197753,0.00011393205630125414,0.1218009857627895
ATXN2L,3.259955142239409,4.963954074399267,18.807748266156995,0.00013881381543143912,0.1218009857627895
DAPK3,4.4856407303794725,3.779356341769075,17.81786481766787,0.00015467265026074476,0.1218009857627895
AP000787.1,4.230185877427941,5.465385744531156,18.113804027296823,0.00016612417888423771,0.1218009857627895
ARHGEF18,4.002615016519617,1.30023730412493,17.203589058622317,0.00016810378739116061,0.1218009857627895
CLSPN,3.8671826875213746,1.90568630293103,17.011634654249928,0.00017467164913498288,0.1218009857627895
FAM157A,4.615115323190148,2.5069355186996702,17.048002159735063,0.0001772803925019761,0.1218009857627895
ZNF598,3.898495724203646,1.6362772337166165,16.704331039761982,0.0001904325878554953,0.1218009857627895
FUZ,3.7848847713293203,1.439118578096351,16.087236482482847,0.0002446739174136219,0.1218009857627895
ZNF524,4.182014884766114,2.668513232080219,16.241655016758607,0.0002465217639182244,0.1218009857627895
RNU7-49P,3.275546960968476,0.9870275677482385,15.673062089154508,0.0002727345811509824,0.1218009857627895
AP2A1,4.93704689005907,4.604028687500362,16.46849878119476,0.00027379392099171924,0.1218009857627895
CDHR3,3.959986383729647,3.913225680078316,16.368431560770095,0.0002764137396611565,0.1218009857627895
FAM213B,3.9998449240221805,3.6629948496095204,16.058822549060157,0.00027703536541889314,0.1218009857627895
SLC26A2,4.667718744625253,4.7416458642992385,16.42274511464292,0.00028098108526478273,0.1218009857627895
