,logFC,logCPM,F,PValue,FDR
PLAA,13.245836229243372,7.732136691701926,20.076148705057882,2.4229571810880998e-05,0.10238085018460966
CRYBG1,-1.3064147925867173,7.6663323991022425,19.162463501990675,3.484738635005126e-05,0.10238085018460966
NOLC1,7.369408526123468,10.168598638767241,18.16543987502517,5.314550511152193e-05,0.10238085018460966
ING1,7.348179872559875,9.800944894791705,17.758277826260734,6.308123856106572e-05,0.10238085018460966
ARIH2,-2.3703802430219105,7.3126651486466425,14.474929110406146,0.00027063151088770347,0.20684713372858735
TPK1,-9.584324394848505,2.357766859568165,14.509184799356907,0.0002738451589211718,0.20684713372858735
AC079414.3,-14.33181743066059,7.542895860453333,14.27063860838003,0.00029729564696610763,0.20684713372858735
SOS2,3.7096708096758917,8.34826489469,14.13082714772887,0.00031667055751256976,0.20684713372858735
EIF2AK4,7.143955526023461,9.63690420930401,14.034489233295004,0.0003271311974275124,0.20684713372858735
BCOR,-6.924842253274596,6.493870243583198,13.59843763641577,0.0003979737282755122,0.20684713372858735
IFIT3,11.13625278973792,7.803916009099651,13.544167390071125,0.00041746903770086284,0.20684713372858735
TAF11,9.164841840903415,8.002714554493219,13.204859135442394,0.0004816262623512355,0.20684713372858735
ZNF81,-13.035242603213147,4.871615439048985,13.24897227459072,0.0004947325500828799,0.20684713372858735
ZNF518B,8.200409996665128,8.079709708893018,13.108249503778797,0.000499776748507681,0.20684713372858735
MFN1,-2.9585206713771224,7.236110826919576,13.051561166464937,0.0005178383273026266,0.20684713372858735
CEP57,4.819918516581878,10.038352337900548,12.896415190112409,0.0005580098313159648,0.20684713372858735
SNX1,6.302809343796169,9.193340856440125,12.825655388197093,0.0005741242972304613,0.20684713372858735
ACSL6,-8.695582618922538,6.743455904641545,12.633863222861443,0.0006204835880336033,0.20684713372858735
AL121839.2,9.890462789216496,6.855329597909845,12.534653551005997,0.0006513876515532282,0.20684713372858735
NPTN,-11.975425600025746,2.4574784629335302,12.553984153361986,0.0006650595641090076,0.20684713372858735
ELOA-AS1,-10.603877916061844,2.9247854336416763,12.58256083072089,0.0006690988614140995,0.20684713372858735
ZNF600,-9.049602389827573,6.864370083450567,11.923825319200237,0.0008683528012464005,0.23148658981604678
STAT5B,6.793264975722402,8.558098885010368,11.893485074551048,0.0008846256487185945,0.23148658981604678
AL139246.3,-5.371649912255922,2.94714019336821,11.787420145629065,0.0009087803795002293,0.23148658981604678
