,logFC,logCPM,F,PValue,FDR
PTPN12,-12.147318190443126,8.10253375794328,35.583538179708725,8.200708182760254e-07,0.006617151432669249
GPR22,-9.010465785711272,7.551611744661591,16.715139705803722,0.000221289192587989,0.5800004801119296
C5orf24,-10.055742258270161,6.727881743402707,15.988157370279646,0.0003025498952606926,0.5800004801119296
WRN,6.125291799858796,6.281838348609028,15.103196569571875,0.00035329807662397425,0.5800004801119296
HLA-DMA,6.519347502765715,3.7505250560669334,14.538222338192417,0.0004589440564352965,0.5800004801119296
AC026471.4,-34.587765361299354,5.194462480705001,15.012578357838448,0.0005060376334252749,0.5800004801119296
GFM2,8.366048919822664,3.925526453651391,14.296089749208244,0.0005736948503314103,0.5800004801119296
HERC2P9,6.2603956666028235,4.255952866235168,13.805475681783507,0.0005750407536120259,0.5800004801119296
LCMT1,5.7395050845987425,3.2068710845274935,12.611750506058558,0.000938841286978179,0.7491944195384637
ERAL1,7.157348211628842,5.0021657778475,12.545473922127677,0.00096891297112013,0.7491944195384637
HSD17B4,-8.111674053498417,6.952287445095956,12.214597432110342,0.001218815787857269,0.7491944195384637
FAHD2A,5.926558409623647,5.97245932444295,12.043178632068217,0.0012236965994316513,0.7491944195384637
RHOT1,-5.938588492250964,7.661850986807552,12.043209407224836,0.00135340268087331,0.7491944195384637
KIAA0825,-11.382261080250057,2.6800701101910973,11.947125314813128,0.0014434770298093328,0.7491944195384637
AC245100.4,5.489360675781229,3.1691914531634344,11.34919933510755,0.001599131201763513,0.7491944195384637
NME4,6.333335350398305,3.3097354693086207,11.32635349113258,0.0016284247006005635,0.7491944195384637
XIST,-9.861992494549204,6.578195379398573,11.44616316511155,0.0016686933134985459,0.7491944195384637
RAP1GDS1,-3.4696862689970565,8.178645403194375,11.564318414953028,0.0016712727167793216,0.7491944195384637
TCP11L2,-9.13512938026789,6.237144390666538,11.177975725318513,0.0018451557001515327,0.7545699012716308
PYROXD2,6.437267562787824,3.142372203504567,11.023089066784896,0.001870293471983222,0.7545699012716308
KLRC1,-7.755051520623772,7.417354155567694,10.87148818418323,0.0021454537445297836,0.7673354152772978
CYP3A5,6.307559392744799,5.032169983390005,10.545081545383464,0.0022949297160609647,0.7673354152772978
HAUS6,5.888172953291512,4.351922738002941,10.346648222678816,0.002463840466399186,0.7673354152772978
SDCBP2-AS1,4.635716277055995,2.2422283532851655,10.362320087326044,0.002495671572243427,0.7673354152772978
SPIN1,-8.158208318105766,6.254449435403049,10.282042629427202,0.002670102857892996,0.7673354152772978
CCL4L2,-9.944483385856662,4.517587542478467,10.43661643456717,0.002677662693992892,0.7673354152772978
