,logFC,logCPM,F,PValue,FDR
NCL,-0.2913980885595917,9.262088571416538,123.90184324786503,1.0972217717521814e-12,1.4369216322866568e-08
GCC2,-0.7962607388422398,8.511412263588458,66.8729632478396,1.9725514480002866e-09,1.2916266881505876e-05
ARPC5,-0.8738576899506592,9.90120694616004,48.88566097585439,5.5371081730011576e-08,0.00024171322877874384
RETREG3,-0.9870514968173929,8.043174542596429,45.15169796419595,1.1649386404411219e-07,0.0003814009108804233
SOX12,3.893891181174024,1.3569243452455455,36.0966023243557,3.409718152044514e-07,0.000893073378383499
ADAM19,-1.185840702083658,7.685597347519342,36.08628379292394,9.454920047459784e-07,0.0020636938823588888
C8orf58,-2.2103341537095353,3.4727341994242926,30.136539449276697,3.482753287338093e-06,0.0065157338644256674
PTPN11,-1.3561279726996804,6.910937350953243,28.75927940304232,6.24770765634278e-06,0.009512243133765108
NUP153,-2.189067937984109,7.140455444754914,28.586363004642322,6.537124939209375e-06,0.009512243133765108
SLC9A6,-1.0772180201046977,8.680867249580947,26.340042626683182,1.1897497782056143e-05,0.014266359665965367
GZMB,2.2101828530618244,3.6481480562739055,25.674322186345893,1.1983044924069873e-05,0.014266359665965367
PTPRE,-1.012399532264386,9.355738662667589,25.452228983429464,1.5727398688165158e-05,0.016338715792130077
PCF11,-1.6006298517085078,9.17452592549338,25.447090128879466,1.6218945120471214e-05,0.016338715792130077
MED19,-0.7372415697851892,7.711371273281651,23.738315193097552,2.436527928104072e-05,0.022791978390322088
RPE,-3.3947325603299965,9.227460368559063,23.657631259956766,2.681682124484976e-05,0.02329929785001003
CCDC18-AS1,-1.2731391144568227,9.041552256624694,23.279773225362838,3.1096787957782866e-05,0.02329929785001003
CRLF3,-0.5492848387887379,8.77758980137408,23.243562586514866,3.142589036341516e-05,0.02329929785001003
L3MBTL1,1.2504318453680883,3.4175255900302557,22.704543928825363,3.202408073458923e-05,0.02329929785001003
TAS2R30,-4.501932113932369,1.6914043300789001,20.52385562247996,4.163623973683275e-05,0.028698326083871666
FBXO4,-1.7960579390268778,7.1005493580900225,21.538932767708232,5.218609530431858e-05,0.034171455205267806
UBOX5,-0.6395466032636907,7.201830657574023,21.276998677269848,5.526828072950123e-05,0.034466352592073715
TCEAL9,4.4754818378374175,1.6102474023875035,18.88252034657161,7.699511174911684e-05,0.04583309015756519
SNHG26,4.933732999701439,2.5135238458856852,18.441757085897958,9.954075186479789e-05,0.056677638540060575
RSF1,-1.452860580943673,8.243781421387375,19.277816409976655,0.00010996738438596539,0.060005536079941774
CCL4,1.1201188845011203,2.930284033892513,18.04458890188139,0.00013946001657952667,0.07305473508501925
PFN1P8,1.5417496050468174,0.9196861830847151,17.42556827822305,0.00014889363360121388,0.07440969404696805
MKRN2,1.871195912774636,6.110335207061245,18.2014149677085,0.00015341033439738374,0.07440969404696805
CSPP1,0.43871661272737134,5.742089469124105,17.6684505609982,0.00018349091695113958,0.08582132315686157
AL355488.1,-0.27959842642680577,4.317718525822142,17.069971457134216,0.00020289670831579953,0.09162535490012796
CCDC34,-0.7810342245801336,2.621091550385903,16.57008605753366,0.00024365521651655624,0.10636362385002736
PUM2,-1.7226004269981463,9.24389911514926,16.599722354006595,0.00027363753901689847,0.11022246539623923
BX293535.1,3.8256669068720015,1.8565947495065813,15.731747999247146,0.0002774158495977042,0.11022246539623923
ARHGAP17,-3.34259811725134,7.551905069751172,16.50280067250895,0.00027774445312125034,0.11022246539623923
AL157392.3,2.3801781145358953,4.910116080761476,16.148663721652195,0.0003017154598935474,0.11621369596370285
PLAGL1,-4.0948365019428286,3.904867395668122,15.613471530755174,0.0003121358900794273,0.11679233189943372
LYZ,4.52803044859458,3.1482878524903657,15.36669237180473,0.0003294783576592942,0.1198569047751699
RPL38,-1.0325608745851196,7.71017762763951,15.279782018649547,0.0004355900331753979,0.15417532633689218
FKBP3,-0.9620753998391478,7.316084126390095,14.629678272370931,0.0005506145618372819,0.1897591658373959
GIMAP1,-1.3041145134986847,9.698066059025122,14.564694441651838,0.0005670489110235039,0.19041211637855915
AL390719.1,3.6410568010448,1.1351602382769606,13.688225555168044,0.0006010454332142076,0.19678227483433156
LGALS4,4.059731571229993,1.8632988351990698,13.280383168009882,0.0007225888097140565,0.22822050624959916
AC005785.2,-0.5895812577519423,2.820501046322804,13.429413060577138,0.0007511263088009189,0.22822050624959916
KCNQ5,4.000652813228671,1.9437986278042894,13.16554122313905,0.0007629803042261415,0.22822050624959916
RPL9,-0.8558108456557697,9.91942602176757,13.708581201240582,0.0007803383074548504,0.22822050624959916
