,logFC,logCPM,F,PValue,FDR
ZNF776,5.593874667292314,6.030709587547859,28.341630837620137,4.411495293762466e-06,0.04105778669904727
ZNF773,5.4018046436377265,4.825757829121835,19.592092498426,6.643197060586773e-05,0.13902036048775673
COX10,-0.9770617323736438,5.766205188988598,20.49029797522107,6.797087208901301e-05,0.13902036048775673
PPP1R8,5.0371034224737326,3.350575078404412,19.27579677301522,7.161543635430458e-05,0.13902036048775673
CENPBD1P1,-0.9771942060907342,5.299839005153692,20.180905710772212,7.468591409033884e-05,0.13902036048775673
TMEM234,-0.9708737381445525,4.121780604784509,19.44496950417646,9.171595708816543e-05,0.14226673543659263
KDM4B,5.452187069849497,2.9310953881022974,17.659582603075094,0.0001399486324700884,0.16057623963130352
Z93930.2,5.289973632556561,3.0332990464508787,17.449482259903053,0.00014989032290276097,0.16057623963130352
NDRG2,1.4752379156633662,5.109470618133232,17.97936711723279,0.0001554890069329619,0.16057623963130352
NONOP2,4.8249082665009615,1.5563165329512756,17.361934674594924,0.00017253275989180566,0.16057623963130352
ZNF2,-4.751383413165551,2.9463237043607267,15.847386165033946,0.0002473341703823079,0.18681782374088127
GTF2H3,6.080270162185775,5.799137866059623,16.618691684333506,0.000257598289046909,0.18681782374088127
KIN,-4.227727469600692,4.456734108673428,15.940825413780592,0.0002738018650448916,0.18681782374088127
AC011379.1,3.5644451496874834,7.127209396753175,16.317511666100785,0.00028101961237480795,0.18681782374088127
C9orf72,3.263731405267745,8.057373020008377,15.896640299232732,0.0003303953398258855,0.2048052354621843
SF3A2,4.5294019190221295,2.34517419954261,14.982180441332108,0.000369646351964537,0.2048052354621843
TRDMT1,3.2986474548613596,6.486626245187712,15.469119328947752,0.0003788916418824768,0.2048052354621843
COQ2,4.329919911545919,5.350441456368188,14.965622397471916,0.00040838802997531816,0.2048052354621843
SHISAL2A,1.3678743716988235,3.227219653781395,15.018260026997325,0.00041810459587208565,0.2048052354621843
NEU3,-4.121059049932757,2.6326822799322613,14.022621958658323,0.0004848417067100739,0.22143485085886352
ZNF584,5.642249295106601,4.871445661041895,14.39763708627563,0.0004996381076647829,0.22143485085886352
DCAF4,4.896335285008877,4.145362684086479,14.050532953119179,0.000526817867666192,0.2228679042895113
FPGT,-1.8271283186132505,4.0046156484467,14.327665369858822,0.000557293920454953,0.22551019642061945
CRBN,-1.735644377175307,7.648607851906536,14.320989754339209,0.0005910905970662085,0.22922000778730012
TMF1,1.8978487191993862,7.733422369331077,14.142991213469992,0.0006316708039031504,0.23515840687706482
SOCS3,3.509298750791623,6.8477577643852126,13.96946294309452,0.0006654120904252629,0.23819193559953544
FKBP8,3.7549938199833974,3.5595508835984577,13.294717110499386,0.0007139741149413353,0.2410681737079501
WNK1,1.840889668004104,8.251219484515058,13.778855842512762,0.000725250764351843,0.2410681737079501
MTND5P11,4.3724258738179405,2.909920405631124,13.181539462306741,0.0007528043458892457,0.24159827748935203
TIGIT,2.7732108827930784,7.107667335521061,13.426437844360578,0.0008256571352425455,0.24999898639995785
AC025171.2,-3.734632686647495,2.9605219081692717,12.801215400392506,0.0008344152367100109,0.24999898639995785
MSTO2P,3.722171145260417,2.6104597449850058,12.719556837757896,0.0008595645820133933,0.24999898639995785
SEMA4B,-3.8863072084404306,3.348287922762859,12.70481322100244,0.0008872313609112329,0.25022612957578316
PIK3R1,1.7035686017378586,8.764574017267694,12.953609825958102,0.0009952078502542222,0.27242351359753075
PAAF1,-4.114085200771869,4.469416229337834,12.240514730741321,0.0011671157954895295,0.29978740255274905
C16orf54,1.7073417882556896,9.160163050656438,12.400745532777686,0.001234568876070412,0.29978740255274905
COMMD4,-2.023350058910193,4.593100585540406,12.307681106486998,0.001247068382707379,0.29978740255274905
