,logFC,logCPM,F,PValue,FDR
ZNF780B,1.8097984798407047,2.7297013789689064,26.51200073258052,7.209677666378656e-06,0.055752437394106145
MEMO1,-2.9658623682532226,4.952687413389188,24.68906990099361,1.608251142852526e-05,0.062183030438392926
APOOL,1.7741309090977218,6.622301509030309,22.506024421467863,3.6282938880794225e-05,0.06979157231639584
PDE5A,-7.073521211918964,4.38906739868677,21.365851283453967,4.200798682823049e-05,0.06979157231639584
AC004918.1,-5.811615538455612,2.9328598240093426,21.332329820974984,4.512580648932875e-05,0.06979157231639584
SPDYE1,5.641490754183153,4.5328981442045215,19.05384199352834,8.926619597440768e-05,0.10752082185327569
SIK2,5.43123804251807,5.137269072753108,18.644973586983582,9.732907706878698e-05,0.10752082185327569
FBXO8,-5.494258951420094,4.112176928544827,17.617503200719117,0.00012829347399691813,0.12188301732824164
URGCP,-2.043606948512542,5.48009991416354,18.24700281029679,0.00014185272933585604,0.12188301732824164
HLA-F-AS1,-0.30075782915616645,4.392084346173452,16.55833534730393,0.0002526294603610469,0.19129798505563905
HLA-L,-4.457910537672522,2.7564597881924766,15.705489180499882,0.00027461262739496495,0.19129798505563905
EIF5A2,5.167687521523694,5.90837930864477,15.857356477939263,0.0002968544964008365,0.19129798505563905
ZNF267,-0.6603099358174067,6.260888349507348,15.490590239548574,0.0003852223125051755,0.2191518154676174
NBPF9,3.5356559456652255,2.4588567899608007,14.743161086972783,0.0003967574572024626,0.2191518154676174
LXN,1.4146221186809294,4.515461245673626,15.074759370754192,0.0004293992064606116,0.2213696042373273
LINC01089,-5.04703658709286,3.647737953436804,14.000052673588112,0.0005115514059395785,0.2472391888831725
ZNF652,3.0551752641293835,7.14621008067391,14.50678393569322,0.0005521590841109813,0.2509080719064834
AP001324.1,4.300876710746773,3.4973402530179993,13.79131836155897,0.0005947132368924841,0.2509080719064834
CCL4L2,5.295014602869343,7.047969766455343,14.01885970485251,0.0006402214234852259,0.2509080719064834
PPP1CC,3.2377494500179744,6.918865521405077,14.037075090217547,0.0006572943295193104,0.2509080719064834
LINC00944,-4.433051665914139,4.3840800940016695,13.40930130785118,0.0006813745648566082,0.2509080719064834
PMM2,4.089152130472554,5.724420607289002,13.475244206893617,0.0007236066805133791,0.25434774820045275
MTMR8,4.820613771692089,5.080527731313179,13.309834132576032,0.0007576759231418368,0.2547438223328619
TRAF2,-5.105254075693443,4.296597532760096,12.967164598356469,0.0008178513717807429,0.2635185274158535
ZNF836,-4.046730715265171,2.687713766172919,12.500022876283243,0.0009427941540559391,0.2786081828687297
KRAS,-3.527047357783969,5.553492758428421,12.555697371069863,0.0010973632909962873,0.2786081828687297
NUP93,-4.763113263619363,6.323523807524737,12.559885460413977,0.001102383799775422,0.2786081828687297
MRPS14,3.3334838974656296,6.6533184310893985,12.601607181280565,0.0011343927263468014,0.2786081828687297
SART1,-1.0361782626313796,4.3347300160881455,12.535945475660387,0.0011353451159647825,0.2786081828687297
AC138409.1,-4.910653615284609,3.7605859880024286,12.109873343332712,0.0011662767439101491,0.2786081828687297
FAN1,-4.563928571537264,4.121043418250957,11.982461391247071,0.0011974234284889101,0.2786081828687297
A2MP1,-4.775401477224958,4.550126978732348,12.046042546657272,0.0012005795044659861,0.2786081828687297
ALG12,-4.18305380694049,3.0515833931451284,11.868366311366787,0.0012282715742335882,0.2786081828687297
SNORD63,4.022536453350949,3.051192777844566,11.895655820635193,0.0012338750098662974,0.2786081828687297
USF3,3.4709651251585942,6.662424739824476,12.311556401840551,0.0012688227743209422,0.2786081828687297
UBOX5,-4.00600211525187,3.4781465798202396,11.84188763730891,0.0013247237950079931,0.2786081828687297
TMEM161B,3.468060973355174,6.578050145063003,12.177664206909588,0.0013346290617892915,0.2786081828687297
NHSL2,-4.47016135035358,4.342694510858678,11.72468403175523,0.0013690819796989173,0.2786081828687297
CTSL,0.28216159984511324,5.071504938901529,11.963107642279256,0.0014502630024746171,0.28756112302913367
EHD4,4.025888310902469,4.810241192445367,11.449251154553993,0.0016117752408162218,0.31159644843079604
TMEM259,3.794107894728381,4.697130994961754,11.282126372192398,0.0017977457712367543,0.3161393873374017
LPCAT4,1.4246047736509289,4.316701779107208,11.29475074403803,0.0018669895030882528,0.3161393873374017
DUSP10,3.3845577175412886,6.803628249825848,11.274226061898197,0.0019265815183219033,0.3161393873374017
BLVRB,-0.934287902099076,4.561053715991089,11.17270652229474,0.0019452196916209753,0.3161393873374017
TIMM21,-4.908360294318565,3.7127595227046783,10.863820930309842,0.001958167241907937,0.3161393873374017
GRINA,4.2769118866810745,3.894970398225631,10.895537673908239,0.001974258711607817,0.3161393873374017
AC020916.1,1.9405845611547143,8.130143431313225,11.232585454761885,0.0019812903561858466,0.3161393873374017
RUFY1,3.849477503151527,4.403218252528128,10.911492365259647,0.0019857727951487704,0.3161393873374017
