,logFC,logCPM,F,PValue,FDR
CCL26,4.4378864664920155,4.751058542771819,60.10191162145742,2.389653927369147e-10,3.0135925678052315e-06
ALOX15,2.0952758545020274,6.661825202792657,53.980127424961026,1.187925456626104e-09,7.4904639667558995e-06
NOS2,2.3085514731503416,3.2428449677905675,36.173339891600435,1.52779272136388e-07,0.0004871033369825511
CDH26,1.1911201520104293,4.294395595525118,35.97849764194712,1.5450109808343544e-07,0.0004871033369825511
ZNF667,-1.6197419076171264,2.9159244203069252,34.9610773141045,2.0581928943991542e-07,0.0005191174118253547
DKK1,2.744198529628676,3.845751604046498,32.18164352162829,5.136681648346625e-07,0.0009488697101212997
NTRK2,2.396405761047743,3.984676117375796,32.399927569509394,5.26690030199754e-07,0.0009488697101212997
MUC5AC,2.0863116288121133,5.637220252973448,30.373586050072507,9.642127575395194e-07,0.0015199608856663598
ZNF667-AS1,-1.2460549258028917,4.3611653789823945,28.317830775932364,1.6396448057888339e-06,0.002272184645859498
SERPINB3,1.1961094427070906,8.159845232523736,28.958766357780434,1.8017481927361017e-06,0.002272184645859498
THSD7A,-1.0450883152577697,3.839665452843455,27.42044514762752,2.160773755864434e-06,0.0024114999189909126
PLEKHS1,0.7566814590336548,4.308684234382485,27.72952010886831,2.2946633120205335e-06,0.0024114999189909126
AC005165.1,-1.7784066923295776,2.655323111366224,26.35745327341492,3.8162843572297375e-06,0.0037020893868480167
CEP72,0.9818976183812826,2.2807460041623804,25.805585891261845,4.299555116474898e-06,0.003872977826704639
PPP1R14C,0.9527863943843417,4.471921069777254,25.430812962227623,5.0782439191746596e-06,0.004014800689742628
S100P,1.2175514673694163,5.2010623908704146,25.53417003191034,5.093712713970506e-06,0.004014800689742628
HIF3A,-1.4424162384812047,2.7794172383815683,24.52170275399522,6.9006890847135664e-06,0.005119093532195459
KCNE3,1.0294567894180346,2.329620557818914,23.79994635344333,8.883092191088052e-06,0.006223593090100635
MFAP4,-1.260682874116012,3.8192393558674724,23.1506966062183,1.0248934084988825e-05,0.0068025951445154775
CTSC,0.7661579058520006,6.764303335125624,23.35555684705977,1.2269090422400345e-05,0.007736274965844537
GDNF-AS1,0.9046195311033219,1.9240456594800093,22.70935175592645,1.3615157535305106e-05,0.008176226270368223
IGFBP5,-1.1757490797288808,7.105492466832006,22.946778452349324,1.4384142726904976e-05,0.008245382905863576
H19,-1.718382621335648,2.6278512761548654,22.181509218846376,1.6882864899999837e-05,0.009256948228430347
CD44,0.7999342000976177,7.580201474455356,21.347221338000075,2.5678883786584806e-05,0.01301270161211457
CNKSR2,-0.9751660382110959,2.559462014874655,20.94744686208172,2.655985641606696e-05,0.01301270161211457
DLL1,0.7552718631289213,5.661118839620582,21.050210958635024,2.726651488182249e-05,0.01301270161211457
PEG3,-1.2337779570256593,2.971238259981706,20.747925916176065,2.8235743736096015e-05,0.01301270161211457
C1GALT1,-0.5131372386695637,5.704673124167532,20.891519168371413,2.9580670891214983e-05,0.01301270161211457
NFE2L3,0.7996905302689662,4.463141651166648,20.663558354505888,2.9923744885522365e-05,0.01301270161211457
CAPNS2,-1.0442418625020018,4.013757073617042,20.045734890527974,3.443798138105011e-05,0.014476579439880765
