,logFC,logCPM,F,PValue,FDR
ALOX15,1.7023274642592041,7.504264029190176,52.85203951907169,1.9024570366420447e-09,2.0059506994353718e-05
CDH26,1.397929956963273,5.512245038053494,46.04609560506658,1.0296157826335324e-08,5.4281344060439824e-05
CST1,4.808622813148991,6.587467824930681,40.11296352401747,4.5825445541481576e-08,0.0001610611659297939
NOS2,1.7969443919915118,5.69599173305082,39.42776211261558,6.645888486850835e-08,0.000175185620513388
ALG1L,1.0655510031714321,3.666922153922782,29.16627609119133,1.3041170660156055e-06,0.0027501220688137093
TNC,1.1349339540591339,5.187651025797934,28.071573251851905,2.2778789963300475e-06,0.00400299268955067
CHST6,0.922560856063667,5.053481437015056,27.084155026223133,3.1956375973597237e-06,0.004813543260937275
DHX35,1.1973742048096057,3.9949257691507243,22.841630413563678,1.2802226377207741e-05,0.016873334365159802
AC010329.1,-1.2753535343047713,2.913062768100987,21.968472274991658,1.7184662704727307e-05,0.02013278706207164
POSTN,1.766893796319355,5.474422496236216,21.73663571806579,2.1211582656033034e-05,0.02073796670247995
TMEM62,0.6692527063374263,3.659066644059467,21.361316988518645,2.1634828691889174e-05,0.02073796670247995
ZNF667-AS1,-1.2236222846757943,3.8126350660664756,20.958414272210554,2.6437319769039092e-05,0.023101296881580292
LMO3,-1.2176324282010953,4.22935828625362,20.75478263301996,2.8482251466288296e-05,0.023101296881580292
LGALS7B,1.64509636003413,5.646927265377073,20.60271099652294,3.3154937334870015e-05,0.024970404232776387
HSD17B13,1.3510885046320216,3.159470326516453,20.06576788829264,3.614835685797053e-05,0.025237374446868476
CD44,0.8414784988144115,7.013114409378215,20.038556642724757,4.211986326566658e-05,0.025237374446868476
CELF2,-0.6772264106303932,4.116124164243698,19.53065399922767,4.530979163705857e-05,0.025237374446868476
FAM83D,1.182360078707511,4.613608263236928,19.64835598372492,4.5318793244595486e-05,0.025237374446868476
HPCAL1,1.0033578839264095,3.2345451057159837,19.43016170935798,4.547705941677742e-05,0.025237374446868476
ITGB2-AS1,-1.4959949338751264,2.794294222547852,18.324153059208324,7.029237745941119e-05,0.03705814139660158
FOXA3,1.0181241305539064,3.2047509074311944,17.320153984578518,0.00010552024791334406,0.052981213999919036
