,logFC,logCPM,F,PValue,FDR
ALOX15,1.6614924527237998,7.77769141843852,46.69854781661848,1.506362848357908e-08,0.00011912317404814336
CDH26,1.5830807468490462,4.93146255215053,42.17790713001524,3.900511493098671e-08,0.00015422622443712146
CCL26,2.9690279401591786,6.1004628313939815,37.87015504276818,1.29292479885605e-07,0.0002937238093900367
NOS2,2.1974357248181047,4.359209933938161,36.49071943320034,1.4857046504301297e-07,0.0002937238093900367
POSTN,2.4152432405423854,7.206412605592473,28.57019769290035,2.6295656028439715e-06,0.004158920957458025
MUC5AC,1.949094605381755,6.142432013109875,18.515502572512315,8.32267501465701e-05,0.1096928566931794
WARS,1.311259570737274,5.218518536153094,15.859571386069884,0.00022944016042891036,0.20003332453169606
TNC,0.9157659954572711,6.315788268193918,15.893426236269399,0.00023378181066729386,0.20003332453169606
VAMP5,0.8025108284658266,5.316964498130498,15.736946653870362,0.00024416268902607645,0.20003332453169606
S100P,0.9506182494795179,7.482133005440617,15.556342047773919,0.0002672021348031072,0.20003332453169606
EDN1,1.2935899928335834,6.168405424442072,15.445815911075796,0.00027824564616194447,0.20003332453169606
TFF3,1.0769896540377626,7.093018709793672,14.89458193903778,0.00034795412618336403,0.22822568947501568
NRP2,0.7239745543082771,5.593766075124129,14.684070124488509,0.00037518133069994994,0.22822568947501568
PHLDB2,0.8095541105435146,4.5456043888844,14.309130151620462,0.0004186231216621364,0.23646226043601248
CD44,0.6195444758328035,7.979965439325911,12.987663881213301,0.0007580775182763729,0.3996584676353038
FST,1.593164121945268,5.751138774755466,12.732938595295872,0.0008309897342041811,0.40321494284625464
ZC2HC1A,-0.5293078709343553,5.738334060205115,12.652035371392861,0.0008667999530078817,0.40321494284625464
RPN1,0.4566263234007715,5.80862197783873,11.656643790699174,0.001328214508254734,0.5835289072932465
LYZ,1.6122466540031903,5.851194084427447,11.15680468349886,0.00164356620475157,0.6840695551144956
MYO9A,-0.6487442865156614,5.155434921342204,10.985242113238867,0.0017550605709429135,0.6939509497508279
