,logFC,logCPM,F,PValue,FDR
CDH26,1.983661659944147,5.144113447954715,67.43332047321066,3.556254925146437e-11,3.6444500472900684e-07
ALOX15,2.0295495422028718,6.245392733785209,46.60178493280927,7.994998992354286e-09,3.968843102188485e-05
CD44,1.3793000945439464,5.888188258061965,45.23861092339484,1.1618393156289475e-08,3.968843102188485e-05
MDFI,1.553913440213126,2.5203417162730486,36.14330955679783,1.3157791879187383e-07,0.00033710262794478074
ITGB2-AS1,-1.9450264675036286,2.6777117106646373,34.648316781478925,2.0085899593028815e-07,0.0004116805980587186
CHST6,1.0774522299365743,5.0127890414852985,34.38450675462031,2.615288846046084e-07,0.00042170947165227
B3GNT6,2.236299266463638,3.210536720285727,33.59916653970692,2.880529177952664e-07,0.00042170947165227
ABHD2,1.0666009948497404,6.40541248877003,30.37864300793094,1.049028976928797e-06,0.0013438061194457889
SERPINB10,1.7338348316608008,2.9685307686525957,29.024792558650233,1.2870483270105678e-06,0.0014655190283560332
AL121761.1,1.9912241696965418,3.777687427461086,27.070040425821073,2.5533705793381644e-06,0.002543944262276938
SLC7A1,0.7784644713506244,4.908959016580236,27.118038800307094,2.880485880552918e-06,0.002543944262276938
MIPEP,1.1035144433719553,3.3893013579456746,26.451840891245343,2.978857449972995e-06,0.002543944262276938
FAM177B,1.7445158764954367,3.766559613894878,26.36488943897457,3.2773776067240074e-06,0.0025835819779775095
HSD17B13,1.4925901405829467,3.737851173753709,25.162628571045566,4.810816514413184e-06,0.0034226326934546428
CEACAM5,1.9504667425453632,7.253676898620817,25.759924322619614,5.009708274962884e-06,0.0034226326934546428
TNFRSF19,0.909424562051944,4.556453369526819,24.85362463342376,6.135592517989047e-06,0.003929847007771985
RNASE1,-1.2160458112536088,4.522134392392231,24.311459902314407,7.155846041351416e-06,0.0043137123665746655
NOS2,1.3754925971779006,5.202823585650757,22.377184907624155,1.5996352996861658e-05,0.009107256972879904
IGFBP5,-1.1049307260747423,6.249639110738265,21.556511840857723,2.2355808819182015e-05,0.01186082234293971
VSIG10L2,-1.1017863996673405,3.6952247971442906,21.14595107387346,2.344898646849278e-05,0.01186082234293971
THSD7A,-1.2344987613304805,3.4293584908197596,21.058721788340602,2.4304963817499406e-05,0.01186082234293971
LRRC8D,0.7659956424896743,3.274148105273623,20.548491490397083,2.7428793522780243e-05,0.012776830728247814
SHISA2,-1.0453260997653946,4.008118326134075,20.0133196880273,3.5051472655448174e-05,0.015261495798818272
SLC7A11,1.3159261287168136,2.60604377674325,19.988739539271712,3.6459167862311566e-05,0.015261495798818272
CPE,1.2089468301329038,2.8143506686355066,19.873536775544412,3.723042495808517e-05,0.015261495798818272
DHX35,1.2087561510892408,4.880824446057107,19.751488956596344,4.221550661581537e-05,0.016639404299956764
AC010329.1,-1.2097531509121522,3.5513194521214153,19.358715909054993,4.654802696353464e-05,0.01755837802294606
PEG10,-1.4525672016552034,4.487676501983909,19.250497784551285,4.797371044520782e-05,0.01755837802294606
ZNF467,0.8800310882081195,3.355292123694959,18.923537046515225,5.226286149111885e-05,0.018468613950378826
SERPINB2,1.9800628631644148,4.7123202285735415,18.970614207630188,5.5640918459835593e-05,0.01900693774587984
SESN3,-0.8666540300662776,4.367096750093877,18.57837070324258,6.254765703047679e-05,0.020485271068235625
RPRM,-1.0017935775094824,2.814797378454789,18.53025889330478,6.539760666625546e-05,0.020485271068235625
FAM114A1,0.47244677263847557,6.753012905897906,18.7532366586673,6.596545133214048e-05,0.020485271068235625
CD24,1.0192851842565815,7.908554780363942,18.38482451215042,7.596173280563573e-05,0.02235738565803679
ZNF667-AS1,-0.9830359251545342,3.611812253912585,18.03026271100751,7.792601139724115e-05,0.02235738565803679
C17orf107,1.0817213346986434,2.3393474372611878,18.105315102099567,7.853882549661635e-05,0.02235738565803679
PTGES,-0.9878632788308007,4.7640044306845795,17.952254872952643,8.208998653018178e-05,0.022736707620575756
PCOTH,1.3852121091262126,2.7970779495267952,17.707313602858274,8.87117487495669e-05,0.023924157925935833
SNCA,1.10813332664352,4.045544027383355,17.344870782440935,0.0001019315828263618,0.026428502319526006
ZDHHC9,0.595854326319388,3.8193296104912515,17.262778114279904,0.00010417306404576398,0.026428502319526006
LRRIQ1,0.9678181914287585,3.4406404646206625,17.158245185817147,0.00010695418968002357,0.026428502319526006
AC110619.1,0.8482847093829385,4.485977735656671,17.290959776770908,0.00010831353409641806,0.026428502319526006
PCSK5,0.8847635425213057,3.278309339497603,17.017858215985484,0.00011486220909873424,0.027374602763809968
ZNF493,-0.6708439055577737,4.0028234825716495,16.893775895893675,0.00012168645306736066,0.028076525162234217
ST6GAL1,0.7073945292342694,6.942359787555779,17.11654457011882,0.000125415649978697,0.028076525162234217
CA8,-0.7768429432069137,4.199966681938447,16.82204828398386,0.00012602655712946661,0.028076525162234217
ORAI3,0.7930626872128764,3.6628533691511374,16.32622952766561,0.0001521531095496545,0.03245386547143128
LAMB3,0.7869794947551095,4.45343283821585,16.39423768759494,0.00015589300105818516,0.03245386547143128
KCNK6,0.7474001220240399,5.269959869106467,16.47586234874036,0.00015837568009272125,0.03245386547143128
ELF5,-0.746456684215906,4.149804175788019,16.220847297268616,0.00016117356318926746,0.03245386547143128
FLRT3,-0.9774059407461112,3.1235712024747224,16.227472903057848,0.00016613535178725518,0.03245386547143128
MEF2C,-0.7405362485139775,3.2763421906107224,16.143393959858354,0.00016755054860210632,0.03245386547143128
FA2H,1.016316046051005,2.736555762044851,16.145929230156458,0.00016784298106809698,0.03245386547143128
PDE7B,-1.0187365136076918,2.3634109630857587,16.107432802949692,0.00017705827899686477,0.03360172672518278
COL9A2,-0.6925860295325431,3.3970628613142244,15.89801230147109,0.00018264823163443715,0.03403234686890385
MALL,-0.8109449518939237,3.851774155417774,15.833722275403625,0.00019023667588680186,0.03426144318199145
HK2,0.6978619270047828,4.442399815162021,15.900304437080376,0.0001905642331551047,0.03426144318199145
CACNA1D,0.7472947966791906,3.229240979224636,15.650321137427506,0.000200010640112124,0.0348271606265513
AL158206.1,0.7472807342906864,3.10024599344805,15.659003308068886,0.00020050765778361894,0.0348271606265513
LMO3,-1.2818480953195244,3.5330784242362965,15.721221334407073,0.00020568578095178782,0.03513113138656536
GPRC5C,-0.4363639436876938,5.83997088779888,15.785510020785452,0.0002117870836457508,0.03558023005248613
SLAMF7,-1.0767194843995889,4.618859385564284,15.436567127013294,0.0002262936372040873,0.03702668918767323
ATP10A,-0.737153512948081,2.7569123444749577,15.433155431308982,0.00023008927402689332,0.03702668918767323
HID1,0.7518292548035191,3.9712519154573904,15.364638602893441,0.00023123615417750654,0.03702668918767323
SEC14L1,0.4639022443992607,5.864149841902038,15.470659075967856,0.00024219303033597755,0.037892042197554494
DNAJC22,0.8366561952745836,3.356302736491968,15.18774022702196,0.00024403540056973036,0.037892042197554494
C12orf49,0.5530185263581933,4.611052694141,15.16025274203884,0.00026235744410164213,0.04012894159930789
ELOVL5,0.5876086747239757,5.951321776601753,15.196512327464793,0.0002715507257742994,0.04022564955512985
B4GALNT3,0.7177929885815724,3.5328115858297293,14.909220696359197,0.000273591380524481,0.04022564955512985
TLL1,-1.2810829086373692,2.8257584431902125,15.021806449189143,0.00027476536581372843,0.04022564955512985
TUSC3,-0.5712223888480991,4.652963009805437,14.930314723017066,0.0002851307510439293,0.04115521037603081
LINC02057,1.2741720861631534,3.1099415418188814,14.771637451901494,0.0002930904544151384,0.04171654134508804
BASP1,1.15464745195378,4.188821110047069,14.707984232874644,0.00030886752804236336,0.04300579412410032
SERINC5,0.5282553884908531,4.894064288826006,14.781270784111399,0.00031234661048324693,0.04300579412410032
CBR1,0.4841774079838303,5.664786342649339,14.824533258454897,0.000314737954655301,0.04300579412410032
NFATC2IP,0.5951572544993838,5.067364607925257,14.671860108633757,0.0003294530628212377,0.044424144576211105
ABCG1,0.7476881762557724,3.225523682695562,14.360481467879467,0.00034545993807310216,0.04475033622299526
FUT3,0.6765127926162862,4.495925407067176,14.40160381840298,0.00035960245002093826,0.04475033622299526
ADAMTSL3,0.6131905465817147,3.1332252520152193,14.270866733595788,0.0003597879622141774,0.04475033622299526
EPHX3,-0.7163653166954248,2.8351053770233343,14.367411512437567,0.00035980736157594444,0.04475033622299526
MT3,-1.227288327282733,6.168649113680431,14.473950672024635,0.00036007626669396197,0.04475033622299526
TRIM16,0.5466283887820679,4.287915376270596,14.35049148063767,0.00036134350175086126,0.04475033622299526
ARL4D,-0.9168954550271785,5.000296173091465,14.375831878244684,0.0003624392961073972,0.04475033622299526
NOL3,0.5222099063477185,4.474139772838389,14.335965700639909,0.0003683307744160975,0.044936354478763894
ADH7,0.8008467844190638,5.1899677371182005,14.357115950434144,0.0003770852623005541,0.04512590551485436
MUC5AC,1.114235383113016,12.235269596573703,14.399385841848558,0.0003786912445625951,0.04512590551485436
GSN,0.9057759884951765,9.413172077220029,14.174675917174248,0.00041607084670096557,0.048509392432635336
NEDD9,0.8901887453409908,4.446949076436778,14.03504740166918,0.0004165521598430825,0.048509392432635336
ITLN1,1.7159236224262375,5.046535161546591,13.996585681212878,0.000424196318432156,0.04884453787969365
DPYSL3,0.8831865359117536,4.35481569961735,13.916702191192792,0.000438100968723437,0.04988509697197536
DEFB1,0.8285450102882375,5.359602052891549,13.92138032885358,0.00045655666699962355,0.05084046316909378
TTLL7,0.8977366768150773,2.5247305637995563,13.776651553437594,0.00046241823512529443,0.05084046316909378
POLA2,-0.64708800142039,3.582321276874923,13.705311387975351,0.00046290611250016637,0.05084046316909378
PYCR1,0.781741229105306,4.482093398086859,13.789223901632228,0.0004663352398414145,0.05084046316909378
SFTA1P,-1.4144055469394208,2.8012233531687474,13.720807123136078,0.0004779520479353314,0.05134443685211423
