,logFC,logCPM,F,PValue,FDR
S100A8,-3.1841142242447664,7.0087321695177325,31.110926163233927,1.1081200622688126e-06,0.003703871584574042
ELOVL5,1.1350318399423465,6.162046172396374,29.42911768163918,2.0190989036062865e-06,0.003703871584574042
MUC5AC,2.3529029469507035,9.128311740363777,28.770057733928557,2.7647710260567617e-06,0.003703871584574042
ALOX15,1.5146910545126941,8.614393725860213,23.40994865914112,1.5928490539081056e-05,0.013173724391306034
CDH26,1.242302328858078,6.374452375375018,23.161993248723903,1.6389306284282203e-05,0.013173724391306034
SLC7A1,1.0361104697719252,5.486601571115051,21.374771494962037,2.733750572879888e-05,0.01675389210452986
CRABP2,-1.4885771449840945,5.963036002055645,21.320508148199668,2.9180702844416278e-05,0.01675389210452986
ECHDC1,-0.6208579312307708,6.06493685955526,18.762070841174395,7.71636188492807e-05,0.038765073019407396
KIAA1324,0.7589097331509785,6.1605144617531815,17.65022404244028,0.00011982667790572873,0.0531324536916195
S100A9,-1.978684587141509,9.245051608804905,17.39169309864519,0.00013745502784449006,0.0531324536916195
TFF3,1.4466335189670287,9.235401565482503,17.24622461321386,0.0001454234860930118,0.0531324536916195
KCNE3,0.8577776578863939,5.991717375670885,16.77729540254059,0.00016491852835432574,0.05523396378800293
UTP20,0.9549129791347071,5.333717015355433,15.842755864344912,0.00022176968401493199,0.06581678105442636
CLIC3,-0.9465455105685397,6.291695964833319,15.940752254074482,0.0002292697026031274,0.06581678105442636
WARS,1.5089893159043535,6.481509506114986,15.088227074208996,0.0003268263564850844,0.08756767511423695
LRRC59,0.8689469108127992,5.927748065238996,14.353258009133116,0.000429212521420183,0.10781282022423222
SEC14L1,0.8270511167222431,5.748719448278852,14.131710817898304,0.000463606321005539,0.10960198847772125
ST6GAL1,0.8974717679507975,6.721009412116865,14.038864193602612,0.0005055467459988893,0.11287735400941867
EDN1,1.4784853959001207,6.225998616307176,13.16538481747226,0.0007035533822558255,0.14675678217053204
SURF4,0.5227880725442738,6.143772781233787,13.094993716213898,0.0007303149150063799,0.14675678217053204
NOTCH3,-0.7462357524666434,5.153020930603477,11.949168976095848,0.0011369604437350435,0.20354746012337213
AKR1C2,-1.1307583043464264,7.243641823582347,12.057064357606144,0.0011430311832364318,0.20354746012337213
ALDH3A2,-0.5984475125000741,6.7303694077524145,11.997170014110017,0.001165380562245051,0.20354746012337213
SEL1L3,0.7470988565890658,5.422047553026706,11.789429504391155,0.001215511083095529,0.20354746012337213
CALML3,-1.5281396559818565,6.482443420361522,11.233759933613522,0.0015864579814245851,0.2550389850938163
PDCD4,-0.5367648611200686,7.344577319853705,11.115639146387453,0.001717888897995748,0.2632984818796014
CLCA4,-1.198564080711002,6.610185716039966,11.007107712163542,0.0017688626550757002,0.2632984818796014
SEC61A1,0.7111915926720186,6.048498463288444,10.758040744782013,0.0019682934567408815,0.28252040723720007
ITGA2,-0.6679524782176282,7.692983108073876,10.722520308515836,0.0020404477809629275,0.2827779183341381
IP6K2,-0.5768079938497177,6.153938787450218,10.588159018636956,0.002115676293314381,0.28343010076101655
DNAJC10,0.7521504739695869,6.228771740225544,10.510002075233192,0.0022088058377457446,0.2863609890935532
SPDEF,0.9657516117004082,6.280370527665615,10.384312550472767,0.0023355678724980397,0.28725600096345666
RPN1,0.6305307203631505,6.246640200254595,10.360401446821145,0.0023586583806404753,0.28725600096345666
TSPAN13,0.8105802402724096,6.886960761560805,10.319485009636344,0.002433494681750884,0.28765338605755303
AHNAK,-0.4830747910655719,8.77327823645689,10.222989387979444,0.002546234548901203,0.2923804757723981
FLII,0.519250548317782,6.036189800224871,9.985647670181221,0.0027689549095986634,0.30912304949102853
SLC31A1,0.7046443982876285,6.938553575269403,9.82119332246066,0.0030349275351377923,0.3296587503707781
MTSS1,-0.7700304734679231,6.267041232808048,9.571478656848038,0.0033283376892148777,0.3457061896189297
GALNT4,0.6160490767868538,6.094830438346302,9.563142266104506,0.0033547005213083493,0.3457061896189297
