,logFC,logCPM,F,PValue,FDR
ANXA1,1.272616875292317,8.921523481425453,13.969159491985108,0.0009814835541141524,0.7194274451656737
KLF4,0.7543596401090805,8.975334818555798,9.3583221652871,0.005274085443558685,0.8037613656398593
ENSA,-0.7570463422931797,8.406546015160131,9.323231072058837,0.005344900262460534,0.8037613656398593
VMP1,0.834949486897433,9.302716607214546,9.052953553994998,0.0059434775971773345,0.8037613656398593
S100A6,0.5366120604564634,12.20351425472081,8.089722392925964,0.008762941990565992,0.8037613656398593
N4BP2L2,-0.5363250677053356,9.091762478903808,8.044679430141052,0.008957891160644958,0.8037613656398593
METAP2,-0.6032110148056987,8.49166370612667,8.043038404086268,0.00897524267655985,0.8037613656398593
ZFAS1,0.43053186354732126,9.023783609495311,7.32097783795192,0.012153767657113963,0.8037613656398593
EPCAM,-0.5370709252345469,10.197984448079469,7.17253850885512,0.012917183709947828,0.8037613656398593
MGST1,-0.8982944034904342,9.43771616495393,7.077999121010978,0.013473555964040646,0.8037613656398593
RPLP2,0.36069720304404224,10.863098496373567,7.0536256654599505,0.01359129916908236,0.8037613656398593
IFI27,1.3333010072644742,9.436186075532811,7.0423996007859255,0.013691953056846012,0.8037613656398593
SCN9A,-0.778542430364747,8.955505879033613,6.95020697598015,0.014254976471102552,0.8037613656398593
RPS12,0.39265811122037064,11.98961297952204,6.578535959568007,0.016727378848095994,0.8267150882737276
TMCO1,-0.6035820101268333,8.559646077829285,6.504371384878917,0.017344350387179353,0.8267150882737276
ERP29,-0.47275464064633205,9.320217938637818,6.401187417642657,0.01812986842656421,0.8267150882737276
ATP6V0B,-0.36029740712124186,11.543701704743645,6.177447296687883,0.02000564401409075,0.8267150882737276
USP53,-0.7277238054495324,8.448871634408642,5.972234462074383,0.022004992991943924,0.8267150882737276
HLA-E,0.6820175304304744,9.753985680139769,5.852205125090513,0.02320846272447365,0.8267150882737276
ADGRF5,-0.5108510099531074,9.719096192266193,5.610661962341874,0.025935240169700335,0.8267150882737276
FXYD2,-1.131055172164643,9.089610235049895,5.562306872687575,0.026551258328754535,0.8267150882737276
ATP6AP2,-0.4398540039828577,9.542274696493756,5.4620060768264445,0.027797137977890518,0.8267150882737276
EGR1,0.7761513890429239,9.023376429623243,5.385473583503561,0.028846621807031715,0.8267150882737276
SLPI,0.9683255510880702,10.29299417560287,5.279117543441451,0.03026506696246259,0.8267150882737276
TSPAN8,-0.7767379581543891,8.817398797956672,5.263324939322132,0.03054290714821859,0.8267150882737276
CST3,-0.43741185727676996,9.778983061609825,5.23551849216001,0.030901541639548648,0.8267150882737276
