,logFC,logCPM,F,PValue,FDR
CDH26,0.9004460614104907,5.682944780209638,40.654967264016825,6.656173088247264e-08,0.0007596024728307779
NOS2,1.4475663396429708,4.466992095008012,21.199676317066846,2.9068244178679202e-05,0.1379483451906617
PPARGC1A,1.204301772161691,3.3214444606931126,19.636618772225876,4.883987526919276e-05,0.1379483451906617
SERPINB10,1.5909841125262894,3.4424281130365633,19.187848018102358,5.7553998966011545e-05,0.1379483451906617
ALOX15,0.791684242573151,8.259061625329366,18.899569607308194,7.16117677528592e-05,0.1379483451906617
CEACAM5,1.6509828467380716,6.130009656968535,18.864081284985154,7.252804689309238e-05,0.1379483451906617
DHX35,1.089831526329793,4.13350683353209,18.275878695134704,8.496315356814612e-05,0.13851421550281193
SNCA,0.857324559046252,3.587161845131496,17.678146105238767,0.00010290981004836923,0.1468008440339987
CEP72,0.8660746606777835,2.5428420961459923,17.311934568791514,0.00012127447708719769,0.15377603694656666
SLC39A8,0.8109459854891518,3.364411644773227,15.57328464125073,0.00023702230419816916,0.2665553583292731
RAMP2,-0.7765864750617463,3.0572638992811014,15.425479355038108,0.00025693208391360005,0.2665553583292731
AKR1C1,-0.6759449376298476,7.11941676918616,15.177480788581159,0.00030366757163453466,0.2875018379144869
PEG10,-1.2276356599723053,4.201367316134963,14.822473087083353,0.00032750822755768755,0.2875018379144869
AC022034.1,0.6895668505516924,3.5585597520938257,14.456739675755012,0.00037658592850017803,0.3069713297174308
ZNF667-AS1,-0.8019284901130486,3.552702740468105,14.236178854581055,0.00042200145242584145,0.32105870500558015
PRKAR2B,-0.7894906877763948,3.9018860385329597,14.009688801778259,0.0004603946136149888,0.3283764581608907
SSUH2,1.2163498041761116,2.8617893907333416,13.45538134487044,0.0005751911983496925,0.36886116526851126
THSD7A,-0.9502185713791288,2.828922117430351,13.487139245475369,0.000581799945218472,0.36886116526851126
LINC02362,0.5764375078824334,3.000636414723621,13.03516921977387,0.0006807373985557933,0.386571130702752
CD44,0.8609646456233776,5.550279757065771,13.071961806253208,0.000716037081280748,0.386571130702752
AL121761.1,0.9678622924326412,3.5395787799355567,12.834067839623549,0.0007474995483384569,0.386571130702752
LINC01091,-0.6223204305809478,4.633753897627667,12.69157258154363,0.0008139432837551895,0.386571130702752
PYCR1,0.8163114145044906,3.0339485196203464,12.557704814825902,0.0008381581276005553,0.386571130702752
DSEL,-0.6743480068778225,2.6654994447678546,12.609719457296537,0.0008425880140611882,0.386571130702752
C16orf54,0.8177155617690579,3.407315323830622,12.534562294874746,0.0008468522842243954,0.386571130702752
KLHL6,0.4401736268975989,5.81632222202404,12.464827868403237,0.0009280155760442038,0.4073274520698636
TMEM45A,-0.9981542551807578,5.831841462684735,12.326581728464083,0.0009737029707375095,0.411551788965054
KCNE3,0.5654808426338457,5.759416504115459,12.240971286421045,0.0010207581399287286,0.4160318533166661
XYLT2,0.626607267137747,3.1798936494266266,11.981624034051997,0.0010731529890279869,0.4208733802523547
ANKMY1,0.43266433077919725,5.582365637484359,12.047209294539945,0.0011063968986654961,0.4208733802523547
ELOVL5,0.47465063056946294,5.884659272372967,11.91870224980246,0.0011715644262977535,0.4312868784809666
PAQR7,0.7186169585130285,3.7049798686736013,11.644958598001917,0.0012545325373874857,0.44723007884712423
SCGB3A1,-1.3089878879685035,15.179196233131325,11.689185880505152,0.0012932520681699176,0.44723007884712423
PYGB,0.4828426770440246,3.8198508053406726,11.478531757091396,0.0013568341756291064,0.4554174003611577
AP1S3,0.42209907690041265,3.884161148849251,11.3946832355215,0.00140666578006872,0.45865342520412095
GMNN,-0.5334577313399201,4.378785530550233,11.287991566444688,0.00148568558826966,0.46377016705912133
CHST6,0.48408810040437666,6.265429700241159,11.32256336142043,0.001517160915602926,0.46377016705912133
ACADM,-0.45646154482946805,6.5700991418670345,11.197173689440877,0.0016010232161248663,0.46377016705912133
ADRA2A,0.7172704386728612,4.266350079595101,11.117363302823355,0.0016070865763110787,0.46377016705912133
CREB3L4,0.42853652087883093,4.62344455809779,11.106975071988357,0.001635941067316964,0.46377016705912133
TNFRSF19,0.43238527649758074,5.8525057008985675,11.060242622139658,0.0016980314925364223,0.46377016705912133
