,logFC,logCPM,F,PValue,FDR
POSTN,2.4288672887969867,2.2879922981948946,38.92355770954661,5.621125868848745e-08,0.000776895806333585
CEACAM5,2.5742027015962563,1.875849096661345,32.534307628381406,3.9809495629939625e-07,0.002751035195506978
SERPINB13,1.3323983399890107,1.7682483763715928,31.011649593537406,7.553816801415425e-07,0.0034800434004120862
SERPINB2,2.175454111094587,4.13970226586821,28.811454698125115,2.070318559436383e-06,0.007153468202492562
SERPINB10,1.9755345416092056,3.619055331927077,24.576528038102254,8.305950101543917e-06,0.022959307270687693
CREB3L1,1.3942293758543407,1.5576546547178254,22.71902222139914,1.369290402235269e-05,0.03154160441548942
CTSC,0.8196783721562743,4.905903627518784,22.303183693723707,1.979026141985521e-05,0.039074457583402694
S100P,0.6785321842808472,7.172457093731091,21.205872588577872,2.942656769155403e-05,0.05083807400812103
CSGALNACT1,-1.1795541694664986,1.3588458105870915,20.070362448463857,4.078932649567761e-05,0.0608944776042728
RUNX2,0.9202094877011594,2.107448803547693,19.61007969571612,4.40593861546001e-05,0.0608944776042728
C16orf54,0.9112348624188501,4.281829076170711,19.480758607614423,5.4914934604401327e-05,0.06512143359964924
MUC5AC,1.9275391360896152,6.07121875732032,19.441554024828154,5.6541292467678954e-05,0.06512143359964924
KRT23,0.6895375738594833,6.171729484741585,19.20870404064117,6.170881786329437e-05,0.06560596705296858
KCNE3,0.6666739890195252,5.40004876255531,18.316930744113762,8.65720468549863e-05,0.0775367083209697
SGK1,0.6627684181141112,4.752576332110813,18.24841581359886,8.84209193759825e-05,0.0775367083209697
ASRGL1,1.3352276553961284,2.7454207126105836,17.90072371221751,8.976103994902796e-05,0.0775367083209697
ZNF667,-1.1339606783012741,1.9111566581524229,17.777855278603813,0.00010131822232496388,0.08237171475019564
LINC01091,-0.6708455983440798,5.498504759775877,17.529160474159024,0.00011669794676536585,0.08960457345800675
CDH26,0.3942939531856222,6.012687932767862,16.71161624181783,0.0001610598017296468,0.11715829051081307
CYP2F1,1.0858789315942394,2.8531429468977314,15.793394008259046,0.0002108177586806977,0.14568561213629613
AZIN1-AS1,-0.3697530218032835,5.943473674654488,15.849277344180194,0.00022650860720537788,0.1463779597186879
SYT5,1.5685039144679938,1.7916528439469572,15.420540744780983,0.00023300160001527628,0.1463779597186879
SIK1B,1.3475910029676665,1.9032964950342688,15.259575792394822,0.00025063631977249406,0.15061063372068
MTHFD2,0.9055300160124156,2.106141651495674,15.140597754789738,0.00026550044744101247,0.15289507017009304
CYP2W1,-1.0187208508125825,2.394105103341232,15.138248740927484,0.0002878752782674153,0.1549644606284671
TOX,-1.0153531724024647,2.150514978040528,14.97444033391313,0.0002948707983594074,0.1549644606284671
CD44,1.2542601078368216,3.157858953879581,14.92036855035723,0.00030624127695776007,0.1549644606284671
MIR4435-2HG,0.5978617566144668,3.1385935478588496,14.874360772347835,0.0003139429055493148,0.1549644606284671
TNFRSF19,0.42466495960672695,6.332205575151372,14.845649111061615,0.00033905124420856807,0.16114239529744964
AC010329.1,-1.163420572230419,3.3264808452443493,14.571627292560848,0.0003497772852126105,0.16114239529744964
PDLIM3,-1.2401519395001899,1.5001342688923973,14.322114375062936,0.00039719792681370235,0.17708621117716708
AC008397.1,1.2182831139895554,1.8890520093635714,13.772343352428054,0.00047081717863243784,0.20334888205871635
ABO,0.5010566921938916,5.051982127431448,13.95659054929904,0.000487932445843107,0.20435497981810855
UPK1B,1.1054872921986876,3.1129719268595473,13.697437334360181,0.0005112060287632459,0.20780525069225944
PROS1,-0.6016532891551853,8.286819141769064,13.482433109427815,0.0005937655640756253,0.21197339785965605
KCNK6,0.6333920033474857,2.433424724202414,13.239219631333667,0.000600268474912866,0.21197339785965605
ALOX15,0.5638116531432241,8.787788764352898,13.381366160111803,0.0006193114287216927,0.21197339785965605
TMEM189,0.40546372637175626,4.648033182464451,13.369774590908225,0.0006201618502221659,0.21197339785965605
GSDMC,0.7573934026482757,2.1088581447349486,13.09582561388891,0.0006343451485807929,0.21197339785965605
POLI,-0.3762441173017738,4.953347654124709,13.278988474977899,0.0006433913249713768,0.21197339785965605
DOCK8,0.5193670409159249,3.9360251028575646,13.23276871640892,0.0006465739426759392,0.21197339785965605
FAM3B,1.0412115540059208,4.119286672548317,13.243924899231812,0.0006493297445904694,0.21197339785965605
SRF,0.5403600272546871,4.185811880465741,13.141485329088281,0.000677497287472043,0.21197339785965605
PKIB,-0.6278002930535421,7.049908846031484,13.135791376917307,0.0006871594646246182,0.21197339785965605
STAT2,0.35726886885947545,4.990773711404351,13.12332510727208,0.0006901673470577036,0.21197339785965605
TFPI,-0.6824467065960803,3.0761413520779337,12.844185310154515,0.0007224896093084395,0.2143633438355951
SLC51A,0.5439510149567197,4.242739511497149,12.917155012749301,0.0007465324501647221,0.2143633438355951
CD109,0.7602398946108122,1.8752195796736102,12.717327847417746,0.0007486415272489659,0.2143633438355951
AC021491.2,-1.1615402816981495,2.6013894289981,12.74288946751487,0.0007599887018265076,0.2143633438355951
LPIN1,0.4864326779704938,5.30429170443504,12.82467798615994,0.0007838923307742965,0.21668351807263106
DEDD,0.45858324174177745,2.934318196138027,12.614404002609128,0.000804511350475792,0.21725838863634525
NECTIN1,0.7168070269899212,1.9162283269209017,12.517100657678371,0.0008174109115903301,0.21725838863634525
APOBEC3D,0.6911598390560465,2.907930530826725,12.476840499758287,0.0008516083953964589,0.21967323983411524
KRT6A,1.363350586945658,1.5476728039671477,12.452380072371122,0.0008582848528357009,0.21967323983411524
ABCD2,-0.4132049303567199,3.582882516068025,12.414865187404969,0.0008904770225915783,0.2237687805316037
LINC02838,-1.5899392819614622,1.6208664055729427,12.31939541806715,0.0009334696629638292,0.22903442531787574
ACOX3,0.422532030472982,4.055786719856454,12.349468723918607,0.0009445743609810373,0.22903442531787574
C10orf53,-0.9238682057333499,1.8865166352061804,12.236854856442154,0.0009760710375771106,0.23259099673022837
AP004608.1,-0.944969021390434,3.026992993960514,11.91622544526731,0.0010838200006935232,0.23510592904270775
CDH8,0.8822270931409179,1.8333636618594125,11.8309912040434,0.0011015802373688325,0.23510592904270775
TUFT1,0.5473282249064919,3.231364096887512,11.89312906188142,0.001120303762176664,0.23510592904270775
AC092069.1,1.6862149803975377,2.579731234295923,11.829905750744556,0.0011245182553257522,0.23510592904270775
PRDM1,0.8131279322600545,3.9343453808153055,11.904280336744511,0.0011425593125518382,0.23510592904270775
KLHL6,0.3815114486248568,6.631164872316628,11.91337464796179,0.001155684975962924,0.23510592904270775
IQCB1,-0.2902309712903342,6.089440815887613,11.847088972284828,0.0011899185241440798,0.23510592904270775
KLK10,0.993389325361862,1.487236564965095,11.665864448425618,0.0011924027873039269,0.23510592904270775
HBEGF,0.7133785546603785,3.870178963455746,11.791730970542115,0.0011930626415654476,0.23510592904270775
FA2H,0.5639035997189552,3.32530156232033,11.731721633015967,0.0012048077026968842,0.23510592904270775
PART1,-0.667530453464386,4.838336533347238,11.78345236498994,0.0012124652027939561,0.23510592904270775
TMPRSS4,0.49421022485805344,6.258858111897767,11.757320141810087,0.0012367096990121254,0.23510592904270775
CLCA2,1.2759952070793883,2.3458556523394116,11.539555550188599,0.0012592157997914054,0.23510592904270775
MUC15,-0.5031629013422719,8.346345852755023,11.710715249134937,0.0012608587000602761,0.23510592904270775
LGALS7B,1.1507683880429356,2.0177989667471086,11.49887188692889,0.001273590624277993,0.23510592904270775
SSUH2,1.2128590398991261,3.5960863831668792,11.632494636202209,0.0012748070316837838,0.23510592904270775
TPM4,0.5162286033180605,5.454444568456976,11.657569937066805,0.0012920538469222754,0.23510592904270775
