,logFC,logCPM,F,PValue,FDR
MUC5AC,2.1588339816991566,6.118209826778944,27.03180208036579,4.399971891407699e-06,0.01470470606108453
POSTN,2.4153087078557354,6.165082731451857,16.94108043446677,0.00015238557204563192,0.2402794545374399
KDM6B,0.9349616749857408,6.075053205393553,16.1852699189516,0.00021569071322929972,0.2402794545374399
LYPD2,-1.4106517242917955,6.568776357791501,12.086815426815141,0.0011321997837601603,0.9459529193316139
CARMIL1,0.5917713194187849,5.843503488421962,11.177655278693585,0.0016724657884484718,0.9993481567763034
EGR1,0.8247573970630089,8.79262132931468,10.33018194282637,0.0024396823847489257,0.9993481567763034
TSPYL2,0.822848311286015,5.789297134130758,10.058167198032606,0.0027132326983134464,0.9993481567763034
TRAK1,0.5189987417559625,6.06016913446083,9.927128452850551,0.0029034491530490884,0.9993481567763034
AKR1C3,-0.7237202980670332,5.477183184155604,8.829534338197499,0.0046909393581057715,0.9993481567763034
CD44,0.6534399842596608,5.831889938183934,8.794020546601296,0.004813843534765058,0.9993481567763034
RHOV,-0.596871709392378,6.762297725037379,8.782263948936476,0.0048758948756196276,0.9993481567763034
ECHDC1,-0.5061722275913358,6.0543143414073475,8.34849363065157,0.005928684998501027,0.9993481567763034
IL6,1.2004429222506592,6.549854377437773,8.061846864601087,0.006749434371030369,0.9993481567763034
SH2D4A,-0.5653160658596799,5.292034789448097,7.81138246010231,0.007514261941161756,0.9993481567763034
GLUL,-0.37202091380426827,8.558883599718772,7.230238124085669,0.010058238310212863,0.9993481567763034
NAE1,-0.5264613105985652,5.148877419098187,6.963462262194137,0.011212681530774106,0.9993481567763034
LINC-PINT,0.5960876176922649,5.744059645155694,6.961454602383611,0.011368981355327424,0.9993481567763034
CRBN,-0.4240167974378365,5.770921773590402,6.957908134201705,0.011404437068742739,0.9993481567763034
MED24,-0.7135322561899771,5.778088259440769,6.8385810451660225,0.012058230039136333,0.9993481567763034
REL,0.4372374278674938,5.877278643133735,6.7309703189137995,0.012746197180738703,0.9993481567763034
EPC1,0.3735355344605173,6.256108527154119,6.711748127191837,0.012903729463780687,0.9993481567763034
ALCAM,-0.4937070133917312,8.118761158263931,6.5359682222982824,0.014067020178593303,0.9993481567763034
LINC00472,0.7307813061237151,5.7632757961669325,6.431516847054938,0.014709337989568133,0.9993481567763034
