,logFC,logCPM,F,PValue,FDR
YTHDC1,1.140091770469753,6.634582133360188,17.41368683596947,0.00048636190205577945,0.7003611389603224
EGR1,1.1799381244001592,8.304574838392702,10.651139578932936,0.004056081357214339,0.9357179176636696
FOSB,1.0203215966361234,9.533607623452246,9.90454078892314,0.005252505815177998,0.9357179176636696
DCXR,-0.8206988724567248,7.8441822651022,9.612978773621721,0.005803894258254841,0.9357179176636696
PRSS23,1.0144188347929461,7.650544605692024,9.629935211170858,0.005823504007251225,0.9357179176636696
TMEM141,-0.7504984537167327,7.308161375430029,9.553067809934667,0.005883566977260738,0.9357179176636696
SOX2,0.9945033906285543,6.881005963519562,8.664053366390098,0.008225090340079889,0.9357179176636696
CTTN,0.893363009434472,6.464968627019309,8.166920925411768,0.009821070739419588,0.9357179176636696
METTL7A,0.821438377998706,6.555310294713094,8.175629378490914,0.009841229984257766,0.9357179176636696
EIF3A,0.7181571224205324,7.733419112564882,8.188446840209151,0.009940255532151424,0.9357179176636696
AZGP1,-0.5964809574739709,12.248102181389651,7.865571486821227,0.01122104006633027,0.9357179176636696
ANKRD11,0.8587819790868261,7.160263026885075,7.761023683658572,0.011711555226868777,0.9357179176636696
RNASET2,-0.7751878945469475,6.899269804380371,7.544678012249028,0.012514423210643544,0.9357179176636696
SERPINB3,1.9430957102567095,7.531501481006264,7.2172226724842465,0.014271664548814124,0.9357179176636696
MUC5AC,1.7017273489351021,7.304213644383471,7.174643566503541,0.014652938074554995,0.9357179176636696
NDUFB9,-0.7886048344812483,7.757681872060622,7.1077263589307895,0.01511825727933599,0.9357179176636696
F3,0.8151627022978185,7.516647381060114,6.563002896524146,0.01901559523025372,0.9357179176636696
PAM,0.7530465946177834,7.430047857193686,6.361638553863118,0.020670852448644708,0.9357179176636696
KRTCAP3,-0.6480637265679156,6.808890061968137,6.302225045137591,0.020965264440885003,0.9357179176636696
TMCO1,0.6316620108087181,7.330464588119829,6.142711904166011,0.02267538286763023,0.9357179176636696
OGA,0.753841541146813,6.659137022519476,6.092982361041116,0.022959817825331883,0.9357179176636696
GSN,0.7629661980570582,7.382742333908597,6.090702726632292,0.023170708396915228,0.9357179176636696
MIDN,0.7519852667693843,7.806048995727985,6.0705552977196025,0.02338326365875773,0.9357179176636696
SYF2,0.7151698926447945,6.761478671932511,5.946184679662281,0.02454730743812892,0.9357179176636696
TMEM219,-0.6586573149351301,7.614219256093899,5.92044344870191,0.02481414511381479,0.9357179176636696
AFDN,0.9092358991102353,6.697424314583166,5.887217400388132,0.025122229948505673,0.9357179176636696
CLMN,0.8878313489864609,6.738376293355861,5.841686380678544,0.025644403732796674,0.9357179176636696
RAP1B,-0.6266793758658489,6.652618331909412,5.784944724007916,0.025953838364041176,0.9357179176636696
AHNAK,0.760629255033747,7.992462175850943,5.736410615395968,0.027000674881667623,0.9357179176636696
TERF2IP,-0.8365638165562814,6.650766898612463,5.673032676149292,0.027143818924894456,0.9357179176636696
HSPA9,0.6252024139359493,6.7812099795365794,5.645475392697105,0.02796595977613886,0.9357179176636696
SAR1B,-0.6555942733300509,6.618514404958215,5.378194497319966,0.03094764722126186,0.9357179176636696
PLPP2,-0.6100506415634552,7.484422738147338,5.276478729105637,0.0329371546955605,0.9357179176636696
ZNF292,0.7820172312064312,6.690238200323516,5.192579219418449,0.03415003433056616,0.9357179176636696
CREB3L4,-0.742726018981937,7.077723821011066,5.031723027603927,0.03647773161749256,0.9357179176636696
COPE,-0.7205413701293524,7.971864428088533,5.013959274913997,0.03709731861474843,0.9357179176636696
RNF145,0.8750354789501693,7.123933617533921,4.997680585933628,0.03746155826413627,0.9357179176636696
RNH1,-0.7451065710151806,7.032034978333441,4.976575544623417,0.03757636368951822,0.9357179176636696
FTH1,-0.5411373632264991,11.767586870150598,4.9167279764299865,0.03883185226487985,0.9357179176636696
FAM3D,-0.5618157852207363,10.111868762509005,4.912364100041402,0.0389143179027625,0.9357179176636696
FOS,0.7808849937581647,10.578885479884278,4.90594648353906,0.03902535072657442,0.9357179176636696
RABAC1,-0.6559261759108873,9.252916977785132,4.896960642196253,0.039203750020676296,0.9357179176636696
SAP18,-0.5383243400526788,7.892615928703648,4.798666495663312,0.041017432709432394,0.9357179176636696
LRRC26,-0.5539156640889731,9.081931386282061,4.753645973153338,0.04187442148666071,0.9357179176636696
ATP1B1,0.5190404234252268,7.9431906491830295,4.738243482950642,0.04221634600922551,0.9357179176636696
PPP1R16A,-0.5777723703077153,6.943724313061954,4.711713665215978,0.0423769090414527,0.9357179176636696
MYDGF,-0.6793912295089499,7.894708643318791,4.700386677478562,0.04287055156538744,0.9357179176636696
CLIC1,-0.5443067621941297,8.503157726225197,4.675336232294324,0.04342433002628399,0.9357179176636696
CANT1,-0.561187307489435,6.494100513080111,4.5586800310419955,0.045192405414220725,0.9357179176636696
EIF3L,-0.5301802003610621,7.334406945697117,4.492535840832515,0.04714131825435795,0.9357179176636696
KIF21A,0.768183534549435,6.694313157590385,4.473942829514489,0.047550081457497374,0.9357179176636696
LPP,0.5993002749898072,6.880404123361496,4.406525157666448,0.04918109093451098,0.9357179176636696
HNRNPR,0.6293695504837977,6.659607976398402,4.352366319637064,0.05038717194343594,0.9357179176636696
SNHG29,-0.5257856460947145,9.884406794919196,4.341194764905638,0.050779172434377434,0.9357179176636696
ANG,-0.8156916732549708,7.88001239384546,4.317371943556012,0.051306871828548754,0.9357179176636696
SF3B2,-0.5672042932910615,6.928345780242617,4.292871300360108,0.05165042031028256,0.9357179176636696
DDX5,0.5344682442171631,9.06666726988744,4.302683385989971,0.05173040884931923,0.9357179176636696
SERP1,-0.47985463196250555,8.902708468017844,4.218370754337282,0.053860649312028955,0.9357179176636696
TCEAL8,-0.6363675630496475,6.98345398754113,4.154407840563398,0.05505820145201965,0.9357179176636696
IER3IP1,-0.6208804322477569,6.996161847614911,4.036362427816444,0.05845499496174151,0.9357179176636696
MAGED1,0.635507447718246,7.010924517164853,4.009367846039852,0.059541954140541045,0.9357179176636696
RANBP1,-0.7256397660365346,6.478427256744326,3.9819357077257145,0.059836524688883876,0.9357179176636696
ETFB,-0.5283824229838138,7.331033967220098,3.965057339856096,0.06073193341728056,0.9357179176636696
PCM1,0.7458780631167905,7.201181898741598,3.944350764494734,0.061533257564960635,0.9357179176636696
SMDT1,-0.4983006896017288,7.910772465346155,3.9194208726676276,0.062214144711852326,0.9357179176636696
AKAP13,0.6590502463525517,6.720984416088679,3.9094710106756394,0.06243123920583138,0.9357179176636696
ZNHIT1,-0.5808054792279727,7.350124964889307,3.8695270355737197,0.06350924534794826,0.9357179176636696
RSL24D1,-0.6353196473318035,6.925317208051022,3.849040655065232,0.06414180016912084,0.9357179176636696
TMEM87A,0.4636359704727682,6.951411032671944,3.8498205206581897,0.06430991145804865,0.9357179176636696
PPP1R15A,0.6716287800499038,7.772122353880805,3.8524763713709747,0.06438723018785221,0.9357179176636696
ARFIP2,-0.6957215662478423,6.777475584540337,3.8155805375547125,0.06493359753552864,0.9357179176636696
MRPL52,-0.627222505960998,7.121008069097212,3.8077636058029403,0.06533762453109922,0.9357179176636696
IRF1,0.8209993342748239,7.961438099948731,3.799991612160132,0.06606388679306938,0.9357179176636696
PSMC5,0.6239687742442418,6.544572791827261,3.732039449320435,0.06803380673385613,0.9357179176636696
MORF4L2,0.7248304635940058,6.909301656886737,3.7280970412077545,0.06836967364677099,0.9357179176636696
TSTA3,-0.5414678966752283,7.271076175645287,3.721566493114988,0.0684401633932223,0.9357179176636696
FAM107B,0.7851823289108762,7.50057019768581,3.718562191774457,0.06878434745994141,0.9357179176636696
NDUFA5,-0.4699351633342636,7.206326234242457,3.700661247804011,0.06917204606537469,0.9357179176636696
EIF5A,-0.6100311673798328,7.186153289488893,3.689158750919722,0.06959616485434043,0.9357179176636696
NDUFB11,-0.5069854234710066,8.111576443424068,3.6805132236526794,0.07003110619221904,0.9357179176636696
CNPY2,-0.614986412552314,7.613755547242578,3.654956630097156,0.07087035512681018,0.9357179176636696
HIST1H4C,0.900762696999375,7.525068534116396,3.6577272519344914,0.07088910166652539,0.9357179176636696
ARCN1,0.6208001689685265,6.579581865156265,3.6460031866670763,0.07100047677265045,0.9357179176636696
TMEM59,-0.4524523148172418,9.509902671550467,3.6364530425231596,0.07159168264884086,0.9357179176636696
TMED2,-0.5232614048228968,8.084682152180406,3.6305101501474355,0.07175161652374948,0.9357179176636696
SELENOM,-0.46710217437087587,8.902402610635116,3.630506549354024,0.07181466922491946,0.9357179176636696
NANS,-0.602104917689092,8.260762241317408,3.619395763461236,0.07219217386028046,0.9357179176636696
HNRNPH1,0.6054420640255345,7.620441790786386,3.619055332348319,0.07226127715945437,0.9357179176636696
GADD45GIP1,-0.6057170037201519,7.40541412123002,3.6146267697625576,0.07226783805649611,0.9357179176636696
KDM5B,0.632631482203129,6.7051266924732795,3.5677454316261272,0.07396309392241417,0.9357179176636696
GALNT4,0.5385440694941176,7.651666595829717,3.562277505885044,0.0743618505036614,0.9357179176636696
EIF3E,-0.5252758614122537,8.364481508745975,3.549338166209986,0.07480636134702104,0.9357179176636696
CD63,-0.4860241888193941,10.60907904904035,3.5151514924615395,0.07608019248892878,0.9357179176636696
LEPROT,0.47764656280649037,6.652143318932755,3.4972666978311975,0.07664922546886244,0.9357179176636696
CDC37,-0.4918675480853208,6.911477649305231,3.4818261656830964,0.0770904929869517,0.9357179176636696
NUCB2,-0.5154987679533517,8.512552191846321,3.426146357767782,0.0795974074198902,0.9357179176636696
RBM25,0.5888982340329537,7.767613123680223,3.421501938905601,0.07986914548597646,0.9357179176636696
CHD4,0.6928035275622878,6.590630178236721,3.412806052725414,0.07990577266163086,0.9357179176636696
RFC1,-0.5961581845566963,6.620203419742552,3.316265640683882,0.08347307915679143,0.9357179176636696
ATP5F1C,-0.5275148563619644,7.112820776164592,3.3143637274177506,0.08407763342291132,0.9357179176636696
CCND1,0.5371486513572383,7.493788934159855,3.2872572394177726,0.08553259826059809,0.9357179176636696
APLP2,0.44899110597276926,8.1201306088591,3.2602099723492137,0.08671353792087276,0.9357179176636696
