,logFC,logCPM,F,PValue,FDR
SON,0.7047321714710141,7.386554499088451,13.342907208085926,0.0012457098785188777,0.577069358466429
HBB,3.6543931968017214,8.295382609420098,12.814272458964505,0.0014947445161373138,0.577069358466429
APLP2,0.5799247381918669,7.1376712058907685,11.441581132823876,0.0024408653169722015,0.577069358466429
BBX,0.6884918772961702,5.7240896839899635,11.024411585308183,0.0028439513955146505,0.577069358466429
MALAT1,0.7388081679268245,14.536578852661789,11.007497348006739,0.002846322062754794,0.577069358466429
AGR2,1.2525341608421179,7.436025468729872,10.781214368292163,0.0031097804859151227,0.577069358466429
C6orf58,-1.470936170411238,11.986012422078709,10.453904842280604,0.0035002015739035255,0.577069358466429
DAP,-0.6886522692542836,6.140979039346628,10.237094168447788,0.003815235099084448,0.577069358466429
MARCKSL1,-0.6507743420782024,7.49790700098423,9.978361426161015,0.0042087716581830316,0.577069358466429
FCGBP,-1.5675347742658825,8.256329751180484,9.073159919641592,0.005982291450053027,0.6360351628020237
TNRC6B,0.7375062811930572,5.953982699616877,8.95315350697731,0.0063007942451303615,0.6360351628020237
HSPA1B,-1.5603885590281255,7.030918629159359,8.826646621546375,0.0066090064385617335,0.6360351628020237
TFF3,1.8054260441996617,7.243690165363588,8.79013916346046,0.006700532509259569,0.6360351628020237
PERP,0.7152381611652269,7.3613474877478895,8.36943059416539,0.00794279785280592,0.6691560258156957
BEX4,-0.6213927209073139,5.821710729841647,8.135149358287174,0.008705104032052172,0.6691560258156957
PRB2,-2.982195671663978,8.88345124040267,7.873206891847113,0.009653315329846953,0.6691560258156957
SERPINB3,1.8812458170600055,8.331909713443178,7.680661760673347,0.010542214901837476,0.6691560258156957
LAMP2,-0.5767068516696738,6.2702310530209715,7.6545313339563155,0.010677648954895027,0.6691560258156957
RBM39,0.5462745698972871,6.9553230019945715,7.425853787966669,0.011762157664525095,0.6691560258156957
SNRPD2,0.6532868187101581,6.545584293069392,7.392332496345234,0.011945368984529357,0.6691560258156957
CD9,0.5931249192242862,8.264749087071749,7.314440181845491,0.012297224483324576,0.6691560258156957
EZR,0.7352358356765905,7.039500640140824,7.160947961816754,0.013162036040935458,0.6691560258156957
DHX36,0.5852884503082394,5.81489998929772,7.096653017420991,0.013536973302771385,0.6691560258156957
PSMA3,0.729204088196115,5.842780688013237,7.064848108980149,0.01372601151480497,0.6691560258156957
PPIG,0.561361458653425,6.237324088241314,7.044092501739843,0.013864799757097531,0.6691560258156957
TAX1BP1,0.4715361558864596,7.014099696200189,7.000932999691535,0.014098911402923896,0.6691560258156957
SCGB3A2,-2.2470012526664354,9.71380253566739,6.9073421951857865,0.01464597624488019,0.6693753587474872
MRPS34,-0.7470129852781195,5.965193811659241,6.544469647647118,0.017122804981203867,0.7388749463913796
SNRPE,0.551003464547407,6.144687366856201,6.3551812510665044,0.018723872279530516,0.7388749463913796
HSPA1A,-1.0616007109882457,7.588093822101431,6.267515204468963,0.019425001570409745,0.7388749463913796
HNRNPH1,0.9146563712274303,6.741702160592104,6.26192543926915,0.01950377022311335,0.7388749463913796
TSPAN1,0.9626280180527109,6.176162309254986,6.220698850909702,0.019878719773813863,0.7388749463913796
GADD45B,-0.7919882977908067,8.249734412901272,6.1848318701187175,0.020135694192405813,0.7388749463913796
FBP1,-0.8161699800773855,6.038369983656251,6.160636207712658,0.020357980694738174,0.7388749463913796
ACP1,-0.5719241469987923,5.799337383309328,5.98721108863906,0.021991340826451735,0.7479034714505831
CAPS,1.0287223773696395,6.427763104834358,5.936825810517182,0.022581126201631458,0.7479034714505831
OGFRL1,-0.7030256697482347,6.291006649275727,5.9033996803680715,0.02289900213639143,0.7479034714505831
MT1X,1.3120645256696495,6.737058911384735,5.817054125889268,0.02383169339354511,0.7479034714505831
TUBA1B,0.6372773683752881,6.40179709325737,5.816529190685226,0.023849483919236254,0.7479034714505831
ALCAM,0.5877291897694455,5.90125949634421,5.7340946073625325,0.024746542438001517,0.7479034714505831
MSMB,1.3733688615896262,8.441061288366777,5.720713295055478,0.02484930496715876,0.7479034714505831
C1orf122,-0.583345003224057,6.309866699325512,5.648140452269371,0.02572266924920203,0.7481809823881239
SYF2,0.5231746876141973,5.714668740203013,5.618442872540272,0.026078955046087184,0.7481809823881239
ATP1B1,0.5730055380984809,7.4262780379617315,5.550068959300179,0.026894859685502863,0.7481809823881239
SRSF11,0.4214489088317281,6.538535579034073,5.5028856911228505,0.02753380352946586,0.7481809823881239
CHST9,0.5859849925115495,6.230511345146818,5.475967524020316,0.027890052828082417,0.7481809823881239
NUCKS1,0.6020090208553555,7.082129348608598,5.380566274231348,0.02911318650477282,0.764376003125312
SEPTIN7,0.7225912562517733,6.322614142519682,5.307177774888343,0.03016710549430727,0.7755460037494827
ATRX,0.5027791869000517,6.504955181373013,5.20076024711516,0.03170264311156861,0.7891420447456041
PPP1R1B,-0.6797938102307063,7.420996275711932,5.179517884017792,0.03197496129439239,0.7891420447456041
GATM,-0.8283392306488486,5.964098801494583,5.058675988645645,0.03380950117343143,0.8055410878233581
