,logFC,logCPM,F,PValue,FDR
ALOX15,1.6278635799529193,7.199585568241401,50.63539097516852,3.4853597065504697e-09,4.4947198775674857e-05
CCL26,2.6505982072924765,4.143448163294719,37.901851046449615,9.719223308898264e-08,0.00062669551895776
NOS2,1.9053911645987731,4.8313486026287995,36.971632687606125,1.48034176221228e-07,0.0006363495788496522
CEP72,1.012278463787938,2.8125601297151177,31.202781942717518,7.195986889701756e-07,0.002319986173239846
CDH26,1.1906473061711367,5.290264186942705,30.64869097050332,1.0609112460707753e-06,0.0024749567104215653
PEG3,-1.5702072505124707,1.9577676318480122,30.09807067214406,1.1514997101837307e-06,0.0024749567104215653
ATP13A5,1.815891581244812,1.8742644567741522,28.428291792423483,1.6004276796661506e-06,0.0029484450509963825
SLC5A8,1.8519595622514737,3.391032080392417,27.735604324958118,2.40068692706175e-06,0.0038699073264235407
FAM83D,1.895622718472917,2.8248470030855235,26.347752075428833,3.669276930766106e-06,0.005257666144351078
ZNF667,-1.4498707515181395,2.449004783668748,25.46406305593756,5.269646040956718e-06,0.006795735534417783
ZNF667-AS1,-1.1665738031016117,4.0685071359715606,24.486707722797952,7.486899268701167e-06,0.00877736845174275
MUC5AC,2.2558559440311208,5.721268670807333,24.14096399094737,9.58886971917973e-06,0.010304838658211817
POSTN,2.0883696005553243,7.061063153906859,22.6707037787897,1.6179546789219322e-05,0.01552145270414527
HES2,0.7947395746373771,2.495317807098226,22.09330179717447,1.704968824236072e-05,0.01552145270414527
HIF3A,-1.123740669085812,2.5727002755401123,21.99878953566343,1.805379889595061e-05,0.01552145270414527
CAPNS2,-1.0036630707864953,4.05632016521172,21.52973457710281,2.2492571064340246e-05,0.01812901227785824
KCNE3,1.5004288558558023,3.358245410741839,21.256554921675125,2.4877404969897134e-05,0.01887170673481138
AL022069.1,-0.874962776658084,1.4266743476599453,19.768494262430494,4.126611042781319e-05,0.02804948062775866
WARS,1.1753903507383638,4.443467573140269,20.03432078382853,4.132600278593475e-05,0.02804948062775866
CD44,0.7286636194243931,7.856905881939485,19.8391990212259,4.5855811115279496e-05,0.028883435476799762
MLPH,1.3509626828925487,2.4629831723924056,19.335136913985302,4.852355621536386e-05,0.028883435476799762
MIR4435-2HG,1.1869628558636667,3.1812860883264737,19.31632962665034,5.121335500219219e-05,0.028883435476799762
PTHLH,1.6073136593337138,3.034646506796163,19.26155601137473,5.151357133734449e-05,0.028883435476799762
HSD17B13,1.2846183714202342,2.631533563498676,18.478627650832067,6.828283522494579e-05,0.03669064346087087
KIAA0513,0.7834601135323158,2.580997765401126,18.08591293339947,8.041277538120666e-05,0.04148012605264165
CHST6,0.8887723075010812,4.1450662712310855,18.08839132770313,8.69776940195782e-05,0.043140936233710785
PLCXD2,1.0358063491704752,2.332341247630031,16.931772046744918,0.00012536964718278882,0.05988025815071276
LOXL4,0.6827388017449745,4.2484722308431,16.877714552711506,0.00013898500358720836,0.06325452564786596
TNC,0.9565318027595748,6.113896091898452,16.839283933437397,0.00014600522660643774,0.06325452564786596
EXTL2,-0.3990768647002821,4.020736770382247,16.69602559702975,0.00014714917566966337,0.06325452564786596
LEPR,-0.8114180529519764,3.8892715603982393,16.464968894133573,0.00015941834269320098,0.06631803056037161
PPP1R14C,0.9585095655980903,2.9822520670345716,16.15648538584647,0.00017703794706424623,0.06915858724356025
PIK3C2G,-1.1772945363506984,2.7611949506345295,16.13958190796189,0.00017727779720868708,0.06915858724356025
HMOX1,1.1829558362260046,2.693105316344392,16.06127745818985,0.00018233498497836914,0.06915858724356025
C1GALT1,-0.44414461655505444,5.332628058089972,15.97996633997406,0.00020301118556018997,0.07480092139954886
