,logFC,logCPM,F,PValue,FDR
IL32,-0.8156237264050105,10.104728840106452,10.191264679193608,0.0028325192528332937,0.5182818037003508
ATP13A3,0.7159741418897403,9.903883682098463,9.73459931810573,0.0034445778571191195,0.5182818037003508
THSD7A,0.667564429036541,8.899164343440031,9.560296712126469,0.0037270162516077755,0.5182818037003508
ITM2A,-0.8225337671980627,8.864834612254926,9.494858864429933,0.0038210266622585904,0.5182818037003508
PLAT,-0.7395502930384836,8.86668170901469,9.030031656848482,0.004686092257688524,0.5182818037003508
ADCY4,0.5191440885295097,9.786702284276865,8.311558616193931,0.006451512841088921,0.5554216936657903
LTBP4,0.6225095649842998,8.995858198253579,7.901156894325174,0.007787535259578795,0.5554216936657903
RBM8A,0.533526072051282,9.076048151742748,7.8320376029347925,0.008035033543085573,0.5554216936657903
HLA-B,-0.39406552137304984,12.942687230561521,7.496040302401237,0.00934625997268976,0.5742757516552708
TIMP3,-0.40023377343419725,11.990432543128671,7.044226346870217,0.01153670682375914,0.6379798873538804
CAV1,-0.36048355315800007,12.361568586416452,6.624601639475886,0.014069226121225785,0.7072983677307145
CAV2,-0.49696599837995387,9.394186755434632,6.294896181976124,0.016507846631122126,0.7607365989175447
SUMO1,-0.6745634022128584,8.588764460348065,5.977104282297241,0.019210001771240645,0.8171639214996983
RBM39,0.34713853973176023,9.875446362013934,5.703625306377348,0.022004103950806153,0.8247946645747545
CDC42,-0.49395510109642193,9.90786289906748,5.670365424243596,0.022372368840183215,0.8247946645747545
CAVIN2,-0.6348399926254622,9.293269095237,5.521049259687012,0.024109243081281734,0.831662785794539
VIM,-0.2967632990987161,13.535287003268794,5.399997466284321,0.025566487085908068,0.831662785794539
SNHG7,-0.5992684444038439,9.841334959216983,5.238290828791758,0.027751990189566984,0.8365429999058694
IFI27,-0.2894368931162503,13.249907360619204,5.166919737110527,0.028741983721901482,0.8365429999058694
DDX21,0.41437368692235055,8.823731867988375,5.020334067356371,0.031014432324298694,0.8575490537668589
EMP1,0.6040185026391968,9.629479558191578,4.812319117408136,0.03445523176080223,0.8625720326305342
YWHAQ,-0.4129682680486963,8.737546009528495,4.67297389778226,0.03701684377475739,0.8625720326305342
RPSA,-0.28136516879236895,11.101348773662952,4.582428816721809,0.03876280113231132,0.8625720326305342
MCTP1,0.47892933930190024,9.173142990548676,4.557032068293601,0.03932368376192321,0.8625720326305342
SPTAN1,0.48176285840952754,9.130602746970043,4.541968415045194,0.0396340929759387,0.8625720326305342
RSF1,0.49515015837313464,8.799575231551895,4.498358471967616,0.04055492377648081,0.8625720326305342
EIF5B,0.3622440099531582,9.428148206958364,4.342911651055125,0.04395737527336247,0.8658665108161242
ENG,0.4171727002282645,9.522907436603502,4.281077433289931,0.04540424198480677,0.8658665108161242
EIF4A1,0.3106215068194896,10.305172023893762,4.178158964343414,0.04791280111455318,0.8658665108161242
BST2,-0.36283692644660737,10.364274404443032,4.062787770670637,0.05094104830692685,0.8658665108161242
LUC7L3,0.38308699562568094,9.60991155954127,4.00047832653792,0.05268419740174515,0.8658665108161242
CST3,-0.34321545484046084,10.713541318665495,3.8990763354413898,0.05559729367928351,0.8658665108161242
PSAP,-0.37841669594271166,9.276343454248703,3.8475515007126324,0.05720239096382556,0.8658665108161242
ANKRD11,0.5523326861148313,8.932776707508964,3.8315304783961124,0.05771606863698997,0.8658665108161242
PSMA6,-0.3520025561754616,8.991103745945196,3.819526939163316,0.05807975668480303,0.8658665108161242
HLA-E,-0.2736072628583055,12.366813733050448,3.6788408455912083,0.06262208651904552,0.8658665108161242
SEMA3G,0.3398143270065874,9.531845305341541,3.659199664887607,0.06333345595660976,0.8658665108161242
ATP6V1F,0.43183812440953123,8.856131812920937,3.6267321534878723,0.06449919422140207,0.8658665108161242
RPS3,-0.2356125794675716,12.074439966164363,3.5856881356240433,0.06588891741613258,0.8658665108161242
CRBN,-0.4034712705901082,8.613965668996979,3.5854408470576598,0.06592289194472452,0.8658665108161242
VAMP5,-0.3389893353437305,9.42499498764797,3.582565021593936,0.06604729545723571,0.8658665108161242
UBXN1,-0.36754260635180447,9.045802444810434,3.5585211392651157,0.06693404575813036,0.8658665108161242
RPS2,-0.25399225676548237,12.6269111553731,3.546255465903318,0.06732777570541292,0.8658665108161242
SPEN,0.46248077494466455,8.756221705837282,3.440586070166677,0.07143817240873805,0.8742531431672212
TPM4,0.3387978340776107,10.09182888991271,3.4215519599946975,0.07213236860820317,0.8742531431672212
HEG1,0.3136959667874429,9.771829416579463,3.3622095874909075,0.07455437382043514,0.8742531431672212
CD74,-0.33611235243335547,12.109828939080588,3.307393826680815,0.07683358797461134,0.8742531431672212
MX1,-0.4390328195597794,8.857109528871721,3.1944400397634514,0.08189708234312472,0.8742531431672212
MGP,-0.662786752244178,10.690879401069648,3.180238012759321,0.08250923627596814,0.8742531431672212
DNAJC8,-0.35816605735247564,8.899111911645482,3.1589866372899857,0.08354795161035225,0.8742531431672212
IFITM3,-0.24942924424010438,12.479488087621908,3.1289695750934414,0.08491463720913102,0.8742531431672212
TMA7,0.38223052716067746,9.956232516128914,3.1207159183401147,0.08533233221715439,0.8742531431672212
AC020916.1,0.681715931663655,9.206122266287718,3.1179074894258174,0.0855053743299582,0.8742531431672212
CAP1,0.3796002673749769,8.606942785410922,3.0964226795118615,0.08656565774525742,0.8742531431672212
ID3,-0.38259336447604697,11.171969631255061,3.0870851208789474,0.08695103593887372,0.8742531431672212
RPS4X,-0.2538203873208048,12.246049371378037,3.0396270767312976,0.08931724190870077,0.8820077638484202
EMP3,-0.4091187590831186,8.887711851456945,3.007688747921311,0.0909944128316852,0.8828054437881039
RPS17,0.3756320437465007,11.325328556670437,2.9511993071286957,0.09393133568250284,0.8851416198469036
ASH1L,0.3822945168668927,8.95635429622782,2.94308589063222,0.09443644768710183,0.8851416198469036
SRSF5,0.31229786743385013,9.6269237531595,2.8844491984906386,0.09762545012524708,0.8912598335667231
HLA-A,-0.25482765827456066,12.530313994194156,2.8715933897778694,0.09831256753629315,0.8912598335667231
