,logFC,logCPM,F,PValue,FDR
KLF6,1.47005496197741,8.997423803103214,14.775701964645304,0.0009253557998460555,0.4621353918341596
EMP1,1.1319455892749026,9.89509496650386,14.130630055501104,0.0011340745811881216,0.4621353918341596
SNHG7,-1.4390585391573503,9.15593369350783,11.646419580195282,0.0025917413736951727,0.6213853615818106
ADIRF,-1.0187487635940966,9.687127853778692,10.681837608153344,0.003628033619109411,0.6213853615818106
SERPINH1,0.9166231332496577,8.672073136827784,9.504893999728322,0.005582667619649294,0.6213853615818106
TM4SF1,0.8359723306949108,10.378101703451925,9.429097054187212,0.0057382159252114175,0.6213853615818106
HBB,3.439455811948954,10.595079279930172,9.225453369332003,0.006188561946766174,0.6213853615818106
ACKR1,-2.3680837842334,8.781692158632051,8.85707423274101,0.007131561917535852,0.6213853615818106
MCAM,1.0281332888121122,8.717837490660388,8.354781198655946,0.008673837260613302,0.6213853615818106
LIMS2,-1.320165395086246,8.68080786908029,8.201787451403574,0.009247378532408906,0.6213853615818106
LIFR,-1.5686173449814322,9.493281365906965,8.150156544259056,0.009416716001472552,0.6213853615818106
COL4A1,0.9754113352622267,10.482728526468614,8.128295823623779,0.00948198537451712,0.6213853615818106
C1orf54,1.1344526554288354,8.844215495783992,7.882469519193102,0.010471587109431931,0.6213853615818106
ABI3,-1.3314254293493775,8.087724527547753,7.8151881123015166,0.010747496369602212,0.6213853615818106
COL4A2,0.8242972969420156,10.148626310641989,7.63275090173711,0.01157059797386657,0.6213853615818106
BST2,-0.8839225114896907,9.365861872288521,7.505638108439586,0.012198976423691986,0.6213853615818106
ACTB,0.8842550775134163,12.03150419178864,7.319967276574824,0.0131395148376654,0.625110913888654
IGKC,1.5419159427190152,8.853256010544772,6.940256104765057,0.015397785821017812,0.625110913888654
NOP10,0.8559846496145471,9.133182508107492,6.740043579648041,0.01676784752837938,0.625110913888654
DIPK2B,-0.9589864741286238,8.575406401019793,6.508744933640742,0.018532067734415604,0.625110913888654
LBH,1.1329175253783734,8.244739493951094,6.477467114685433,0.018712244445000328,0.625110913888654
SEC11A,-0.820525000591606,8.799050813023156,6.442052634525935,0.019058669686353672,0.625110913888654
PTPRE,1.2763270544505667,7.672681391593899,6.33155664502774,0.019359376940279414,0.625110913888654
PSME2,0.8562830433664333,8.8856637945486,6.399696864935716,0.019386052695145442,0.625110913888654
MYL6,0.6691845253566393,11.510916846785692,6.355051554973746,0.019729137938688038,0.625110913888654
VAMP2,0.7383095523915397,8.880041708075177,6.250705869786988,0.020675346062100038,0.625110913888654
ABHD17A,-1.13478962890021,8.272455451083353,6.207415970428137,0.021100129314958863,0.625110913888654
IL32,1.0696913460447748,8.49879330715098,6.154818466841892,0.021531826368871028,0.625110913888654
FYN,-0.9154926705471287,8.717024420914042,5.929654126435234,0.023815195297554916,0.625110913888654
ANP32B,-0.969766800738385,9.063705905277946,5.885003762436592,0.024268340056547755,0.625110913888654
ATP5F1E,0.590303273306732,10.72952639922653,5.8575980308362,0.02452084690177323,0.625110913888654
LMNA,0.7235023772128034,10.994648973197599,5.7927675304964,0.02523447719022155,0.625110913888654
USP34,0.8863433214280448,8.081867970576557,5.6533062069035775,0.026798925659234443,0.625110913888654
MMP2,0.9664382579954083,8.114121945981099,5.6391873718816825,0.026994140148467478,0.625110913888654
BNIP2,-0.8216323540432418,8.42577507671701,5.630954890612108,0.02720703676738825,0.625110913888654
IRF1,-0.8478741802502546,9.084881170342147,5.497772183211433,0.028846101644230238,0.625110913888654
PFDN1,0.9742721496255502,8.16892254039909,5.468289013238395,0.02916259615816367,0.625110913888654
TPM4,0.6441913506651704,9.994380317406822,5.420170212127766,0.029838028933909924,0.625110913888654
RPL5,-0.5684006737874655,11.839174629209756,5.41351759506913,0.02991328299589878,0.625110913888654
CALCOCO2,-1.1938683149386888,8.23690621157095,5.191530519588417,0.03318047137774823,0.656002801733544
DUSP1,1.1549710148624521,9.629954454310457,5.109381579498676,0.03440647924615511,0.656002801733544
TCF4,0.5576494257176411,10.635645143107805,5.105371671034509,0.03444684737583625,0.656002801733544
FTL,-0.49758794035822723,11.23207207521091,5.09482217429623,0.03461119076630968,0.656002801733544
RPL11,-0.5109394874177351,12.36318897508645,4.955235016615594,0.036924358248258404,0.6731041333483399
PIEZO2,1.0273405495939885,7.998415107778954,4.935744215118018,0.0371934584799028,0.6731041333483399
EIF5,-0.6993335939848495,8.911550521733698,4.897866568864328,0.03799115353867931,0.6731041333483399
RPL29,-0.7158163543483773,11.823126085620775,4.806836927428034,0.03957929851823772,0.6763368856915142
RSL24D1,0.7140359261561869,8.066898977464689,4.753268142922551,0.04053973484947775,0.6763368856915142
NACA,-0.6480336508905017,11.272990930182237,4.701647428310652,0.04159245413541334,0.6763368856915142
COX17,0.6768754699053265,8.730904288726547,4.6674639123422965,0.04232259432513529,0.6763368856915142
FABP5,-1.8474595678366723,9.035105737060155,4.6430991506066,0.0428245316717234,0.6763368856915142
EEF1B2,-0.7198518033379038,10.18999460214647,4.6243679918273335,0.043152782890746914,0.6763368856915142
RAMP3,-0.6713939464298768,10.802081493550297,4.485207713483245,0.046110049296375584,0.7090507580480396
EEF1A1,-0.41335636274929394,13.354042092008152,4.354940555400712,0.04909084342535004,0.7182972729467682
SNRPG,0.7253171194658521,8.738160571915946,4.286894652324194,0.05078394923943048,0.7182972729467682
SWAP70,0.6254862217016629,9.183092299833207,4.28408674282139,0.05085601705478872,0.7182972729467682
CA4,-2.260343570160349,8.28448645639558,4.191486920428591,0.05152489975140572,0.7182972729467682
WDR1,0.7129486001812368,8.076579143544699,4.2275189325401135,0.052215853059325405,0.7182972729467682
RAD23A,0.7539560822884102,8.065934211696629,4.174388137903941,0.05358168500227647,0.7182972729467682
