,logFC,logCPM,F,PValue,FDR
CYTH1,0.7567094977865988,7.001851280318351,17.802100693720597,0.00011562977807950747,0.21950770298980057
RELL1,0.7211566392862219,7.871355262798063,16.20022809245695,0.0002138409186456898,0.21950770298980057
CSF2RB,0.6641868029953095,7.003020365625279,13.616364699824823,0.0005982184940460357,0.33558754735975155
NOB1,-0.6181120068900805,6.658273329318319,13.097360697877797,0.0007242307356281578,0.33558754735975155
ABL2,1.0702087520420671,7.821872502081938,12.512553666084873,0.0009449853533411557,0.33558754735975155
PDE2A,-0.5179142552277771,6.925268201234414,12.104900295391845,0.0011116463305786552,0.33558754735975155
COPS2,-0.6108484760198012,6.905547651269641,11.89652239666453,0.0012112063847491135,0.33558754735975155
RHOJ,0.4694142983393763,7.328239256408044,11.2837817780037,0.0015935969217078054,0.33558754735975155
SLCO2A1,0.7254670428943905,7.8196545460229725,11.101982536821314,0.0017217550563878425,0.33558754735975155
ITM2A,-0.4959700095020221,9.284502484047746,10.98179488933732,0.0018100971026739192,0.33558754735975155
IFI44L,-0.652533992033509,8.160237953180378,10.943705722354482,0.001843939914597547,0.33558754735975155
ZYX,0.6246216066868242,6.434657166684217,10.779553561256147,0.0019615443586541736,0.33558754735975155
ABCG2,-0.7035173801898439,7.293357007922757,10.46124660671195,0.002266472285202586,0.3579282770400699
HIF1A,0.6418305074433927,7.56643976480887,10.076009354095875,0.0026993738013631496,0.3602908118107726
PHACTR2,-0.4187701925691408,8.484987059557454,9.945435629237945,0.0028564720846058493,0.3602908118107726
PDS5B,-0.5859859444483838,6.662942600029019,9.777248333324199,0.003037868819909683,0.3602908118107726
MALT1,-0.7225876263576377,6.532886646573248,9.69586547484971,0.0031294735146610514,0.3602908118107726
GIMAP8,-0.6509342541522184,7.216457029640971,9.596777481065716,0.0033290046184886062,0.3602908118107726
SELP,0.5109823188768048,8.737805676788021,9.597225842238078,0.0033344010834898585,0.3602908118107726
APOD,-1.1491864916382464,6.65389591265664,9.352007547627185,0.003622635059488765,0.3613233408250827
NSL1,-0.5689266559580625,6.458133280396272,9.32918381846616,0.0036959523416106852,0.3613233408250827
IL6,1.4122290909849387,7.720620927699007,9.081673014661066,0.004207555774573096,0.39264145478175294
LIFR,-0.5986243999213586,9.67079104027368,8.841230089174374,0.004694436311534476,0.40337285983087573
CTSL,0.5287503731376919,7.354956435063107,8.823660416992123,0.004740134878674275,0.40337285983087573
GIMAP4,-0.4089658749487131,8.989491445397292,8.743302180885932,0.004911992935105647,0.40337285983087573
CCDC90B,-0.4805459607973111,6.864344889074508,8.407142176275686,0.005709943287792685,0.447052127990441
EIF2S3,-0.44894571174704206,7.866787310260581,8.356185852850043,0.0058793996374777915,0.447052127990441
GSN,-0.40588963183445287,9.766167174751809,8.157339141446531,0.006438118441454723,0.46127079064381515
AFAP1L2,-0.6480487252485988,6.186650677887419,8.076643095575895,0.006515758854686138,0.46127079064381515
FAM118A,1.1076989726560613,6.44218157511132,7.769413976789457,0.00769362853855459,0.5265006463217524
CSDE1,-0.3049890073020466,8.532525966622268,7.623938342635633,0.008279244771037935,0.5406124354720284
CYB5B,-0.445661800487243,6.950590040549101,7.514938095198441,0.008693392926586968,0.5406124354720284
MAP3K3,0.5144058092904936,6.686820991914501,7.485606250005835,0.008830475067769782,0.5406124354720284
GIMAP1,-0.5352708115649735,8.232675512657211,7.459919607705278,0.008953152852434957,0.5406124354720284
FSCN1,-0.5625952098857102,7.0536663881839425,7.262399974422906,0.00980980117163815,0.5537530062981807
TNFRSF6B,1.032785507643858,7.646543973951124,7.196720670287075,0.01015128980261356,0.5537530062981807
RORA,0.4886380475384879,6.921024662574877,7.094145627529345,0.010659799004790792,0.5537530062981807
CALD1,0.43310759289321255,8.558551855392597,7.091507785565394,0.010671903750447161,0.5537530062981807
STOM,0.2719554263763274,9.088819842059804,7.077039948237658,0.01074298561542277,0.5537530062981807
CNBP,-0.3721486241464989,8.5140325988588,7.030680596067614,0.010992534396877156,0.5537530062981807
TPM3,0.2664566029525761,10.196610806105193,6.957177400776171,0.011379712592224773,0.5537530062981807
KIF1B,0.6122543437343869,6.24996656154042,6.9314834143527415,0.011435140287307953,0.5537530062981807
ICE1,0.5561116967036114,6.333232059314116,6.907422870847394,0.011598333789976507,0.5537530062981807
GPM6A,-0.5754800005777994,6.6477237387057775,6.831514817082148,0.011996149444040689,0.5597294274685348
SNX5,-0.5048876541534413,6.738197562127863,6.784304624204355,0.012320758123696257,0.5621003650655203
TIMP3,-0.3879282729371143,9.671943565166154,6.618771409378479,0.013416057188831772,0.5987644654059049
TBC1D15,-0.3232335306443057,7.2581760815528655,6.451596373717259,0.014568532459223292,0.6275903514914104
COX17,0.5183075974640613,7.384761860548588,6.438791355005597,0.014673325314947734,0.6275903514914104
FNTA,-0.4157367909802478,7.11626065110801,6.266127182587153,0.015948954866858173,0.6682286600338742
TDG,0.5713165665090489,6.308329806136139,6.031240713106495,0.017854991346057055,0.6968437991219149
AQP1,0.2303898208339418,11.58751102241845,6.026856899594728,0.01796645700325272,0.6968437991219149
ASH1L,-0.33068419427526363,7.930244394474984,5.937701960847752,0.018805677136628295,0.6968437991219149
SNX2,-0.4138241517330235,6.642978482362179,5.918336957070807,0.018895468069665963,0.6968437991219149
SELENOS,0.4051807791591814,7.9693393571006945,5.924414738437012,0.01892920773159264,0.6968437991219149
EGLN1,-0.6485018926320039,7.405345217151713,5.885846216998801,0.019282134322937027,0.6968437991219149
SNHG9,0.7301378487310152,6.533943535321031,5.824578250322403,0.0198572126740157,0.6968437991219149
FABP5,-0.530198674368177,9.469155881134641,5.781484662464284,0.020320484497433983,0.6968437991219149
ACTN1,0.3239738402250085,8.611313000385826,5.743440819393407,0.020718499386588235,0.6968437991219149
FZD4,-0.4459602583897171,7.6269559749517954,5.692169695888153,0.021271295383952223,0.6968437991219149
PLAT,-0.5650401737133337,7.793539035472788,5.6909501048819,0.021282038768462536,0.6968437991219149
DNASE1L3,-0.959660223146495,7.449228660625758,5.6731549609073095,0.021435911451739963,0.6968437991219149
NOP56,0.4022736856266787,7.372773670706996,5.60592546173904,0.022222544531186307,0.6968437991219149
MAZ,-0.5492184035062955,6.1942989692517525,5.431186905921529,0.023971984985161884,0.6968437991219149
ITPRID2,-0.5253745714736702,8.265238877607615,5.369862346455401,0.02505239644353248,0.6968437991219149
LINC-PINT,0.5178779386426086,7.596462463605737,5.349083184846783,0.02532848794856422,0.6968437991219149
TOMM5,0.4164247094894262,8.099666419598446,5.33170229701214,0.025544814427919255,0.6968437991219149
TMEM88,-0.49385453907315807,7.711901486623489,5.3158983339252055,0.025754574428336768,0.6968437991219149
NES,-0.5162839710499331,7.879994979543553,5.303746637340059,0.025916361805330464,0.6968437991219149
EMCN,-0.26737213788148695,9.608392255679245,5.299344569601942,0.025955321932390054,0.6968437991219149
TM4SF18,-0.40834377689903406,8.141494649184974,5.283725603075906,0.02618272656129841,0.6968437991219149
GOSR1,-0.41520821208112657,6.642384233349348,5.255124810396129,0.026459966735170624,0.6968437991219149
DLC1,0.5729029224606683,7.761845264820123,5.224863649091327,0.026988037526450227,0.6968437991219149
SEC11A,-0.2953536046270939,8.949998524640828,5.145044673740866,0.028103611217608786,0.6968437991219149
SELE,0.6236652204517866,10.178408104037816,5.119964039452693,0.02846191701289039,0.6968437991219149
PITHD1,-0.37748909178603357,6.651550173737628,5.109801734294253,0.028530195585903494,0.6968437991219149
NCOR1,-0.30960981493124473,7.718773109547,5.116471790819625,0.028538447487369216,0.6968437991219149
DNAJB1,-0.5818188426057981,8.914750538678021,5.099361538542897,0.028776465969792924,0.6968437991219149
SOX7,0.5104871883868858,6.686692301284683,5.087540510017081,0.0289259284216413,0.6968437991219149
UTRN,-0.4463433813121705,8.462039888985979,5.042935808361732,0.029635065302523026,0.6968437991219149
EIF4A2,-0.28156300458900346,8.78271297222392,5.03614626912944,0.029732692094140017,0.6968437991219149
PIAS1,-0.3465899696312451,6.548456255115474,5.005575429447428,0.030087436099930944,0.6968437991219149
COMMD2,-0.45206447193892035,6.3287636895225825,4.991526884139954,0.03019786180274149,0.6968437991219149
YPEL2,0.42189127866533294,7.998786781606121,4.971259945158961,0.03076215646770357,0.6968437991219149
SNRPA,-0.5533877464763872,6.036457769464485,4.914295296413623,0.031250699589742685,0.6968437991219149
DIAPH1,0.45721670201712233,6.9265969789278685,4.939268195375023,0.031268490454627575,0.6968437991219149
EHD4,-0.3113608904990481,8.397964811033551,4.920178238712168,0.03158487539211049,0.6968437991219149
RAB29,0.4517484412543262,6.390026417298978,4.892923702449043,0.03194596009399328,0.6968437991219149
NR3C1,-0.3620329699422348,7.100869359573787,4.89586159794623,0.031966095980869566,0.6968437991219149
TPR,0.2586609591838212,8.539064607296462,4.871374419550668,0.03239233043022305,0.6968437991219149
C1orf115,-0.3925880191981802,7.693854890721792,4.8464601896707435,0.032828878491144055,0.6968437991219149
RSL24D1,-0.3677787870627971,8.049941418653527,4.8218252397710915,0.033253523099289466,0.6968437991219149
ATP5F1E,0.2989439582208511,10.418145488901905,4.8176833189545185,0.0333010832957048,0.6968437991219149
NECTIN2,0.3357433607649317,7.963715082559148,4.806009055634921,0.03352904174523613,0.6968437991219149
EPM2AIP1,-0.5291122432679131,6.184881724437722,4.782482126098964,0.033587814101432786,0.6968437991219149
PLP2,-0.47142870456323677,6.844573921273368,4.788208341094854,0.03376365738775109,0.6968437991219149
TMEM50B,-0.3009146792771979,6.890091728013196,4.787942546296141,0.03379678860870201,0.6968437991219149
CNIH4,0.3944266106596396,7.05780704083376,4.790064728984771,0.033804596655493374,0.6968437991219149
CALCOCO2,-0.340163615806587,7.877667913845258,4.783077062160116,0.03393600967181862,0.6968437991219149
SLC8A1,0.4723738394455733,6.404920046829525,4.7733656551554295,0.03401266054749881,0.6968437991219149
STK4,-0.5029173641872221,6.2041123097812685,4.728978595040875,0.03457854143409984,0.6968437991219149
NNMT,0.3412282049665856,8.889340754838749,4.733410683075619,0.03481075841914377,0.6968437991219149
KRT222,-0.5256269120501629,6.4223159984333185,4.717865604896299,0.034883921893564956,0.6968437991219149
SBDS,0.299798167804873,7.964293799997773,4.726158245905338,0.03496098943475754,0.6968437991219149
FTX,-0.3803638575749233,8.546752057917336,4.6261851160805865,0.036839593389419625,0.7207326477598632
LITAF,0.5267768043561203,7.230089199177947,4.62270343188111,0.03692851078691972,0.7207326477598632
RBP7,-0.4479585640157629,8.010795963450928,4.598540842087953,0.03738995161906521,0.7207326477598632
MCTP1,0.3983991692983526,8.286145036011142,4.581427005152787,0.03772054441730941,0.7207326477598632
HAPLN3,0.4013497920952957,7.463438018794992,4.572597708814836,0.03791482024260362,0.7207326477598632
HSPA5,0.3354366855645662,8.43466555997421,4.530287883894853,0.03875139499529188,0.7237758426451307
NUTM2A-AS1,0.37352794874233797,7.2422509793300005,4.5295260483342235,0.03878000131074738,0.7237758426451307
RGS16,0.8046095761577412,7.828528386979366,4.482747049061565,0.03975298541135222,0.7352511626081633
ADGRL4,-0.25833044651946513,9.709686860452429,4.450678463304395,0.04041038966632124,0.740736874865692
NACA,-0.25354618229744363,11.491001470556993,4.3891638281383445,0.04175241263214727,0.7585637445468879
MZT2A,-0.4019830679802253,6.5825215533237005,4.26804761650545,0.04441942668302181,0.7908778027930894
RPL5,-0.2026266569158606,11.83164559382879,4.268389524065785,0.04453668277775472,0.7908778027930894
SRSF8,-0.3610469590383916,6.590635028388013,4.2572251934866925,0.04468671462445123,0.7908778027930894
YAF2,0.388375719601421,6.217149505266604,4.219379442384418,0.04558790890689096,0.7916865244944171
CAPZB,-0.29612857802974196,8.317410722795175,4.207207746999454,0.04604626473478762,0.7916865244944171
EMP3,0.49520764686437235,6.0432652156316085,4.193142964657817,0.04611692916172473,0.7916865244944171
TRA2A,0.33409386152099046,7.086981276287406,4.189402321635965,0.046495333779944206,0.7916865244944171
GJA1,0.46963188324478694,7.677858929653453,4.177057617719157,0.04680985459287146,0.7916865244944171
NTAN1,-0.3761092128307594,6.645302194782312,4.146171741688354,0.04745091981853173,0.7916865244944171
MRPL9,-0.391854406016668,6.722713282883875,4.135547793186825,0.04775942198289581,0.7916865244944171
TIMP1,0.35598948998872165,9.5354046761292,4.136348283835127,0.047817403330398314,0.7916865244944171
ANP32B,-0.22645231176984829,8.872171554008052,4.050568289362311,0.05009572635767274,0.7994378121914989
PTPRE,0.3846309328456114,6.276039255242172,4.044305213333537,0.05013259698930659,0.7994378121914989
PRKACA,-0.5456295525363316,6.242134498080393,4.017118154022042,0.050666788020322796,0.7994378121914989
NEDD9,0.455682982200918,7.10850167507237,4.014115360033912,0.05111372930582562,0.7994378121914989
SORBS2,-0.3960635438636022,7.247732318600343,4.012602263822967,0.05113239579449912,0.7994378121914989
FLII,0.4128776549076532,6.1201475071202,4.004606066341633,0.05114247456266795,0.7994378121914989
F8,-0.5463614889320407,6.56327174748753,3.992293818051543,0.05149182897523832,0.7994378121914989
RAB27A,0.4151986649558181,6.6442901032558845,3.9952453271363453,0.0515937584683119,0.7994378121914989
TMEM147,0.41351564483338277,7.287321768655952,3.990150178601741,0.051790174876507236,0.7994378121914989
HSPA1B,-0.7819425176198316,7.836377192977151,3.9627290634640344,0.05254872921478269,0.8006728369016584
NAMPT,0.3417383165112425,8.6016574779956,3.9464786122832636,0.053011854633332633,0.8006728369016584
RAB30-DT,-0.5248040786664042,6.064099043860721,3.9280990512951175,0.05305506274507615,0.8006728369016584
SLC2A4RG,-0.577289472267717,6.606394067516443,3.898375755698803,0.054252727344610896,0.8006728369016584
EIF2S2,0.30504923995251704,8.658018885797368,3.900687219846709,0.054351495542571314,0.8006728369016584
SEMA6B,0.44696640688404166,6.3903018475552,3.8893859359555196,0.0545767941382698,0.8006728369016584
DDX27,0.36394630189746574,6.446307241306115,3.889339190722054,0.05460019345651835,0.8006728369016584
MZT2B,-0.33188449547029725,8.236391825866493,3.8652342048434343,0.0554282700969119,0.8048033814271983
MIS18BP1,-0.3691342103278994,7.226346974703659,3.856800529265692,0.05566589389316228,0.8048033814271983
PDLIM2,-0.3901579168852792,6.8882763895853065,3.828487672425443,0.05648066211734668,0.8072021620258373
C1D,-0.41787371594295447,6.225800461525867,3.8058271968564963,0.05692414111139979,0.8072021620258373
