,logFC,logCPM,F,PValue,FDR
MCTP1,0.9276866819892132,8.540671381244428,15.198901081756711,0.000359545035941672,0.2808046730704458
COL4A2,0.7395467232614553,8.785224831303706,12.25097319835846,0.001156680568403426,0.45168376196153787
KLF6,0.6686511118112507,8.705960570220093,11.249565837653103,0.001750722145866647,0.4557713319739504
HSPG2,0.5028014693554251,9.92681186544139,8.537775489716921,0.005699251727920349,0.9712925112834513
COL4A1,0.653736084372851,9.018917716580741,7.658130714110055,0.008522322332130261,0.9712925112834513
MGP,-0.49833638754777,10.305310063799988,7.6548636139661275,0.008533030413326228,0.9712925112834513
DHX36,0.5269866073434576,8.203662537999332,7.368562058466712,0.009732471725594407,0.9712925112834513
MCL1,0.5794980359297968,8.659684581516315,7.123558188094606,0.010933336476658301,0.9712925112834513
JAM2,-0.3929456303376,9.061531882524989,6.649723997732442,0.013718667156786978,0.9712925112834513
LIFR,-0.7643537582353348,9.379158422281288,6.33091006886515,0.01599778830283863,0.9712925112834513
ATP5F1E,0.36889203393499514,10.52509995453342,5.973740900167569,0.019025761903208344,0.9712925112834513
ITM2A,-0.48473710032424305,9.714432520484621,5.946462190746381,0.019292702528935234,0.9712925112834513
GIMAP1,-0.6208149946762074,8.747997263711092,5.883083796554203,0.01991173753363915,0.9712925112834513
SEC11A,-0.4924327514265332,9.035268010051704,5.648206523038664,0.022370230025913162,0.9712925112834513
SRSF11,0.38086281586121123,8.949867151489515,5.617525598886364,0.02270479930566024,0.9712925112834513
TMA7,0.4288668069832142,9.655940055761754,5.48896919590548,0.024205067558909627,0.9712925112834513
MYH9,0.36589050150053765,9.41270226076693,5.241867015499275,0.027415025493137714,0.9712925112834513
HSPA1B,-1.298475781553609,8.92269385805068,5.211308086538054,0.027806464804620644,0.9712925112834513
RGS16,0.7961242180274877,8.199792408137112,5.171611580535079,0.028343080143778863,0.9712925112834513
ANKRD12,-0.5311619469689515,9.172247738608174,5.139414319222829,0.02888988782804258,0.9712925112834513
HIF1A,0.6674308580053938,7.871225014206854,5.0725661123601595,0.02978708452102408,0.9712925112834513
BST2,-0.45005959106012045,9.252990038818503,5.075889348162637,0.029836438264808432,0.9712925112834513
SRGN,0.45137384461400093,9.239510816180312,5.005707561957193,0.030908310836274343,0.9712925112834513
ADCY4,0.4353965451023275,9.20969823644025,4.947001633267725,0.03185719415673312,0.9712925112834513
RPL7A,-0.34895462321439585,11.960626962553043,4.734328685791209,0.03552901272154012,0.9712925112834513
ELOC,0.496798340368974,8.155528752384681,4.664150603414618,0.03679023358114596,0.9712925112834513
HLA-B,-0.29703771643861254,12.601583869637366,4.5905811162862316,0.03828285003777289,0.9712925112834513
RPS19BP1,-0.5205766156868837,8.073756726733055,4.575877182224567,0.03850947708594141,0.9712925112834513
DDAH2,0.4569153045808189,8.240722572447543,4.549912557176389,0.039069042048721365,0.9712925112834513
SNCG,-0.411546437799965,8.512354664635561,4.411078533964057,0.04207438156801854,0.9712925112834513
OST4,0.43294016018045517,9.117885475310173,4.371342180421722,0.04296175578188579,0.9712925112834513
FABP4,0.9806500814198783,8.654277207011399,4.343818199579622,0.04354805439801523,0.9712925112834513
LDHA,-0.37857997572307545,9.338331757802417,4.332216499830233,0.04386542511604925,0.9712925112834513
BDP1,0.41682418535868676,8.386378646461933,4.241108905490962,0.045996211578300195,0.9712925112834513
UBE2D2,-0.4687094891829062,7.803396010485467,4.1275518120078525,0.048743070756308335,0.9712925112834513
RPS26,0.5325121937514845,11.363274717226172,4.059029208140968,0.0506909582539865,0.9712925112834513
TMOD3,0.3504457095589262,8.724620017515658,3.942504087658477,0.053975336493582986,0.9712925112834513
WSB1,0.3515385781120709,8.984852092674545,3.90943095232055,0.05495014098030627,0.9712925112834513
DIPK2B,-0.38989505612367986,8.36637895334407,3.839568783320156,0.05705019488720737,0.9712925112834513
HLA-A,-0.2894775432664452,12.35782787483847,3.8141006919703466,0.057839921549350935,0.9712925112834513
SYNE2,-0.40555576238650565,10.177824478713545,3.7683444437867224,0.05930657303207415,0.9712925112834513
CFL1,0.27729822452408415,10.381219095963873,3.7576029917329805,0.0596508911058594,0.9712925112834513
CLIC2,-0.5261405431596804,7.836060258454646,3.734081682751194,0.06029243160059332,0.9712925112834513
RNF13,-0.42036331450438913,7.86034573625198,3.6750525015117623,0.06228043791289152,0.9712925112834513
WASF2,-0.26197829731395395,9.465992773206215,3.5760522427637524,0.06589806529791295,0.9712925112834513
LINC-PINT,0.4767232200825024,7.752097395342114,3.551397570280614,0.06665617853329889,0.9712925112834513
