,logFC,logCPM,F,PValue,FDR
CD74,0.8856120457655894,9.243285765661724,15.543619094013232,0.0003243512243261256,0.18785129504687734
ELN,0.7755890600870844,9.132976280036043,14.581876980431788,0.0004684570948799933,0.18785129504687734
TIMP3,-0.6182668496743876,13.068144102956333,11.238810496208455,0.001780584513431128,0.47600959325725484
TMEM47,-0.9057510310353422,8.75792223443133,10.56146142111158,0.0023792857977525516,0.4770468024493866
COL1A1,0.9816020816584122,10.47876635460761,9.90471241829386,0.0031423593046403073,0.48864706628626214
RBPJ,-0.47464464271395024,9.007906428332236,9.368768275430332,0.003982579122067185,0.48864706628626214
ECM2,-0.7264446161308015,8.522063575643122,9.015583296869703,0.004648301763836514,0.48864706628626214
ADH1B,-0.5185662304684648,11.773014654142534,8.86005126576596,0.004968366964464272,0.48864706628626214
SFRP2,0.871021142379779,11.877851483108634,8.442647834791652,0.005990950962724473,0.48864706628626214
COL3A1,0.9837878131268928,10.847812110026444,8.405832187033903,0.006092856188108006,0.48864706628626214
SCN7A,-0.7356175718544619,10.235954065408173,7.865547267957409,0.007797528065121619,0.4886903288994285
RPL26,0.3766689245616178,12.069384615201153,7.748623481322332,0.008221466675816774,0.4886903288994285
OLFML1,-0.6222673651265372,7.98069794742019,7.4298513277584295,0.009490218871299852,0.4886903288994285
RPS19,0.38121359746898137,11.829875860469585,7.335633792422423,0.009958581771794954,0.4886903288994285
ASPN,-0.8150463228837289,9.964268022425477,7.3160507370343675,0.010059258086779306,0.4886903288994285
JPX,-0.7658042739188126,8.475408263733932,7.078702637165084,0.011250544936380152,0.4886903288994285
ZFAS1,0.4968533370171236,9.427374512092483,7.024683181445397,0.011545572832012461,0.4886903288994285
RPS18,0.3285697822504105,12.686263254212951,6.999222553304794,0.011663602425100368,0.4886903288994285
TMEM100,-0.7599383871433729,8.39164043650136,6.858136943113447,0.012468120692444075,0.4886903288994285
RPL17,0.35075144486836995,11.900581980670033,6.811087028133643,0.012752122705937573,0.4886903288994285
SEPTIN7,-0.31567477644544867,11.083434317708445,6.738573946955055,0.013201398818401027,0.4886903288994285
NEDD8,0.39693582398492505,9.094734065984586,6.710745740674114,0.013405470368812252,0.4886903288994285
ABCA6,-0.48200152666638585,9.75853299196807,6.509619116935087,0.01474516668817684,0.5141575514746881
PFDN5,0.3379777062530794,10.457200479837509,6.406033434904376,0.015487660963089707,0.5175460038499143
COL6A3,0.48829362970824736,10.042474978773038,6.310289981446471,0.016226720359787766,0.5205531891419914
OMD,-0.6104119344988769,9.332275830173556,6.016787561233786,0.01873546244840096,0.5411302499710234
UXT,0.5268884538485077,8.128793898715426,5.98930939615356,0.01892402094777801,0.5411302499710234
FGL2,-0.5036028008677849,8.210360384520826,5.987395057981289,0.01898847253349576,0.5411302499710234
MGP,0.34397554147752185,14.560492892150087,5.893386393922887,0.019874362785313446,0.5411302499710234
CRTAP,0.49622856099218354,8.231012940186286,5.848149161624141,0.02024177992410312,0.5411302499710234
LIMCH1,-0.43802555145885935,9.662069839875562,5.632909677516403,0.022625590988836142,0.5839231414485073
IGKC,-1.2565654830156145,9.857581197016804,5.574183762282503,0.023298678960538947,0.5839231414485073
CTSK,0.3955165052956237,10.016328471237133,5.375629206895455,0.025720020527984527,0.6095741618711076
MXRA8,-0.39990208199330063,9.523469680112523,5.347703481723885,0.026094729174226894,0.6095741618711076
HLA-A,0.41629276626116285,11.394711103610422,5.222663193678509,0.02776853613640226,0.6095741618711076
COL1A2,0.46066847590161936,11.810771278860226,5.174072398775247,0.028459038400253565,0.6095741618711076
SELENOM,0.2507293101040347,10.78835020760575,5.1608064968889735,0.028654514808111906,0.6095741618711076
HSPA5,-0.4623062242289818,9.234123363556122,5.061649155644091,0.030168287836461652,0.6095741618711076
EEF1D,0.37954477058828806,10.628775920665468,5.028016098776254,0.030656032264151797,0.6095741618711076
ISLR,0.3909092192625031,8.275076383731312,4.994422636617263,0.031156884342800156,0.6095741618711076
SNRPD2,0.40992877542501355,8.837024543975646,4.943103041129965,0.03205500020295221,0.6095741618711076
HNRNPM,-0.4868305850383346,8.549925836149445,4.919644148303211,0.032452150981566286,0.6095741618711076
H2AFZ,-0.40877746988802105,8.556264022205331,4.895519854522012,0.03285456281530973,0.6095741618711076
SLIT3,0.5210578173254362,9.146341778563988,4.86008675502279,0.033442971474225355,0.6095741618711076
YWHAH,-0.5233331655147492,8.648246935897655,4.744448713348877,0.03550912530342031,0.6209340884681239
ZNHIT1,0.3913470958650175,8.356292764738646,4.735084081122136,0.035614673403408605,0.6209340884681239
PSMA6,-0.43088734573779813,8.003535983219178,4.601937950858302,0.038152184219576474,0.6510223775340496
TMX4,-0.42346276534773375,8.422893828111572,4.5105060950826665,0.04007918067148549,0.66965631038607
SSR1,-0.43318579762895865,8.147589384980192,4.449162494127527,0.04135474629535818,0.6768674801811686
RPL18,0.2876109178358519,11.468579868530787,4.394877956512654,0.04253121780042055,0.6822007335187457
IGF1,0.7092228681721677,8.619710161944589,4.314451315218918,0.04441081563690572,0.6863460688886039
ZNF638,-0.48129022564593116,8.369118970143608,4.310667662984794,0.044501241374323444,0.6863460688886039
SNW1,-0.3702747878733901,8.130308907367732,4.248911102828191,0.04595084626938891,0.6953316737367907
RPL13,0.2576647575194205,12.900664072092574,4.112316101387293,0.04938589297003157,0.716839362135754
RPL18A,0.267053693140682,11.906396358174195,4.051997053616254,0.05100237162070335,0.716839362135754
HLA-C,0.4016760477486102,11.057244220180833,4.02429356519363,0.05176645850750165,0.716839362135754
RPS15A,0.2908901363209619,11.886495788613235,3.985663363396895,0.05284663184965577,0.716839362135754
BGN,0.3486525843849306,10.716765421765913,3.91910014773659,0.054777258733821534,0.716839362135754
RPS27A,0.245555304106149,12.368988852626757,3.918217388266621,0.05479704110916307,0.716839362135754
RPL12,0.2745397912271314,12.194103536484725,3.916150722438742,0.054858161545869484,0.716839362135754
RPS12,0.35752766855027157,12.553231271700199,3.89668695616697,0.055436274345019736,0.716839362135754
COPS9,0.4102530153138614,8.39594426855249,3.8370613102516478,0.057265100304639036,0.716839362135754
B2M,0.4935432002323847,13.506109620447283,3.8142027348631027,0.057962688395595,0.716839362135754
PRNP,-0.3136572380706771,9.214718484525193,3.81210726813538,0.05807747776854358,0.716839362135754
GNG11,-0.3509176553830657,8.700739663514359,3.806207926705504,0.058275399408967705,0.716839362135754
RPL28,0.3326916864786252,11.808141898702218,3.781775135920277,0.058991767956308935,0.716839362135754
GSTM3,-0.37443885041285285,8.696911593605565,3.7459241158810936,0.06021419520895396,0.7207729038444937
HNRNPA3,-0.377746541454739,9.00100341336386,3.663664355247303,0.0629678582909765,0.7275170583387411
RPS14,0.23242450213917495,12.384082629738698,3.6453969539773907,0.06354084750744594,0.7275170583387411
RPL4,0.3333058098714854,9.991255040858675,3.619934711449216,0.06444987324603592,0.7275170583387411
CAP1,-0.4102413762854769,8.13455167018534,3.599596494635343,0.06517899521509385,0.7275170583387411
CRYBG3,-0.7139051675732184,8.223562065820838,3.5853457052963877,0.06564280515999732,0.7275170583387411
RHOA,-0.29314060751498516,9.744827938204459,3.570680746446632,0.06622038062185549,0.7275170583387411
GHITM,-0.4594360193800198,8.069544719721339,3.482282171409971,0.0695159763590155,0.7485329622818964
LINC01140,-0.37956777298250793,8.220597484271025,3.4686937515517764,0.07003672109911496,0.7485329622818964
GDF10,0.5216128092977155,8.189767035162197,3.4439368295964328,0.07093329817135177,0.7485329622818964
LMNA,0.3395640071916044,10.50750621844958,3.4077892796857623,0.07243487908102111,0.749457427093851
SNRPB2,-0.37033086978957114,8.477463455254322,3.375210119814954,0.07382008292228545,0.749457427093851
RPL11,0.2616538097618001,12.160183911521566,3.32133402848263,0.0759979734684679,0.749457427093851
IFI27L2,0.3899942917129215,8.642457005925893,3.316935284686531,0.07623666191148117,0.749457427093851
RPL41,0.30307376781217127,13.129337349704494,3.312032881238684,0.07639302478945816,0.749457427093851
ZBTB16,-0.541569558688106,8.85408980001453,3.302015452914296,0.07687807159472083,0.749457427093851
MYH10,-0.2969593777169569,8.72503604041317,3.2544838723369405,0.0789533023750716,0.749457427093851
RPL19,0.2351317880354686,11.949475513950484,3.2403286697780938,0.07952244032688174,0.749457427093851
HIST1H4C,0.6278213077286614,8.845508837270934,3.2354834849636145,0.07979704436296274,0.749457427093851
TMSB10,0.28246118619304644,11.684507744950633,3.2215465550573437,0.08036575901505134,0.749457427093851
CDC42,-0.3045189480458034,9.089354427081409,3.198663569826376,0.08146334160558177,0.7509609191686963
RDX,-0.31360834190474984,8.377403925582444,3.1216261026390177,0.08508762052924136,0.7677821269813325
RPS24,0.2811282517155459,11.902558494376294,3.0985132751610127,0.08614194322065759,0.7677821269813325
KLF2,-0.6762345345520241,8.377067107468408,3.098938064684807,0.08616008906274304,0.7677821269813325
PLEC,0.4524659063529255,8.015604015218548,2.997836610986212,0.09119341485911922,0.8023831660908597
UBE2D3,-0.3329804637837979,8.87621637623577,2.983313410361115,0.09204395421491159,0.8023831660908597
PPP1CC,-0.3928249045203717,8.062436351543745,2.894724040535645,0.09677211233627292,0.80505345655248
NPDC1,-0.35802532976856843,8.182654038559557,2.8790961917294076,0.09768353225684058,0.80505345655248
TOP1,0.4794000147607075,7.986233301781228,2.864374001805971,0.09832885128031742,0.80505345655248
LSM7,0.4139054812654759,8.116494053475213,2.8657016799622492,0.09837130791415553,0.80505345655248
LAMP1,0.3045512166291917,8.889750854622923,2.850406436722402,0.09932718402296871,0.80505345655248
PLXDC2,-0.42366404916731876,9.60307344831517,2.8453242908920298,0.099593007182822,0.80505345655248
RPL39,0.3134292409512388,12.116929658924938,2.827832484170813,0.10057083363897096,0.80505345655248
RPS2,0.26055402884848605,12.16279499557052,2.827468534774754,0.10059191016581023,0.80505345655248
RPLP2,0.23338090633622213,11.883431470674662,2.8139013294854105,0.10138453754588587,0.80505345655248
RPL23A,0.32504119929614983,11.652287862984908,2.7837640494236378,0.10317098489327048,0.8112071557294404
RBM25,0.3131692644689605,9.130106482755542,2.721848016769022,0.1070064077761443,0.8331955246259003
PRPF40A,0.3838888618568771,7.912394035802137,2.655063545755684,0.11114263933684324,0.8486337828000685
BCLAF1,0.27268646286670084,8.809788442205681,2.656520023175398,0.1111768199879995,0.8486337828000685
SNRPN,-0.3259268067960646,8.202377646855822,2.6277813966960735,0.1130240609734967,0.8486337828000685
HMGB1,-0.19700333824480973,11.103044974549704,2.624506918731466,0.11322171416409892,0.8486337828000685
COL6A1,0.29490201179064357,10.572428250360973,2.550927852080696,0.1182441735171173,0.8712788259088708
IGFBP7,0.5237509873583361,11.713018254855081,2.537945259874724,0.1191486524696713,0.8712788259088708
STAG2,-0.4286689393603811,8.198465696134516,2.489510435966904,0.12264045109699151,0.8712788259088708
RFC1,-0.4110880057077665,8.024971016097304,2.413489807897259,0.12829192452270521,0.8712788259088708
CAMK2N1,-0.5201680869157103,9.00895264879878,2.3545565164338766,0.13298346758545362,0.8712788259088708
SUMO1,-0.33846387598819205,8.206278720499224,2.345887411378692,0.13365837826278096,0.8712788259088708
MATN2,-0.3248596290431201,7.985987487163726,2.317508902150925,0.1358267866274466,0.8712788259088708
FTX,-0.2961666417642216,9.301201432113846,2.3017219999339744,0.13727954804481082,0.8712788259088708
ZEB2,-0.3785510567069975,9.205082565751017,2.2888326587105263,0.13835914354020437,0.8712788259088708
PPP1R14A,-0.4788344285397293,8.001614119753862,2.284361140606134,0.13868830029012633,0.8712788259088708
RPS25,0.2291226989508725,11.53217828369531,2.2618790613227135,0.14058511291580394,0.8712788259088708
COL14A1,0.3234292048873968,10.021050318838574,2.2611739172997494,0.1406661994728538,0.8712788259088708
IFI27,0.38224801909584577,9.716933361638288,2.2573874437266928,0.14099269243820942,0.8712788259088708
CBX3,0.3755368080710586,8.098571979470384,2.251226123662063,0.14132567557132936,0.8712788259088708
RPS15,0.2070071581973497,12.029160362645989,2.23647453482719,0.14277185708617568,0.8712788259088708
TCF21,-0.45098679690297383,9.629453401564454,2.2240147225357196,0.14389694170648318,0.8712788259088708
TCEA1,-0.3292153378292089,8.876842996412359,2.214415072237388,0.1447721992475921,0.8712788259088708
LDB2,-0.383252370066447,8.160555065605253,2.175080927560125,0.14822471650827998,0.8712788259088708
CYBRD1,-0.3263558146924073,9.768615517143683,2.1737600656772895,0.1483751816847887,0.8712788259088708
PMP22,-0.22457112529723813,10.779891173687568,2.1616168699874825,0.1494578318379519,0.8712788259088708
EEF1A1,0.16576199834784525,12.890795284149839,2.154793466239898,0.15007971830584046,0.8712788259088708
CTSO,-0.3453887831619421,8.00606611972192,2.1434114114350136,0.15108592338844734,0.8712788259088708
