,logFC,logCPM,F,PValue,FDR
HBB,3.8054020402213005,10.636189802938306,25.446666023956205,8.509453169879361e-06,0.008203112855763705
GBP1,1.1981340322829377,8.662254384846136,14.845294694411086,0.00037590095464806674,0.18118426014036818
ADH1B,-1.0015605922847846,11.108996938078684,11.239420248371324,0.0017259265534536718,0.4062037144955619
TIMP3,-0.8261897381710417,11.882315605581551,11.040757950196959,0.0018757795535318093,0.4062037144955619
OSR2,-0.7542394073323301,8.468119953625077,10.189235706579733,0.002664279466680702,0.4062037144955619
ATP5F1E,0.6282290146115787,10.160785793595183,10.013544496620401,0.00292183248659003,0.4062037144955619
C7,-1.2736974140767676,8.141793974629582,9.389717842895019,0.0036695161396655862,0.4062037144955619
PRNP,-0.6117564885486909,8.944463831403363,9.425162421814434,0.003768057756403465,0.4062037144955619
FOXP1,0.6033117235557285,8.616012556825057,9.367306991292716,0.0037923583303527564,0.4062037144955619
SCN7A,-0.9290891646742087,9.997963287348048,8.519032644794656,0.0056805755574126475,0.44817175001304904
TMEM47,-0.8360726641923449,8.403875746799601,8.458842347127108,0.005753203195349104,0.44817175001304904
THBS1,0.8976401393011256,7.951386618683596,8.373770718440799,0.005795768008444669,0.44817175001304904
RPS20,0.524566614124886,11.616034054079744,8.234029632905413,0.006458851158502598,0.44817175001304904
LINC01436,0.8247929945503342,8.819275395395335,7.885718064856816,0.007495463193019321,0.44817175001304904
GSN,-0.5311170660418457,11.98106542262377,7.454413792768119,0.009265926166247194,0.44817175001304904
COL3A1,0.8462830532108433,11.735053545419214,7.450404298696129,0.009285315580999381,0.44817175001304904
FBLN1,-0.5380618385478851,12.714918077874659,7.376550847568181,0.00961001665336941,0.44817175001304904
COL13A1,-0.6737808173983171,8.894611685106916,7.304934177355315,0.009922294215302684,0.44817175001304904
LDB2,-0.6780162829775217,8.034175104906764,7.211170541616625,0.010198030211431985,0.44817175001304904
TCIM,1.22384343945914,8.292096972283407,7.191994844240791,0.010200917682033434,0.44817175001304904
LEPR,-0.675341017152328,10.079238291553366,7.238213279151656,0.010272695516920862,0.44817175001304904
OMD,-0.7537801313902314,8.1662887909112,7.148472246094326,0.010533796763896937,0.44817175001304904
LIMCH1,-0.5279078376044515,9.743307501352671,7.080992643705526,0.011067537021744997,0.44817175001304904
HBA2,1.5949302527150866,7.683582010947425,6.9292400933875955,0.011285180041421242,0.44817175001304904
B2M,0.6566451115461475,13.724847965730493,6.903319782963877,0.012025132003634574,0.44817175001304904
ACTN1,0.7384068639432382,8.036023847930199,6.79036162858147,0.012351702269507582,0.44817175001304904
NDUFS5,0.5291758558163896,9.19010064176442,6.798634921874713,0.012608424757451223,0.44817175001304904
ABCA6,-0.6315624133145186,9.957245058071207,6.7407053990350585,0.013017436722370719,0.44817175001304904
RERG,-0.6093209623452865,7.832970202351787,6.378536025743827,0.015159547708112779,0.4656381536819775
DEPP1,1.0797027907210675,8.64606890896356,6.383439988777677,0.015300979947454295,0.4656381536819775
MLH3,-0.7142055396596841,7.660146208223725,6.298938066096918,0.01566347849833816,0.4656381536819775
SLC2A3,0.951293807905129,8.328312314478756,6.226990359073499,0.01639029640432703,0.4656381536819775
NKD2,-0.5581058144508995,8.60538217127823,6.163312568808569,0.017133033194721457,0.4656381536819775
GFRA1,-0.6674236170164783,9.114479878486623,6.098285589424297,0.017755219693071197,0.4656381536819775
MFAP4,-0.535560171880286,11.025755642890202,6.079646263684354,0.01792919862510247,0.4656381536819775
TRA2A,0.8955214647683177,7.697795772467342,5.924594475892147,0.01871071006726604,0.4656381536819775
