,logFC,logCPM,F,PValue,FDR
PFDN5,0.6630195376020694,11.414145496435998,7.722031722087282,0.011871148213489075,0.9077115668667419
HLA-B,-1.001984050276672,12.50201317614781,7.531048993688556,0.012766099404941295,0.9077115668667419
IGFBP7,-0.7684170960689489,13.718207391456795,6.987293679059479,0.015874512483944416,0.9077115668667419
EPB41L2,-1.3619430693948709,10.006543095076204,6.311992271413508,0.020920016621038873,0.9077115668667419
APOE,-1.5385019657969068,10.413337618088049,6.065860032898861,0.02322556659764939,0.9077115668667419
RPS24,0.6610805220666607,12.53698441843192,6.011539704310614,0.023882109514282913,0.9077115668667419
RPL17,0.5469913293821161,12.24349872010806,4.977501477097395,0.03772695926190443,0.9077115668667419
HLA-C,-0.8633758579732748,11.612150429871331,4.68297605913014,0.043232046209290775,0.9077115668667419
CCL21,-1.3944485287649644,10.965205519667078,4.516973976153171,0.046751972586229526,0.9077115668667419
RPS12,0.542782811553715,12.970315236208759,4.432833872790111,0.04855023346348704,0.9077115668667419
TLN1,-1.0124909488304075,10.383425704248296,4.4384490510179315,0.04855333736565402,0.9077115668667419
FABP4,-1.1070701056877228,10.099435286308085,4.3309848670413915,0.05097106795421199,0.9077115668667419
HNRNPU,0.7605102843891908,10.288233911978327,4.128839781410377,0.05618691194855663,0.9077115668667419
COL1A2,0.8814733543127102,10.955697143439195,4.0591518959000155,0.05817568498606339,0.9077115668667419
NAP1L1,0.8733742127870397,10.39284324135796,4.030074527541078,0.05893291027215412,0.9077115668667419
RPS11,0.6027078425586876,12.0162972906683,3.6298686141602126,0.07177039215940853,0.9077115668667419
RPLP2,0.4064807586560359,12.344757274468048,3.4979233534251746,0.0766844665321669,0.9077115668667419
HSP90B1,-0.8614027452341796,10.066765980967261,3.434820864841722,0.07920106325926712,0.9077115668667419
TPT1,0.514528963932251,12.942456192199394,3.164388962203762,0.09099343367450831,0.9077115668667419
IFITM3,-0.5367594341728558,12.505332376349182,3.1480259012828053,0.09178084584717314,0.9077115668667419
HLA-A,-0.7307210078962106,12.054515409454973,3.1058624814440394,0.09384489873670898,0.9077115668667419
S100A4,0.7752948850913278,11.874880405653686,3.031948067013032,0.0975775205987192,0.9077115668667419
SON,-0.743018631383866,10.723019991600207,3.0167323485748176,0.09847261897645106,0.9077115668667419
RPL26,0.38333628286458804,12.637947773059855,3.0040994956594638,0.09898723966663592,0.9077115668667419
RPS14,0.42039899876435693,12.946303523485911,2.7830046181367867,0.11138914011657577,0.9077115668667419
TMSB4X,-0.613243610684989,13.607481899847848,2.78245255444844,0.11141702856028324,0.9077115668667419
IFI27,-0.5698007018903344,10.893983412236027,2.728188682331764,0.11487838257221333,0.9077115668667419
RPS25,0.4421121009206584,12.021925428696576,2.665137841277235,0.11879233222992111,0.9077115668667419
TM4SF1,-0.8346731902204184,10.65630944479172,2.5949417204854313,0.12356528348529226,0.9077115668667419
RPL7,-0.5316623686533072,12.253074847112401,2.460998082142223,0.13294944905527817,0.9077115668667419
C1R,-0.8053703291373697,10.237460110526786,2.4478878846133627,0.1340517668822324,0.9077115668667419
BGN,-0.8039342279270719,10.044673892137155,2.4385295325113714,0.13466743807806375,0.9077115668667419
GUCY1A1,-0.6798967334647505,10.100538671543063,2.4183053327157022,0.13613600946996376,0.9077115668667419
RPL5,-0.39923353228499964,12.161681301362378,2.372048841318915,0.13976025841389733,0.9077115668667419
PDGFRB,-0.7673173249083451,11.266754387995984,2.346017075789477,0.14189962600605238,0.9077115668667419
CFL1,-0.6963112234903193,10.644853887859892,2.296288137059846,0.14603031328664243,0.9077115668667419
LGI4,-1.2789427804580573,10.06061537905879,2.280636963675187,0.14717416107226375,0.9077115668667419
