,logFC,logCPM,F,PValue,FDR
DCN,-3.313660824407681,9.492897931498769,9.611951474223108,0.005367049995948566,0.971418500000758
PLAC9,-1.2118219290053682,10.881976817031756,7.877574037487446,0.011439080648387936,0.971418500000758
PLN,-1.267632956652946,11.165829861867282,5.9724841292252036,0.02471808683238972,0.971418500000758
EIF4A2,-1.0389372286286667,10.072992325208332,4.764301011414841,0.04216656840447135,0.971418500000758
ADIRF,-0.5960022265329636,13.765740799553052,4.329041440592586,0.05153392879227222,0.971418500000758
HNRNPA2B1,-0.9320154468994736,10.264880911719167,3.827480417863572,0.06569391893456925,0.971418500000758
RERGL,-0.812458796224135,12.410516071753706,3.758866175384363,0.06784931194633109,0.971418500000758
IGKC,2.4367802660752234,10.78656088617619,3.6565466491059566,0.07141045639302744,0.971418500000758
YWHAB,0.688023209629024,10.109277091165195,3.6034215446317646,0.07344749853912913,0.971418500000758
CRYAB,-1.203007260041041,9.94960352637291,3.52566956203628,0.07629185043736375,0.971418500000758
EIF5,1.0478057694946947,9.609690855834266,3.47487069532358,0.07811123142473884,0.971418500000758
TOMM7,-0.7485050662838244,10.754687922096677,3.362519257258194,0.08280607207125527,0.971418500000758
CAV2,-0.7865256449665567,10.209653000364462,3.3365807503470464,0.08398190280781322,0.971418500000758
MEF2C,0.9185250807893647,10.41874959805305,3.1113372378626942,0.09429252599369546,0.971418500000758
NIBAN1,-0.9424351815680205,9.60355830843881,2.9367443733470995,0.10333551597308548,0.971418500000758
LUC7L3,-0.7623520625767357,10.003235748046627,2.8186916843948415,0.11003709034990404,0.971418500000758
MYLK,0.9912657075923187,11.292100888852033,2.7875834891244042,0.11177008573566552,0.971418500000758
SNCG,-0.83572041476788,9.845820129753186,2.784820063463101,0.1120912798889074,0.971418500000758
VAMP2,0.8513679111839602,9.743081803510561,2.683735292893,0.11822198416843582,0.971418500000758
MGST3,-0.5475162108067231,11.369675080874737,2.671838306008606,0.11896638217154651,0.971418500000758
RHOA,-0.8062312022352051,9.987437306295412,2.582181185019526,0.12507495240407063,0.971418500000758
NTRK2,-0.9731018067019185,9.914765172226844,2.489144475820589,0.13156552827469992,0.971418500000758
BLOC1S1,1.0172815938631001,9.519811909530581,2.4635465147931512,0.13330225984408436,0.971418500000758
RPL27,0.4109523565449919,11.5149928373578,2.450765351411054,0.13434120186678472,0.971418500000758
RPS3A,-0.4304882479957959,12.781750598729838,2.218848269719526,0.1530892617203987,0.971418500000758
RPS24,-0.5183918080748261,12.722441415579775,2.1936960928054416,0.15531158943138712,0.971418500000758
VIM,-0.5224480529367755,13.120079151430586,2.191065366804435,0.15554461094646077,0.971418500000758
OAZ1,0.7117207995757626,10.190823117210803,2.1488181564735642,0.1595000662839835,0.971418500000758
RPL24,-0.3591747032476616,12.156315253983207,2.0426614253140256,0.16952119774659158,0.971418500000758
CST3,0.50433345877965,10.84656756965491,1.9657023149458301,0.17743396546363638,0.971418500000758
FLNA,-0.600065715357285,11.312821548900404,1.903969505057987,0.18401475099817116,0.971418500000758
TCF4,0.7364254402189554,9.624372070632502,1.7441625627850135,0.20239551226161667,0.971418500000758
OST4,0.7267023607879347,9.897372692546233,1.7307375013227817,0.20434455591317077,0.971418500000758
PPIA,-0.5260107175603708,10.717422048709546,1.6970122419954854,0.20864288565917946,0.971418500000758
S100A4,-0.4047771962804798,12.33054919047726,1.6218917220704676,0.21851089177282243,0.971418500000758
OAZ2,0.6909676119239802,9.692550240112915,1.5894909530909447,0.22307385137321098,0.971418500000758
RPS18,-0.2900796481337852,13.209108961566177,1.507605022133494,0.23480932082263592,0.971418500000758
PPP1CB,-0.6879159593213973,9.69092119684451,1.5041474256259448,0.2354713261163846,0.971418500000758
HP1BP3,-0.8828046068935047,9.403144109238628,1.4989404005158593,0.23588466653776816,0.971418500000758
SLC25A6,0.5287782123101735,10.554363363112094,1.4820893642292563,0.23876433999595628,0.971418500000758
MSRB3,-0.6258543003249861,9.772895993376427,1.4693631548979578,0.24078099668221228,0.971418500000758
MZT2B,-0.59248133924435,10.010517764598296,1.4501138189561074,0.2437221030853082,0.971418500000758
CRIP2,-0.6417890550508207,9.882741769967556,1.417692131001222,0.2488830474940354,0.971418500000758
RPS11,-0.36405886030906837,12.09950285273879,1.4064042094807838,0.25058189209696435,0.971418500000758
RPS19,0.35004637095535607,12.766351347926484,1.4036182928073786,0.25103019061807513,0.971418500000758
IGFBP5,-0.501603910316405,12.423812634593348,1.4004867570193489,0.2515428879098496,0.971418500000758
RACK1,-0.4561881407526543,11.26229638451938,1.3992132218566138,0.25177199122539806,0.971418500000758
RPS23,-0.3354402450759337,12.676762270719196,1.3891587044530862,0.2534000335857578,0.971418500000758
RPL29,-0.41676968356581623,12.321339664768802,1.3730099802797415,0.25608283407709154,0.971418500000758
RPL7A,-0.38150183773297064,12.329279767173578,1.3284967864672166,0.2636677484827441,0.971418500000758
EEF1D,0.3880602291553234,11.091199323967198,1.3186567855385398,0.2654190310848908,0.971418500000758
YBX1,-0.39098105358381824,11.199878879710974,1.3185928402509122,0.2654205599162802,0.971418500000758
PDE5A,-0.7287166038420102,9.618528760304317,1.2881559451560394,0.27095615416275565,0.971418500000758
HLA-E,0.484779129181956,9.70640776410499,1.2460984934798476,0.27860573652056664,0.971418500000758
DYNC1I2,0.6395247103775077,9.59940356782087,1.218075331781916,0.28388555410849337,0.971418500000758
UBC,0.33376680113487056,11.24732276868741,1.2163879053638011,0.28415651152082855,0.971418500000758
KANK2,0.5386875692157117,9.861885040423417,1.1534168009865702,0.29663413360252305,0.971418500000758
RPS21,-0.47153164345686116,11.666717388463274,1.133903624205777,0.3005766467710813,0.971418500000758
RPL18,-0.321095299798342,12.59378461402222,1.123448071900691,0.3027424855387068,0.971418500000758
C11orf58,0.5331959006370584,9.699511618760233,1.1137754909024062,0.30478738888646084,0.971418500000758
NOP53,-0.5174612134952067,9.914589312955352,1.1086409045958905,0.30601474340505785,0.971418500000758
HSPA8,0.696125985583124,9.524032987100453,1.0983090436898997,0.3080261008682412,0.971418500000758
RPL39,-0.3331840539436318,12.353905635299377,1.0833593448557275,0.3112845211268759,0.971418500000758
