,logFC,logCPM,F,PValue,FDR
SYNE1,0.9050887952299302,9.17117381887671,6.150217520963301,0.023540898985622685,0.9893609919073741
RGS16,0.8000504599295527,11.067104975761197,5.851348880136978,0.026597442050543763,0.9893609919073741
DDX3X,-1.1988931869366046,9.436183616940038,5.615327253928052,0.029330111103301335,0.9893609919073741
HSPA8,-0.7608704849597164,10.089047089266026,5.21325973388933,0.035079092593683546,0.9893609919073741
IGFBP5,0.4863547357665515,12.62960947685569,4.9921241168561155,0.038623137675001674,0.9893609919073741
DUSP1,0.7153580433122133,10.210961248420881,4.378739735529929,0.05115327564219034,0.9893609919073741
IFI16,0.6691047429329339,9.099729343894618,4.375053944787306,0.05131556623573387,0.9893609919073741
TPM4,0.5788993101968493,9.664985667637946,4.0871451938651635,0.05873297125625667,0.9893609919073741
TBX2-AS1,0.6708588355223962,9.267584898983491,3.430295968372767,0.08094019417256089,0.9893609919073741
RPS4X,-0.4041747059624193,12.70695268665096,3.1851658813670873,0.0914706447410545,0.9893609919073741
TMA7,0.4816821761992798,9.88205112361966,3.096839456838686,0.09584010132250739,0.9893609919073741
BRK1,-0.5919236955917249,9.30387369612172,3.065496074744022,0.09736311019327111,0.9893609919073741
RPS29,0.43517230327191353,11.825907017073428,2.980501127154391,0.10170059721360879,0.9893609919073741
ANXA5,-0.5360952459995129,9.127780861351184,2.966210160820998,0.10249889794296554,0.9893609919073741
SORBS2,-0.6193481196769584,10.363621938607242,2.8863284601350307,0.1069219308988752,0.9893609919073741
MAP4,-0.7941908001068116,8.999577978574171,2.857806809887747,0.10832886434405167,0.9893609919073741
SNCG,-0.5487673795460034,9.670306269353414,2.519229759524559,0.13028365832836727,0.9893609919073741
RPL17,0.29862926200197293,12.194047480290036,2.504749492077845,0.13122052639041443,0.9893609919073741
C12orf57,0.4691842014639362,10.556845976012907,2.4597986513933776,0.13455120786928637,0.9893609919073741
RPS27,0.35868285112605947,13.263701165314876,2.4574712075840828,0.13468046947420229,0.9893609919073741
CCNH,0.7747888402490607,8.991146116639309,2.441245584352189,0.13598687895743466,0.9893609919073741
MT-ND6,0.6807213394641,8.955863714267876,2.4223757384923683,0.13743790385019106,0.9893609919073741
AC020916.1,0.6177834933528368,9.295947819192477,2.394860791010782,0.13961026677479238,0.9893609919073741
TMSB10,0.32716359306248527,10.593465072223331,2.372817721824941,0.141202565914214,0.9893609919073741
PNRC1,0.4319748440894641,10.782963311055395,2.3620668995616896,0.14204170728826881,0.9893609919073741
CYCS,-0.8436680811805432,11.819810619363246,2.2100539329948536,0.15473094539700213,0.9893609919073741
B2M,0.4071207192434266,13.535212718331174,2.1878478076205696,0.15669069147218703,0.9893609919073741
HLA-C,0.44815822214370804,10.756440429884519,2.172995512666637,0.15806031580293756,0.9893609919073741
RPS25,0.30797827564232416,12.186679463661232,2.1639040533731793,0.15885339264313544,0.9893609919073741
KLF2,-0.9115196647657333,11.773885480421018,2.1615680934461503,0.15907513289073366,0.9893609919073741
RHOA,-0.4525033383657171,9.53284621807296,2.1599294401974207,0.159324838464652,0.9893609919073741
SNHG8,0.5509335869499281,8.700636561400634,2.143152673420053,0.16065573617831314,0.9893609919073741
TBX2,-0.5756741874931204,9.505209582257969,2.1071922050342224,0.1641949080861449,0.9893609919073741
ATP5MG,0.4664279738240012,10.080994966249772,2.0948121420039496,0.16537707255237533,0.9893609919073741
EIF1,-0.255695161144772,12.341129666154758,2.021883542274589,0.17244171364652805,0.9893609919073741
HSPA1B,-1.118103575969827,10.628099012226636,1.9518082303358393,0.17973593675304894,0.9893609919073741
ACTN1,0.4200285452716986,9.116393497280058,1.9248894741014644,0.18271321655663567,0.9893609919073741
ZNF141,-1.0679111488446016,9.51315579132984,1.9088158597875393,0.1843162449660334,0.9893609919073741
NIBAN1,-0.492952238720405,9.252670711155485,1.8991896980004086,0.18539995958699215,0.9893609919073741
RABAC1,-0.5475780603656402,9.146078437346468,1.850629421565658,0.190817489122835,0.9893609919073741
TIMP3,-0.3931875035713706,11.526003746041084,1.7777280967830795,0.19935660876540198,0.9893609919073741
RPL41,0.24854826041631614,13.78137156557072,1.7670455645880911,0.2006379369402989,0.9893609919073741
MSRB3,-0.5343412259229653,9.086341723724601,1.7357425054524527,0.20449984381373865,0.9893609919073741
PNISR,-0.38664667188401614,9.774841542432426,1.6861673580465848,0.2108843274154021,0.9893609919073741
RPS26,0.46214556677758395,11.243155963715418,1.6656753142486291,0.21346634731805147,0.9893609919073741
IGKC,0.8236680767259741,9.279635375498458,1.6587956810645919,0.21454217503378134,0.9893609919073741
CSRP2,-0.3238758405994135,10.259485238572875,1.6527492009081417,0.21523399991719402,0.9893609919073741
ZFAND5,0.5028334636319057,9.136257061125077,1.6514367148367581,0.21549711920160902,0.9893609919073741
RPL9,-0.28342985656846514,12.42720909056935,1.6279505408708006,0.21848850925885582,0.9893609919073741
ID3,-0.4868511116414252,10.7386273622762,1.6201930606744688,0.21957982388115174,0.9893609919073741
RPL27A,0.2373473819703579,12.4061523272598,1.5973241169010786,0.22268622231847085,0.9893609919073741
HLA-A,0.3743909404753784,10.90885916366176,1.5931386281443207,0.2232892400261628,0.9893609919073741
PPP1R14A,-0.5753770361372675,9.718694556078898,1.5910409792660152,0.22365101667746126,0.9893609919073741
BGN,-0.5128097426074921,9.40410941403852,1.5811353897270317,0.22502143525402105,0.9893609919073741
EIF4B,-0.5623629022363974,9.398095102958889,1.525744205341738,0.23299406834309055,0.9893609919073741
RPL15,-0.26764759761153306,12.418295525988809,1.5192247935539644,0.23386986842834115,0.9893609919073741
WSB1,-0.3790001867794049,9.302533801935244,1.5140427506057568,0.2347207943033826,0.9893609919073741
RPL32,0.196598808903653,12.701089884150784,1.5129116435495256,0.23480402959978167,0.9893609919073741
TOMM7,-0.2632567925818185,10.68533018309264,1.488346731294022,0.2385262640936457,0.9893609919073741
RPS19,0.20889567706773826,12.65618813316475,1.4630246257865993,0.24236779702063505,0.9893609919073741
RPS28,0.27471134894307125,12.529555524161074,1.4435268434648358,0.2454101859656176,0.9893609919073741
MCL1,-0.36403926228415123,9.284692958974126,1.4139422175085834,0.25019152684332857,0.9893609919073741
RPL11,-0.21790892150071373,12.348072378837632,1.4098017145517499,0.25079149135268863,0.9893609919073741
PSMA7,-0.368486472731031,9.664157194446807,1.4090730866343482,0.25100870708882267,0.9893609919073741
RPL18,-0.23082327991588575,12.42472899387038,1.4004008721540557,0.2523183290536074,0.9893609919073741
RPS9,-0.23871456132513202,12.330110237352672,1.393215550692085,0.25349422251436815,0.9893609919073741
CAVIN3,-0.4509368419548238,10.239049512096033,1.3866442498870801,0.2546410166980869,0.9893609919073741
EIF1AX,-0.37512205281730465,9.16769568829422,1.3485813072763875,0.26102683126987175,0.9893609919073741
DDX24,0.3287885776397196,9.53598112900862,1.3006711026704734,0.26942940396427434,0.9893609919073741
OST4,-0.37956127718095345,9.45143988492818,1.292125204597828,0.2709260048362851,0.9893609919073741
DEK,-0.4589772211598555,9.2294339005371,1.288138370988446,0.27159666778094843,0.9893609919073741
DBI,-0.38784605539242006,9.40396853998245,1.2262733098984842,0.2830534372685676,0.9893609919073741
RPS16,0.17382562035717888,12.219086965733426,1.21351085210126,0.2854037624144361,0.9893609919073741
TM4SF1,-0.5712182055011749,8.828364846510883,1.2088731241013575,0.28616117193631385,0.9893609919073741
SET,0.3677839619577098,9.48510381852369,1.20030611116871,0.2880833677125375,0.9893609919073741
ROCK1,-0.4236890972148664,10.344923204206859,1.1891840858738243,0.2901831602999519,0.9893609919073741
PPP1R12A,0.3056153539852572,10.989412689099426,1.18315268031135,0.2913317256263689,0.9893609919073741
UBA2,-0.34644702997974486,9.523404165809914,1.1790243392750792,0.29222948929773,0.9893609919073741
RPL23A,0.33669715423567126,12.36661066147437,1.1774970086500707,0.29243530044449617,0.9893609919073741
HNRNPK,-0.3131062064492701,9.59919401318844,1.1669729376667584,0.2946308991525207,0.9893609919073741
S100A4,0.3102324922006156,12.253291394070827,1.1637544828943902,0.2951810691746635,0.9893609919073741
RPL21,0.23869124039067355,13.073415488603173,1.1455081693147173,0.29887838700775565,0.9893609919073741
TIMP1,-0.525149436182091,9.398554942991554,1.1424150383407181,0.2995935966991191,0.9893609919073741
THBS1,0.34149055170377585,9.61968984176869,1.1073802818299985,0.3069370383717005,0.9893609919073741
VIM,-0.22134827577082591,13.246369389199428,1.093023117177542,0.30987905375617597,0.9893609919073741
NAMPT,-0.5843921825548638,9.194285004696503,1.0868463871174563,0.3112554031498466,0.9893609919073741
SELENOK,0.3570441025204013,9.740641197738457,1.072393144449024,0.31447130640661725,0.9893609919073741
RPL7A,-0.27515456357421264,12.200803323637691,1.0637184310706473,0.3162671873347698,0.9893609919073741
RPS13,0.16458740390972132,12.227844666555855,1.0614226462740732,0.31677453811582523,0.9893609919073741
HNRNPA2B1,-0.33789777694142453,10.57289983874224,1.0096055398785444,0.32858331116072204,0.9893609919073741
TPR,-0.4043689105787091,9.16819184632092,0.9890818895674726,0.33344102201518677,0.9893609919073741
RPL39,0.24304701172653642,12.22837058574468,0.9887164577474299,0.33346609744694944,0.9893609919073741
RPL38,0.2404449322508495,11.346657391326254,0.9851803995742863,0.3343162079481439,0.9893609919073741
EBF1,0.32513335466773896,9.073382852926937,0.9752508142251943,0.33680417486759484,0.9893609919073741
MALAT1,0.17858533655433137,17.298758823028102,0.9648668294916503,0.3392076374342088,0.9893609919073741
RPS10,-0.46762802361909706,10.704730636160338,0.9574440176280556,0.34106022569066863,0.9893609919073741
PKIG,0.2977760119702413,9.066966260399132,0.953840569963909,0.34202432368476343,0.9893609919073741
EIF4A2,-0.22801666655988012,10.153007638147578,0.9527483456045063,0.3422420666287289,0.9893609919073741
EDF1,-0.2772112549909367,9.896916437449988,0.9415528326449295,0.34503789452059763,0.9893609919073741
CCNL1,0.36357905474716873,10.160907364282833,0.9401730851277451,0.3453645743554281,0.9893609919073741
MT-ND5,-0.46150054871498586,12.68398560827575,0.932904183884856,0.34713058640087313,0.9893609919073741
LITAF,0.31392236237878596,9.523537505146294,0.9279711544988988,0.3485026034981429,0.9893609919073741
YWHAB,-0.29613517881666274,9.592844166101491,0.9190966787137996,0.35072124121177184,0.9893609919073741
COX4I1,0.2713819235240014,10.40996190110287,0.8786240273962437,0.3612405568920606,0.9893609919073741
RPL23,0.27035488515205075,11.752275880464376,0.8784019599391995,0.3612648427737406,0.9893609919073741
RPS15,0.15251702752358232,12.405091597354177,0.8565281370747274,0.36716786668744794,0.9893609919073741
CLIC1,0.25026050040513625,9.482169208906136,0.8521689570785188,0.3684693848888041,0.9893609919073741
NAP1L1,0.2805353098305568,10.045472546529242,0.8510224946388389,0.3687400245620781,0.9893609919073741
LEPROT,0.28795214142728237,9.147809431654801,0.8356845612738169,0.3730526545542121,0.9893609919073741
SON,0.2768202869195848,10.1645279212827,0.8284328950541257,0.3750159387148386,0.9893609919073741
SEPTIN7,-0.20387345224939518,11.429721293513103,0.8250337913189866,0.3759300018134436,0.9893609919073741
TPT1,-0.268159923413589,12.64670943291942,0.8025438108044871,0.38236396342079626,0.9893609919073741
HMGN2,-0.22157796017726974,10.218228061986634,0.7987532562647148,0.38351650512142166,0.9893609919073741
IFI27,0.38968073111650914,9.45098854948036,0.7944102001899888,0.38483789434538473,0.9893609919073741
RGS5,-0.4052344723270872,12.017011819884498,0.7874761651073307,0.3867745529173886,0.9893609919073741
RPS7,-0.1778892868141151,11.939886100609181,0.7788094319107528,0.3893441687701952,0.9893609919073741
HNRNPM,-0.37896104486705184,9.095405867477583,0.775013326074231,0.3905184527447422,0.9893609919073741
RPL27,0.16601598235591697,11.211315378907265,0.7715346934426829,0.39152794284651715,0.9893609919073741
OAZ2,-0.3870003665825381,9.54894997587594,0.7622872394457697,0.3943856760003478,0.9893609919073741
KLF6,0.30993057873465435,9.649943930390268,0.7482868281476469,0.3986896296134862,0.9893609919073741
ANP32B,-0.32565556041438626,9.291826752098213,0.7312326066015988,0.4039819483113143,0.9893609919073741
UTRN,-0.2869536395427484,10.294409560850573,0.7178787858172885,0.4082038609788452,0.9893609919073741
SFPQ,-0.28225658534114745,9.518686991986291,0.6682843798282176,0.4246021825578933,0.9893609919073741
WASF2,0.19857704702902326,9.216925124798788,0.6588778698184619,0.42784738816307244,0.9893609919073741
AHNAK,-0.32685477718033,9.75321973408727,0.6494537635331806,0.431080140581676,0.9893609919073741
ANKRD12,-0.2733606465491021,9.586748284175588,0.643750733216298,0.43307998949374504,0.9893609919073741
MAP1B,-0.2155156256935727,10.455163414600442,0.6423121540626019,0.43354473588095244,0.9893609919073741
