,logFC,logCPM,F,PValue,FDR
CDH26,1.1396921711698527,4.62833167546476,38.87508223388813,1.4375276858920973e-07,0.001017050837768659
ALOX15,1.6106508028763633,5.554513358027553,32.09600547327783,9.92544569729578e-07,0.0035111264154183827
CD44,0.9122476341600927,5.512832103106865,27.405264097615156,4.237479193505152e-06,0.00999338843134965
PLAG1,-0.6521044704764655,4.0761311130301685,15.230364760168397,0.00031336111064772775,0.5446547059074545
ZNF667-AS1,-1.185274248572425,3.5670725715083242,14.313439049280795,0.0004311113780385331,0.5446547059074545
NOS2,1.366764386698126,5.061468013317849,14.287986935529062,0.00046189798380844195,0.5446547059074545
AC010329.1,-1.1221441053629444,3.6137571994487634,13.099821344309452,0.000717558596287152,0.6744617526701732
HSD17B13,1.2692242403079803,3.596027236072204,12.988102594222735,0.0007782072719655878,0.6744617526701732
HK1,0.6089643102727493,4.205861749771068,12.550926730566921,0.0009399107420761884,0.6744617526701732
PAM,-0.5043754450786514,5.8386805915723325,12.159282636169731,0.0011060648569179128,0.6744617526701732
CHST6,0.5518800733742826,4.84340659036695,12.020861651504562,0.0011747050612314336,0.6744617526701732
AP001993.1,-0.7568154692532993,3.605019335267733,11.915434410205131,0.0011944981127505678,0.6744617526701732
ADH7,0.8607235986428227,5.026371085191288,11.845908881995712,0.0012645088426196795,0.6744617526701732
RNASE1,-0.928963220360924,4.483544695964372,11.703506514606579,0.001334623962880908,0.6744617526701732
CBR1,0.4569409770388525,5.534080971174591,11.317592679002683,0.001581794446290024,0.7336710858113689
ZNF493,-0.7322050732129256,3.981334723893285,11.181456391614962,0.0016591854944144032,0.7336710858113689
CA8,-0.6419913456200178,4.097428775036215,10.7112041767808,0.0020439813115878712,0.824521433192678
ARMC1,-0.4867580464117106,4.162431757881948,10.638957673086507,0.002110985749866441,0.824521433192678
LRRC17,-0.8408968716164051,3.923912264392404,10.507502956688588,0.002214262506100478,0.824521433192678
SLC5A1,-0.5851288428269225,5.1949019355962145,10.39591940760651,0.0023602622188217586,0.8349427599081971
SLC7A1,0.41068107032129475,4.6613242549880916,10.177672886498645,0.0026002774431206632,0.8760458528608902
TNFRSF14,-0.45350408710155377,5.749035266179999,9.566005254895726,0.0034071877423914264,0.9983612979543637
C11orf54,-0.44733840287638893,4.664370777997915,9.336195730862906,0.003778304107059278,0.9983612979543637
ABHD2,0.41007341591270524,6.048433010949353,9.253296140416971,0.003919392561332727,0.9983612979543637
GNPTAB,-0.4637339470503976,5.865753494852863,9.075134948881923,0.004250003326757074,0.9983612979543637
NFATC2IP,0.44454612562586243,5.0432168138505915,8.992545292293547,0.004416651946631659,0.9983612979543637
SNCA,0.8222574501713786,3.7626631509836934,8.809099396893332,0.004789420815368513,0.9983612979543637
FGFBP1,0.8335162757464678,4.001251842701303,8.774238136769394,0.004876178736359132,0.9983612979543637
CEACAM5,0.9695244546526084,6.762237026858936,8.749276752796312,0.004926634982854726,0.9983612979543637
TENT5C,-0.5814500822771466,6.467546661774624,8.698822387522839,0.0050429515847651655,0.9983612979543637
SERPINB11,-0.9367160217545261,7.575200959234882,8.551479322360894,0.005394155285283741,0.9983612979543637
RFK,-0.47417551249025713,5.004589121584087,8.553646007519426,0.005396352022327181,0.9983612979543637
PTGES,-0.8157825061156089,4.757327862780183,8.494767550709964,0.005539229382789843,0.9983612979543637
IGKC,2.208260225927161,8.021814717091429,8.474445824926285,0.005589042489852596,0.9983612979543637
DAPL1,0.5963026814616943,4.592685569215991,8.460641302899635,0.005636042008916979,0.9983612979543637
SREBF1,0.6168153042413734,3.873366497897413,8.389678912342129,0.0058108566320095225,0.9983612979543637
BASP1,0.7799225027101964,3.9821364203947267,8.285461523772035,0.006102243177284416,0.9983612979543637
APOBEC3C,0.5507284224082658,3.7016256588046086,8.151281875104585,0.006482263683676903,0.9983612979543637
HID1,0.6074279150037236,3.9902138754743812,8.104044854744291,0.006638814222658384,0.9983612979543637
IGFBP5,-0.6271073109094253,5.817117814365782,8.08216800974112,0.006709491752243355,0.9983612979543637
GPRC5C,-0.37780105840152367,5.727393148342749,8.079345692471552,0.006718451877241662,0.9983612979543637
CTNNBIP1,0.4605599518867767,4.855627851869029,7.883806338889452,0.007368121117773742,0.9983612979543637
COA8,-0.3688942482258021,4.64464930874863,7.778926883525228,0.007734957765080947,0.9983612979543637
PPTC7,0.46198687152443607,3.902688446811543,7.672024306555191,0.008129957289564022,0.9983612979543637
FEM1C,-0.5068598399649988,4.1132168949821075,7.645460849118145,0.008213172123625299,0.9983612979543637
OPHN1,-0.4680054109243481,4.00618715375609,7.629450643693569,0.008268148639919532,0.9983612979543637
BCLAF3,-0.4392487627201599,3.685510554758455,7.620051998778895,0.008272287464040406,0.9983612979543637
ZMYM4,-0.47420420193930196,5.0387775977941685,7.631243591225969,0.008294047267098186,0.9983612979543637
IFNGR2,-0.5641999146156164,4.110883936266019,7.5235133768975535,0.008702318931826552,0.9983612979543637
TUSC3,-0.38420899192344476,4.524075985335575,7.385322165572751,0.009315743756221833,0.9983612979543637
LTC4S,-0.5628201850256614,3.9754725514259133,7.355492296110545,0.009411322930500295,0.9983612979543637
HYAL2,-0.47962043651401853,4.102108982485293,7.300592763664353,0.009676176002832028,0.9983612979543637
AC008397.1,0.7836041842862804,4.636182837848645,7.305956136543051,0.009684664201556222,0.9983612979543637
APMAP,0.43812180410578727,4.402258729449174,7.272225068946941,0.009839524439435046,0.9983612979543637
CELF2,-0.5516261416773033,3.8169384387788643,7.1896695723954815,0.010167692908921954,0.9983612979543637
