,logFC,logCPM,F,PValue,FDR
ALOX15,3.863955659549719,7.0341737400727,84.39870128417228,3.4734210759868186e-12,1.0802339546319006e-08
CDH26,2.3873716114280277,6.260550800768623,47.11757198891187,1.1799335073241008e-08,1.8347966038889768e-05
LINC02185,-1.2062975774277014,7.612955347471035,23.356398136480273,1.5782849306405324e-05,0.012533925855650205
SEC14L1,0.8333747041170335,6.532325082767883,23.1509695530597,1.6120804959035634e-05,0.012533925855650205
STN1,1.1425801563290598,6.1582555618595585,20.159808849474665,4.4804810658167486e-05,0.027868592229380176
CD44,0.8705217016794927,7.08378913113849,19.696901358996985,5.713369029440956e-05,0.029614296135935626
SLC5A1,-0.8346234440357359,5.620590170864188,18.549451363783465,7.383191697760221e-05,0.030305052779302736
MRTFB,-0.8292138380983789,6.231989384672272,18.615832681443464,7.795511968952472e-05,0.030305052779302736
CEACAM5,1.2082343302100291,8.671412553243645,17.76019131526554,0.00011945630159258782,0.04127878866143868
ALDH3A2,-0.7979075723577861,5.963311521597627,17.085293750991998,0.0001360018548228636,0.04229657684991058
SLC6A14,1.0361455686733685,7.541494473062673,16.06863644622995,0.00022656959093081617,0.06405740252680349
UPK1B,1.082983821935235,7.805490370705481,15.245359452440923,0.0003135754646895323,0.08126830793203713
ABHD2,0.7880493545327191,7.638430195768945,14.753703680087675,0.00038114746782115614,0.08565930589366609
CSTA,1.128839031880598,7.409415263432508,14.632925296124371,0.00039790019599012443,0.08565930589366609
FYB2,-0.7337319113907677,5.778535092546352,14.288129229615473,0.0004131477776221837,0.08565930589366609
PRR4,1.7773464062567943,8.035549512310997,14.19901013756304,0.0004744672792930771,0.09222457741259187
OSBPL1A,-0.6968216848375065,6.195504755626688,13.702237469252323,0.000546063314053179,0.09989746510031687
MUC5B,-1.6632011710402244,10.128078347048424,13.715551785347145,0.0005805303003036625,0.10030273521913279
LIMCH1,-0.6070537531629105,6.059552424208301,13.245899122425485,0.0006544403353896288,0.1071215496348287
CFH,-0.6536960726136475,6.997607271144926,12.928245668992684,0.0007880769754779636,0.11809122637376551
SLC7A1,0.638335456618866,6.06588786975289,12.819131867459893,0.0007974005639386095,0.11809122637376551
S100A16,0.49422701333018343,7.970011502954766,12.517735748639472,0.0009513915302264715,0.1297330607663908
MGP,-1.2187500011527832,6.057814319492179,12.300508159115171,0.0009594406423237905,0.1297330607663908
SLC27A2,-0.6079338765379155,6.765438844282388,12.248555174316623,0.0010372500627308257,0.1344103206288695
SCARB2,-0.5220316059817738,6.482596778207121,12.070069983327732,0.0011091177869321579,0.13592954085397282
TENT5C,-0.7743924810327736,6.829111885136039,12.036129841748394,0.001136388444438358,0.13592954085397282
SCGB3A1,-1.4437556692637488,14.825644821154043,11.839045016309987,0.0012642454468701529,0.1394759242461829
EPAS1,-0.5898375117927805,7.896158125974569,11.775186821431362,0.0012996662899891333,0.1394759242461829
ST6GAL1,0.7064942646447415,7.826839159996803,11.772943532450435,0.0013005793579226059,0.1394759242461829
TNFRSF19,0.7884133111938073,5.845481044092488,11.315155501951097,0.0015012819377255935,0.15563289421088652
TPM1,0.6897411994088806,7.111862477826038,11.17086336553991,0.0016703385524010426,0.16757267412797558
XRN1,-0.734531609601653,5.639546870557415,10.745281822287653,0.0018770193362915772,0.17730815961621155
CBR1,0.6140187325706649,6.172100475700734,10.831558814954445,0.0018814049091109262,0.17730815961621155
GSN,0.9255065891989035,10.41344311878288,10.823056164732023,0.0019554140117407715,0.1788628698974647
TIMM8B,0.5174878530701735,6.574365188479343,10.600161320030551,0.002114260707389964,0.18786716571379397
TPPP3,1.0589151707384277,6.192095105895658,10.272087260254304,0.0024122465551337513,0.20839129962405462
PTGFR,-0.6483668507918925,6.932406692585044,10.176828857215966,0.0025589581746692175,0.2150908087357099
EIF6,0.5861290925628561,6.385905421644832,9.925196946009946,0.0028368407214220993,0.22575624526160712
SNHG29,-0.6407963431248929,8.928894534684664,9.927799287429005,0.002900180180701077,0.22575624526160712
TMEM123,-0.45000045299196556,7.248289707681141,9.893443726379832,0.002925223596084141,0.22575624526160712
ARID5B,-0.5412218013260318,6.437010903363901,9.752044363947544,0.003039706118040946,0.22575624526160712
CLU,-0.7093957715275725,8.39175899950153,9.8152955723662,0.003048798167520096,0.22575624526160712
CTSC,0.5509237261480986,9.946824720354396,9.678416532391788,0.0032371742806780973,0.23413051192811354
STAU2,-0.6134292701979449,6.145689479005212,9.497245643634852,0.0033788356636484294,0.23882224804424126
C16orf89,-0.7035683217506862,8.190836404355835,9.48652726197024,0.0035307703657428053,0.23948947162042664
AGPAT2,-0.6271516118421673,6.223944017610671,9.40209267297838,0.003542288004675121,0.23948947162042664
SREK1IP1,0.5972120321266208,6.230441899080389,9.178197856613812,0.003950546527927169,0.2614085042947552
CHST6,0.5822535579938928,6.25669201515605,9.04064096236978,0.004215196093157597,0.27310958020250264
STEAP4,-0.8175533978072608,7.541601512982092,8.961840087901223,0.004457421309147082,0.28014927889796787
CHP2,-1.003065021433669,6.459977220068408,8.881108011266267,0.004504007699324242,0.28014927889796787
SDCCAG8,0.5216696170917765,6.1816564596091474,8.846559019973201,0.004595723120252347,0.280248998117349
MGAT4A,-0.6091032286300359,5.9467358923255365,8.716230703730561,0.004801043219301541,0.2871393156159191
ECHDC1,-0.4815818932744475,5.650416275947273,8.537929262788452,0.005166335770049929,0.30315668386519395
ATP1B3,0.5490017127929606,6.102179217902674,8.496409435200121,0.00537848253399794,0.30976075334691844
STXBP6,-0.564692323311181,6.563732647915666,8.37930995057485,0.005733304806773339,0.3241923263466379
SLC5A8,0.8250549276986769,6.793941297234303,8.093567432452405,0.0066013494184807365,0.3666106552049123
NABP1,-0.7926996646461866,6.328498458577914,8.004514123766976,0.006782737677899953,0.3700756873380501
ELOVL5,0.5498517109697887,6.793890171811228,7.976073157644679,0.006989600609932473,0.3739353320091236
LAMTOR5,0.5335383971257454,7.517656578698743,7.958429428281551,0.007093950028468904,0.3739353320091236
INTS6,-0.8087433961453361,7.324235994806911,7.757814951372409,0.007771727118389853,0.394378340317205
SKIL,-0.5343100324042503,6.401258453542438,7.706934378885524,0.00783830640413055,0.394378340317205
AKR1C1,-0.6028106981737391,7.563700755265808,7.733171566008041,0.007879283528742911,0.394378340317205
TOX3,-0.4787614088603928,6.49904146389151,7.674651755939594,0.007989014610927303,0.394378340317205
ZNF91,-0.6033008520174459,6.234773405004554,7.497398125255337,0.008631506021094025,0.4135345316896882
CHST9,-0.3937197155003976,8.956468626732551,7.543222452523205,0.008643004681617278,0.4135345316896882
STEAP2,-0.5565916572505822,5.624615816097584,7.370740460875841,0.009003034868932345,0.423829524590225
RNASET2,-0.46203485701829194,6.798822436802582,7.4061036010566745,0.00913073252332639,0.423829524590225
SCO2,0.4931895232666031,5.617561400528938,7.202967432977098,0.009838594074880953,0.43516830180458593
ODC1,-0.7782690494824569,6.165479964300469,7.181841299213195,0.009971079606572853,0.43516830180458593
NBR1,-0.4503702696267745,5.9386290437256,7.135895646383746,0.010202914148972127,0.43516830180458593
HOOK1,-0.4988864600871523,5.705489043208191,7.101385804148155,0.010300639719995237,0.43516830180458593
COLCA1,0.5750431584848518,6.2985128224945965,7.124329912545348,0.010390204029045287,0.43516830180458593
LASP1,0.5573303358543207,6.092258870325584,7.0515919461284575,0.010711564061084573,0.43516830180458593
FAM177B,0.6456837306549255,5.731878386592294,7.028873761512311,0.010720408077116883,0.43516830180458593
NRP2,0.5912658581259584,6.360998517546197,7.057740022358584,0.010747192557624262,0.43516830180458593
KCNQ1OT1,-0.8454635047085595,8.0674388363547,7.067437636479693,0.010841740568210124,0.43516830180458593
NUDT4,-0.47026365992947766,6.289260831979859,7.0119092131701715,0.010929722785208158,0.43516830180458593
WARS,0.9068601994287497,5.877391349653979,6.982309698315744,0.01104732109322248,0.43516830180458593
TFF1,-0.9182008330103569,8.981913671447233,6.987212609773306,0.011273022722267649,0.43516830180458593
C5orf24,0.5265462387205634,5.783456915701492,6.895078491035739,0.011477712183642663,0.43516830180458593
COBLL1,-0.5305825627553301,5.788138518500822,6.882667562280204,0.011484007034192771,0.43516830180458593
RALGAPA1,-0.5027096685366789,5.846753982151172,6.856768960196007,0.011643557947141201,0.43516830180458593
ATP6V1D,0.5430476997258368,5.554528197839581,6.851647770427436,0.011647607397418198,0.43516830180458593
AGR2,0.49233836629739686,12.756421558373367,6.899017669538857,0.011753741913692996,0.43516830180458593
NFATC2IP,0.5282364944711581,5.878924624672214,6.807996832760954,0.011999489499469173,0.43740085872431134
PARD3B,0.5585902580588159,6.775305859567637,6.8069428975370885,0.012212946939695981,0.43740085872431134
SORD,-0.6765867816212223,6.218681697080308,6.773950846272306,0.01223597257524601,0.43740085872431134
EIF3L,-0.43857019969540745,6.346152361816186,6.727576416325131,0.012550532714629092,0.4435472357101872
SNHG19,-0.6300913589420204,5.9949423794318815,6.60228759422728,0.013243186114127382,0.4551583026595078
SLC38A2,-0.3994808161453887,7.849526853030515,6.612196649816913,0.013511168404871465,0.4551583026595078
IVNS1ABP,0.511477866828004,6.527124811427514,6.5688267527291755,0.01367735514314967,0.4551583026595078
ATP5MF,0.3788476884230025,7.817711884995211,6.582727959790387,0.013710023594168395,0.4551583026595078
TSPAN3,0.4334115054777369,8.483098166555337,6.575008376993309,0.013767270456889243,0.4551583026595078
CNN3,-0.5045120282268488,6.517318285118946,6.545777710367463,0.01377814573392417,0.4551583026595078
EMC3,0.4213212503591359,6.239289267230849,6.524418376937786,0.013903549438152167,0.4551583026595078
PTGES3,-0.38176331497069765,7.396882622616973,6.461393040436839,0.014522145440065254,0.4659302616931951
