,logFC,logCPM,F,PValue,FDR
CD44,1.01507180185892,4.57187492338798,24.258355256670207,1.2882993454528409e-05,0.06025376038682937
ALOX15,1.204992729988909,5.86357357260602,20.208143427088274,5.153942254120856e-05,0.12052493961261622
NOS2,1.4235696044635435,5.004236635023689,18.505222870442896,9.577385138707937e-05,0.14931143431245675
MIA,2.367494336894317,4.235766503169916,16.244320669594035,0.00021381170416415134,0.24999933509393396
SLAMF7,-1.0938622459017047,5.075662649860443,13.799862527730046,0.0005644097177249369,0.43470623902302064
DAPL1,0.8667770618894207,4.61870850215427,13.712692117620001,0.0006016071737437643,0.43470623902302064
TMEM265,0.6750096485279495,4.538595504253254,13.30331032632445,0.0007087073800002789,0.43470623902302064
WBP1L,-0.6820931642128824,4.650527296078476,13.142298831016662,0.0007435642318118805,0.43470623902302064
JPX,-0.6321921347723465,5.696198521129288,12.04138045449919,0.001193872216969458,0.6000749574164463
CDH26,0.9826525067341121,4.424388045518979,11.869361880732344,0.0012830339051025151,0.6000749574164463
CAB39L,-0.5332599437566484,4.588953147300371,11.214812772860073,0.0016657494495733857,0.7082463796049749
IGFBP5,-0.6356454466477289,6.673429289312087,10.721699073480515,0.002088982222613319,0.7379895246451886
NBEA,-0.5491803671582769,5.6503372724984535,10.404834605484904,0.002400353447434874,0.7379895246451886
UPK1B,0.7166779138761993,6.3367792956731215,10.366855386567625,0.0024360305943585212,0.7379895246451886
WDR26,-0.7195594467124196,4.468969012376924,9.975761964848314,0.002836482476669049,0.7379895246451886
ABHD11,0.6025206575954153,4.659439909646028,9.973559757351971,0.002901350344257395,0.7379895246451886
SOCS3,1.0323004690844324,4.55666876223879,9.94563996509659,0.0029373985506535027,0.7379895246451886
TMEM245,-0.5968980261805518,4.729915890195229,9.867585879544242,0.00301205995595909,0.7379895246451886
ATP1B3,0.5449191401144676,5.822103840203209,9.800398996673767,0.0031274949305649335,0.7379895246451886
ETHE1,0.5253802347090176,5.141307655404817,9.536737268825826,0.0035213240062163653,0.7379895246451886
ECH1,0.4389307193178832,5.95624407542901,9.49764773465923,0.0035759327097297966,0.7379895246451886
SERTAD1,0.5279451479894495,5.730899968071039,9.37407958177181,0.0037808496651020127,0.7379895246451886
CLK4,-0.5733700548881587,4.307349696132079,9.317302285280297,0.003797576187424479,0.7379895246451886
WARS,1.3448517313128763,4.951488991494192,9.32609178610655,0.0038678994241818938,0.7379895246451886
POLK,-0.5462499550860167,4.58264288669823,9.256901875749643,0.003944780439625767,0.7379895246451886
LAP3,0.5541558845371349,4.9875068971972345,9.032359668940652,0.004413993186949113,0.7940094667446539
RAB3GAP2,-0.593927252722099,4.426141904254318,8.880540313584488,0.00465324250806314,0.806045007785604
CCN2,0.9575896727115812,5.454915657907811,8.784701858461435,0.004933906708933281,0.8179819021144153
GRHL1,-0.6417234951961066,4.549059018792885,8.673815340716269,0.005116735442313806,0.8179819021144153
CTSH,0.5300598891793459,5.975061013875211,8.64689766651236,0.005246837088610746,0.8179819021144153
HLA-C,0.6559510025179619,9.378187000972513,8.39277820310114,0.005885145693044869,0.8878976260119631
PEG10,-0.8980022596557552,4.45311626569873,8.07233826265898,0.006708328811381672,0.9261630867687427
TAX1BP3,0.6035872833664797,5.064653188448955,8.07731456909704,0.006828744201763085,0.9261630867687427
ITLN1,1.3555063289602378,4.75215782365248,8.051381846489544,0.006849290265882011,0.9261630867687427
ST8SIA4,-0.7347423179937379,5.109394180781041,7.998375505320131,0.007042807026684047,0.9261630867687427
COMMD1,0.46391153418189857,4.946260030985275,7.941447013010175,0.007271842762873267,0.9261630867687427
ATXN7,-0.5720096955717042,4.866518808542409,7.913625559896135,0.007332164360366633,0.9261630867687427
YPEL5,0.37295044864208476,5.906750079537898,7.8651819203519455,0.0075249513143494165,0.9261630867687427
OS9,0.35043126069606445,6.102662242764438,7.76269834194119,0.007891494953745895,0.9366928235634449
GOPC,0.4661848839351321,4.952125692758854,7.647885067330394,0.008341657348358563,0.9366928235634449
PART1,-0.6029895327479671,6.063113370247705,7.630749779965015,0.008399337525722094,0.9366928235634449
PSMA7,0.33073629447697994,7.34078280625327,7.604805179657183,0.00849023788189144,0.9366928235634449
PCMTD1,-0.3996394928361933,5.906483522027712,7.567317367461956,0.008654492292014827,0.9366928235634449
MUC15,-0.5373891282152369,6.152095402175097,7.515150850599341,0.008867839984994672,0.9366928235634449
FOXA3,0.9393183275049385,4.146488942761988,7.435143497566468,0.009182429985592237,0.9366928235634449
