,logFC,logCPM,F,PValue,FDR
IGKC,2.7445127713108803,7.639382862500832,15.405702440696706,0.00033301181922473533,0.998717247176605
MFSD4A,0.6712826945580709,4.842368197420131,13.55410731414775,0.0006875424000798103,0.998717247176605
FAM83D,0.8682116210209726,5.562101382480368,11.756072193702483,0.001424704486595886,0.998717247176605
ADM,0.9192653248344245,5.803717888908313,11.750983039400975,0.0014254264238183977,0.998717247176605
PEX13,-0.6932385047674724,4.686976722896125,10.8942724866528,0.0020133135509171726,0.998717247176605
CD44,0.9042725517915053,5.622088337688116,10.809880939821346,0.0021162445041567756,0.998717247176605
RB1,-0.6383707762946416,4.649511601236392,10.054175049620287,0.0028868058151163057,0.998717247176605
ALOX15,0.9327615784319166,5.340820371123116,9.678961783104867,0.003442961914419634,0.998717247176605
SESN3,-0.7958867149730524,4.829741612865643,9.457372310964889,0.00375555546758381,0.998717247176605
CXCL8,-0.8168244997699124,10.256570426598403,9.430439784467064,0.0038234817942328753,0.998717247176605
ITPKC,-0.9931767508520802,5.376795688406643,9.29012929438381,0.004067130643771243,0.998717247176605
S100A2,-0.897795942673187,6.273892256518311,9.2713032736903,0.004111704802470766,0.998717247176605
UPK1B,0.7693489220549614,6.510470371371212,8.808286306066174,0.005045986008773178,0.998717247176605
AKR1C1,-0.504879790328096,8.471181021822074,8.59095939785831,0.005557424198237757,0.998717247176605
RIMKLB,-1.0491996212107757,5.079745165818208,8.250927043325715,0.006456764798111378,0.998717247176605
SOD2,-0.5848859803677577,7.379731142627042,8.171687933634562,0.006723990287285246,0.998717247176605
NOS2,1.106173487782924,4.939558320985965,8.139752283028276,0.006840262211097791,0.998717247176605
HSPD1,-0.524390500456888,6.9545438064008325,8.110667448601564,0.006916428410360409,0.998717247176605
ZNF33A,-0.5627521557964107,5.100880102776439,8.099755933134709,0.0069502058826224605,0.998717247176605
CREB3,0.4726089921032221,5.0826616217234095,8.09395395348696,0.006989518493614358,0.998717247176605
PNPLA8,-0.46848794358927176,5.535706246731505,7.749850325595084,0.008177753041404943,0.998717247176605
WARS,1.2392795299982842,5.398550521075886,7.280036909295742,0.010180089840431249,0.998717247176605
CEACAM5,1.1493001638976639,5.580801505757699,7.250296054710501,0.010321949749117341,0.998717247176605
CHRAC1,-0.47602675922191284,4.671338034994777,7.198367724860383,0.010519548616053063,0.998717247176605
ERBB2,0.39509302311694494,5.423758194842356,7.1884432710419,0.010628872220195837,0.998717247176605
SGMS2,-0.5119329482119213,6.764313735195681,6.991348974696557,0.01164590170105394,0.998717247176605
GLOD4,0.380946389488027,5.228108895463116,6.8826985701637655,0.012285496357078523,0.998717247176605
FXYD3,0.3808900408423323,9.396234546058624,6.805829748196509,0.012710031795777496,0.998717247176605
RFK,-0.5130087740037754,5.1955403432639296,6.805603743263537,0.012724934744748825,0.998717247176605
RNASE4,0.6041322658465874,6.0031727878422485,6.797552399344182,0.012778846406249605,0.998717247176605
PSMB9,0.7611954101085658,6.077154783735434,6.676570903752712,0.013538062703901925,0.998717247176605
ANKRD37,0.5035236350637745,6.937497639452223,6.614642833185657,0.013933557297624103,0.998717247176605
DNAJC3,-0.3476590541054994,7.097882083514,6.547381066109746,0.014391497036730198,0.998717247176605
BLOC1S1,0.3174605718849486,6.873830810409724,6.425306502441807,0.015264894693380129,0.998717247176605
ARPC5L,-0.38495723634165613,5.5768054646912475,6.3780062009499305,0.015639979990118753,0.998717247176605
RHOBTB3,-0.4429387268361831,6.037521568121088,6.374161080936532,0.015663912541304833,0.998717247176605
PLA2G10,0.5135591705673268,5.318969140846421,6.340592204144361,0.015935504232987924,0.998717247176605
PSENEN,0.5828932195276939,5.387411005292216,6.291309152899172,0.016317214469311253,0.998717247176605
CWC15,0.4530985613542149,5.127482825006902,6.204738901471254,0.01702007615457099,0.998717247176605
ADGRG1,0.4534451476875226,5.371555902898959,6.19226779172525,0.01712037547180421,0.998717247176605
JPT2,0.5261542979416148,4.691588059225797,6.150819856856945,0.017449043942086663,0.998717247176605
HLA-C,0.5698321318262448,9.421996156138551,6.14793592786237,0.017460164400763954,0.998717247176605
KLK11,0.4088329826470905,8.562458267349413,6.08964403915486,0.017965398057136484,0.998717247176605
CRYM,0.41309531359879353,7.4401928992555115,6.045580227335407,0.018359831994185543,0.998717247176605
FAM172A,-0.5133337754631992,4.771089011447184,5.910166989567548,0.019590050643211763,0.998717247176605
HIST1H4C,0.6252339056258077,6.654534153719308,5.84898243159018,0.0202317898528513,0.998717247176605
BIK,0.5254713100149809,5.79476671219063,5.807953020917874,0.02066567792419609,0.998717247176605
ARHGAP5,-0.39880467029266115,5.985218330185853,5.758122011605268,0.021179149753807313,0.998717247176605
ING1,-0.6632332505314389,5.34908386388185,5.743033649965141,0.02133022883453404,0.998717247176605
SLC43A2,0.5320651447199822,4.784857875488247,5.734032223934147,0.02143441248548135,0.998717247176605
MAP3K8,-0.5797066515209492,5.289967784778691,5.7235709560221055,0.02153843147595492,0.998717247176605
SCGB2A1,0.500051716967535,5.968457596550549,5.698213646595105,0.02181598319470222,0.998717247176605
TUSC3,-0.4676629701004054,4.875236999094301,5.612729416138361,0.02272733682738576,0.998717247176605
EIF5A,-0.5093252140100899,6.475740973666721,5.6037905222316695,0.022857030935164974,0.998717247176605
CXCL6,-0.5805159761046765,7.69951948530554,5.580211321371815,0.02311258616385906,0.998717247176605
THRB,0.4033892407128815,5.313238980073472,5.5557738215309955,0.02343631287344648,0.998717247176605
