,logFC,logCPM,F,PValue,FDR
RARRES1,-3.894289003487234,8.35855718186852,232.87618183901347,4.9467633398683816e-27,3.728870205592786e-23
CYP4X1,-1.7192473686640268,4.828638731743461,162.62262510712813,4.8749789438942116e-23,1.8373795639537283e-19
TNFAIP2,-2.939205155367299,5.314953010234612,159.85190394677625,8.273154950492267e-23,2.0787680672270234e-19
FAM177B,2.5288860534872386,4.189741562967514,148.81249352335846,4.518292424495307e-21,8.514722073961406e-18
MALL,-2.2839941532768697,3.8752851196062434,129.8332368156573,1.7091752991680444e-20,2.5767526810257436e-17
S100A9,-3.250163379723803,6.398308538442098,125.1082162860392,2.300412120941137e-19,2.8900844279423814e-16
TMEM45A,-2.1910454834396282,6.993763244345113,125.68936540453453,5.17553601107754e-19,5.573312921643214e-16
CHAD,1.8877176081860663,4.213773161802297,118.48540148229893,1.4730912590569684e-18,1.3880202388464286e-15
TFF1,2.6750580936774604,7.6316866362777525,121.0376453306129,2.193515566930017e-18,1.8371911492798295e-15
CXCL6,-1.7632033604345592,7.723670110724513,119.1293983495903,3.7909469934066965e-18,2.8576158436299676e-15
EDEM3,1.2124085322962805,6.413053214372309,113.25252381229393,1.2145619406846195e-17,8.323061735346056e-15
MT1M,-1.9784948357586813,5.403725917279047,107.18675672778197,1.3409746108327388e-17,8.42355551371432e-15
BPIFB2,3.515423147607195,6.243239222577168,104.8064988867122,5.314021402945641e-17,3.081314871954172e-14
FAM107A,-1.9279492176494684,4.755318213085017,97.9030640478741,1.0567169615582322e-16,5.60992765189518e-14
SAA2,-3.8339370889886113,7.0752838245080865,99.43528414684374,1.1163294611094149e-16,5.60992765189518e-14
SPARCL1,-2.4610197674902623,5.885956357605131,97.10701341499013,1.896398956246113e-16,8.9344095826145e-14
BPIFA1,-4.830551652523296,11.356014004143667,98.7761525550943,4.138413503513136e-16,1.835021234675413e-13
CD24,1.387068298650168,8.287329068377474,95.53327736967309,9.019216747226497e-16,3.686058265450431e-13
RHOV,-1.445917085257022,7.056903924968982,94.90619877585388,9.290940175584796e-16,3.686058265450431e-13
KYNU,-1.714981119137284,4.384077444219514,88.69800876670733,1.0196140807832273e-15,3.719601112980889e-13
SCIN,1.1386895034974274,5.51671059904867,93.17481956975581,1.0362380389042008e-15,3.719601112980889e-13
CAPN13,-1.5700259994556016,5.16440816413074,89.9277729114307,1.097022009793732e-15,3.7587963226477966e-13
SCGB1A1,-2.702597015878117,17.216893448601784,94.49472800363581,1.1478594213328708e-15,3.7619844860900787e-13
VMO1,-1.6032379912798056,10.0269953847702,89.0147518283152,4.5244131789055935e-15,1.4210427726079318e-12
FMO2,-2.017440556641151,6.328112939042165,84.57367860479154,8.07424531733701e-15,2.434546448083455e-12
IGFBP3,-2.3094202597083555,5.22585633025265,82.19995181417264,8.415949258068831e-15,2.439977904127802e-12
SLAMF7,-2.004535138804935,4.595043104761769,81.56869254351126,9.006215234693384e-15,2.5144018681155084e-12
AKR1C1,-1.2732988324214853,8.067846806253687,83.2894245132578,2.0003952538883498e-14,5.345703362553204e-12
SERPINB3,-2.111350851499714,11.92100613550271,83.12367464253526,2.0565852681618856e-14,5.345703362553204e-12
CSF3,-3.0879276144206798,4.8799595142805305,76.81139813161802,2.789088874711349e-14,7.00805064585805e-12
KCNK6,1.1228318771218477,5.637930008035845,80.51306636240597,2.998082485919379e-14,7.290176057696865e-12
PI3,-1.940607052924929,6.353008506947273,79.3644400056693,3.4462306870652585e-14,8.1180271622181e-12
SEC16A,1.0066871662649497,5.573860182882898,78.85446068044706,4.6697997516371114e-14,1.0666954705406226e-11
MT3,-2.1286330704942595,6.047394038153532,76.81717152457603,5.126411818389817e-14,1.1365556555006602e-11
LFNG,1.5807662769090456,4.2337371013755645,75.05480974090167,8.843920174623804e-14,1.9047277221804067e-11
GALNT5,0.9437928663987655,6.146174157471492,76.75230798289756,9.88956479597061e-14,2.0354115654666464e-11
SLC39A8,1.1946959349395017,4.6889995230482615,74.99254717422508,9.990743953603862e-14,2.0354115654666464e-11
MUC5AC,1.8498313224627796,12.835757668444556,76.9633528225092,1.0656682888211533e-13,2.081219061222161e-11
DNAJC10,0.9516439407902499,7.490561378364845,76.8617606077283,1.1032005450174476e-13,2.081219061222161e-11
SLPI,-1.220697463171702,14.849901727049044,76.8320823968523,1.104387933787297e-13,2.081219061222161e-11
SCGB3A1,-2.433612785462933,16.23901173109463,76.52957491570805,1.1993265587792427e-13,2.2050057561165685e-11
ADRA2A,1.3611614939460364,5.662788880508394,73.83511612293685,1.8844349926990737e-13,3.3821121368965754e-11
C3,-1.8182422969889935,8.40375978225035,72.94091116994097,3.276041464423016e-13,5.742976874144347e-11
NOTCH3,-1.6231879506647369,3.9317628774431794,68.23870787972098,3.560230559262454e-13,6.099322262663723e-11
PDE4DIP,1.005405583176525,4.878102620767043,70.08595635109448,4.3624008914391496e-13,7.153581292770068e-11
KDELR3,1.0787113711248835,5.626063404451509,70.9374980955577,4.365411773247852e-13,7.153581292770068e-11
MT1G,-2.3927239208823905,7.958602738261729,71.48522887762351,4.512767460061219e-13,7.237710875306696e-11
ABHD2,1.0676068286645755,6.68012598095459,71.03072136271042,5.249015216435273e-13,8.243140979476894e-11
LXN,-1.2701950145495342,4.718811637444165,66.39269772524982,8.561337151197803e-13,1.317048151953654e-10
SOD2,-1.1716679166238544,6.732259071267041,68.49800883763432,1.007877749094254e-12,1.518073112461344e-10
EPAS1,-0.9540602781773577,8.142385230851692,68.9048637820583,1.0270858150109916e-12,1.518073112461344e-10
SAA1,-3.269421013517662,8.390279720322857,68.30098037979505,1.0596326256419282e-12,1.5253072352731283e-10
SLC17A5,1.0412471341778788,4.634597611109588,66.80520153967447,1.0724500327603582e-12,1.5253072352731283e-10
POLA2,-1.3119238549423498,3.6947070213585884,64.44165770077537,1.165102769356651e-12,1.6263971621130436e-10
CYP2A13,-1.6083012448969136,6.4241320340452,64.8387881557593,2.4721615797477432e-12,3.38820981602518e-10
MTURN,0.8322438826400247,5.784405087164581,64.93767532252616,2.6772166353908896e-12,3.6037248209958085e-10
AR,-1.855362245199862,3.8364163760175747,60.92756117676615,3.462783124887729e-12,4.5793788062111755e-10
KAZALD1,1.0961126534886425,4.207734115734434,62.453261023105895,3.5977628133845568e-12,4.675851049533239e-10
MGST1,-0.9896862213789036,8.631921953511853,63.14729423136977,5.482819580184631e-12,7.004998982276567e-10
MT2A,-1.4284967453995832,9.418060337896808,62.371212261301565,6.875543107066729e-12,8.637973990178168e-10
IGFBP5,-1.46829998021846,6.196014120504491,60.659018951376595,7.810744756023213e-12,9.652031798508685e-10
CHST6,0.9783811689246074,5.28897312618771,59.85041425697883,1.0801848465668368e-11,1.313295705390454e-09
GFPT1,0.8691405244025934,6.807691613797578,60.506912880616426,1.1757036313220678e-11,1.406738725858055e-09
FUT8,0.9395559650413442,5.021568279266261,59.072053484210834,1.2943131501922071e-11,1.524458207210759e-09
SAA4,-2.888591789031914,4.412429844952906,56.56742502627471,1.4921343425850944e-11,1.7304167191394523e-09
SEMA3A,-1.3957873450004636,4.683392565763466,56.873639009895264,1.742582367732116e-11,1.9902402860552565e-09
DHX35,1.4540424606329894,5.256948583623374,57.93461628898403,1.9219770312573926e-11,2.1623675912863023e-09
HEPACAM2,1.5255631765160078,4.8265615756276645,56.37546616438224,2.9908191751410655e-11,3.3154110209137283e-09
TFF3,1.4022456106900805,13.573458574008379,57.06084983164287,3.448623789740768e-11,3.7209790856132325e-09
PYCR1,1.094690248906425,4.792267225361176,55.81920507258675,3.4554064207074326e-11,3.7209790856132325e-09
SLC7A1,0.8276552147761729,5.154109847562737,55.16611777312862,4.636293454412481e-11,4.854564580973646e-09
SLC39A10,-1.0537706653236905,5.215746183347141,54.51916871299601,4.636888429690933e-11,4.854564580973646e-09
SLC34A2,-1.3797466981316753,5.304283543084992,54.468121908234856,4.7097016210273086e-11,4.863250797164911e-09
PRR5L,-1.206732431940426,4.343631783070871,53.5055485671836,5.091032918593194e-11,5.185973802750743e-09
HMGB3,-0.8772051732940085,6.498735860284265,55.03730277422433,6.110334052771877e-11,6.076680241406524e-09
AL121761.1,1.9921028563995151,4.1369898608248485,54.331991897853534,6.126660896085113e-11,6.076680241406524e-09
PLEKHS1,-0.8393368094440117,6.871780157412139,54.96438035054276,6.487041533080403e-11,6.350560919007802e-09
B3GNT6,2.0412769125556682,3.581354168303492,53.75377730216689,6.74546637800098e-11,6.518887891970691e-09
LTF,-2.0303782588386583,6.359972492021694,53.00931357862646,8.625326965970447e-11,8.2300904644918e-09
IBTK,0.800826007127592,6.031669866062304,53.23966017398455,1.0488558210044057e-10,9.85340698228581e-09
CCNO,-0.9773281347875898,6.876821335861513,53.39423785197205,1.0588033504446146e-10,9.85340698228581e-09
FYB2,-0.8413411935869379,5.948659115244444,52.69780861191302,1.1198309075778454e-10,1.0208659461930425e-08
MUC2,2.003797343123851,7.54270915742363,53.23794454461883,1.1240630609448464e-10,1.0208659461930425e-08
AKR1C3,-0.8838975248356723,5.699880844222174,52.43066708594014,1.1588030382753699e-10,1.0398877741094927e-08
MYO1C,0.8434527863853721,5.470269847450362,51.95074663757242,1.4304047232456661e-10,1.2685165651559803e-08
CLU,-1.2102117141099915,8.812038536752738,52.540458720979416,1.447339463039841e-10,1.2686098688830607e-08
ALDH1A1,-0.6580586991547257,8.951519742666793,52.44868639586318,1.4845400919772085e-10,1.2862601394625514e-08
TSPAN13,0.7964647735689974,8.309704120725135,52.321516468052245,1.549609604528485e-10,1.319079891261461e-08
LINC00632,2.3303948106154793,3.956573482594742,51.180264989839536,1.5574172236968694e-10,1.319079891261461e-08
AZGP1,1.6532256490203219,5.952308649026622,51.47847149846488,1.7476785607849583e-10,1.4637778879107796e-08
PROM1,-1.3711625442203983,5.099922813205055,50.25804080232215,1.7767984966260663e-10,1.4718139634689327e-08
TMEM263,0.7728957649163184,6.412211687810509,50.72659866470896,2.474524915096422e-10,2.027496609782264e-08
