,logFC,logCPM,F,PValue,FDR
MAFF,2.707305337109398,7.24667603513365,558.1428916345401,3.128542638033911e-41,3.298735357542956e-37
CD55,2.6326602627859783,7.582093117861986,522.0116200827687,5.873839250953385e-40,3.096688053102625e-36
CDKN1A,2.755575285238112,7.14842381138545,477.46619582152107,1.431659522617289e-38,5.031806002158898e-35
MIR222HG,3.0752763884728402,6.5255874659512125,458.0862199120463,2.6328574210089755e-38,6.940212161779659e-35
ODC1,2.3882664424227498,6.178239343410597,438.9835793602438,1.7693698295561436e-37,3.731247096567996e-34
SGK1,1.8862140289213662,7.62639819215693,447.39859919941466,3.3881324129843662e-37,5.9540780270845256e-34
AREG,4.2164169715885915,8.766043493064,415.3240134316526,3.7038425672372166e-36,5.5790451469927445e-33
VMP1,2.683096618946733,9.21088029620081,399.1725310547957,2.7608344772221035e-35,3.6387798409787324e-32
TRIB1,3.199754807840472,7.621961247754849,387.051428997116,4.559640102562739e-35,5.34187169349128e-32
DNAJA1,1.849799468073065,8.856622632962893,370.85616194945015,4.285875563750255e-34,4.519027194418269e-31
MIR22HG,2.2783115815176256,6.262767974013229,356.4772949780133,6.667341345135252e-34,6.390949740282372e-31
CKS2,2.6061707638363796,5.5942359025460915,341.8945502761415,1.6379554305888193e-33,1.4392168383440424e-30
MCL1,1.7436938394604693,8.695559836107465,350.78972769142086,3.331972563337293e-33,2.7024860544483398e-30
ERRFI1,2.542128530544954,8.367624114861723,340.70543769360694,9.076747038015515e-33,6.83608719777397e-30
NABP1,2.4383443905075546,6.917449866499178,330.1609247872852,1.7294298757247259e-32,1.2156739073094339e-29
TUBB2A,2.1631427541252912,5.159962027273763,314.43230518006874,3.549637008502056e-32,2.339210788602855e-29
HSPA8,1.5928635220390024,8.82339940088541,313.75659295247425,1.8884550476398613e-31,1.1712864719008646e-28
PNP,2.2287364877508216,4.012861358897894,291.4762904223922,3.016788848295053e-31,1.7671678675790579e-28
ANKRD37,1.9676164887475809,5.8634054464841325,300.51976237978846,3.4541611824297266e-31,1.916877658291528e-28
HOMER1,2.6879484289054862,5.461571726844288,295.07757756988434,4.137886702343669e-31,2.1814938694755827e-28
MIDN,1.5232617117689138,7.669872919093541,306.34795256756263,4.375641751466084e-31,2.196988887021828e-28
ATF3,2.23199676092628,9.910320793547836,305.68550404324316,4.718933722742153e-31,2.216401828524718e-28
SERTAD1,1.8852412234567435,8.201584476861887,305.6238742353412,4.834715672995876e-31,2.216401828524718e-28
GTF2B,1.8034078547862493,6.11076789061243,287.5426527060079,2.200270088740938e-30,9.666519923201854e-28
THUMPD3-AS1,1.6630240542053458,6.785075324039793,281.7244374302634,7.013875172676249e-30,2.9581719928279346e-27
PMAIP1,2.783374262981988,8.024132912272,281.87371508456465,7.47072972427561e-30,3.0296682389523857e-27
TUBA1C,1.7306307212825303,7.095879837584743,277.41628438711905,1.2575916374470488e-29,4.9111282315709935e-27
KPNA2,1.7296570359375867,4.854526054128643,265.5751421571537,1.481640810161072e-29,5.5794359651208365e-27
SLC25A44,2.8338942868322206,5.04994395246203,265.1792873169434,1.7565452323304258e-29,6.3366846966611725e-27
EHD1,1.7763760625659315,4.581082490237438,263.2606902115594,1.8029262224946432e-29,6.3366846966611725e-27
PLK2,1.9756594524668147,6.619894680634092,271.52249353414913,2.1197127190451306e-29,7.209758357939308e-27
BMP2,2.6813381549101085,3.986820144135155,258.51112026402376,2.4580435696179235e-29,8.099253561891058e-27
KDM6B,2.168488543953165,6.389061389822017,261.7524350341859,5.416898213836368e-29,1.7307810535360807e-26
CSRNP1,2.3322831854013457,5.346306386443576,250.36811349297255,1.4087297565615076e-28,4.36871957446604e-26
UAP1,1.4816719146439217,5.9053948350682655,253.70597742889728,1.7833145530736677e-28,5.372362470745358e-26
GLIPR1,2.753772769424251,4.273398230661553,242.91618775909694,2.721543567201612e-28,7.971098714603832e-26
TNFRSF10D,2.1072830211110354,4.438217466199229,242.60972505629715,3.1976523272855208e-28,9.112444902405009e-26
MARCKSL1,2.1852422723702127,6.904083951022571,250.98246126197444,3.4273739290339026e-28,9.43312606922819e-26
ABHD5,1.5344136713992567,5.573229493228417,246.98963413893955,3.4891115013268153e-28,9.43312606922819e-26
ARC,2.7186654718598056,4.0921554288719975,240.15324207796448,3.7570823026199124e-28,9.90366894970609e-26
TNFAIP3,2.6295869552285533,5.518740797767167,243.28746967894108,3.8750601286710044e-28,9.965520487001725e-26
EZR,1.5744411588345295,8.786279489162359,245.868933707308,9.045661773937843e-28,2.2708918510571574e-25
ZC3H12A,1.8246632400015625,6.245612371592541,241.41322977333445,9.970811924019787e-28,2.44493583550848e-25
DLGAP1-AS2,2.273331191423496,3.600211448890818,228.0090395333613,1.3338506642337587e-27,3.1963912281092615e-25
MYLIP,1.7339352911707158,6.473076660646433,230.65102406860046,5.842334065719434e-27,1.3689237864210158e-24
FAM53C,1.3553909152352284,6.326883275681406,230.4998699422062,6.489348194882288e-27,1.4874714644964966e-24
AC023157.3,2.0640307151084363,5.074778876740104,220.5417060989228,1.0464232311453535e-26,2.3475503296162994e-24
FOSB,1.6759116410392143,10.575748515608987,226.49602344649233,1.3716735986715877e-26,2.9717598329342052e-24
DDX5,1.1062455679552898,9.820731462577616,226.45880558163685,1.3810340650016698e-26,2.9717598329342052e-24
MAT2A,1.1626557787046166,7.098494471758054,225.08906917690908,1.6668062469433103e-26,3.514961013554053e-24
PLEKHO2,1.8411748921126998,3.8531866486412043,212.69732180744725,1.9110066960445726e-26,3.950912667273328e-24
TIPARP,1.6030714058924804,6.664471705322598,221.03315447734823,2.5790853721842304e-26,5.229591570059717e-24
LAMC2,3.24233489443256,7.153172859355972,217.80209132984987,2.659064103258664e-26,5.2900324348602556e-24
ADRB2,1.6842522129324884,6.085544093254858,218.5629002667718,2.8609296250563805e-26,5.586229993813792e-24
KDM7A-DT,3.178887758901319,5.310437539521563,213.88047971333123,3.238438141203795e-26,6.208380320155058e-24
NR4A3,2.8652862873347753,5.674179710630978,213.30966776056965,3.491963872657548e-26,6.574869120232355e-24
GPAT3,2.462868509675852,3.6904677489074533,205.91218541782854,4.510710834855444e-26,8.344023691704526e-24
IFRD1,1.2439688175105783,7.077152072706001,214.91291734674718,7.551619845154286e-26,1.372832407712186e-23
MIR17HG,1.9763029232242229,4.404226433570868,204.30519202034728,1.1080308677675486e-25,1.9801826219900054e-23
ARG2,1.623245019820699,5.241681226506009,205.81762552465636,1.178829673218667e-25,2.071596679069604e-23
LBH,1.5420723747111595,7.562648161566152,210.01023108056089,1.6066391920522495e-25,2.7771153509834296e-23
FOSL1,3.68764894081573,4.661218196734776,202.04350958370824,1.7332929251068546e-25,2.9477162261817215e-23
C6orf141,3.1202851171672106,4.108536812428767,198.85027184625292,2.0957338303915758e-25,3.5075265885156783e-23
CEMIP2,1.8415284450100124,5.886470508891733,204.33249429678062,2.1761155770032644e-25,3.585150413112878e-23
AMD1,1.3984836738828088,7.516205233520606,204.09579343561444,4.029056226113269e-25,6.53574905355974e-23
FSCN1,1.8985785218996867,3.8270924979033567,191.0380206445639,7.055655172625427e-25,1.1271943657600377e-22
NFATC1,1.9272110021530495,4.271817556037477,191.25713984433523,8.966647374259535e-25,1.4111094017043663e-22
SERPINE1,2.882564147029047,3.939694118882014,188.3909308774302,1.1746781431381072e-24,1.8214421090070885e-22
PHLDA2,2.0896012458887117,6.733285110545741,191.08781916627535,2.4249845847106493e-24,3.7056576030708824e-22
RDH10,1.596552529621719,5.018081615405666,185.97805871366612,2.8609825251955497e-24,4.309457106523125e-22
AC110769.2,2.306930274296757,4.521462550533145,185.2009167199817,2.926264030326666e-24,4.345708159966812e-22
MXD1,1.5573218769386004,4.500760251234256,181.54735331521778,5.013613730159743e-24,7.319563082405496e-22
ETS2,1.378014908609328,8.646006864699077,188.43616076860206,5.067603423896067e-24,7.319563082405496e-22
CSRP2,1.5762359350795063,5.308227296947869,181.1701111876044,7.679975217087792e-24,1.0942926849861308e-21
SERPINB8,1.7333510486309998,4.123990606531156,178.05326780305973,8.026742242428842e-24,1.1284529360555962e-21
STK17A,1.72163968360291,7.045023716682638,183.6636482789944,9.947289485845977e-24,1.3800555307731575e-21
PFKFB3,1.4735703164319554,4.889074597295875,178.5189279828067,1.0117035923910997e-23,1.3853769711911369e-21
IQCN,2.8172729612355707,4.489137895194695,177.83047799796208,1.0540086032217277e-23,1.4248034246628073e-21
NFKBIZ,1.5210671833756522,7.047094510804133,183.047338507998,1.1671446989285182e-23,1.5577688234813034e-21
ALAS1,1.3011202984691264,4.632509951743097,176.76319041268653,1.2385076676184437e-23,1.6269857225771899e-21
H2AFZ,1.3448737013951158,8.48625502987626,183.0418405533939,1.2498657390814907e-23,1.6269857225771899e-21
EHD4,1.864889301198575,5.579013781982299,177.96169803799282,1.3920592242464122e-23,1.7899844463968503e-21
NFKBIA,1.706262348517277,9.087549989032047,181.98404194650442,1.4859047071464297e-23,1.8876360520665005e-21
AC016831.1,2.1644258158822742,4.411166206596768,172.8343190882911,2.5081423619191217e-23,3.1483158409613355e-21
FAM43A,1.9735377772407214,4.314028198163794,172.06798701392162,2.6112882642196707e-23,3.239226289168495e-21
IRF1,1.565383662088869,7.800915308684321,178.5243471859474,2.6905682946241345e-23,3.291766965636737e-21
EGR1,1.4781625641705074,10.544957495240867,178.3880500395118,2.716082378702543e-23,3.291766965636737e-21
BAMBI,1.9286515021243433,4.602823393676538,171.63487017671207,3.2274184915968733e-23,3.8670341562951625e-21
INSIG1,1.68943238753428,5.012075597935137,171.4703872095852,3.6769384466004023e-23,4.356139211343218e-21
RNF19B,1.4173199738389,4.32666142547711,167.01862915900304,6.368073439431056e-23,7.460551816151227e-21
TSC22D2,1.3218556484641268,5.183633715938513,168.13841105490764,7.757509856453434e-23,8.988481750158792e-21
EMP1,2.1416704688784973,7.294883379131598,170.36134910443974,9.920981979631176e-23,1.1370308042742513e-20
DUSP5,2.6292083944809805,5.694471278202054,164.7023756214545,1.435244001622609e-22,1.627227177753633e-20
CCNYL1,1.6444993687555847,3.795009006448933,160.76343412950894,1.6120579310274785e-22,1.8082488111440142e-20
HBEGF,2.0988948137541823,7.253469219517543,167.26879868802618,1.7206999903487961e-22,1.9097958629723902e-20
THBS1,1.9547895370513124,6.450755742164662,166.1870324562784,1.7453090348339925e-22,1.9169310899260017e-20
PIM1,2.314706304156699,4.007083404917011,159.96202636966333,2.0941564035419033e-22,2.2763695998913223e-20
BTG1,1.3651551705048455,9.226852810103576,163.87809806036722,3.5256038100542592e-22,3.7932618952257253e-20
FAM133B,1.353228088678252,9.335038503830056,163.58513552317297,3.7172254292410334e-22,3.9590328207997433e-20
UGDH,1.1194525753426592,5.817963445838646,162.08999854960373,3.8004803229601622e-22,4.007226452529195e-20
AL034417.2,2.121891242192589,4.867960464443481,158.45018697087204,4.0067219303036274e-22,4.182859013180341e-20
NAMPT,1.2582947141614043,6.929552590533135,162.78902742496632,4.1805291201326715e-22,4.321519513988126e-20
ARID5A,2.099566732619326,4.254159498714916,156.0839011111784,5.414430705264823e-22,5.542694888962359e-20
NCOA7,1.9747962922367117,8.308379489412147,160.8192814882539,6.208992891140235e-22,6.294963561940639e-20
CHCHD7,0.8799220774736118,6.093989370896403,159.89499059282804,6.425585328560276e-22,6.452511590889482e-20
IRS2,1.2651324028618662,5.761171806230107,158.42468769889518,6.531047486219344e-22,6.496543839122336e-20
DNAJB1,1.4981957020951335,8.829334800706366,160.13516506012206,7.014641127755572e-22,6.912371593556519e-20
BCL3,1.392400814833941,5.16976063546033,155.55647694508625,8.558191416838696e-22,8.355330583254372e-20
TENT5C,1.8971986109744594,4.890095133978083,153.38328265899733,1.057456387234509e-21,1.0229192795413453e-19
MMP13,2.5459222545085662,5.118335359182257,153.206134012893,1.2179904874473517e-21,1.1674992454222615e-19
CYCS,1.348266580973193,7.847121178427785,156.81677649074487,1.3044944187816163e-21,1.2391521758228254e-19
SLC9A1,1.2679061040756632,4.7605082871558215,150.0274370796277,2.0385401037379065e-21,1.9191398976618292e-19
SLC25A33,1.8056174465092831,4.596359628069602,148.78878737272265,2.4668828062003272e-21,2.3001932772844617e-19
AP001042.1,2.4972779403817,3.411117327746805,145.44708923455906,2.4869312747574796e-21,2.3001932772844617e-19
UBC,1.1188366106041479,10.64837587576873,152.87871135939514,2.694185019652058e-21,2.470216247583591e-19
CXCL8,3.5363605168372416,8.381253134506567,151.1081529522908,3.2937046610397522e-21,2.9938639608623407e-19
ZC3HAV1,1.0061774655114815,5.758873341983542,148.82867924815045,4.765178046019906e-21,4.2943621638661446e-19
GPRC5A,1.252090723466837,7.601499254492889,149.41644317732363,5.2748985034015436e-21,4.713434730497108e-19
DYRK3,1.3390900792872165,3.9552189335636636,143.39443847146157,5.42724276750007e-21,4.808810734497541e-19
PHLDA1,2.139060739315835,6.6721200721162965,146.8963696612227,6.5401085415918456e-21,5.746575371878701e-19
YWHAG,0.9142019614585629,5.914274862492578,146.95702728811094,7.075879948953455e-21,6.165956874526052e-19
EIF4A3,1.272691321435226,6.680154901501242,147.3566327688558,7.358998725968828e-21,6.360105128411092e-19
PPRC1,1.2361040830091299,4.078863975815848,141.75046508584757,7.926799117786856e-21,6.795135764060537e-19
BTG2,1.644388974710367,9.542161420508375,146.7330227449312,8.803712208014739e-21,7.485995283976404e-19
IER3,1.5590507845862813,9.553232074208013,146.44061726501752,9.310129307432119e-21,7.853280273405141e-19
ADAMTS1,2.074101939062933,3.8725011143246126,139.81753335825758,1.0258549663163731e-20,8.58461489273003e-19
TUBB4B,1.31767751639671,9.17975066456265,145.8987646142662,1.0359489027904797e-20,8.600823016553399e-19
SGMS2,1.635088858489827,4.459487532641312,140.61204355890402,1.1958053134436792e-20,9.850446269492307e-19
CD83,1.9716045969284977,4.454941340900259,140.723835637365,1.2470596647604364e-20,1.0193021011809335e-18
FAM241A,1.2365695182665393,3.880613171427059,138.56240400740288,1.4036634256396126e-20,1.1384790123033903e-18
BIRC3,1.962110016309087,7.127208126998821,142.3018124324997,1.9391473910662506e-20,1.5607916100307286e-18
MAPRE1,1.071164657456319,5.6168389026242815,140.82390434192064,2.033451299112382e-20,1.6242962498364362e-18
KLF2,1.741561535136298,5.3218407676130886,139.42143787446622,2.0886897988877746e-20,1.6558755819152403e-18
RGS16,1.840151267054781,4.261908204551318,137.57450405885618,2.1582958610275638e-20,1.6982889222891518e-18
KLHL15,1.414128528884778,3.368777785412284,133.73213101053042,2.935904969526602e-20,2.2930505184213697e-18
GABARAPL1,0.859111577035915,5.827870528989633,138.9989171902178,3.349491869723572e-20,2.5968413437033344e-18
ARL6IP1,1.0157697553133527,7.360624675308968,139.2582440933832,3.8858167001079516e-20,2.9906606778057107e-18
LDLR,1.7848412590599014,7.162492501932024,138.7738989257376,4.065666403185743e-20,3.1064048228398895e-18
TP53INP2,1.4632667864408024,3.61147708707142,132.04495429354952,4.8915564388484554e-20,3.710544682821447e-18
DUSP14,1.4135909784057317,5.304190228304131,134.7064845644112,5.619415743316664e-20,4.232222828395065e-18
RAB32,1.7350343290918706,4.908428994967347,132.64357167492338,7.331317590029268e-20,5.48236969285593e-18
NKX3-1,1.450838927817282,3.7359725179203305,130.3028154850318,7.910632751972268e-20,5.873923361746168e-18
ITPKC,1.2756292886797405,4.3616675692169595,130.98740400949694,8.626295282290625e-20,6.360535486466598e-18
MYC,2.1799007261640213,7.620213781576308,134.91894251458834,8.992436996716778e-20,6.584462200929286e-18
RHOB,1.3645755535893678,6.929189205711527,134.72497177573752,9.368972868086706e-20,6.812858615248706e-18
ACTG1,0.9111360163939707,11.18133260655716,134.4555094275844,1.0172837361116443e-19,7.346739529836422e-18
OVOL1,1.7718654388650075,3.448892871866871,128.45935115024784,1.0269784200735788e-19,7.366299633507357e-18
PPP1R15A,0.9851181009053577,8.956947880173264,133.57358800121898,1.2246948704546877e-19,8.725123455455559e-18
RASGEF1B,1.3620119366394263,3.70234624920471,127.72732354347987,1.349367200330742e-19,9.548810577374057e-18
KLF4,2.0122692561137243,7.617758217554032,132.29727080548213,1.5685969428180376e-19,1.1026190776715593e-17
VAMP1,1.5620305602875284,3.193215140192985,125.12025377659108,1.803290669095838e-19,1.2589882282616906e-17
ANXA1,1.5681340510244206,8.66304134994945,131.69304771203863,1.8180957321284096e-19,1.2589882282616906e-17
EZH2,1.8714896341428027,3.560755780944275,126.26382095823661,1.8268702477621271e-19,1.2589882282616906e-17
GCH1,1.78946793451309,3.941707909611535,126.45757715747759,2.0445538533427823e-19,1.3998555733536556e-17
MKNK2,1.342703877575834,6.571841149897738,130.65267551756975,2.081586779611762e-19,1.4160161938210593e-17
NFKB2,1.1002595517217053,5.05167373585747,127.97546743706206,2.358754189215288e-19,1.5942759084029486e-17
UBE2S,1.8656624953368617,7.548655874652469,128.69074842545905,3.31163194056728e-19,2.2240666994484967e-17
IDI1,1.1374855710857683,5.542004652486003,127.30068249931679,3.3458403076461763e-19,2.2328190002418533e-17
EGR2,2.002716667349785,6.953335783897601,128.02332049286773,3.451295376022797e-19,2.2887080782883253e-17
TM4SF1,2.1331168467241923,6.976914307115019,127.0765455783977,3.980519168029309e-19,2.623162131731315e-17
ASL,1.0539312137535095,5.363668790516111,125.66199899567289,4.570967133279907e-19,2.9935576057952387e-17
SIRT1,1.26165563531359,4.957900027917617,123.98008875482466,5.11330225885522e-19,3.328065371442558e-17
EIF1,0.9109514993128212,11.112236636514078,125.96360739062341,6.005755402598212e-19,3.884949997852488e-17
CCNE2,2.177407196797991,3.2010823478180166,119.42744672839635,6.610536284635628e-19,4.250091133243784e-17
