,logFC,logCPM,F,PValue,FDR
MIR222HG,3.4962603646395,6.499972148102565,758.071202846685,5.956622921653188e-50,6.7250272785464494e-46
CD55,2.9169867081040337,8.974726633956273,696.1294473918235,1.0638897366622309e-46,6.005657563458294e-43
MAFF,2.8733244029831617,7.667779312900368,624.8878125974071,7.824994028723404e-45,2.944806086142908e-41
TUBB2A,2.6036245967106497,5.473376109999103,541.735914509532,1.6128577207652184e-43,4.552290916859829e-40
AREG,4.730454337982043,9.18960345483722,545.2222707597573,2.093531999506769e-42,4.7271952548862846e-39
CDKN1A,2.5763935364313078,7.4939386377434545,521.1137081562158,1.90610936151427e-41,3.586662448582685e-38
PMAIP1,3.017504743350335,8.434609670007069,520.2119586598186,2.5681824806633876e-41,4.1421114580985207e-38
SGK1,1.6698441151321128,7.50060191547806,491.4049945915077,2.9103272390276626e-40,4.107199316077789e-37
VMP1,2.402459834895669,9.404666460848182,460.045063489668,4.34944124361073e-39,5.456132404485015e-36
ODC1,2.0977407739651417,6.05377595389457,431.35460735675736,1.386284654047493e-38,1.5651153744196197e-35
GPAT3,3.223765237318317,3.6362248379730424,398.5765714855499,3.5378327718455176e-38,3.631102908557808e-35
C6orf141,3.8849757944939776,4.747897358737521,402.43673600875724,1.344027699104099e-37,1.2645060602404398e-34
AC234772.2,3.399985584259573,3.343051165341522,359.4608325845244,4.608898780798665e-37,4.002651325785917e-34
ERRFI1,2.5817617568892093,8.300179060265034,407.9529732945815,5.502852877585628e-37,4.437657784852981e-34
MIR22HG,2.229336441380169,6.618066688831183,396.08239284374827,9.75709360843843e-37,7.343839122617991e-34
ITPKC,2.4554381645080503,5.6874371948150495,378.7962974296327,1.2328690742708736e-36,8.699432405323852e-34
KDM6B,2.6337202947286764,6.806811091626155,389.70360487721666,1.5212124345862648e-36,1.0102640227340547e-33
TRIB1,2.69719046931467,7.934429096529085,394.39824108552807,2.0256358516872335e-36,1.2705238203082702e-33
MCL1,1.5868015917155758,8.454702588708987,381.607284195354,8.19274458206465e-36,4.868215070079468e-33
EZR,1.6814348340686052,9.321290694232385,376.3456671625124,1.3838058851629993e-35,7.811584221745131e-33
CKS2,2.5519736146677894,5.955905812600654,353.3222655902517,2.7720341706425704e-35,1.490298370788315e-32
GPRC5A,2.0778010185917317,8.130907222411318,367.2414236854936,3.7617651994098473e-35,1.9176240144716996e-32
BMP2,2.78905264243539,3.812713465101104,344.61135127252305,3.9065856805003623e-35,1.9176240144716996e-32
LUCAT1,4.026019892551386,3.331166989911266,309.247259606537,5.369648659026535e-35,2.5259722233503997e-32
PLEKHO2,2.2139131268285457,3.7881281699069023,321.9710644065337,4.294741192578194e-34,1.9395051225683124e-31
C3orf52,2.1084889733478143,4.152739105760787,319.34317052854135,4.93011060524364e-34,2.140805720507719e-31
TIPARP,1.6401311497847204,6.223167534757158,336.63489876317766,6.696211730095771e-34,2.800008534547454e-31
NABP1,2.7334259244648385,6.699790356277666,327.4966234084265,1.2257926914701765e-33,4.773565884295204e-31
PHLDA2,2.66636305911032,7.60364796576179,333.84904990860497,1.2261595274097512e-33,4.773565884295204e-31
KLF6,2.845687114096098,9.023499435039842,333.33356329358116,1.613922270476877e-33,6.073727477894647e-31
PFKFB3,1.6908062640608803,4.740735735600398,310.2220253528395,2.228465479796865e-33,8.115927505453744e-31
CSRNP1,2.3406004895493657,5.489738788307994,311.075211909996,3.002171061296962e-33,1.0592034775638343e-30
ANKRD37,2.198605125836899,6.205832997726293,315.50008581956615,5.651338250534193e-33,1.9334426923797285e-30
TM4SF1,3.0380225678182207,7.509111077282976,312.6808564209052,1.0374277157338008e-32,3.444870267833709e-30
PLAUR,3.900125579728414,5.774315924592114,300.4207573578101,1.102032456553865e-32,3.55484183842661e-30
DLGAP1-AS2,2.6438129305775635,3.5564315102728865,296.62716172589177,1.3009366062567044e-32,4.079881745732831e-30
TNFAIP3,2.9347855014636113,5.6424874990246146,297.53353252698554,1.485452328348125e-32,4.5326369694730634e-30
EMP1,3.0035659527601095,7.755333485443073,310.27573436787657,1.8602760396884526e-32,5.52697802317964e-30
ATF3,2.3297724042993244,9.651658318891716,309.32743421391393,2.69731388532128e-32,7.80837788853263e-30
YWHAG,1.2997795551572109,6.024998795935837,297.97950807961996,7.321779101353192e-32,2.0665721513569384e-29
AC016831.1,2.5767387556972885,4.1711122377594965,279.9446676230702,1.3752602423228686e-31,3.786997106298826e-29
