,logFC,logCPM,F,PValue,FDR
ALOX15,2.069960741885938,6.6652742453130145,43.9635331916557,2.296284418479168e-08,0.00023938765062645327
CDH26,0.9542679684108695,4.360236341483684,31.54361175405437,7.282103130676858e-07,0.003795796256865312
SERPINB3,1.1575660607556673,7.907653474240828,28.39287723697716,2.3766549253574796e-06,0.008258875865617242
MUC5AC,2.038489556553606,5.506435315665264,26.888827649810192,3.905558288501659e-06,0.008811091748813619
ZNF667,-1.4864621359874886,3.2891384913704393,25.622561676237424,5.290974298570534e-06,0.008811091748813619
IGFBP5,-1.2572943869838213,7.105607420033583,25.709100672356737,5.7465517162045355e-06,0.008811091748813619
ZNF667-AS1,-1.1248610066101261,4.556696206028605,25.2664640345482,5.916320598723773e-06,0.008811091748813619
C1GALT1,-0.7165038723732687,5.772185235255226,25.152285059413487,6.767103749664015e-06,0.00881838207378092
AREG,1.2344611829427028,5.52517709118718,24.219565304351065,9.642576661055545e-06,0.011169317965722672
PLEKHS1,0.7467684564847561,4.320199116035014,23.59600794151914,1.0903930155707932e-05,0.01136734718732552
DCN,-1.0199665040633805,5.605333225839145,23.3514262060166,1.2152949691433795e-05,0.011517681866654302
DLL1,0.850055699045096,5.5124237391521875,23.186265444338826,1.3790376401291903e-05,0.01198038949862234
MFAP4,-1.2720611879296446,4.228505942582839,22.295787607702845,1.7579888021866645e-05,0.014097717894458444
CAPNS2,-1.1623707897660456,4.293778212927439,21.693421208177586,2.1141821492204844e-05,0.01574310636115968
CD44,0.6749721529532421,7.434587493438769,21.66528975330229,2.4288173645348455e-05,0.016740158540156584
S100P,1.2199186650775362,4.676005508099713,21.403887840489393,2.5692329653957347e-05,0.016740158540156584
KIF20B,-0.6875774796192763,4.567057574845288,20.54153923826023,3.29858365007945e-05,0.018547666277154977
CTSC,0.7438480673586474,6.702601277710941,20.623976525288835,3.5484096032021854e-05,0.018547666277154977
FAM110C,0.908027889169717,3.485872012503793,20.2735108531062,3.556232464981647e-05,0.018547666277154977
CCDC66,-0.5675330082712999,5.775303135424039,20.45696194926012,3.683760959911672e-05,0.018547666277154977
LINC02762,0.8591252533529055,4.5954518734913705,20.318648621436484,3.736220545038413e-05,0.018547666277154977
THSD7A,-1.0429146965445726,4.0004808901511515,19.91021420582622,4.173948611390191e-05,0.019778824669883063
HIF3A,-1.345856863850403,3.1429437406280867,19.571220702266103,4.80816446237951e-05,0.021793528052307127
PPP1R14C,0.8891048940756662,4.305764556357453,19.210348477916142,5.526587475504172e-05,0.024006114346721247
SLC16A10,-0.7503366025733292,3.560299896693005,17.87921019478211,9.13615350088944e-05,0.038097760098708966
LSAMP,-1.5019618575704639,3.444068380479302,17.738884006806757,9.879324027047688e-05,0.039612289608450826
TFF3,0.8687511753435361,6.817621696869235,17.75090240237774,0.00010537153615572816,0.04068512090457282
NR3C1,-0.5879870597761876,6.11717206063221,17.30400235134235,0.00012352127752741354,0.045368066401105224
GPRC5A,0.5231878235899418,6.899770253509149,17.285686187585487,0.0001262037338735781,0.045368066401105224
TXNDC17,0.6102466514807601,7.485663416638536,16.930186102243365,0.00014502634335872343,0.0493928869089268
CRABP2,-1.1286896682462013,3.1343419940691986,16.71992589767712,0.00014687573085628113,0.0493928869089268
