,logFC,logCPM,F,PValue,FDR
CCL26,3.0242091897660375,4.260442315980179,48.08839538712055,3.4071183004512452e-09,3.688886983898563e-05
ALOX15,1.3874680479134776,7.1230753366926844,46.635063862633785,8.005066263087324e-09,4.333542621522323e-05
CEP72,1.3543982437594102,2.9741122086249496,37.275111549083725,7.948149774030016e-08,0.0002868487253447433
KCNE3,1.1726717896792136,3.1171743567818324,36.11993635946586,1.1150700368888385e-07,0.00030182158223488636
S100P,1.2673527213257814,5.8812246470291765,31.87282862386451,6.269590565919568e-07,0.0013576171411442235
CDH26,0.94198780155581,5.26389237323962,30.267717913312147,1.0093369345887537e-06,0.001821348498465406
PIGR,1.714374920657367,6.368316035493886,27.71340247722686,2.5061723250588795e-06,0.0036061388004267852
NOS2,1.5571442632467882,4.61584067300918,27.17950635176568,2.6645525448798636e-06,0.0036061388004267852
MUC5AC,2.0172631446359413,5.2901034423395625,26.863033481788122,3.153215684206764e-06,0.003793318468100737
ZNF667-AS1,-1.1873931090136325,4.253343879394644,25.184872598168344,5.341685438445764e-06,0.005302470488315402
HES2,1.0254067161498657,2.6457179189174407,24.936329205945153,5.387196395259021e-06,0.005302470488315402
CHST6,0.8068951818128617,4.027868534324173,24.615650756864987,6.176420192739214e-06,0.005572675118898956
POSTN,1.922996320199557,7.320987009326697,23.944851961085593,9.436057135421906e-06,0.007858783892708691
TNC,1.1488890776360723,6.141413224345834,22.148867072059502,1.800409644926914e-05,0.0131040046193943
SPDEF,1.0205032376890857,3.272458573369658,21.60327353360435,1.8154619866160018e-05,0.0131040046193943
ZNF667,-1.3380513487888173,2.845461444138602,20.245511382168417,3.249474262619752e-05,0.021988786150865035
KRT23,1.5037237736537896,3.053965142713987,19.4563805052807,4.2790761810028196e-05,0.027252681065716194
NFE2L3,0.7905796383881862,4.6424162349491125,19.299672234526366,4.989153759098485e-05,0.030009759860977387
LEPR,-0.8931708056025386,4.2969206210222275,17.561617147797193,9.460266939448736e-05,0.0539085842912692
CD44,0.6522524599973102,7.757029794223516,17.020287822770204,0.00012920783834635647,0.06994666328880007
CAPNS2,-0.8884145239054109,4.3701509179893465,16.222705916513096,0.00016341946173212683,0.08425440534160653
SERPINB11,-1.0553024027627358,4.730918197693685,15.783497638359313,0.00019791179340278214,0.09739959032599646
IGFBP5,-0.8096175735834658,6.041120745446154,15.766260416694806,0.00021031679816330525,0.099004346683222
LOXL4,0.7066164143743384,4.547123490420974,15.35200585333612,0.00023952314564642876,0.10805487907974518
LMO3,-1.0760398076334188,4.8763106754183925,14.731708824968686,0.0003087658776948843,0.12930289141492576
STK33,0.7532065854415615,2.7773499748756776,14.5857373160767,0.00032065906767816385,0.12930289141492576
PPP1R14C,0.9604688473661827,3.0324935912872655,14.569048956850322,0.000322451100785351,0.12930289141492576
WNT5B,-0.8554963516319893,3.210036889957147,14.034876122176021,0.00040506849500142783,0.1516158093533153
GSDMC,0.5753293469935956,3.9079213733079143,14.024818872909336,0.0004061012719355448,0.1516158093533153
DGUOK-AS1,0.6129693021585356,3.34861096359209,13.62107621991772,0.0004754484402711577,0.1698900351145892
PIK3C2G,-1.0937510838002922,3.1365432992687197,13.644395545219682,0.00048643124490184404,0.1698900351145892
C1GALT1,-0.5059809964660534,5.448620003220971,13.583774616353736,0.0005213463262910568,0.17639427108603975
CCDC8,-0.8175141862443212,2.8596204131549423,13.353447441838448,0.0005520382679566575,0.18068388445519495
DCN,-0.9637891071541458,3.6525407914920573,13.317400765517505,0.0005674011334143003,0.18068388445519495
HIF3A,-0.9647974373190978,2.843321883235984,13.218143296919044,0.0005858028082882911,0.18121391443820936
CTSH,0.43912867805974093,6.974559281793537,13.050939113428683,0.0006679782078914476,0.20089444602335288
HK1,0.3955041011616475,5.204028599973819,12.90561147531796,0.0006993404863085015,0.20453798221163152
RAPGEF5,-0.6277815987120614,4.328781546672227,12.7503139728612,0.0007178759881815829,0.20453798221163152
ISG15,0.6977190650582047,4.593414659753311,12.615864144582305,0.0007765112347071971,0.21557146508140573
OXR1,-0.4088720439670527,6.3202967689898335,12.264404882646456,0.0009360691717179811,0.25337052305476454
MUC1,0.5100489490974905,6.135012491468515,12.103732561902138,0.0010056671334839665,0.2606655032340472
ISG20,0.7009792367420868,4.063562704494085,11.957822938150343,0.0010111712511157275,0.2606655032340472
TMEM241,-0.5022974720209098,5.43914992469286,11.910825293145026,0.0010747846775045545,0.26688474750616187
CDH7,-0.6689754327389317,3.9146589604995787,11.768595201712776,0.0011029041151011543,0.26688474750616187
WARS,0.7615939499385164,4.197459947765877,11.766773061387442,0.001109246664614139,0.26688474750616187
PLAAT4,0.6531311442799539,7.245648865344876,11.731725819704845,0.0011845106251570055,0.27712495446856666
TBC1D23,-0.40741634673268906,4.344184918091903,11.535487637220589,0.001234626323152775,0.27712495446856666
ZNF483,-0.6070443516120583,3.7727282979727135,11.502179040036983,0.0012357818316516616,0.27712495446856666
DLL1,0.710258713527674,3.752143594618292,11.453216569167582,0.0012541907055472214,0.27712495446856666
LINC02595,0.5341807829909709,4.0963822018861045,11.420194765678017,0.001288310174023843,0.278683060394319
G6PC3,0.458766821093411,4.274633656670771,11.39758351072299,0.0013127215369086792,0.278683060394319
AC007906.2,0.7414118209275347,3.691262706031009,11.211709382680162,0.0013967165200949852,0.29081249544362314
ALDH3B1,0.6363045049729412,3.6512075737790677,11.118659870980846,0.0014563203895454004,0.2935450382682596
PBX3,-0.5718613066953919,3.8504154385442173,11.132967748807534,0.0014640650287693748,0.2935450382682596
FGFR1,0.5787788013115084,4.300840725700375,11.030731252548472,0.0015577289153945967,0.3066460175814054
TAF1B,-0.4151166686533484,4.705559690132858,10.98890597482425,0.0015990576631291617,0.30916066640534706
MST1R,0.5009086648841157,3.9267241150855536,10.844520820474559,0.0016652759737744878,0.3163147889132698
DNAH5,0.6522837440569773,4.106036398008865,10.600977917280341,0.0018694908563819301,0.34898237072495103
TFF3,0.8024481047468129,6.5723380810706145,10.637286068476813,0.0019288618340330072,0.35396249283178594
FGFBP1,0.7939524962331627,4.067958035921126,10.248844868389764,0.002197853709698614,0.39137564497048044
PYGB,0.5543063630968318,4.389181606439856,10.27748212353228,0.00220503503677836,0.39137564497048044
ECHDC1,-0.37596265413262775,5.8064173141280975,10.197380286432962,0.0023427034775300535,0.39755550354029945
RIOK2,-0.4191298839731255,4.198675728011186,10.101857626314683,0.002356737943664448,0.39755550354029945
PIK3R1,-0.42763698950007617,7.334236131980906,10.13138763015439,0.0024245476556527808,0.39755550354029945
CDKN1C,-0.6434134741257008,5.056990236832553,10.061493597901926,0.002448677501352165,0.39755550354029945
TMEM44,0.45934046602741907,3.5807282536958858,9.987252264287031,0.002449123335498739,0.39755550354029945
OSBPL1A,-0.5119338914415322,5.829400051893128,9.999918626128444,0.0025601431953556075,0.39755550354029945
CCDC170,0.9459904117425111,2.9507146521432617,9.872525469344984,0.0025856390845508887,0.39755550354029945
NRP2,0.62715842111983,4.814431522439445,9.943162536638297,0.0025941427712155947,0.39755550354029945
PRR15,0.3699515591120222,5.65188628632853,9.940653580553766,0.0026329488405522237,0.39755550354029945
CNTN4,-0.7862860368948056,2.6048476400380856,9.850253714835643,0.0026460897780516855,0.39755550354029945
CABLES1,-0.6572092121701048,2.7842656890642417,9.819640465197393,0.0026802720032393,0.39755550354029945
SLC44A4,0.4647825858477658,4.771098796273435,9.860987888726838,0.0026881762487783807,0.39755550354029945
COG7,0.4759719052106376,3.861173383685146,9.74589695153187,0.002757672079738707,0.39755550354029945
ZNF260,-0.5673001883872314,3.881432246622344,9.736064317261937,0.0027725522289075923,0.39755550354029945
ZNF486,-0.6492173996583871,3.3575673310452516,9.714882823501926,0.0027906362121605946,0.39755550354029945
ZNF14,-0.5418532254921106,2.9804783339724152,9.67855718994013,0.002850787538553028,0.4008503464923849
FXYD6,-1.0840882813067843,3.673420983131085,9.60709734006495,0.0029343642241823425,0.40317369501782035
EXTL2,-0.3949372715027341,4.198653161134598,9.592112243043548,0.002986852938321167,0.40317369501782035
