,logFC,logCPM,F,PValue,FDR
ALOX15,2.1355143270796835,6.560190895593593,56.388206059726066,9.73011399247283e-10,1.0924971990748494e-05
NOS2,2.3946245334927445,3.3612322897878992,42.274832982319964,2.231016349164431e-08,0.00012524925784209118
SERPINB3,1.3345876625451223,8.115955269742733,38.33033219065652,1.1035201259771224e-07,0.00041301079914903764
DKK1,2.5393162183106748,4.283976808589447,31.704708006753805,6.35510630324073e-07,0.0017838783393196729
ZNF667-AS1,-1.3804122354360449,4.247632538153241,29.37314496219744,1.29986163285212e-06,0.0029189692827327205
ZNF667,-1.6509914362034321,2.774669851319163,29.163716556079756,1.6284084011600988e-06,0.0030472949213709312
MUC5AC,2.063393192823111,5.631891461623105,28.826293040155587,2.0716598935489537e-06,0.0031835406040574936
CDH26,1.2569961156377463,4.146259559275802,28.01131893101526,2.42079273333797e-06,0.0031835406040574936
NTRK2,2.2445551273597646,4.074566353458973,27.73314281579527,2.551822714331799e-06,0.0031835406040574936
THSD7A,-1.0799060755317798,3.739014597449954,24.187475537022067,7.902549830389688e-06,0.008872982949561542
PEG3,-1.518662935209855,3.226307662175401,23.968193224597158,9.415222139498767e-06,0.009357362502664043
C1GALT1,-0.4947148323580565,5.622599584626318,24.097896502805806,1.0000743679370192e-05,0.009357362502664043
H19,-1.9147890532109024,2.6428609449890845,22.287154367497383,1.8023367409226266e-05,0.015566643790060964
S100P,1.0896759460515768,5.408294622016097,22.077058583843915,2.093942356574758e-05,0.01679341769972956
SERPINB13,0.7534731129633383,5.7160511498127455,21.287081935688004,2.7827750130974727e-05,0.020829998564705614
LOXL4,0.8646464626096685,5.448832316924301,21.062743494319637,3.0083299805514775e-05,0.021110955638519995
CTSC,0.7250929824227352,6.728503705827018,20.60745258160674,3.57677680168767e-05,0.021691867410523813
CNTN4,-0.882217552566778,3.280870003105741,20.190306856414455,3.6010959524855806e-05,0.021691867410523813
TFF3,1.069501902302746,6.649846574956512,20.507304107228666,3.709717712314555e-05,0.021691867410523813
CNKSR2,-1.0725664900546719,2.5390152908830315,20.158535730882583,3.863888031799753e-05,0.021691867410523813
MFAP4,-1.3186884232173648,3.5221141526458,19.607028068714108,4.5920392946810054e-05,0.02313036830009854
IGFBP5,-1.1910712322323387,7.0982527979192405,19.682173283428043,5.037752563226302e-05,0.02313036830009854
HIF3A,-1.4600387760825981,2.641183711015665,19.454759835090236,5.125393947781848e-05,0.02313036830009854
EPB41L2,-0.5753616271177713,5.962237630044683,19.49340088380557,5.373517368096578e-05,0.02313036830009854
SLC9A3-AS1,0.9267511755286777,3.9420159976914944,19.263179661835345,5.451066161677822e-05,0.02313036830009854
NFE2L3,0.9014791206458249,4.3576607085445165,19.301454659947787,5.6197057020531476e-05,0.02313036830009854
ETV4,0.9227573446175203,2.8404243265563816,18.828050497650658,5.8236795463292576e-05,0.02313036830009854
PCDH17,-1.0569859179524799,4.852325027982462,19.045577918665774,5.956830707140412e-05,0.02313036830009854
FYB1,0.9168004966605982,4.023910003529082,19.044479576614457,5.9741777761209273e-05,0.02313036830009854
SRSF7,-0.49422889925078256,8.77448858352778,18.855676203025315,6.876627272571583e-05,0.025736923672144578
PBX3,-0.7282587987902531,4.33703834045645,18.428322912127513,7.324673411692581e-05,0.02604633602062487
POSTN,1.5926986408155779,8.448163297511517,18.65491090112091,7.423252161204096e-05,0.02604633602062487
TXNDC17,0.6104572074391402,7.573524375421949,18.555113791423416,7.71681387419429e-05,0.026255874599834392
PLEKHS1,0.7192741537977989,4.263297320995896,18.257774525574778,8.306810693913983e-05,0.027432020726843004
PPP1R14C,0.8738173145199439,4.527174984094385,17.935757674634647,9.328596058812071e-05,0.029926136156669125
SLITRK5,-1.5169172340216046,2.8790074723900054,17.549481076185494,0.00010651053294176229,0.03321945177416964
CD44,0.7508534046647241,7.565741093853381,17.50695428868831,0.00011555716479037405,0.03506691476395459
DLL1,0.6323788934179342,5.708463381003469,17.403174057510192,0.00012035237095275753,0.0355609584488832
LRMP,-0.5008974192579522,5.610480254815003,17.19679741025321,0.00012916159348286846,0.037185291580144796
HSD17B13,1.3152427714525203,3.537511386024931,16.646151331772952,0.00014653149687395928,0.039445401142119176
OXR1,-0.4007066072113434,6.108295443332048,16.88271809648425,0.0001473379821740385,0.039445401142119176
AP1S3,0.592241342993152,4.016260926647374,16.682806710272633,0.00014892457964157553,0.039445401142119176
LMO3,-1.0040714464602654,4.516679823892198,16.569394989300015,0.00015106450383960853,0.039445401142119176
ARHGEF40,-0.6684879990758044,3.679074972400023,16.44630798025827,0.00015552101202105293,0.03968613461300869
PTHLH,1.1630519819134693,4.121074466411262,16.549956754885706,0.0001594118480078693,0.03977502732071904
PIGR,1.247208352577394,5.443554813290276,16.58016706222928,0.00016625405636918643,0.04058044662854837
LRATD1,-0.5493979873471752,5.6345933267549055,16.03860814352977,0.00020421707490974765,0.04878615568269461
ZNF280B,-0.7724474056098856,2.4179262878020156,15.819284166343945,0.0002087813636680048,0.04883744065134078
PYGB,0.6196351300578427,4.326908248391535,15.651664662172246,0.00023407977573453785,0.053637708611171245
LRRC17,0.8736899656340851,2.96050068322861,15.331800079200127,0.00024217971101208368,0.054383875904873515
MYLK,1.5089369987236914,4.029804707253911,15.412502763401,0.00024911023870721966,0.05484332863146397
DDAH2,-0.5719177845298381,4.903095163874537,15.382766468871074,0.0002588211363428133,0.05566165613703658
TNC,0.8363090758459886,6.390779995325885,15.409130712987714,0.00026578821268191476,0.05566165613703658
PDE7B,-0.9325377614440991,2.8279563520380266,15.216457511278943,0.0002676994506056266,0.05566165613703658
IL6ST,-0.47093029150781646,7.427455351622754,15.14678947289681,0.00029529716758827857,0.0602835745032944
BHLHE40,0.8323022833725207,5.7287200342164,14.929642364070189,0.000322708258500602,0.0647030058293707
LRTOMT,0.8223589872296478,2.473890718067109,14.585176490742853,0.00032970109388911676,0.06492463597715363
PRKAB2,0.5356295236140503,3.769127299506845,14.658764459087456,0.000335378418834602,0.06492463597715363
LINC02595,0.823728963883093,4.687134046623433,14.492769957029092,0.0003781939088394713,0.07197222387202684
SERPINB10,0.9072166242121976,3.7968043094521056,13.937183937295677,0.0004609144684418754,0.0862524608610896
EPPK1,0.8486547573445586,4.593157655210239,13.618571449869012,0.0005448978925977121,0.0987360325068714
PLAAT4,0.6495416096226966,6.59951629506655,13.657805164533476,0.0005452114370703622,0.0987360325068714
ZNF90,-0.6503142442247468,3.371035226159337,13.310041259252857,0.0005801493673864657,0.10183115264581799
CCSER2,-0.32116890376116625,5.22056196587453,13.47561764526193,0.000580441197838649,0.10183115264581799
ZNF569,-0.6740182825482197,2.447301723462237,13.164331247837339,0.0006339463377609229,0.10901207173291093
PCDH9,-0.7356056616771101,3.5308566552769207,13.067450545987892,0.0006407905890961989,0.10901207173291093
ZNF660,-0.7816632381004476,2.6602708112853355,13.056325060852053,0.0006628287932403405,0.11104888966680068
CAPNS2,-0.9010257100490461,3.764696507771499,12.95810107288681,0.0006725440414448206,0.11104888966680068
TMEM52,-0.7780029568898376,4.135622353939246,12.880899786432082,0.0007089343987700116,0.11393519492464839
JAM3,-0.7139379157429392,4.231140191734688,12.861707601933858,0.0007103191703531695,0.11393519492464839
FLRT3,-0.48256282510656906,6.931465412555004,12.885735038088683,0.0007544413285898606,0.11922634376567168
C12orf54,0.7013855688290851,3.2376836037565813,12.667619026685193,0.0007645437077955433,0.11922634376567168
ANKS1B,-0.8060975897751219,2.717902556492929,12.604694732091492,0.0008018862098212907,0.12333668991607469
CEMIP,0.8370333607658189,3.9955957315789137,12.539640328532606,0.0008301187341626623,0.1239631057683008
