,logFC,logCPM,F,PValue,FDR
ALOX15,1.6816426454459548,7.229633119735726,51.143574923913704,2.4697893881429845e-09,2.7725855671293145e-05
NOS2,2.0392876949489986,5.005424999197901,48.13384115546974,5.275424088089747e-09,2.961095540644775e-05
CCL26,2.372876727696924,4.150823701242982,37.23760206329799,9.148242413547988e-08,0.0003423272311149657
CDH26,1.3218930872508161,5.286838964670052,34.62226244944931,2.667029424395068e-07,0.0007485018079564759
SLC5A8,1.950660928598504,3.7263181450963554,32.839007354442856,3.814939843965855e-07,0.0008565302937672137
PEG3,-1.750266705568442,2.199637132551781,29.383140942315382,1.2357346959042719e-06,0.0022518781097445742
FAM83D,1.778019609245203,3.250243837110639,28.770140776937392,1.404164151809373e-06,0.0022518781097445742
ZNF667-AS1,-1.226696276658787,4.023329014395415,25.806511337252186,4.020183686221865e-06,0.005586215904605856
MUC5AC,2.2477901475390953,5.875295734856891,26.085258205108147,4.47852691443548e-06,0.005586215904605856
POSTN,2.2027992737971673,6.7996196139155325,24.962354919455866,6.6411150888708984e-06,0.00745531579876647
HIF3A,-1.1900335973370153,2.5740653742643764,21.24675664086057,2.1825785492563922e-05,0.022274206176320234
CAPNS2,-1.036517334860271,3.864620966248784,21.010051040746156,2.443931752631194e-05,0.02286298154586482
THSD7A,-0.9029684763958705,4.179051251305692,20.82405539846367,2.694541773586643e-05,0.023268404577141272
WARS,1.2477204028609743,4.608715513958341,19.520216306196684,4.683758810826978e-05,0.0375570545788169
HSD17B13,1.319991850779173,2.6621433727282016,18.921203206138298,5.0696960875736546e-05,0.03794160551940123
FGF9,-0.996450914223429,3.290112493662419,18.482036995580394,6.40389695612562e-05,0.044931342018416386
PTHLH,1.387044528492927,3.5301925963434293,17.406304512117867,0.00010260302815456639,0.06775421141548013
KCNE3,1.5271613811805758,3.537027106444653,17.047784577567853,0.00011912829870027026,0.07429634895606856
IGFBP5,-0.8131497433808275,6.174241749334871,16.82514515974547,0.0001395561292606804,0.08187175007907431
UCP2,1.198343904003354,4.384082288683114,16.58029074987597,0.0001516017661196548,0.08187175007907431
TNFRSF19,1.0484068543967227,2.6320935146888713,16.084435479119918,0.0001636789266568726,0.08187175007907431
DHX35,1.2697234193758902,3.0319878743694355,16.165993085943605,0.000163973199226593,0.08187175007907431
PPP1R14C,0.9607984175075998,3.0742432648458666,16.069803873268082,0.0001693438542229601,0.08187175007907431
ZNF471,-0.7204184038008202,2.6772150064726468,15.975885305796774,0.0001750331375287532,0.08187175007907431
CD44,0.6864701884435127,7.886732847392644,16.037900733630295,0.0001930034803409396,0.0851659139905181
CALCRL,-0.6703880238668539,3.386131452857699,15.74873767614966,0.00019724868731101644,0.0851659139905181
CEP72,0.8337379462627879,2.8937796293958082,15.516863774293908,0.00021390501840822028,0.08746105621672716
MLPH,1.2439036682022664,2.8007046536707896,15.453994444303525,0.00021814622965155535,0.08746105621672716
ALG1L,0.838522465549453,3.338884816182497,15.29644136898597,0.00024191047517035176,0.09364437911249548
FCGBP,1.1698031427075104,3.227584561514778,14.846591805986183,0.00028947157529414784,0.10832026347507012
