,logFC,logCPM,F,PValue,FDR
FADS2,1.09767383620046,4.659324757013053,16.156111650939536,0.0001957509699878227,1.0
PLAU,1.1029185123271976,4.9002606442048675,14.803355985363549,0.0003368667438999808,1.0
KRT17,1.1300460931537117,9.533677393071565,12.639701316128708,0.000852235397202804,1.0
AC018521.5,0.6905967259985882,4.422390610467273,12.08052727857806,0.0010609247760624428,1.0
GEMIN8,-0.5813834737239503,4.633076834198331,11.904619737489838,0.001156448096680084,1.0
IGFBP7,1.1874365463847198,5.243704428114048,11.756613682223236,0.001232553821040706,1.0
CXCL8,1.4383515766677506,5.484916775828831,10.902443030082393,0.0017972367849887576,1.0
C2orf74,0.5422120076709693,4.880913177139373,10.850065459106201,0.0018321534305047904,1.0
MUTYH,0.4848749852619389,3.915240298816032,10.473839766566709,0.002115512852743009,1.0
S100A2,0.7316888490491167,10.410399769553642,10.057933552967587,0.002625870745286898,1.0
FAM91A1,0.5198761733792272,4.376347390730336,9.329513690738231,0.0036016479627622236,1.0
MEGF9,0.666005427530936,3.899867549980851,9.053066925171098,0.003990073018690153,1.0
TNFRSF6B,1.1525268782490492,5.006942913974218,8.860033786860908,0.004499865193157429,1.0
ELP5,-0.5108244929687176,5.565303655166941,8.719048651673397,0.004842472696135457,1.0
SPOUT1,0.4884130893965224,4.133137844521439,8.430450668912115,0.005437697196815527,1.0
C6orf62,0.42065411818594006,4.58512623704452,8.016526125422022,0.006672733411223659,1.0
CXCL3,0.9728405618774639,4.329080069644146,7.92204046933457,0.006926248513936341,1.0
RERG,-1.0372702566597203,4.765777054043604,7.899044221625712,0.0070779528721969884,1.0
PSPH,0.505015165519199,4.498406635476973,7.812786912605673,0.0073293969248746675,1.0
KIAA0930,0.5073972659556494,4.438974223677896,7.671894367061112,0.007850056782870821,1.0
RGS12,0.3657963984284869,5.556778536059229,7.656788507186043,0.007974673111956385,1.0
CYP1B1,1.4658238555503535,5.596070002596213,7.04415046516911,0.010692072703992148,1.0
NR2F2,0.5607567776863949,5.605499535164646,7.000766785517455,0.010942435126258905,1.0
