,logFC,logCPM,F,PValue,FDR
FABP5,2.0665688620150253,10.43763123186518,14.364572111615582,0.002220189724620296,0.9989279971261631
NOP14,-2.216059056961147,6.117318496928597,13.49201622769684,0.002763370788995549,0.9989279971261631
SMAD3,1.5071691016129,5.766950359844771,13.086718431810397,0.003114172485105684,0.9989279971261631
THBS2,2.772517507501963,6.945762656959753,12.49000321836246,0.003437362033075816,0.9989279971261631
LYAR,-1.9813625793004623,5.872321299037442,9.605793686719691,0.008334914727850803,0.9989279971261631
CTNNAL1,-1.8846071326099192,6.0920102636258004,8.978764192789514,0.01021844582980641,0.9989279971261631
EHBP1,1.3412980006314306,5.983397336901692,8.985157893587942,0.010299575178197939,0.9989279971261631
DDB2,1.4198142448551587,5.856117686949313,8.729906023611466,0.011179539713693872,0.9989279971261631
FYB1,2.654572257758819,6.677384441157589,8.658423604513668,0.011437534800662313,0.9989279971261631
C21orf91,1.3557290960365882,5.607593354208991,8.640667433131645,0.01148247338302736,0.9989279971261631
NDUFAF2,-1.4746023964108985,5.761255708344894,8.280056217710648,0.012880827284202876,0.9989279971261631
CXCL1,-3.092458891144395,8.084848923782403,8.1249897553953,0.013577962872706554,0.9989279971261631
RHOT2,-1.3858223032687116,5.479491394782762,7.939539580657811,0.014321772678775125,0.9989279971261631
CXCL8,-2.719711018660354,7.009610703356296,7.780695318156529,0.015117038839164628,0.9989279971261631
EIF2B4,-1.6967674864813647,5.27039483817628,7.728096254551758,0.015237361003675672,0.9989279971261631
KLK5,-4.108423823238338,6.477063196469842,7.411257632932023,0.015731365113287998,0.9989279971261631
HMBS,-1.693748913620799,5.634044652671135,7.622061723750055,0.015948214497784916,0.9989279971261631
ENAH,-1.6188125698826523,5.916271393998676,7.602147100187513,0.016224902856702965,0.9989279971261631
AP3D1,-1.6360732956374389,5.304176371662391,7.267365340065915,0.018016476978244808,0.9989279971261631
AK8,2.0024980035169584,5.493713924922492,7.140843526793069,0.01880662604553579,0.9989279971261631
ODC1,-1.7908759443591966,7.442775716669256,7.036918691529345,0.019778221550235613,0.9989279971261631
MPZL2,1.1024427947142295,7.838243927168097,6.760440814725449,0.021909298930804382,0.9989279971261631
SLC1A5,-1.3575216180413836,5.818030616565562,6.595521854093096,0.023158774078558562,0.9989279971261631
CPA4,2.1726131734960217,5.695146657727253,6.5219089235331245,0.023798191347672124,0.9989279971261631
GPR87,1.1287584770466645,5.906028610291574,6.487842640821259,0.024344130144277415,0.9989279971261631
RSRC2,0.9507750233012267,7.075262886675232,6.383008981438708,0.025235664116291825,0.9989279971261631
IFI16,1.0448758702706402,6.584103684425534,6.296550405712051,0.026103112589237476,0.9989279971261631
PGM1,1.3682297045311067,6.408547219125067,6.287637064644427,0.026210568996578407,0.9989279971261631
B2M,1.1438917061444267,11.391834749302557,6.173167402777239,0.027246378999366053,0.9989279971261631
TP53AIP1,1.6461119606618624,6.600639245334552,6.1736594191375325,0.027368394502725768,0.9989279971261631
ABCF1,-1.037286276603141,6.5585575179443225,6.131899770917817,0.027768007215071486,0.9989279971261631
RSRP1,1.191795669805475,7.417902728098651,5.984917010899764,0.029334231129667536,0.9989279971261631
WFDC2,-2.9022604286795963,8.304337133231044,5.824158309015469,0.03120693716265521,0.9989279971261631
S100A9,1.9728086680705166,10.571370864610314,5.7761625731800645,0.03174993898264991,0.9989279971261631
CKB,-1.6431380132731934,6.6020923067298405,5.734437182987952,0.032127249352916463,0.9989279971261631
