,logFC,logCPM,F,PValue,FDR
NECTIN4,-2.223548346094655,5.192168463631437,367.07667516013703,7.225601772282824e-35,6.0550542851730065e-31
TMEM45B,-3.415953274179279,3.8577406898889977,313.89464670155786,8.859624403882462e-34,3.7121826252267515e-30
PDPN,2.8800522986995754,4.3364451405851066,289.75384423493233,1.5736252099441536e-32,4.280227697754393e-29
TENM2,2.6082864039642435,5.47034478274053,327.7951942453786,2.0430681134865838e-32,4.280227697754393e-29
SLC6A14,-4.179236297548568,3.784298514416483,287.7979359581148,4.7066418174385703e-32,7.888331686027044e-29
DHRS9,-4.166971706687233,5.663901476602889,278.2575816844663,2.071866051969489e-31,2.893706252584053e-28
LAMB3,2.947390757038136,6.144809717500882,307.163779048665,3.971901611447709e-31,4.754933643418828e-28
ZBED2,2.76719330836619,4.906913905984212,277.52612196196867,2.6582276190130497e-30,2.7844934309161697e-27
KIAA1324,-2.857248734528905,4.764554879970038,264.5422227393283,3.0191294590681915e-30,2.8111449852212716e-27
ALCAM,-1.807931169567,7.1375656013366715,286.3025802216556,7.01205722036631e-30,5.8302555603240614e-27
SELENBP1,-2.3761844675932067,6.447465248256499,283.2822978174718,7.653080091117502e-30,5.8302555603240614e-27
CAV1,3.004634059055458,5.281448413087618,260.25734741582846,4.131808555778697e-29,2.8853796414521236e-26
PLAC8,-2.9033589817144416,4.257973728179835,236.42666171705153,6.460265523193554e-29,4.164386544950922e-26
PTPN14,1.5813156733910763,6.401744778948111,268.4148225492817,7.750215120326689e-29,4.500223522025119e-26
AMOTL1,2.026178960673323,4.769207190593663,255.24792307468786,8.05529270052229e-29,4.500223522025119e-26
PRR15L,-2.4842271271221907,4.8888785385538025,237.9483097878853,2.679117656485484e-28,1.4031878725842721e-25
MAOA,-2.0293132879982814,6.2005740971107945,247.09506141224463,8.184951655763056e-28,4.03469969854673e-25
NUCB2,-2.368960678845573,6.621519686215102,242.94445309140067,1.2576355312991806e-27,5.854992084603963e-25
CCN2,4.146697993660388,5.531898296109564,210.0168856791835,5.0406399165097514e-27,2.2231875000185114e-24
PLEKHA5,-1.2711631968469916,7.458676022838981,234.1790214006482,7.153081735162217e-27,2.9971412470329688e-24
ARHGEF38,-2.7821260621942794,3.616752496354707,195.3545580825531,4.279034343900102e-26,1.7075384667563263e-23
CHST6,-2.2471890057491164,4.516796922086996,202.49343173372336,4.9930716423119166e-26,1.9019063801169937e-23
IL1RAP,2.142806437668987,5.139528127046678,208.41477808849325,1.2559953235222952e-25,4.5761916570073187e-23
AMOTL2,2.2656652485979016,4.070023933071603,189.66766828757898,1.7859581636854056e-25,6.199881473185277e-23
CCND2,2.0477796521087335,6.543259664360308,211.86347965540324,1.8496066447450108e-25,6.199881473185277e-23
UPK1B,-4.914379842637081,5.198010909007449,188.20995490918338,2.0371711139387585e-25,6.565959205694922e-23
CXCL17,-2.779478540507184,6.8638902247632645,201.58351836617024,6.642969382272478e-25,2.0617808675349398e-22
ABCA13,-3.673456871985608,4.191710008319475,180.82982529625852,7.301484321337069e-25,2.1852299504573086e-22
WDR91,2.053155157717195,4.930946504482923,192.1973250803656,1.3250425151388917e-24,3.82891595753928e-22
GSTA1,-3.847294526490525,5.633514555338869,180.99944531528928,1.372711053889254e-24,3.8344395438639827e-22
SLC44A4,-2.5431956944203615,4.9713644928423015,184.86196514512392,1.5730056988594708e-24,4.252189598852376e-22
VCAN,2.929402935473569,5.376230500298517,184.60518224959495,3.223731332560751e-24,8.442146427143467e-22
DKK3,2.6405550988471784,6.2735595140968465,189.6888219447161,4.020010628189916e-24,1.0208390625524696e-21
CDH11,1.967799410231905,4.8583978664620675,184.51012297949822,4.903585614998368e-24,1.2085896309907741e-21
GK,-2.4556508768131,4.390208994115694,172.6950833618436,6.858186834711474e-24,1.6420458764252043e-21
GSN,-2.2900658971444567,10.419456708955632,187.87898873731277,7.739084481716541e-24,1.8014868876884615e-21
TSPAN1,-1.5048349071006406,7.860870632232479,187.6434479184422,8.295616546949055e-24,1.8365541998534104e-21
AJUBA,1.9499849726715557,4.668978994411713,176.81072699273963,8.32805007093432e-24,1.8365541998534104e-21
IL2RB,2.6528293999550647,4.449635346251122,169.16630477486927,9.489774790163844e-24,2.0390849420916156e-21
PRR15,-1.7020202206121842,5.622287125782186,182.64057344505974,9.786182907551058e-24,2.050205319131947e-21
TNFAIP2,-2.3946987997751745,4.801484463759993,173.83888640447165,1.0579594025986151e-23,2.162365803360096e-21
ALDH1A1,-2.491717918894349,7.231569016343367,182.7043361440228,1.5885470106559767e-23,3.169529511737401e-21
SMOC1,3.1536917266968714,4.882743301256236,167.80600493707752,2.643705444497097e-23,5.152151540671087e-21
SHC1,1.4825518998270566,5.602412804839652,179.34497099113543,2.932972130111909e-23,5.585978738713136e-21
GUCY1B1,-2.353672453378349,3.703624621396953,160.21375855792232,4.1710255842892173e-23,7.767376532520809e-21
TP53AIP1,2.3503516892818532,4.429554086196614,166.2284416046695,4.573054018958373e-23,8.330911451928514e-21
SH2D4A,-1.5278930760215506,4.620027380950445,163.88594871879272,1.178361257579074e-22,2.1009930507473704e-20
CCN1,3.021750585759415,6.420141246877397,167.30025717152043,1.4435974992879247e-22,2.520280634173502e-20
TUBB6,1.8093609442417204,4.456871626091327,162.1518443583576,1.84921930807565e-22,3.1625424085048867e-20
EPHX1,-1.1095300860562027,8.340430431819371,163.1403688213272,5.467401744878988e-22,9.163365324417183e-20
BCAM,2.7729633184085127,8.116757920802952,162.41086375903794,6.403909383542791e-22,1.0522502085115409e-19
SLC1A3,2.4233040033861992,4.5356410133694816,154.6255796606822,7.58540857167678e-22,1.2224177659740658e-19
GPX8,1.1797652168159585,3.9908079182737275,153.25123454557783,8.005846026534737e-22,1.2658299943841718e-19
CTNNAL1,1.9410416097797782,4.5833978635253585,151.1295678758737,1.2465280573836066e-21,1.9344268742360414e-19
PDGFA,1.66552028348638,6.156235038951302,157.41064248681437,1.5333843908177929e-21,2.336320217282383e-19
CTSC,-2.1220581416163604,8.581373613353348,156.8704514778276,1.7196411436267706e-21,2.573320139927203e-19
IFITM3,1.4601373669451754,9.008111093616929,156.48603891791336,1.819861565355327e-21,2.675515775031165e-19
SERPINH1,2.037457990289243,5.887831670109956,150.45921438156955,4.2687497051062016e-21,6.167607332549995e-19
FAM83D,-2.344714789360298,4.632266680578827,142.4689335209762,4.584698722891918e-21,6.5118263216668255e-19
POF1B,-1.681477038292251,4.886736472763249,145.71145825283534,4.851293339504577e-21,6.775639697508058e-19
IFITM2,2.5566946593411615,4.533629574133057,143.40234301595657,5.0947771515866e-21,6.999054513163232e-19
NIBAN1,-2.7771105320747056,4.323021338765361,139.0149691296737,5.6477416774904e-21,7.6335605253821855e-19
RGS17,-1.924757817607053,4.531144858609539,142.12512456950145,5.771702618197423e-21,7.677280625475302e-19
BICDL2,-2.0723965888313103,4.909449213283735,143.23419541160337,6.195599081596725e-21,8.056813371403578e-19
