,logFC,logCPM,F,PValue,FDR
INHBA,1.9409109936553852,4.163458635583439,26.404698936438358,3.875710797758135e-06,0.03199786834629116
RERG,-2.503394172139333,3.9156454542913797,19.92989106507981,4.027240113549019e-05,0.12922655164749725
LHX6,-1.1400120489307255,4.4097376451388675,19.90541961704042,4.695732254632894e-05,0.12922655164749725
PLA2G7,1.1347518759312822,4.256251525347533,16.71140701733013,0.00015091072234123924,0.3114797309123178
PI4KA,0.762194371612999,3.6428172595942994,15.861065611811943,0.00020363593994745667,0.33624366404124045
NGF,-1.5404586910455755,3.9999634336851635,14.581745132671406,0.00035740431627618316,0.4052799012403713
ADH7,-1.296151510339607,4.628918824633763,14.55866950298137,0.0003843626206620879,0.4052799012403713
SVIL,0.5105755037423088,5.617155732446702,14.586529107959766,0.000392713082597259,0.4052799012403713
SNTB1,-0.8419500485881958,3.866952721012587,13.564903285773685,0.0005470598067671289,0.5018361960743796
MORN2,-0.4375739194254425,5.39455917330608,13.288254408251857,0.0006702799633264512,0.5533831377223182
ENAH,0.6125632579733438,5.314016087480947,12.884966068649957,0.0007836091419828944,0.5881342796555251
SCARA3,0.8299599124993133,3.897216612497996,12.349341677451678,0.0009090473853295627,0.5894421895392146
MEG3,0.7403686131222896,6.304323239598116,12.51130047720785,0.0009292823129818936,0.5894421895392146
AKR1B10,-1.5342003084149818,3.540264701076537,11.948489065703834,0.001058848439547815,0.5894421895392146
EXOC6,-0.583471638566162,4.967638596214252,12.13791042134854,0.0010753819227291277,0.5894421895392146
LINC01091,0.8272102193194378,3.8763082293224826,11.802052992977668,0.0011525832240808923,0.5894421895392146
SGK1,0.8622073495525315,6.7368393912034366,11.88867743335792,0.0012137254387314255,0.5894421895392146
RNF165,0.7096613043639044,3.9826616419467062,11.357051853457941,0.0014123345600233793,0.6477907848640567
RASAL2,-0.6521638818843469,4.12139061702822,11.174282916229146,0.0015694341404161381,0.6500622522531042
FZD10,0.8709626758574698,3.912066341828004,10.946525609180233,0.0016883157126480481,0.6500622522531042
ACSL4,-0.6258526646025875,5.864405424481294,11.111727159441235,0.0016908859354490737,0.6500622522531042
SLC7A1,-0.712652676477528,4.9610546487576785,11.020929619652515,0.0017322395287752293,0.6500622522531042
PEG10,-0.8651025900626543,5.821728656808612,10.947197002929345,0.0018209312064762086,0.6536351322029381
TEPP,0.9399685097951864,4.075475140670905,10.514464736614071,0.002061187326662878,0.6830650398352119
AC018521.5,0.795802020856117,4.002416797479741,10.519109120333871,0.002068389776632788,0.6830650398352119
NR2F2,0.5306941068064587,5.761141770731008,10.548602400092612,0.002157082100456425,0.6849565315910864
FRMD4A,0.5495856570464123,4.281043210806439,9.981060480992872,0.0026779518123588447,0.81885815417906
MAGI2-AS3,0.8363569940722984,3.8787233836656805,9.836194561215208,0.002780937288807405,0.8199792234426405
SERPINE1,0.6764278444386187,5.081309950967129,9.862553021563023,0.0028979593010654806,0.8250190341240209
TMEM181,0.5200186013275534,4.379991432061442,9.516038252510423,0.00332131002305099,0.9140245183436324
FGF19,1.2085838555923787,6.5182324362128305,9.21383719060607,0.003925865387844119,0.9998174223332938
EREG,-1.2033286300097632,4.07245351836721,8.715395642653913,0.004750389715011871,0.9998174223332938
KANSL1-AS1,1.0782636655583115,4.153406668205968,8.407054775492254,0.005469091550819412,0.9998174223332938
AGR2,-0.7019503190674493,8.257974505278765,8.444353572715318,0.005600198744054254,0.9998174223332938
CTDSPL,0.5659888784336508,4.2782415442516575,8.144698607922617,0.006232496415772914,0.9998174223332938
ITGB3BP,0.5388294359547594,4.4561871119937555,7.941350697274566,0.006908995816017418,0.9998174223332938
ARHGAP8,-0.6677887509848017,5.635530690474427,7.935367627697585,0.007082023317178511,0.9998174223332938
CLU,0.6420295667831052,9.59097820867229,7.689410564375904,0.007977164343383582,0.9998174223332938
C2orf74,0.5239320646030312,4.900549111947907,7.387764384950128,0.009102850631578644,0.9998174223332938
PLPP3,0.5636776892558929,4.632542532925974,7.319669832416861,0.00932063882062743,0.9998174223332938
CHGB,0.6362343078879704,3.7068105363725676,7.193583449664629,0.009679925234750721,0.9998174223332938
IFFO2,0.7061900825929962,3.5679915951489827,7.087341946706135,0.01016971857571323,0.9998174223332938
FOLR1,-0.7584074160026472,4.507607977726988,7.112726195830246,0.01035913740386676,0.9998174223332938
