,logFC,logCPM,F,PValue,FDR
CLCA2,-1.3626434763989492,4.468712535846665,22.839141936780962,1.350357961210707e-05,0.0590502719125701
ITPKC,0.5882039094830555,4.404291121263237,22.203679900481113,1.7084112216566925e-05,0.0590502719125701
SLF1,-0.8153916890603982,4.3523679076313435,21.17815612231041,2.513312007251605e-05,0.0590502719125701
C6orf15,-2.4393419756824706,4.552773473697031,21.038985062183748,2.59852455294178e-05,0.0590502719125701
PLEKHA5,-0.5649995095669058,6.844702092404405,20.76190690773309,2.9522183737911258e-05,0.0590502719125701
DUSP2,-1.9793467261857576,4.4001445676876925,18.519896823538442,6.890198842852488e-05,0.09572143847125669
GSN,-0.7911155178836138,9.339418672153952,18.40034869283546,7.323922806996097e-05,0.09572143847125669
TCN2,-0.8535815987279745,4.963302064060349,17.933640912469727,8.826345510006444e-05,0.09572143847125669
CALML4,-1.1674748425738095,3.732702721668596,17.80962393845918,9.014969113010915e-05,0.09572143847125669
CD200R1L-AS1,1.3555772251408873,2.7730784236825023,17.457852961994,9.571186728452824e-05,0.09572143847125669
GALNT6,-0.6531387091506,6.74561141568194,16.462706780148846,0.00015870209318648033,0.14428905763254452
SLC4A8,-0.8968029936743439,3.209411217872025,16.07340796220166,0.00017703878962156117,0.14670465892513954
RGS7BP,-0.9577600063352669,3.895180309838729,15.974870128099678,0.000190696986903991,0.14670465892513954
HPGD,-1.342399844114981,3.448974257870521,15.204602760494195,0.0002444037092553607,0.17459153544734732
SCRN1,0.621405866046442,4.5004578192131515,14.94489538918685,0.00029497030077188833,0.18819802301520722
TGFBI,0.9054413059744094,3.4339474043170455,14.665777543467273,0.00031824617337574725,0.18819802301520722
CCDC80,0.7616632503635735,6.309344406415205,14.626769038727582,0.0003379610559235462,0.18819802301520722
SERPINB3,-1.8867300018892368,7.368209970716312,14.619709692445527,0.00033872256917045595,0.18819802301520722
EFCAB2,-0.6638328406374742,2.9660781414649717,14.336333849165289,0.00036155439917940436,0.18854689365629806
HEY1,-1.1413177431773238,4.837953052119473,14.365557007530663,0.0003770560817044257,0.18854689365629806
SCN9A,-0.6451974333454062,3.223286469089164,13.794566897761532,0.0004627869778372332,0.21626287205004713
SLC16A9,0.7042591752412674,3.6160426845474376,13.643669555610096,0.0004976059015774438,0.21626287205004713
KIAA1324,-1.1244773949180469,4.226222082059581,13.65466830297743,0.0005060705732645969,0.21626287205004713
TENM4,-0.7374475680886869,3.952593659297676,13.504717284645293,0.0005378676948693031,0.21626287205004713
ANKMY1,0.5494252634647485,2.8347849532773806,13.36448240235031,0.0005406031198131365,0.21626287205004713
SCIN,0.9104181948097553,2.8813560619637695,13.129158855862801,0.0005901598914534592,0.22700727209330943
FYB1,-1.1946350270906976,2.8946460666754583,13.067471232521369,0.0006197385861079572,0.22955576295058072
CTTNBP2,-0.7481693661370666,3.270049137403482,12.807482853520947,0.000709269748722762,0.2482544510533943
MAOA,-0.4320363489994889,5.394511048133018,12.849575362947487,0.0007198659214626971,0.2482544510533943
CFTR,-0.9165088458733841,4.195458133411095,12.70400187775657,0.000761611164296001,0.25389577513747685
ELP5,-0.5431749440805674,5.356934838057491,12.610057915101452,0.000798650241230112,0.2576548729852371
BATF,0.7830060869978258,2.9248126057773347,12.409514295798393,0.0008244208217422645,0.2576572699451371
PTPRE,-0.6600799211256353,4.734383709015994,12.28801081269062,0.0009175241911169539,0.26874165564073027
HMGB3,-0.37778180988357346,6.649957365130725,12.255909005464915,0.0009304331298261436,0.26874165564073027
BMF,0.6562617340585525,3.4418446224728285,12.172865219148324,0.0009405017445680992,0.26874165564073027
GSTA4,-0.5511908074222779,5.978159060419453,11.899364145607363,0.0010887807074740556,0.3024693293180008
MSMO1,0.4764320052631993,7.289546948510282,11.324403792710857,0.0014029925396751948,0.3792250916024763
BX284668.5,0.7321976532107491,3.206030665101871,11.165868095633703,0.0014600463347180961,0.38426114193462313
