,logFC,logCPM,F,PValue,FDR
ADH7,-1.3821818192032267,4.880833150541,20.500760034767502,3.8197009674482997e-05,0.28926595426485974
C6orf15,-1.8934700169567311,4.33941113371395,12.20457875754689,0.0009821870766589939,0.9995973254348122
MPI,-0.7975404693601172,4.408646011395675,12.109502214745048,0.0010541167263089196,0.9995973254348122
SH3YL1,-0.7759340560258352,6.55614696540289,11.771393142754127,0.0012998685772833735,0.9995973254348122
ELP5,-0.571986862868837,6.192344869977732,10.064569637505839,0.0027219500934537962,0.9995973254348122
TUBA1A,0.8602236898740522,5.8691621896408055,8.696166105180696,0.005048142255656188,0.9995973254348122
NR2F2,0.6374991061737157,5.194246675737234,8.623668044908726,0.005192594847212725,0.9995973254348122
OSGEPL1,-0.662852508122808,3.917316243850968,8.490266669735835,0.005257074292821875,0.9995973254348122
MAEA,-0.44062843207076086,5.661803451483125,8.508919195242258,0.005475145817962551,0.9995973254348122
LHX6,-1.0178162757978257,4.187736015274906,8.276430275421827,0.005847193547628893,0.9995973254348122
TRIM4,0.7461531517111822,4.593893092981734,8.119557692807083,0.006490645811019674,0.9995973254348122
CBX5,0.4099814449833111,6.992982571736043,7.824493710999486,0.007568147252555197,0.9995973254348122
AC016747.1,-0.8466512440238148,3.720207511848681,7.676705083828692,0.007692298264751795,0.9995973254348122
DHRS1,-0.6504497200121937,5.238433808594426,7.664933148050705,0.008059109919291062,0.9995973254348122
EDN1,1.3994210684984232,5.204898279867469,7.6397605003171725,0.008222140271318738,0.9995973254348122
MLX,-0.49051480128021524,6.170037035182213,7.609470422345864,0.008359569761815459,0.9995973254348122
SARS,-0.4566450357349853,7.046846500124548,7.487238139141392,0.008872177651317715,0.9995973254348122
GEMIN8,-0.5632990182927015,4.30381060332481,7.112500652110434,0.010290191586520597,0.9995973254348122
MCAM,0.7102320768559188,3.600472476001484,6.957695105903153,0.01094154632396651,0.9995973254348122
RAPGEF5,-0.9538392690210006,4.268625605823371,6.922968229120931,0.01119658957404044,0.9995973254348122
CYB5B,-0.4289059998545216,7.005840166743631,6.93009318379795,0.011583950786226283,0.9995973254348122
AHNAK2,-1.3551657407050164,4.838721651949479,6.697550470787554,0.012622646709295466,0.9995973254348122
UBE2H,0.6601905061570664,5.310582827262918,6.589814976836608,0.01362934949578052,0.9995973254348122
SAR1B,-0.3858518516468513,6.054373040850952,6.581295336203252,0.013701936289661485,0.9995973254348122
DHRS4L2,-0.7489399438196841,4.282719487721599,6.4641980978915825,0.014138131055398979,0.9995973254348122
KRT16,-1.577153961074996,7.038838220899538,6.49854691822563,0.014267830520170667,0.9995973254348122
ROBO1,0.635789029785355,4.576635247121266,6.389390116025663,0.014912599164836575,0.9995973254348122
CFD,-1.0698646828814318,3.8026588586997496,6.280135916550201,0.015306623715820731,0.9995973254348122
PLAUR,0.982987828214539,4.510101784521589,6.326552882568103,0.015367529790218791,0.9995973254348122
FNBP1L,0.5267279521104301,5.21867396256,6.257702721601927,0.01603358948425796,0.9995973254348122
DYNC2LI1,0.4987748695702352,4.175014258197746,6.1589443736646015,0.016556125460437724,0.9995973254348122
CYP1B1,1.0624854307835834,5.061457012576932,6.171657167717586,0.0167211279456027,0.9995973254348122
TAPBP,0.4254246503675658,6.115496796779673,6.148899815427168,0.016972503438190813,0.9995973254348122
GSTM1,1.6610199668596315,4.316756342017879,5.984220794393715,0.018030077227721805,0.9995973254348122
TMEM181,0.4724364357231598,4.05141409961004,5.891961189785155,0.018881002687121097,0.9995973254348122
