,logFC,logCPM,F,PValue,FDR
PI3,-3.838557609305718,7.573665020081345,17.959290437212168,0.0002817384794545959,0.9995928731877175
LINC00963,0.9305483445868942,5.976883070219948,16.19734272566617,0.00045498490229058607,0.9995928731877175
RAD51,-0.8480924011053841,5.415781297072584,14.296878575841582,0.0008568535774796899,0.9995928731877175
METTL7A,1.1122129647195755,6.116528080594175,14.144678974369286,0.0008998969390804597,0.9995928731877175
SAA2,-1.3999455439491617,8.662382828180201,13.182155802791565,0.0013153754000644212,0.9995928731877175
SAA1,-1.425966273849846,9.28349709770751,12.256034011965763,0.0018173961712211874,0.9995928731877175
SCO2,-0.7849926291362976,6.028156578312863,11.958067103254784,0.001998369790834986,0.9995928731877175
SFRP2,1.1906825093224653,6.038380358754783,10.90009579120035,0.002844423790735071,0.9995928731877175
CAPG,-0.7520425842666549,6.2183982218782745,10.798327663913264,0.0030691211547041798,0.9995928731877175
PPFIA1,-0.7608677228526537,5.562585632766838,10.510599340956926,0.0033571697597532357,0.9995928731877175
SPTSSB,-1.1731061720337186,6.457004430773551,10.41193632626848,0.003563301460477299,0.9995928731877175
PACSIN3,-0.7688199620315854,5.41272747033336,10.14439615236233,0.003840053148097934,0.9995928731877175
KLK7,-2.5244064316635497,7.041940240921166,9.969181498549984,0.004228021650222026,0.9995928731877175
CSRP2,0.7389687612980472,5.458939946778521,9.740636795227811,0.004402111163206943,0.9995928731877175
DBNDD2,-0.8016746683656293,5.325451483304729,9.714211396536854,0.004512412804703696,0.9995928731877175
ID3,-1.0070926872128483,5.665441415563904,8.912760036575273,0.006262615691350395,0.9995928731877175
GSTM3,0.8071501093255534,5.260374134751212,8.654117695122752,0.0067731333026444865,0.9995928731877175
KRT6A,-1.4942701553577613,7.264523828366988,8.721060430533258,0.006898296835774083,0.9995928731877175
TIMP3,0.9141827990183614,5.8590877855635,8.402569802522539,0.007611381185419759,0.9995928731877175
KLK11,-0.879659310662797,6.985403559895,8.318906019957538,0.00811244453537478,0.9995928731877175
FEZ2,0.7653472324589871,5.455565806260576,7.7028916493847,0.010119855129163472,0.9995928731877175
GSTA4,-0.8066995264847318,5.592986397666439,7.71146822760006,0.01024308921800051,0.9995928731877175
CKB,-0.9982454841857281,7.636496575169207,7.317774938350567,0.012305213620823105,0.9995928731877175
EXPH5,0.8397999806944905,6.495673185136759,7.2732648765616466,0.012402016240997467,0.9995928731877175
VHL,0.6319519621751644,5.640898366170469,7.000320181618699,0.01375811865534413,0.9995928731877175
MTRNR2L12,1.7042417262495755,10.19572663115994,7.024846690880037,0.013935260756842706,0.9995928731877175
KRT4,-2.0978494599993986,8.810197656835456,7.019791019215223,0.013967395038447848,0.9995928731877175
NUTM2B-AS1,-0.6676862113699291,5.196816544954545,6.933418565986541,0.014152635491852823,0.9995928731877175
KRT5,-1.0124174256821177,9.697248229258301,6.849262436960424,0.01503229148579463,0.9995928731877175
SPC25,0.71242859839941,5.737726755006197,6.798396674257212,0.015047536593936619,0.9995928731877175
CENPE,0.599432743498003,6.297922410681885,6.801290897638272,0.015190813469331248,0.9995928731877175
LYPD2,1.8805086016100159,9.982090667949214,6.805552142782552,0.015325574684472905,0.9995928731877175
ELP5,-0.6964551617184896,6.105052725715672,6.753325818821513,0.015559321804821332,0.9995928731877175
PARP14,0.7325514083260949,6.088576347901367,6.638942762069422,0.016243482558024536,0.9995928731877175
BUB1B,0.8803125232845195,5.529489256246876,6.608136597519553,0.016278043125400495,0.9995928731877175
CRIP1,0.9764925439235916,6.917641953905157,6.455825782547421,0.017769620283503446,0.9995928731877175
MT1E,1.005889645850765,5.897430268871317,6.359984224634214,0.01828692939941542,0.9995928731877175
CDC42EP1,-0.6943101723629087,7.176855943317876,6.320553190725307,0.01897838113957197,0.9995928731877175
TIMP1,0.581265620913549,7.626515836581163,6.29952906707272,0.01914303161136122,0.9995928731877175
S100A16,-0.5511935629611695,8.748641756887206,6.276588232639298,0.019341309484143074,0.9995928731877175
TLCD1,-0.6599785502341654,5.56777050818469,6.231778660568973,0.019483921078443024,0.9995928731877175
MSI2,0.6979846143747731,5.948341230313337,6.2235980584808495,0.01951781593962627,0.9995928731877175
CCAR1,0.5555611218759869,6.864883584615226,6.240847278786081,0.019593980378103712,0.9995928731877175
STRA6,1.035991000856148,5.784424931052181,6.184480960451706,0.019730905842173303,0.9995928731877175
SLC35A3,0.5000448993314638,5.539809692320165,6.173912246208902,0.019844493771326386,0.9995928731877175
TNFRSF12A,-0.8409754590630746,8.101211170979882,6.052165535881612,0.02139374139388484,0.9995928731877175
IMMP1L,0.676425281480905,5.342798919552692,5.932658267084279,0.02206238774072698,0.9995928731877175
MFGE8,0.7171621311303296,5.677461572050724,5.8438420564670785,0.023081762859442106,0.9995928731877175
KLK10,-1.0079592501138974,7.759973438771507,5.863840128602627,0.02330108115102481,0.9995928731877175
GLIPR2,0.6146008047312603,5.605413529134764,5.722966585433762,0.024362525446628997,0.9995928731877175
KIF20B,0.5539360383187807,6.841276163706877,5.741522303117608,0.024556816747841576,0.9995928731877175
PHGDH,0.5003846403284251,7.428917011015709,5.665600930449252,0.025489265038204676,0.9995928731877175
GCC2,0.5481133489515972,6.230809487076274,5.578025558011193,0.0263341783506314,0.9995928731877175
MUC1,0.8184574809167188,7.478739370894857,5.571464034427553,0.026606140149545838,0.9995928731877175
MTCH2,-0.5106714275112473,7.307980838057371,5.514956593097072,0.027345066833190133,0.9995928731877175
ASPM,0.5100496206461219,6.690551397839848,5.488618177755324,0.0275710169045863,0.9995928731877175
CEP295,0.6408103729449927,5.39477109914487,5.32528494923233,0.02929904949930789,0.9995928731877175
RBM23,0.7774297305452591,5.72093063025278,5.278998317662678,0.030050376203297636,0.9995928731877175
SH3YL1,-0.6038910810373591,7.0221113963577775,5.305563171432578,0.030137535180654543,0.9995928731877175
LAD1,-0.6489369753476272,5.829585488066214,5.242657144545164,0.030870038036592114,0.9995928731877175
TMEM246,-0.544268411379575,5.444974603635752,5.229606218060727,0.0308751858230181,0.9995928731877175
DICER1,0.5365304253027712,5.727429498728224,5.183856212730515,0.0314947850071145,0.9995928731877175
HIBCH,-0.5184797155629083,5.682806148147955,5.173149062525462,0.03179376741594284,0.9995928731877175
AURKB,0.5067603003614664,5.815906912135285,5.132520359312081,0.03228321198414915,0.9995928731877175
GSN,-0.4584344483291344,8.794102513030214,5.15092400779227,0.032400695927638445,0.9995928731877175
TTF2,0.5462696031661963,5.843257733718961,5.102108043658761,0.03278055598344105,0.9995928731877175
MT-ND6,0.9547586424116175,9.051196918046529,5.109866052996072,0.03303923630818858,0.9995928731877175
IGSF8,-0.6408674804634452,5.73259437400172,5.088389584111873,0.033159894498667894,0.9995928731877175
CENPF,0.5199859769641139,8.24958731210112,5.102489265520831,0.0331602405681454,0.9995928731877175
SPPL2A,0.6221383517991691,6.050597149043161,5.071305927067,0.033334593171638956,0.9995928731877175
MTFP1,-0.5913534322218992,5.740831847013245,4.961834042813607,0.035212623387171085,0.9995928731877175
MRPS2,-0.6023526785350066,6.130893538621417,4.966806593939874,0.035252296629945085,0.9995928731877175
THOC7,-0.39125417732094436,6.679052272335238,4.970271189448481,0.0352780472789683,0.9995928731877175
