,logFC,logCPM,F,PValue,FDR
LDOC1,1.0260568622032142,5.722645812426866,18.113523487229834,0.00013925597393796686,0.5961548244284361
ZSCAN31,1.1291396644804308,5.509964415612493,13.304866982899288,0.0008083055094407249,0.9997210797592879
ABCA5,-0.6622747971123264,5.430725147409809,10.607260003682299,0.002439730215658285,0.9997210797592879
RUNX1,-0.6018785091282205,6.66916169911593,9.077981564731317,0.004806623361871786,0.9997210797592879
EBP,0.6057844434176644,6.768344331949827,7.842954800164632,0.008292305453099332,0.9997210797592879
ABLIM1,0.8205887062495408,6.420444907789502,7.807328045497378,0.008337109455904013,0.9997210797592879
CCDC80,0.8038215573106585,5.8765408471837715,7.809014177187027,0.008392036321270696,0.9997210797592879
TTC37,-0.6471873275076042,6.001579818089782,7.735589732198877,0.008671248892112552,0.9997210797592879
TMEM9,0.5539234118181324,6.450863213639106,7.47093267635324,0.009800063499723845,0.9997210797592879
HLA-DRB1,-1.149822005598971,6.100636335569947,7.358848167758131,0.010253418572885963,0.9997210797592879
ZNHIT6,0.6315233491411222,5.508479616534044,7.319856862686549,0.010424759579966138,0.9997210797592879
MSLN,-1.128838833572087,5.956786543972517,7.195414796380776,0.011017295799443962,0.9997210797592879
CD55,0.7556649056604894,6.970714439136897,6.95477997276742,0.012400908264892107,0.9997210797592879
CDCP1,0.6384751655799864,5.61114370243339,6.871802395333011,0.012705335067684566,0.9997210797592879
ELP2,0.6059806074679007,5.468175167278803,6.859528092758556,0.012847763911259486,0.9997210797592879
AAGAB,0.522296580369234,5.710622026759977,6.751877707922314,0.013586998174773544,0.9997210797592879
ZG16B,-0.6333028430815772,7.38563440720489,6.748686326140073,0.013692195802985214,0.9997210797592879
STAU2,0.6235439393661113,5.524820101573743,6.672575871368559,0.014045542942329332,0.9997210797592879
TCN2,-0.7172798335764164,5.752083033749082,6.639656059580549,0.014312794790029594,0.9997210797592879
PSMD1,-0.47061939285390375,6.337380027795272,6.6341507322654545,0.014416003216401671,0.9997210797592879
CYP20A1,0.4642841988265389,5.362834613110988,6.490609937221656,0.01524376523337463,0.9997210797592879
MGST1,0.4072055805104602,9.885050632557483,6.491974082956178,0.015422914161060558,0.9997210797592879
RGS7BP,-0.6961747420313082,5.536575067607996,6.4225108600691545,0.015807521743641494,0.9997210797592879
HK1,0.5287709789636419,5.5138909519371095,6.326502236359822,0.016379513714364826,0.9997210797592879
ADM,0.925976381727555,5.583505913602103,6.263784020086299,0.016903753877669504,0.9997210797592879
DMAP1,-0.4281577962847726,5.431787489913413,6.2250805476480275,0.017284136214199372,0.9997210797592879
MUC5B,-1.123027918521407,8.52246754431226,6.015664130404221,0.019358969629284246,0.9997210797592879
CDC26,0.4784152957428017,6.068299061513112,5.8150653391073535,0.021255089610435273,0.9997210797592879
GALNT6,-0.47859732061359295,7.759720201610501,5.68185556836637,0.02276224745560079,0.9997210797592879
NRIP1,-0.6577200912773341,5.3146064405339795,5.637370330991488,0.022837916775131962,0.9997210797592879
MIR200CHG,-0.5988837607673387,5.883139718182523,5.646616000119927,0.023075757752326786,0.9997210797592879
SAA1,-1.3309565117650866,6.999240303591416,5.603791923860377,0.023672494486568347,0.9997210797592879
FCGRT,-0.6703755158322543,6.2666496708423,5.497496207225541,0.024896408942952506,0.9997210797592879
S100A8,-2.347984678745293,8.378217701038068,5.40451821391725,0.025643049151246225,0.9997210797592879
LITAF,0.44042719847437095,7.726494202826951,5.095078827622301,0.030408116943649588,0.9997210797592879
AKR1B1,0.4763030214940627,6.105058060189597,5.077512573933337,0.030533102398360438,0.9997210797592879
GSN,-0.3925518121641167,9.246765592876818,5.0471066863479335,0.03113354697260687,0.9997210797592879
TRAPPC2L,-0.36639356934126205,6.66930574901922,5.016380154995824,0.031623176901931956,0.9997210797592879
CKAP4,-0.6304801088180227,6.247011632677423,4.98928905051646,0.03201924532447025,0.9997210797592879
CXCL2,1.235417508793411,5.825853712407991,4.865411259617912,0.033687723813367286,0.9997210797592879
C2orf74,0.5422219889638988,5.489350539643685,4.837924032276187,0.03435747174773475,0.9997210797592879
CDKN1A,0.5275556600108483,8.66090940606231,4.7694818129646945,0.03582309889371041,0.9997210797592879
ILDR1,-0.5508318047346202,5.383698734845271,4.734836994983646,0.03608876353957246,0.9997210797592879
AP2M1,-0.31731665159493505,7.783024382831725,4.709524700831578,0.03694469956862523,0.9997210797592879
TMEM246,0.43405022065427823,5.798896859274854,4.682686329932705,0.03708606456362847,0.9997210797592879
PEX11B,-0.32494183704305135,6.064667948158311,4.691620769744901,0.037195674305649726,0.9997210797592879
EIF1AY,0.9709211888795253,5.381474071691365,4.653575984247587,0.03743528575864081,0.9997210797592879
RUVBL2,-0.39895863829923184,6.079795115700179,4.662748199217127,0.03773369964506042,0.9997210797592879
ST6GAL1,0.43388459274794733,6.823806145258238,4.651422794719945,0.03805880493616033,0.9997210797592879
TMEM53,0.4491242098094038,5.529072345704469,4.524894633385218,0.0402365022138896,0.9997210797592879
HOMER2,-0.5710627517986172,5.324975814123447,4.438375935772116,0.042064385685517625,0.9997210797592879
RHOC,-0.29286555248034807,8.731483663339365,4.392218862734774,0.0434714150176795,0.9997210797592879
PNPLA4,-0.419681630727815,5.733267581441584,4.36227398404117,0.04406193930854242,0.9997210797592879
S100P,0.6212465841126541,9.5560375617288,4.353401019682518,0.04435051316474548,0.9997210797592879
SAMHD1,-0.6174623648660184,5.381906200469501,4.313118902403714,0.04495815022402556,0.9997210797592879
STRAP,-0.3148958419340476,7.0327742807788125,4.2625911857395025,0.04650876923288488,0.9997210797592879
ARL16,-0.4883703157706322,5.512847946261021,4.2493687186659415,0.04659683292617495,0.9997210797592879
DHX9,-0.41255436398716655,6.32122616882842,4.196088352553321,0.0481420314489525,0.9997210797592879
SNRPN,0.5403178106586237,5.6828716483256185,4.181887916710893,0.048335189329928856,0.9997210797592879
SNHG5,-0.5855633661095083,6.318062160386234,4.176089662403232,0.048397888496678754,0.9997210797592879
