,logFC,logCPM,F,PValue,FDR
SLC34A2,2.1724038664983905,5.293810192559856,23.817639255089954,8.514770473556783e-06,0.05620599989594832
LDOC1,1.3105059371959136,5.087356653789495,19.724694024212866,4.0497295139343204e-05,0.13366132260740224
CXCL1,1.9627825687155698,8.405450015050809,18.425114719161467,7.188446621510384e-05,0.15816978716196683
FAF1,-0.8465498690543394,4.715812050950289,16.30005552708531,0.00015342552900997884,0.23739804752244098
TNFAIP3,1.3056806324761663,4.884491928759731,15.988604933755676,0.0001798197602805946,0.23739804752244098
CXCR4,-1.6727910591236692,4.872585325228653,13.637250376455803,0.0004732595719767421,0.496983842120363
DDAH2,0.7506309193041494,5.450867415293941,13.520515659331908,0.0005270242228211697,0.496983842120363
BARX2,-1.015473739332588,4.208134939829674,12.8477852189718,0.0006500820889640568,0.5363989836564673
PHLDB3,0.9408597426210544,4.449219631703858,12.435797911350159,0.0008007181205722477,0.564923465835068
PJA2,-0.7213261029141183,6.044556735173612,12.357385258266966,0.0008766117733094879,0.564923465835068
CCL20,1.8045834342655696,8.650651096659535,12.216314596709532,0.0009413964738957352,0.564923465835068
CXCL8,1.4272457883002332,7.758294640966189,11.800263689635955,0.001131375897990137,0.5668714671513784
TNIP1,0.6462180714836382,6.018231195093197,11.474779392551527,0.0013026349433442833,0.5668714671513784
CXCL3,1.5081867676994074,6.053984513724917,11.304720102378,0.0014006776076507489,0.5668714671513784
SCD5,0.993728842800196,4.275533569487852,11.011463313721665,0.0015018094400279897,0.5668714671513784
SAA2,1.573587289599282,7.475390805154864,11.159664131746107,0.0015038376292943704,0.5668714671513784
CREB3L2,0.6820936312228008,4.550481424062425,10.569948793724354,0.001878140307247616,0.5668714671513784
CXCL2,1.525195801334178,5.3881718889843535,10.471549202018478,0.002015990048527571,0.5668714671513784
CHST15,0.7380104751876043,4.508940040389246,10.337194538028655,0.0020867841237872365,0.5668714671513784
LMTK3,1.1193274032995322,6.014742436947711,10.369562854404204,0.00214176713575559,0.5668714671513784
MX2,1.0984775192426546,4.350038384578417,10.169263841999316,0.002229377881478296,0.5668714671513784
PLAU,1.1779189273423385,7.0973357095383625,9.99161331949074,0.0025550286402360334,0.5668714671513784
PXDN,1.0828202623799694,4.854076369316336,9.927878138340207,0.0025558111726168096,0.5668714671513784
RNF19A,0.6650107784637346,5.9724816940054835,9.95492942950949,0.0025868066654573863,0.5668714671513784
ABHD4,-0.8484697097956632,4.543453654657437,9.859992961935873,0.0025891909953125033,0.5668714671513784
DDB2,-0.7235200585223441,5.1993782647417985,9.80016191002495,0.002723954076599547,0.5668714671513784
SERPINB2,1.0376817928100865,7.971932301762017,9.841577800130956,0.0027352601948827837,0.5668714671513784
MATR3-1,-1.0010885183381388,4.840109525851896,9.703072720371207,0.0028091952133756704,0.5668714671513784
GOT1,-0.6560864448510212,6.247034669217399,9.723961834782573,0.0028745546003632327,0.5668714671513784
DEFB1,1.047907843058336,7.21784089902079,9.704450115944242,0.0029150220774440973,0.5668714671513784
RNF213,0.7403565748609251,5.596656525118524,9.673538813196476,0.0029335659778160416,0.5668714671513784
MT2A,-1.2414588512461522,7.822689431474544,9.6852943221348,0.0029394505729621874,0.5668714671513784
AC090004.2,-1.6943173721669036,4.409717175702174,9.522563198223185,0.00299315075848691,0.5668714671513784
