,logFC,logCPM,F,PValue,FDR
LYZ,1.6963199506545057,6.305583362022651,20.52111879686943,5.7431426182180244e-05,0.13660951168567945
HSD17B13,1.3937864580243322,5.752697194941266,20.166701567547626,6.379784235983649e-05,0.13660951168567945
MAP3K2-DT,-1.2069419804242818,5.465415585490788,19.269541104192196,7.867700807391791e-05,0.13660951168567945
SERPINB3,1.338125636335318,6.411105151108897,15.256274275260806,0.0003788967063723334,0.49341823587337114
MUC5AC,1.2858737433437712,5.6281277968513015,11.517706126722505,0.001610879483008932,0.9998544078285625
ELOVL5,0.6836104864470776,5.778377151475874,11.021759187359082,0.0019902888101087286,0.9998544078285625
ANXA3,0.6676691162497483,5.886199922877013,10.390311100739183,0.0026031468669749543,0.9998544078285625
RRAGD,0.6631115699536174,4.980731721305883,9.888003067418968,0.0031371592306768566,0.9998544078285625
NET1,0.4320202420758526,6.6418957429505925,9.398238521832516,0.004025971805443952,0.9998544078285625
SOCS3,0.9541793496066091,5.44806661103238,9.199479160940106,0.004312548821661289,0.9998544078285625
KRT23,0.8692910661659503,7.1049242448188,8.98839879824746,0.004817144066796663,0.9998544078285625
STAT2,0.5837863834804969,5.1883772230320595,8.706923273693358,0.005325954050003316,0.9998544078285625
MSMB,1.1058904882480074,7.877813712754282,8.676961689241617,0.0055264868821945255,0.9998544078285625
KRT17,1.5466189432028619,6.917246252207096,8.546396249705994,0.005839387193116233,0.9998544078285625
S100A2,1.1597640853696862,6.364585561590015,8.430450713336201,0.006116870254322196,0.9998544078285625
SERPINB2,1.4588432706989702,5.215281066752787,8.333307219781387,0.00628417353590196,0.9998544078285625
S100P,0.5490981894335503,7.354513019410513,7.612905375107679,0.008935650181063815,0.9998544078285625
SLC16A5,0.4767058702041012,5.710515790623116,7.461001716127905,0.009498299297226336,0.9998544078285625
AL121944.1,-0.5984735178294757,5.283600778064178,7.310927957001572,0.010006980912751234,0.9998544078285625
GBP1,0.6612182171593828,7.309518876465942,7.309215858184837,0.01027547576600237,0.9998544078285625
WAC-AS1,-0.6453969472190555,5.379921217691815,7.2108310693352085,0.010502176049710328,0.9998544078285625
LINC02562,-0.7016571570614962,5.753115497608571,7.029075344223573,0.011533619734105377,0.9998544078285625
CDC16,-0.38146941749974067,6.921710572839407,7.050840435378711,0.01157919966340594,0.9998544078285625
CFAP97D2,0.6501806050932909,5.888883507254496,6.770669676843531,0.013148775845779177,0.9998544078285625
C11orf88,-0.35654617098046687,10.146519839494278,6.628267731176834,0.014132747287640232,0.9998544078285625
MAP3K8,0.4727583820536689,5.384301821256429,6.518395404451967,0.014715353784810117,0.9998544078285625
SMPD3,0.47350491379456355,5.7100957639197585,6.475443974751475,0.015115917774005795,0.9998544078285625
AKR1C3,-0.423476001853132,6.860470744009951,6.446480916096143,0.015402491750758278,0.9998544078285625
AZIN1-AS1,-0.5480612768922263,5.967044031279425,6.39663258859538,0.0156580336891021,0.9998544078285625
ST3GAL6,-0.45471344623440474,6.635800764140565,6.38661100057769,0.015839390820541092,0.9998544078285625
MSRB1,0.45190932580911203,5.769400406572317,6.097711717735834,0.018147116015593087,0.9998544078285625
SEC23B,0.5411933630253993,5.443043960053106,5.971741095348634,0.019219012612306824,0.9998544078285625
EIF5A,-0.5822045592151479,6.892260963844972,5.981310101700353,0.019284323265049638,0.9998544078285625
ATF3,0.42719277497845737,6.775279525725764,5.949426748429857,0.019600146965113707,0.9998544078285625
TRA2A,0.46095847295631603,6.317416168748343,5.9183970126130925,0.019864404710867502,0.9998544078285625
PNPLA4,-0.5664422864133917,5.710591756973328,5.769375528068207,0.02117332791140351,0.9998544078285625
PROS1,-0.5055093242362785,7.721160121104458,5.710867930897129,0.022031245262214425,0.9998544078285625
USE1,-0.5153944783329507,5.053921738427653,5.651852653123449,0.02222626543816876,0.9998544078285625
GID8,0.44362117727014005,5.5064157014089625,5.675296548513093,0.022249944559357374,0.9998544078285625
BCAS2,-0.3586885937792204,5.882167744247995,5.676160399055333,0.022259662542541227,0.9998544078285625
ZFAND6,-0.3566642980123251,6.939824360113645,5.633663753485886,0.02287127384817378,0.9998544078285625
IGFBP2,-0.5066392442787602,10.115635845008033,5.558629681762406,0.023736687289299837,0.9998544078285625
MRPL2,-0.4945223179739014,5.198721887825488,5.5092234079065685,0.023926438171974623,0.9998544078285625
AHCYL1,-0.37781525867952537,6.75559125202123,5.539401072347063,0.023953914422281383,0.9998544078285625
ALOX15,0.448183839257076,8.559535212182466,5.463689633714442,0.024885061821013736,0.9998544078285625
HMGCL,0.4976746413539009,5.676342001103169,5.416932766598434,0.02535946547463664,0.9998544078285625
CHMP2B,-0.31484094737002216,6.93529976870201,5.4191903149445855,0.025438835287637566,0.9998544078285625
PKIB,-0.4518295655807982,7.1561825538813055,5.408691647878633,0.025569855165147173,0.9998544078285625
RIN2,0.4076718297123173,5.5257741808161285,5.384202362479804,0.025728720257992114,0.9998544078285625
PPP2R5C,0.3381936227359198,6.660571669127439,5.393084227698443,0.025773483736272598,0.9998544078285625
GRAMD1C,0.3805381936179865,5.7960880622431885,5.3841008578131335,0.025797604339956568,0.9998544078285625
PPIL4,-0.3710239776692995,6.357574099638216,5.301706163225471,0.026915480857606013,0.9998544078285625
LMO7,0.3203677418827281,7.9285266443210265,5.305745348311947,0.026931129409276305,0.9998544078285625
ERGIC2,-0.43007446814944944,6.150799244892036,5.279868521598647,0.027167104766359498,0.9998544078285625
PLEKHA4,-0.8976076505087396,5.807347093541032,5.266690026142828,0.027193526632095462,0.9998544078285625
RETREG2,0.4617938330431086,5.10873828429641,5.24992025851064,0.027356147002547754,0.9998544078285625
HBB,1.5537832099146816,8.864231997438914,5.252040112875173,0.027662106746604916,0.9998544078285625
TEX264,-0.3600105018176775,6.1386906658819465,5.243375904672847,0.02769052581688303,0.9998544078285625
PTPMT1,0.41265691824116013,6.074983219543282,5.2412419764031455,0.027761111660573927,0.9998544078285625
PRR4,1.3575866097220013,6.315634477753312,5.232426424190192,0.027813134373374297,0.9998544078285625
SLU7,-0.40740203437311884,6.038231081280723,5.1954205584359485,0.02831369440014909,0.9998544078285625
LKAAEAR1,-0.9338103658460095,6.2646913919061165,5.185610446265747,0.028454307665389474,0.9998544078285625
SH3PXD2A,0.4834498415594492,5.34497982208416,5.111718938217711,0.02944663261853133,0.9998544078285625
NELL2,-0.5869362850689422,5.820734433459211,5.0661808941959325,0.030173835052135486,0.9998544078285625
CTSB,0.3890504439035189,7.369145256019751,4.953418646489976,0.03217255444570665,0.9998544078285625
VAMP5,0.5175664348457403,5.611246261302131,4.906408854037199,0.03280143042418288,0.9998544078285625
TMEM181,0.5447876339122927,5.203129695428105,4.871627640222983,0.03322019397663243,0.9998544078285625
MYH14,0.36166617862357237,7.08437653173045,4.875198202006534,0.03348415534196409,0.9998544078285625
SCGB1A1,0.9037763977318762,10.663525818736652,4.851875326729814,0.03386407288615178,0.9998544078285625
ACTB,0.37356066324031995,10.26698532012519,4.767156128906068,0.03536486556757318,0.9998544078285625
PDLIM5,0.41364429336812325,6.072848779001419,4.75073232898875,0.03561225649220596,0.9998544078285625
METTL26,-0.46847861017922215,6.478996895238814,4.733026173662644,0.0359529567172536,0.9998544078285625
CDH1,0.33070900230663913,6.97597046371128,4.730096683221527,0.03605832490266392,0.9998544078285625
HAGH,-0.3055678167424769,6.894621170943233,4.697524679132091,0.03665318920646417,0.9998544078285625
EPS8L1,0.5296275428243968,5.429757782587592,4.672390788553223,0.036915476495611894,0.9998544078285625
TPM4,0.5698842585329621,5.4711146951585725,4.665217852860295,0.0370628529977129,0.9998544078285625
PILRB,0.7401454945180586,5.413203888148581,4.647344271430228,0.03740656034311201,0.9998544078285625
POLR2J,-0.4381682945040084,7.141900497852459,4.657094099920364,0.037425796208324986,0.9998544078285625
SLC2A1,0.4218962892276758,5.715322933436687,4.580836783654627,0.038806177597416586,0.9998544078285625
HLA-C,0.4458683799458832,10.287213799206702,4.570016431821245,0.03914594874332619,0.9998544078285625
COPS5,-0.3648289988806498,5.668447230439636,4.552192312815926,0.03927343123827185,0.9998544078285625
STAT1,0.4965521079825067,7.23000049073894,4.5621278358339366,0.03932184140040918,0.9998544078285625
ANXA1,0.47297777964965243,10.666030656355266,4.540155115514541,0.03975615960668942,0.9998544078285625
LYRM4,-0.40576226100841684,5.312450291842937,4.4838953276098135,0.04052065151161804,0.9998544078285625
ABHD3,0.4650744215128779,5.0128982697450954,4.481513000478002,0.04054787949825976,0.9998544078285625
CTNNB1,0.39677853429895643,7.201719489256751,4.494367521464261,0.04073162179567531,0.9998544078285625
RNF11,0.35428260418165997,5.902734133254956,4.47565446230704,0.0410191034632819,0.9998544078285625
NFKBIZ,0.49914985957218505,6.646962840400909,4.451344781318858,0.04163413047153067,0.9998544078285625
ANP32B,-0.316719855280817,6.856579718262495,4.444710061913204,0.041773305983572116,0.9998544078285625
ATP12A,0.6437483685883983,5.928311611071602,4.424869601866687,0.0421307415641162,0.9998544078285625
RNF181,-0.3881963231416354,6.201543453353262,4.418818893995239,0.042250614343033434,0.9998544078285625
LIPH,0.5682663796620187,5.833381047986366,4.413948015614225,0.042359983169442846,0.9998544078285625
PINLYP,0.45806070837812857,5.685475853548461,4.401973886354103,0.042580047638919684,0.9998544078285625
NOA1,-0.4360008867164673,5.2490172931892385,4.369291732753303,0.04299678969581867,0.9998544078285625
KLF6,0.36981693875268273,7.794818253980928,4.376696815533366,0.04330076941071463,0.9998544078285625
TCTN2,0.36068171087171014,5.93029978428171,4.346448991381044,0.043888528536967474,0.9998544078285625
GSN,0.36307139195540283,8.768941560782496,4.3046655050896145,0.04495577771140104,0.9998544078285625
AGGF1,-0.3301626281555844,5.933492761837968,4.288950209296261,0.04515704086342317,0.9998544078285625
TOMM34,0.349740243185664,5.790655418340964,4.28291538852608,0.04534915947174781,0.9998544078285625
SLK,0.37159379384828123,6.463196799929768,4.285814740981628,0.04539177934100887,0.9998544078285625
CDH26,0.307016058637264,6.364131350788349,4.279052740030004,0.04554619693289596,0.9998544078285625
THAP7,-0.44650370756603547,5.403068829811351,4.241472899240022,0.04607695152338744,0.9998544078285625
NDFIP2,0.3344848441898097,6.456342009051146,4.20007137309843,0.04748123883075785,0.9998544078285625
PPL,0.48677123515538306,5.266872465004628,4.177542263632454,0.04775332519333477,0.9998544078285625
TMEM53,0.3995594415973757,5.251209455063413,4.165457224870393,0.0480481573501569,0.9998544078285625
NFE2L2,-0.31041667192709416,8.818107609455783,4.175644312124856,0.048116116637908816,0.9998544078285625
ASPH,0.3333473371336664,5.872731711752199,4.153885325274861,0.048552572499243454,0.9998544078285625
TSSC4,-0.4673553605530591,5.306060417515383,4.1140959393336844,0.04924705268006197,0.9998544078285625
CFAP206,-0.2853970301116926,7.662613288026193,4.1266211816341025,0.04939167943077143,0.9998544078285625
RPL5,-0.26756029271230947,9.478371910452756,4.126003333737058,0.049392941005306036,0.9998544078285625
SUSD6,0.4085083482053675,5.102909998980433,4.095972926847031,0.04976930282499896,0.9998544078285625
GRSF1,-0.3436667473108554,5.842973211886969,4.097503952487731,0.049939841424110135,0.9998544078285625
CFAP54,-0.38390331615871237,7.5351296265415675,4.099879975788998,0.050096777744916186,0.9998544078285625
FXR1,-0.465276841271271,7.3380233471485266,4.097073011495187,0.050169437386579176,0.9998544078285625
IRF2BP2,-0.4132391826415969,6.369873563771893,4.092387655976296,0.05019457802840501,0.9998544078285625
CARHSP1,-0.31958739338753794,6.773728807154691,4.0852854709033934,0.05045420670523022,0.9998544078285625
SMYD4,-0.4074010873770676,5.247064194635335,4.066065572881529,0.05051200861361952,0.9998544078285625
CCN2,0.39443254116846815,8.86048573937844,4.083528689028568,0.05051978527689413,0.9998544078285625
SFN,0.7921004037443097,5.376172988210613,4.069686229154736,0.05065063049193983,0.9998544078285625
SORBS2,0.3544152060477144,7.206451636766029,4.0498890660029145,0.051444234937569513,0.9998544078285625
IFI27L2,-0.340057056646774,6.659471832417626,4.0256444860608225,0.05207268634400411,0.9998544078285625
FABP6,-0.41667710041945505,8.194749326154332,4.011950056367013,0.052489438213114324,0.9998544078285625
SRSF6,0.42300966601824674,5.990313756526583,3.990952260262863,0.052989065825339646,0.9998544078285625
PCBD1,-0.30364110893090857,7.33101747447401,3.980387893901702,0.053377819794752465,0.9998544078285625
KNOP1,0.3932657508159175,5.266987879291322,3.958175618846883,0.05367590943826027,0.9998544078285625
TFDP2,0.4105534436119552,6.261746205319643,3.9569647309564004,0.05399881329885111,0.9998544078285625
PPIL6,-0.31046342491499096,8.505146198413374,3.954017389909244,0.05413307823763102,0.9998544078285625
FOSB,0.5062089934752977,6.236782012083538,3.938497426259711,0.05455788061135371,0.9998544078285625
AP1G1,0.3745323335312322,5.72159873289073,3.916862335093766,0.05506279234171217,0.9998544078285625
