,logFC,logCPM,F,PValue,FDR
S100P,0.9461848288879411,6.677306797792198,26.133508744756277,4.168152054810866e-06,0.025692489265854174
MUC5AC,1.7598742655152466,6.547169138057627,22.1877874364505,1.6735725224904034e-05,0.05157950514315423
LINC01091,-0.8965815758990183,5.9963523392434235,20.10289191147655,3.609148380521113e-05,0.07415596872510713
RHOBTB3,-0.7659863332844258,5.156119070801997,17.59817058441121,9.028634298806454e-05,0.13913125454460745
SEC14L1,0.45800279595900606,6.966673265385613,16.179632315592368,0.00017945365906084262,0.22123047089020678
ALDH3A2,-0.5742250106966599,6.795864925281046,14.681516585578164,0.0003298402640564234,0.3191662611763341
ATP12A,1.0125773901625998,4.943400276197463,14.260545137934555,0.0003624535736914891,0.3191662611763341
CTSC,0.6698959642037325,5.152002210317693,13.176157923233736,0.0005862241849003883,0.4009443374256209
KANSL1L,-0.4761177808578095,6.881901832773185,13.115334216614414,0.0006443367637849334,0.4009443374256209
CDH26,0.45662607310604925,6.281096325046575,12.912884076170672,0.0006924463344238974,0.4009443374256209
AZIN1-AS1,-0.5112249580390531,6.461636717668386,12.837316927246455,0.0007155074159120425,0.4009443374256209
C9orf72,-0.4624520816542821,7.1734768554637345,11.124237036392207,0.0015440990286767267,0.7106847469266542
NBEAL1,-0.42377755212566093,6.878666810506823,10.915564340587473,0.0016894991802030703,0.7106847469266542
PKIB,-0.5961229297438776,6.645456875065384,10.775310850067184,0.0017887794973304707,0.7106847469266542
CAPRIN2,-0.6046135613851398,5.233265058060066,10.598007596295243,0.0018549061103879873,0.7106847469266542
CD302,-0.5290004976451671,5.245222897160632,10.532511209174956,0.001913732704736931,0.7106847469266542
LYZ,0.9416255075823154,6.362594776487474,10.269794836010531,0.0022383004991498937,0.7106847469266542
KLHL6,0.3820157618341498,7.491213766320625,10.267789834968344,0.0022740292686548166,0.7106847469266542
KCNE3,0.5480594267734255,6.052659315154161,10.227899603012732,0.002275260809589859,0.7106847469266542
HEXIM1,0.48157255124823134,5.066394216114639,9.958350421275561,0.002488570248833048,0.7106847469266542
NGRN,0.3565441212238406,7.8887942268499405,10.029030070794875,0.002536561875108469,0.7106847469266542
PART1,-0.6763547780850429,4.925370535754627,9.776353393039132,0.0026860195513487496,0.7106847469266542
BX284668.5,0.9924589451269928,5.189320111600877,9.80758050259265,0.0026862110225416938,0.7106847469266542
ZNF493,-0.4699480103088626,5.916952708151456,9.768618179681782,0.0027911495993508855,0.7106847469266542
MOB1B,-0.5569735500685676,5.6000795718463525,9.677340958782699,0.0028824008230315303,0.7106847469266542
FOSB,0.7645858728463586,6.10736812297136,9.616136896685354,0.0030135672584377378,0.7144472531157775
PUM2,-0.32368516709299894,7.0661133633547895,9.223935911429543,0.003666339354104727,0.8267954590682619
PLEKHA4,-0.9613085281834272,5.96331144476721,9.112845868416965,0.0037978578628981466,0.8267954590682619
ST8SIA4,-0.46411474934326336,6.089993019033318,9.063116587183533,0.0038898553395489283,0.8267954590682619
LBH,0.5171948523640642,6.050680751323932,8.848526738960057,0.004304659134069931,0.833845827046945
HIGD1A,0.4717827984386621,5.352411828568167,8.709260216509401,0.004534361861156063,0.833845827046945
CCN2,0.6035468638707198,8.656757250239359,8.616080951179839,0.004886916656730543,0.833845827046945
FTX,-0.3973037030692716,7.0641139479843185,8.597022570258128,0.004921412494946619,0.833845827046945
GPX8,-0.5260418282007322,5.1416102906254055,8.45462661681032,0.005074890856447797,0.833845827046945
NTS,0.9881863219067852,5.30035739725169,8.413886730275282,0.005187355957563075,0.833845827046945
CHP1,0.3742370705715507,5.658378443616453,8.31939545993778,0.005509805238979596,0.833845827046945
RASA2,-0.5132982869935558,4.965486978401038,8.229983766396307,0.005635369741784351,0.833845827046945
PDE7A,-0.3390666691486391,6.169536810586481,8.28240198555332,0.005664620010548929,0.833845827046945
TMEM184A,0.44472297763158963,5.30387286849989,8.20852311577937,0.005758350080069782,0.833845827046945
ATP5MC1,0.45112819429294454,6.436913461951152,8.246520585680377,0.005786303700687226,0.833845827046945
ABO,0.5204991772968014,5.432412872696998,8.196284803506176,0.005818391332226591,0.833845827046945
CMYA5,0.4581543429571911,5.603284504851804,8.079275027157687,0.006162599600994858,0.833845827046945
PPP6R2,-0.5077843448543528,5.892247269704503,8.052782177706185,0.006281592220452825,0.833845827046945
OXR1,-0.41578246845182654,6.743439890443698,8.042815104931538,0.006387864173303563,0.833845827046945
ALG1L,0.7615604821490873,5.619470829098862,7.952120153637055,0.006551012818762458,0.833845827046945
BRWD1,-0.2920720009640916,6.570630313287134,7.987322461478036,0.006560207658521638,0.833845827046945
PPIP5K2,-0.43165529701402455,5.935939602266026,7.952416444564934,0.006598442188591095,0.833845827046945
PCDH7,-0.3608503826861036,7.077304568136056,7.9335311225099545,0.006759145166047541,0.833845827046945
SPACA9,0.30675621332499875,7.671689478621293,7.838597814537153,0.007082549806635181,0.833845827046945
PIEZO2,-0.7446707713453614,5.304099567674258,7.772402361798309,0.007123098107753694,0.833845827046945
KRT23,0.5040289699892623,5.6732630747248445,7.712605229210211,0.007373324596281479,0.833845827046945
RXRA,-0.33445953621086916,6.669742079099926,7.728673222903067,0.007436873370914924,0.833845827046945
NCL,0.39964130540862386,8.100980756786221,7.731635107488337,0.007458345515107058,0.833845827046945
C11orf88,-0.333494363453194,9.762077404739403,7.721551255214476,0.007490080974594996,0.833845827046945
TUBA1A,0.39614402312762936,10.36292756576976,7.701571301382668,0.0075622563349133694,0.833845827046945
NT5DC1,-0.32036954028553954,6.700230238198111,7.659373374641762,0.007691313915515207,0.833845827046945
CYP27A1,-0.5304773678972005,4.988508780985508,7.5200528627990435,0.00798336998143598,0.833845827046945
PROS1,-0.47199439239563895,8.727699476921773,7.46554309609594,0.008483273912458353,0.833845827046945
EPPK1,0.49583224539479853,5.822331585694229,7.421669570084093,0.008538435740051267,0.833845827046945
ATF3,0.5020633706599089,6.502712343876922,7.433297514247862,0.008573894498271225,0.833845827046945
CROCC2,-0.44270575501123005,6.982153089646229,7.429847846764293,0.008617507003550717,0.833845827046945
ARF3,0.38371119707647294,5.859992167223496,7.401825035546415,0.008626502694061823,0.833845827046945
