,logFC,logCPM,F,PValue,FDR
MUC5AC,1.5971247240474609,7.402728008748884,20.989185787023587,2.7539212229982705e-05,0.13615386526503448
KRT23,0.7962074887322849,6.279620816858042,18.426981947435877,7.272923450679555e-05,0.1797866677007986
PFKP,0.628305258103601,5.850511511760836,15.797185667615699,0.00020657204762991013,0.3404307344940919
ALOX15,0.5766172837079643,8.91293429281271,13.743223168415483,0.0004962999829895077,0.6134267789750315
S100P,0.5940119562816056,7.721469132251782,11.766668537601383,0.0011648881205043224,0.8608924793306376
CTSC,0.6488444142172579,5.869701090185764,11.612219487333663,0.0012271280038459549,0.8608924793306376
TRIQK,-0.5969415261819819,5.66097800576184,11.35548456592676,0.0013586328922629081,0.8608924793306376
CCN2,0.6118787287557738,9.204247577062805,11.361207374725932,0.0013930299018295106,0.8608924793306376
BTG1,0.45591737872496546,8.090110430689405,10.421824609965196,0.0021232183507637276,0.9984648769154341
CLASP1,0.6012804465756932,5.257988677582798,9.863245895089042,0.0026727903317840945,0.9984648769154341
SREK1IP1,0.5573466596418382,6.113532365147711,9.639677611898247,0.0030133891289930697,0.9984648769154341
HDAC1,-0.4325377438551822,5.780056158804891,9.614363423871358,0.0030229945173483085,0.9984648769154341
PKIB,-0.5961008536376299,6.9740791135151845,9.120850916391381,0.003856643176279683,0.9984648769154341
B3GNT7,0.5588580507578232,6.886517554232165,8.640367841385894,0.004827915990247286,0.9984648769154341
MUC15,-0.518741637483277,8.391887066949106,8.462359310135286,0.005260978634036449,0.9984648769154341
KCNE3,0.624040155356,5.864413099021764,8.384054701991017,0.005417060987265448,0.9984648769154341
EPPK1,0.6645198411999649,5.977341599285801,8.295975436232489,0.005652672919233977,0.9984648769154341
OTUD7B,0.4261573766315456,5.495731855846553,8.020490765148798,0.006407159757903866,0.9984648769154341
HBB,1.4150788264913399,8.822320262260638,7.896139255706269,0.006891634543912282,0.9984648769154341
PROS1,-0.500608978769977,8.30850540496842,7.896184238232689,0.0068943234070923155,0.9984648769154341
TSPAN3,0.3444592033632453,8.158590159783856,7.889827270141825,0.006914215308407147,0.9984648769154341
CEP95,-0.40660459331932824,5.6477480066894055,7.7783271918370245,0.007206149010611025,0.9984648769154341
DDIT4,-0.5184393758289906,6.613104358491188,7.69087191295143,0.007594715052961248,0.9984648769154341
ADIPOR1,0.41880615794513,6.4017822567697955,7.591507639053881,0.007961030251924925,0.9984648769154341
FABP6,-0.4453309714761267,8.011172177426547,7.5348848212158686,0.008210596634771035,0.9984648769154341
SORD,0.450797376115472,6.275174945800693,7.277389193242445,0.009275084145683185,0.9984648769154341
NRP2,0.39295881409673317,6.5197699784197605,7.151055833792036,0.009883015147837184,0.9984648769154341
ALDH3A2,-0.41069132926694696,6.335578113732795,7.064755094023804,0.010294082432151538,0.9984648769154341
CASP7,0.4412608624792517,5.935330889544267,7.023632820845646,0.010481545307490308,0.9984648769154341
LPIN1,0.5022685728742718,5.727565598813759,6.957485547814484,0.010810562654337648,0.9984648769154341
TCTN2,0.5156264152613438,6.389436999316078,6.895160415885644,0.01119418425634093,0.9984648769154341
KLHL6,0.41822827852833355,6.756974813036866,6.89132165132383,0.011242027417785353,0.9984648769154341
LINC01091,-0.5406697955556912,5.50800115750383,6.762843715869311,0.011831230947087164,0.9984648769154341
ACADM,-0.4011632077060126,7.177483193735626,6.639446626445651,0.012751602392395407,0.9984648769154341
ST6GAL1,0.5909243831376874,5.380581512885615,6.582953891019525,0.012975122517243535,0.9984648769154341
PIGR,0.5402958850250635,10.062822001385593,6.583255940979072,0.01310892147889217,0.9984648769154341
SCGB3A1,-0.8022241780696547,11.108740746122594,6.469947776067368,0.013872746754908979,0.9984648769154341
ZNF295-AS1,-0.7073431440276513,6.382492878367227,6.393317311749822,0.014369699392944467,0.9984648769154341
ZFP36,0.7382099291426305,7.99582901918284,6.385953255839438,0.0144730573492636,0.9984648769154341
STOM,0.40023341574349947,7.366417526511501,6.3538371585373525,0.014708503177157925,0.9984648769154341
PLEKHB2,0.3380223871618387,6.088003892555739,6.232611276431938,0.015583143723651504,0.9984648769154341
CEACAM6,0.5050847579267308,5.75155091517976,6.133153604865528,0.01634057804858292,0.9984648769154341
GSN,0.377158816201717,8.216157510774806,6.143196601227394,0.0163589922111247,0.9984648769154341
TRAP1,-0.4039901958647741,5.403571123130641,6.0051092450437675,0.01734107981604128,0.9984648769154341
NGRN,0.2750484285069726,8.166163565782659,5.823131026564796,0.019252859273018553,0.9984648769154341
ZNF273,-0.4261993816190259,6.779618777353494,5.748836026390476,0.0199877419844743,0.9984648769154341
RBM3,-0.3123408943359505,6.80188609752191,5.7405237855420435,0.02007453482514098,0.9984648769154341
EGR1,0.48171728650090573,8.383713729824697,5.739208520673904,0.020097660911343632,0.9984648769154341
KIF3B,0.41205473134972187,6.938106668879634,5.709656870024895,0.020397125941083432,0.9984648769154341
HMGB3,-0.4235467905316945,6.287100511992373,5.678565965184223,0.02068312816505208,0.9984648769154341
MRPL19,-0.3842172514791242,5.606317949077012,5.6508504575931156,0.020866175131784303,0.9984648769154341
ARL2,-0.46493363311282065,5.950395024721019,5.649148596300743,0.020955853224857414,0.9984648769154341
ARHGEF12,0.43846855960936537,6.036272670571823,5.650228175714759,0.020971248467843786,0.9984648769154341
PCSK5,0.473100914470569,6.152459373793535,5.615300089246006,0.021366174229172377,0.9984648769154341
LAMC2,0.36741040946239045,6.107968913787227,5.614260707415949,0.021372565747294847,0.9984648769154341
CDH26,0.3956431923146555,6.283161457849356,5.6128483168501395,0.021402356931152614,0.9984648769154341
